secs,km,power,hr,cad,alt
0,0,,109,,529.8
1,0.00022,,109,,529.5
2,0.00044,,109,,529.2
3,0.00166333,,110,,529.333
4,0.00288667,,111,,529.467
5,0.00411,,112,,529.6
6,0.00649,,115,,530.2
7,0.00882,,116,,530.2
8,0.011205,,117.5,,529.8
9,0.01359,,119,,529.4
10,0.01656,,120.333,,529.867
11,0.01953,,121.667,,530.333
12,0.0225,,123,,530.8
13,0.02547,,124,,530.4
14,0.02852,,126,,530.5
15,0.03157,,128,,530.6
16,0.03469,,129.5,,530.5
17,0.03781,,131,,530.4
18,0.0404433,,132,,530.333
19,0.0430767,,133,,530.267
20,0.04571,,134,,530.2
21,0.0484067,,135,,530.067
22,0.0511033,,136,,529.933
23,0.0538,,137,,529.8
24,0.05633,,137.5,,529.7
25,0.05886,,138,,529.6
26,0.061812,,138.6,,529.4
27,0.064764,,139.2,,529.2
28,0.067716,,139.8,,529
29,0.070668,,140.4,,528.8
30,0.07362,,141,,528.6
31,0.076825,,141.75,,528.45
32,0.08003,,142.5,,528.3
33,0.083235,,143.25,,528.15
34,0.08644,,144,,528
35,0.0896843,,144.286,,528.029
36,0.0929286,,144.571,,528.057
37,0.0961729,,144.857,,528.086
38,0.0994171,,145.143,,528.114
39,0.102661,,145.429,,528.143
40,0.105906,,145.714,,528.171
41,0.10915,,146,,528.2
42,0.112301,,146.429,,528.343
43,0.115453,,146.857,,528.486
44,0.118604,,147.286,,528.629
45,0.121756,,147.714,,528.771
46,0.124907,,148.143,,528.914
47,0.128059,,148.571,,529.057
48,0.13121,,149,,529.2
49,0.134126,,149,,529.686
50,0.137041,,149,,530.171
51,0.139957,,149,,530.657
52,0.142873,,149,,531.143
53,0.145789,,149,,531.629
54,0.148704,,149,,532.114
55,0.15162,,149,,532.6
56,0.154923,,149.286,,532.829
57,0.158226,,149.571,,533.057
58,0.161529,,149.857,,533.286
59,0.164831,,150.143,,533.514
60,0.168134,,150.429,,533.743
61,0.171437,,150.714,,533.971
62,0.17474,,151,,534.2
63,0.177716,,151.429,,534.4
64,0.180691,,151.857,,534.6
65,0.183667,,152.286,,534.8
66,0.186643,,152.714,,535
67,0.189619,,153.143,,535.2
68,0.192594,,153.571,,535.4
69,0.19557,,154,,535.6
70,0.198429,,154.125,,535.775
71,0.201288,,154.25,,535.95
72,0.204146,,154.375,,536.125
73,0.207005,,154.5,,536.3
74,0.209864,,154.625,,536.475
75,0.212722,,154.75,,536.65
76,0.215581,,154.875,,536.825
77,0.21844,,155,,537
78,0.221172,,154.875,,537.225
79,0.223905,,154.75,,537.45
80,0.226637,,154.625,,537.675
81,0.22937,,154.5,,537.9
82,0.232103,,154.375,,538.125
83,0.234835,,154.25,,538.35
84,0.237568,,154.125,,538.575
85,0.2403,,154,,538.8
86,0.243046,,154.125,,539.025
87,0.245793,,154.25,,539.25
88,0.248539,,154.375,,539.475
89,0.251285,,154.5,,539.7
90,0.254031,,154.625,,539.925
91,0.256777,,154.75,,540.15
92,0.259524,,154.875,,540.375
93,0.26227,,155,,540.6
94,0.264798,,155.125,,540.9
95,0.267325,,155.25,,541.2
96,0.269852,,155.375,,541.5
97,0.27238,,155.5,,541.8
98,0.274908,,155.625,,542.1
99,0.277435,,155.75,,542.4
100,0.279963,,155.875,,542.7
