secs,km,power,hr,cad,alt
0,0,,90,,30.4
1,0,,90,,30
2,0.000981818,,90,,30.1273
3,0.00196364,,90,,30.2545
4,0.00294545,,90,,30.3818
5,0.00392727,,90,,30.5091
6,0.00490909,,90,,30.6364
7,0.00589091,,90,,30.7636
8,0.00687273,,90,,30.8909
9,0.00785455,,90,,31.0182
10,0.00883636,,90,,31.1455
11,0.00981818,,90,,31.2727
12,0.0108,,90,,31.4
13,0.011648,,90.4,,31.16
14,0.012496,,90.8,,30.92
15,0.013344,,91.2,,30.68
16,0.014192,,91.6,,30.44
17,0.01504,,92,,30.2
18,0.01676,,92.6,,30.2
19,0.01848,,93.2,,30.2
20,0.0202,,93.8,,30.2
21,0.02192,,94.4,,30.2
22,0.02364,,95,,30.2
23,0.0253267,,96,,30
24,0.0270133,,97,,29.8
25,0.0287,,98,,29.6
26,0.0300743,,97.5714,,29.2286
27,0.0314486,,97.1429,,28.8571
28,0.0328229,,96.7143,,28.4857
29,0.0341971,,96.2857,,28.1143
30,0.0355714,,95.8571,,27.7429
31,0.0369457,,95.4286,,27.3714
32,0.03832,,95,,27
33,0.0400563,,95.625,,26.75
34,0.0417925,,96.25,,26.5
35,0.0435287,,96.875,,26.25
36,0.045265,,97.5,,26
37,0.0470013,,98.125,,25.75
38,0.0487375,,98.75,,25.5
39,0.0504737,,99.375,,25.25
40,0.05221,,100,,25
41,0.05555,,104,,24.6
42,0.05555,,109,,24.6
43,0.05748,,112,,24.6
44,0.05939,,108,,24.8
45,0.0612725,,107.25,,24.95
46,0.063155,,106.5,,25.1
47,0.0650375,,105.75,,25.25
48,0.06692,,105,,25.4
49,0.068954,,104.4,,25.44
50,0.070988,,103.8,,25.48
51,0.073022,,103.2,,25.52
52,0.075056,,102.6,,25.56
53,0.07709,,102,,25.6
54,0.0786315,,101.923,,25.5385
55,0.0801731,,101.846,,25.4769
56,0.0817146,,101.769,,25.4154
57,0.0832562,,101.692,,25.3538
58,0.0847977,,101.615,,25.2923
59,0.0863392,,101.538,,25.2308
60,0.0878808,,101.462,,25.1692
61,0.0894223,,101.385,,25.1077
62,0.0909638,,101.308,,25.0462
63,0.0925054,,101.231,,24.9846
64,0.0940469,,101.154,,24.9231
65,0.0955885,,101.077,,24.8615
66,0.09713,,101,,24.8
67,0.0989325,,101,,24.7
68,0.100735,,101,,24.6
69,0.102537,,101,,24.5
70,0.10434,,101,,24.4
71,0.106143,,101,,24.3
72,0.107945,,101,,24.2
73,0.109747,,101,,24.1
74,0.11155,,101,,24
75,0.113403,,101.167,,23.9
76,0.115257,,101.333,,23.8
77,0.11711,,101.5,,23.7
78,0.118963,,101.667,,23.6
79,0.120817,,101.833,,23.5
80,0.12267,,102,,23.4
81,0.124508,,102.182,,23.2727
82,0.126346,,102.364,,23.1455
83,0.128185,,102.545,,23.0182
84,0.130023,,102.727,,22.8909
85,0.131861,,102.909,,22.7636
86,0.133699,,103.091,,22.6364
87,0.135537,,103.273,,22.5091
88,0.137375,,103.455,,22.3818
89,0.139214,,103.636,,22.2545
90,0.141052,,103.818,,22.1273
91,0.14289,,104,,22
92,0.14487,,107,,21.4
93,0.146571,,107,,21.3167
94,0.148272,,107,,21.2333
95,0.149973,,107,,21.15
96,0.151673,,107,,21.0667
97,0.153374,,107,,20.9833
98,0.155075,,107,,20.9
99,0.156776,,107,,20.8167
100,0.158477,,107,,20.7333
101,0.160178,,107,,20.65
102,0.161878,,107,,20.5667
103,0.163579,,107,,20.4833
104,0.16528,,107,,20.4
105,0.166937,,106.846,,20.1846
106,0.168594,,106.692,,19.9692
107,0.170251,,106.538,,19.7538
108,0.171908,,106.385,,19.5385
109,0.173565,,106.231,,19.3231
110,0.175222,,106.077,,19.1077
111,0.176878,,105.923,,18.8923
112,0.178535,,105.769,,18.6769
113,0.180192,,105.615,,18.4615
114,0.181849,,105.462,,18.2462
115,0.183506,,105.308,,18.0308
116,0.185163,,105.154,,17.8154
117,0.18682,,105,,17.6
118,0.1886,,104.8,,17.44
119,0.19038,,104.6,,17.28
120,0.19216,,104.4,,17.12
121,0.19394,,104.2,,16.96
122,0.19572,,104,,16.8
123,0.19572,,104,,16.8
124,0.197517,,104,,16.6
125,0.199313,,104,,16.4
126,0.20111,,104,,16.2
127,0.202517,,103.714,,16.1143
128,0.203924,,103.429,,16.0286
129,0.205331,,103.143,,15.9429
130,0.206739,,102.857,,15.8571
131,0.208146,,102.571,,15.7714
132,0.209553,,102.286,,15.6857
133,0.21096,,102,,15.6
134,0.2124,,102,,15.4
135,0.213383,,101.667,,15.2667
136,0.214367,,101.333,,15.1333
137,0.21535,,101,,15
138,0.215614,,101,,14.84
139,0.215878,,101,,14.68
140,0.216142,,101,,14.52
141,0.216406,,101,,14.36
142,0.21667,,101,,14.2
143,0.2178,,101,,14.2
144,0.21858,,101,,14.1333
145,0.21936,,101,,14.0667
146,0.22014,,101,,14
147,0.22014,,101,,13.8
148,0.22018,,101,,14
149,0.220615,,100.5,,14
150,0.22105,,100,,14
