secs,km,power,hr,cad,alt
0,0,,85,,1345.2
1,0,,84,,1274
2,9.25e-5,,83.25,,1274.05
3,0.000185,,82.5,,1274.1
4,0.0002775,,81.75,,1274.15
5,0.00037,,81,,1274.2
6,0.00053,,79,,1274.2
7,0.00083,,79.375,,1274.2
8,0.00113,,79.75,,1274.2
9,0.00143,,80.125,,1274.2
10,0.00173,,80.5,,1274.2
11,0.00203,,80.875,,1274.2
12,0.00233,,81.25,,1274.2
13,0.00263,,81.625,,1274.2
14,0.00293,,82,,1274.2
15,0.003825,,81.5,,1274.1
16,0.00472,,81,,1274
17,0.005084,,81.2,,1274.02
18,0.005448,,81.4,,1274.04
19,0.005812,,81.6,,1274.06
20,0.006176,,81.8,,1274.08
21,0.00654,,82,,1274.1
22,0.006904,,82.2,,1274.12
23,0.007268,,82.4,,1274.14
24,0.007632,,82.6,,1274.16
25,0.007996,,82.8,,1274.18
26,0.00836,,83,,1274.2
27,0.00886,,84,,1274.2
28,0.00936,,85,,1274.2
29,0.00986,,86,,1274.2
30,0.01004,,87.5,,1274
31,0.01022,,89,,1273.8
32,0.0103733,,90.6667,,1273.87
33,0.0105267,,92.3333,,1273.93
34,0.01068,,94,,1274
35,0.011075,,96,,1274
36,0.01147,,98,,1274
37,0.01164,,101,,1274.2
38,0.01179,,105,,1274.2
39,0.01215,,108,,1274.2
40,0.01232,,111,,1274.2
41,0.01248,,113.5,,1274.2
42,0.01264,,116,,1274.2
43,0.01291,,118,,1274.2
44,0.01318,,120,,1274.2
45,0.01333,,121.5,,1274.1
46,0.01348,,123,,1274
47,0.01348,,124.5,,1274
48,0.01348,,126,,1274
49,0.0135567,,127,,1274
50,0.0136333,,128,,1274
51,0.01371,,129,,1274
52,0.01371,,130,,1274
53,0.01371,,131,,1274
54,0.01371,,132,,1274
55,0.01388,,133,,1274
56,0.01405,,134,,1274
57,0.0142325,,135,,1274
58,0.014415,,136,,1274
59,0.0145975,,137,,1274
60,0.01478,,138,,1274
61,0.0149133,,138.5,,1274
62,0.0150467,,139,,1274
63,0.01518,,139.5,,1274
64,0.0153133,,140,,1274
65,0.0154467,,140.5,,1274
66,0.01558,,141,,1274
67,0.015625,,141.5,,1273.93
68,0.01567,,142,,1273.87
69,0.015715,,142.5,,1273.8
70,0.01576,,143,,1273.73
71,0.015805,,143.5,,1273.67
72,0.01585,,144,,1273.6
73,0.01586,,144.75,,1273.65
74,0.01587,,145.5,,1273.7
75,0.01588,,146.25,,1273.75
76,0.01589,,147,,1273.8
77,0.0159825,,147.75,,1273.75
78,0.016075,,148.5,,1273.7
79,0.0161675,,149.25,,1273.65
80,0.01626,,150,,1273.6
81,0.016555,,150.333,,1273.6
82,0.01685,,150.667,,1273.6
83,0.017145,,151,,1273.6
84,0.01744,,151.333,,1273.6
85,0.017735,,151.667,,1273.6
86,0.01803,,152,,1273.6
87,0.0183029,,152.429,,1273.6
88,0.0185757,,152.857,,1273.6
89,0.0188486,,153.286,,1273.6
90,0.0191214,,153.714,,1273.6
91,0.0193943,,154.143,,1273.6
92,0.0196671,,154.571,,1273.6
93,0.01994,,155,,1273.6
94,0.02023,,155,,1273.6
95,0.02052,,155,,1273.6
96,0.02081,,155,,1273.6
97,0.021111,,155.1,,1273.6
98,0.021412,,155.2,,1273.6
99,0.021713,,155.3,,1273.6
100,0.022014,,155.4,,1273.6
101,0.022315,,155.5,,1273.6
102,0.022616,,155.6,,1273.6
103,0.022917,,155.7,,1273.6
104,0.023218,,155.8,,1273.6
105,0.023519,,155.9,,1273.6
106,0.02382,,156,,1273.6
107,0.024131,,156.1,,1273.6
108,0.024442,,156.2,,1273.6
109,0.024753,,156.3,,1273.6
110,0.025064,,156.4,,1273.6
111,0.025375,,156.5,,1273.6
112,0.025686,,156.6,,1273.6
113,0.025997,,156.7,,1273.6
114,0.026308,,156.8,,1273.6
115,0.026619,,156.9,,1273.6
116,0.02693,,157,,1273.6
117,0.027169,,157.2,,1273.62
118,0.027408,,157.4,,1273.64
119,0.027647,,157.6,,1273.66
120,0.027886,,157.8,,1273.68
121,0.028125,,158,,1273.7
122,0.028364,,158.2,,1273.72
123,0.028603,,158.4,,1273.74
124,0.028842,,158.6,,1273.76
125,0.029081,,158.8,,1273.78
126,0.02932,,159,,1273.8
127,0.029415,,158.9,,1273.82
128,0.02951,,158.8,,1273.84
129,0.029605,,158.7,,1273.86
130,0.0297,,158.6,,1273.88
131,0.029795,,158.5,,1273.9
132,0.02989,,158.4,,1273.92
133,0.029985,,158.3,,1273.94
134,0.03008,,158.2,,1273.96
135,0.030175,,158.1,,1273.98
136,0.03027,,158,,1274
137,0.030408,,158.1,,1273.9
138,0.030546,,158.2,,1273.8
139,0.030684,,158.3,,1273.7
140,0.030822,,158.4,,1273.6
141,0.03096,,158.5,,1273.5
142,0.031098,,158.6,,1273.4
143,0.031236,,158.7,,1273.3
144,0.031374,,158.8,,1273.2
145,0.031512,,158.9,,1273.1
146,0.03165,,159,,1273
147,0.031814,,159.1,,1273.08
148,0.031978,,159.2,,1273.16
149,0.032142,,159.3,,1273.24
150,0.032306,,159.4,,1273.32
151,0.03247,,159.5,,1273.4
152,0.032634,,159.6,,1273.48
153,0.032798,,159.7,,1273.56
154,0.032962,,159.8,,1273.64
155,0.033126,,159.9,,1273.72
156,0.03329,,160,,1273.8
157,0.033685,,160.2,,1273.8
158,0.03408,,160.4,,1273.8
159,0.034475,,160.6,,1273.8
160,0.03487,,160.8,,1273.8
161,0.035265,,161,,1273.8
162,0.03566,,161.2,,1273.8
163,0.036055,,161.4,,1273.8
164,0.03645,,161.6,,1273.8
165,0.036845,,161.8,,1273.8
166,0.03724,,162,,1273.8
167,0.037472,,162,,1273.8
168,0.037704,,162,,1273.8
169,0.037936,,162,,1273.8
170,0.038168,,162,,1273.8
171,0.0384,,162,,1273.8
172,0.038632,,162,,1273.8
173,0.038864,,162,,1273.8
174,0.039096,,162,,1273.8
175,0.039328,,162,,1273.8
176,0.03956,,162,,1273.8
177,0.039783,,162.1,,1273.82
178,0.040006,,162.2,,1273.84
179,0.040229,,162.3,,1273.86
180,0.040452,,162.4,,1273.88
181,0.040675,,162.5,,1273.9
182,0.040898,,162.6,,1273.92
183,0.041121,,162.7,,1273.94
184,0.041344,,162.8,,1273.96
185,0.041567,,162.9,,1273.98
186,0.04179,,163,,1274
187,0.042105,,163.1,,1274
188,0.04242,,163.2,,1274
189,0.042735,,163.3,,1274
190,0.04305,,163.4,,1274
191,0.043365,,163.5,,1274
192,0.04368,,163.6,,1274
193,0.043995,,163.7,,1274
