secs,km,power,hr,cad,alt
0,0,,0,,634.4
1,0.00218833,,7.33333,,634.4
2,0.00437667,,14.6667,,634.4
3,0.006565,,22,,634.4
4,0.00875333,,29.3333,,634.4
5,0.0109417,,36.6667,,634.4
6,0.01313,,44,,634.4
7,0.01576,,44,,634.2
8,0.018455,,44,,634.05
9,0.02115,,44,,633.9
10,0.023845,,44,,633.75
11,0.02654,,44,,633.6
12,0.029145,,47.5,,633.3
13,0.03175,,51,,633
14,0.034355,,54.5,,632.7
15,0.03696,,58,,632.4
16,0.04009,,58,,632.2
17,0.043324,,60.4,,632
18,0.046558,,62.8,,631.8
19,0.049792,,65.2,,631.6
20,0.053026,,67.6,,631.4
21,0.05626,,70,,631.2
22,0.05918,,70,,631
23,0.06242,,70,,630.767
24,0.06566,,70,,630.533
25,0.0689,,70,,630.3
26,0.07214,,70,,630.067
27,0.07538,,70,,629.833
28,0.07862,,70,,629.6
29,0.0813867,,70,,629.2
30,0.0841533,,70,,628.8
31,0.08692,,70,,628.4
32,0.0896867,,70,,628
33,0.0924533,,70,,627.6
34,0.09522,,70,,627.2
35,0.09761,,80,,627.2
36,0.10034,,80,,627.6
37,0.10295,,91,,627.4
38,0.10579,,91,,627.4
39,0.108912,,92.75,,627.55
40,0.112035,,94.5,,627.7
41,0.115157,,96.25,,627.85
42,0.11828,,98,,628
43,0.1215,,98,,628.2
44,0.12453,,110,,628.4
45,0.12786,,110,,628.8
46,0.13112,,116,,629
47,0.13431,,116,,629.2
48,0.137307,,116,,629.333
49,0.140303,,116,,629.467
50,0.1433,,116,,629.6
51,0.146297,,116,,629.733
52,0.149293,,116,,629.867
53,0.15229,,116,,630
54,0.154797,,117,,630.4
55,0.157303,,118,,630.8
56,0.15981,,119,,631.2
57,0.16258,,124,,631.6
58,0.16565,,124,,631.8
59,0.168317,,124.333,,631.933
60,0.170983,,124.667,,632.067
61,0.17365,,125,,632.2
62,0.176317,,125.333,,632.333
63,0.178983,,125.667,,632.467
64,0.18165,,126,,632.6
65,0.18411,,129,,632.8
66,0.18651,,137,,632.8
67,0.18886,,138.5,,632.8
68,0.19121,,140,,632.8
69,0.1933,,144,,632.8
70,0.19598,,147,,632.8
71,0.19927,,147,,632.8
72,0.202457,,147.167,,632.667
73,0.205643,,147.333,,632.533
74,0.20883,,147.5,,632.4
75,0.212017,,147.667,,632.267
76,0.215203,,147.833,,632.133
77,0.21839,,148,,632
78,0.221563,,148,,632
79,0.224737,,148,,632
80,0.22791,,148,,632
81,0.231083,,148,,632
82,0.234257,,148,,632
83,0.23743,,148,,632
84,0.240513,,148.833,,632
85,0.243597,,149.667,,632
86,0.24668,,150.5,,632
87,0.249763,,151.333,,632
88,0.252847,,152.167,,632
89,0.25593,,153,,632
90,0.259158,,153,,632
91,0.262387,,153,,632
92,0.265615,,153,,632
93,0.268843,,153,,632
94,0.272072,,153,,632
95,0.2753,,153,,632
96,0.278425,,153.167,,631.833
97,0.28155,,153.333,,631.667
98,0.284675,,153.5,,631.5
99,0.2878,,153.667,,631.333
100,0.290925,,153.833,,631.167
101,0.29405,,154,,631
102,0.297325,,154,,630.833
103,0.3006,,154,,630.667
104,0.303875,,154,,630.5
105,0.30715,,154,,630.333
106,0.310425,,154,,630.167
107,0.3137,,154,,630
108,0.316837,,154.167,,630.1
109,0.319973,,154.333,,630.2
110,0.32311,,154.5,,630.3
111,0.326247,,154.667,,630.4
112,0.329383,,154.833,,630.5
113,0.33252,,155,,630.6
114,0.335645,,155,,630.933
115,0.33877,,155,,631.267
116,0.341895,,155,,631.6
117,0.34502,,155,,631.933
118,0.348145,,155,,632.267
119,0.35127,,155,,632.6
120,0.354263,,155,,632.833
121,0.357257,,155,,633.067
122,0.36025,,155,,633.3
123,0.363243,,155,,633.533
124,0.366237,,155,,633.767
125,0.36923,,155,,634
126,0.372065,,155.167,,634.067
127,0.3749,,155.333,,634.133
128,0.377735,,155.5,,634.2
129,0.38057,,155.667,,634.267
130,0.383405,,155.833,,634.333
131,0.38624,,156,,634.4
132,0.389092,,156,,634.433
133,0.391943,,156,,634.467
134,0.394795,,156,,634.5
135,0.397647,,156,,634.533
136,0.400498,,156,,634.567
137,0.40335,,156,,634.6
138,0.406397,,155.833,,634.567
139,0.409443,,155.667,,634.533
140,0.41249,,155.5,,634.5
141,0.415537,,155.333,,634.467
142,0.418583,,155.167,,634.433
143,0.42163,,155,,634.4
144,0.424298,,155.333,,634.567
