secs,km,power,hr,cad,alt
0,0,,115,,61.2
1,0.00494,,116,,61.4
2,0.00767,,118,,61
3,0.0096,,118,,61
4,0.01172,,119,,61.2
5,0.01401,,120,,61.2
6,0.01634,,120,,61
7,0.01922,,120,,61.2
8,0.02118,,120,,61.4
9,0.02395,,120,,61.4
10,0.02594,,119,,61
11,0.02859,,118,,61.2
12,0.03164,,115,,61.2
13,0.03487,,111,,61.2
14,0.03779,,110,,61.4
15,0.04127,,111,,61.4
16,0.04513,,111,,61.6
17,0.04898,,111,,61.6
18,0.05255,,110,,61.6
19,0.05611,,109,,61.8
20,0.0599,,110,,61.6
21,0.06352,,114,,61.8
22,0.06721,,117,,61.8
23,0.07073,,119,,61.8
24,0.07413,,120,,61.8
25,0.07717,,123,,61.8
26,0.08048,,124,,61.8
27,0.08416,,126,,61.8
28,0.08775,,127,,62
29,0.09166,,128,,62
30,0.09584,,129,,62.2
31,0.09973,,130,,62
32,0.10381,,131,,61.8
33,0.10799,,131,,61.6
34,0.11207,,132,,61.4
35,0.1149,,132,,61.6
36,0.11628,,133,,62
37,0.11796,,134,,61.8
38,0.12055,,135,,61.8
39,0.12326,,135,,62
40,0.12606,,136,,62
41,0.12874,,136,,62
42,0.13185,,137,,62
43,0.13489,,137,,62
44,0.13819,,137,,61.8
45,0.14157,,137,,61.8
46,0.14468,,137,,61.6
47,0.14776,,137,,62
48,0.15087,,137,,62
49,0.15401,,137,,62
50,0.15744,,138,,61.8
51,0.16047,,138,,62
52,0.164,,137,,61.8
53,0.16824,,137,,62
54,0.17112,,137,,62
55,0.1743,,139,,62
56,0.17729,,139,,62
57,0.17994,,139,,62
58,0.18251,,138,,61.8
59,0.18552,,138,,62
60,0.18819,,138,,62
61,0.1909,,138,,62
62,0.19344,,138,,61.8
63,0.19592,,138,,61.6
64,0.19909,,137,,61.4
65,0.20247,,137,,61.6
66,0.20637,,138,,61.6
67,0.21031,,138,,61.8
68,0.21427,,138,,61.8
69,0.21847,,138,,61.6
70,0.22253,,138,,61.6
71,0.2269,,138,,61.8
72,0.2309,,137,,61.6
73,0.23504,,136,,61.8
74,0.23888,,135,,61.8
75,0.24273,,134,,61.8
76,0.24691,,135,,61.8
77,0.25104,,135,,61.8
78,0.25519,,136,,62
79,0.25881,,136,,62
80,0.26279,,136,,61.8
81,0.26671,,135,,61.8
82,0.27073,,135,,62
83,0.27461,,135,,61.8
84,0.27843,,135,,62
85,0.28265,,134,,62
86,0.28643,,134,,61.8
87,0.29053,,134,,62
88,0.29469,,134,,61.8
89,0.29886,,134,,61.6
90,0.303,,134,,61.8
91,0.30701,,135,,61.8
92,0.31122,,136,,61.8
93,0.31477,,136,,61.8
94,0.3186,,136,,61.8
95,0.32272,,136,,62
96,0.32669,,137,,62
97,0.3306,,137,,62
98,0.33409,,137,,62.2
99,0.33794,,137,,62.2
100,0.34134,,138,,62
101,0.34511,,138,,62.2
102,0.34899,,138,,62
103,0.35234,,138,,62
