secs,km,power,hr,cad,alt
0,0,,77,,22.3114
1,0,,77,,22.3114
2,0,,77,,22.3114
3,0,,77,,22.3114
4,0,,77,,22.3114
5,0,,77,,22.3114
6,0,,79,,22.3114
7,0.00141884,,81,,22.7833
8,0.00417271,,81,,23.6991
9,0.00683606,,81,,23.7418
10,0.00941422,,83,,22.963
11,0.0126074,,86,,22.692
12,0.0163792,,86,,22.8989
13,0.0201486,,90,,22.9466
14,0.023916,,96,,22.8444
15,0.0283487,,101,,22.7457
16,0.0334893,,101,,22.6374
17,0.0382607,,104,,22.3379
18,0.0426121,,104,,21.8698
19,0.0469068,,108,,21.8525
20,0.0511483,,108,,22.2593
21,0.0555197,,116,,22.6541
22,0.0600135,,117,,23.0375
23,0.0642501,,120,,23.4749
24,0.0682448,,121,,23.9631
25,0.0718119,,124,,24.2224
26,0.0749765,,124,,24.2665
27,0.0784594,,124,,24.3192
28,0.0822416,,124,,24.38
29,0.0860646,,124,,24.6209
30,0.089926,,124,,25.0312
31,0.0937894,,124,,25.1924
32,0.0976548,,124,,25.1191
33,0.101497,,124,,24.5839
34,0.105318,,124,,23.6142
35,0.108885,,125,,22.9207
36,0.112216,,125,,22.4872
37,0.115643,,125,,22.1344
38,0.119161,,129,,21.8576
39,0.122743,,129,,21.7144
40,0.126386,,129,,21.6969
41,0.130116,,129,,21.7488
42,0.13393,,129,,21.866
43,0.137686,,129,,22.1406
44,0.141388,,130,,22.5633
45,0.145301,,130,,22.8362
46,0.149414,,129,,22.9681
47,0.153703,,129,,23.0361
48,0.158158,,129,,23.044
49,0.162338,,129,,23.1053
50,0.166261,,129,,23.2169
51,0.170489,,129,,23.2418
52,0.175006,,129,,23.1854
53,0.179247,,129,,23.2607
54,0.183229,,129,,23.4599
55,0.187204,,129,,23.5947
56,0.191174,,129,,23.6689
57,0.195172,,129,,23.781
58,0.199198,,129,,23.9287
59,0.203166,,129,,23.9732
60,0.207081,,131,,23.9206
61,0.210682,,135,,23.8509
62,0.213987,,140,,23.7653
63,0.217538,,140,,23.5959
64,0.221319,,142,,23.3476
65,0.22528,,141,,23.1991
66,0.229409,,142,,23.1446
67,0.233604,,142,,23.1299
68,0.237862,,141,,23.1526
69,0.241976,,142,,23.2715
70,0.245956,,142,,23.4808
71,0.249728,,141,,23.5729
72,0.253305,,142,,23.5545
73,0.257151,,143,,23.5236
74,0.261252,,143,,23.4807
75,0.265254,,144,,23.6332
76,0.269164,,144,,23.9693
77,0.273149,,148,,24.1424
78,0.277204,,148,,24.1621
79,0.281454,,148,,24.2411
80,0.285889,,148,,24.3759
81,0.290247,,148,,24.4969
82,0.294533,,148,,24.6049
83,0.29847,,148,,24.684
84,0.302079,,148,,24.7358
85,0.30557,,148,,24.8028
86,0.308951,,148,,24.884
87,0.312526,,148,,25.08
88,0.316285,,148,,25.3837
89,0.320089,,148,,25.4186
90,0.323936,,148,,25.2006
91,0.328086,,148,,25.1746
92,0.33252,,148,,25.3293
93,0.33788,,148,,25.2947
94,0.343763,,148,,25.1171
95,0.349209,,148,,25.1326
96,0.3547,,147,,24.9723
97,0.359672,,147,,25.0992
98,0.364024,,148,,25.7853
99,0.368094,,148,,26.1628
100,0.371899,,148,,26.2497
101,0.375541,,148,,26.0736
102,0.379031,,148,,25.65
103,0.382688,,148,,25.4471
104,0.386504,,148,,25.452
105,0.390586,,148,,25.408
106,0.394918,,148,,25.3179
107,0.399257,,148,,25.3615
108,0.403603,,148,,25.531
109,0.408116,,148,,25.5767
110,0.412787,,148,,25.5058
111,0.417175,,148,,25.5217
112,0.421297,,148,,25.6192
113,0.424952,,148,,25.6434
114,0.428165,,148,,25.5987
115,0.431552,,150,,25.5628
116,0.435102,,151,,25.535
