secs,km,power,hr,cad,alt
0,0,,85,,68.8
1,0.00076,,84,,68.6
2,0.00267,,83,,68.6
3,0.00491,,83,,68.4
4,0.00844,,83,,68.4
5,0.01156,,85,,68.4
6,0.01521,,86,,0
7,0.01958,,88,,68.4
8,0.02295,,90,,68.4
9,0.02611,,92,,68.4
10,0.02967,,95,,68.6
11,0.03247,,97,,68.8
12,0.03653,,100,,69
13,0.03975,,101,,69
14,0.04313,,103,,68.8
15,0.04632,,105,,68.4
16,0.04936,,107,,68
17,0.05256,,108,,67.8
18,0.05569,,109,,67.8
19,0.05878,,110,,68
20,0.06148,,111,,68.2
21,0.0646,,112,,68.4
22,0.06763,,112,,68.6
23,0.07066,,112,,68.8
24,0.07393,,113,,68.8
25,0.07688,,113,,68.8
26,0.07943,,113,,68.6
27,0.08282,,114,,68.4
28,0.08587,,114,,68.2
29,0.08878,,115,,68
30,0.09187,,115,,68
31,0.09499,,116,,68
32,0.09844,,116,,68
33,0.10154,,117,,68.2
34,0.10487,,117,,68.4
35,0.1077,,117,,68.6
36,0.111,,118,,68.8
37,0.11428,,118,,69
38,0.11775,,119,,69.2
39,0.12083,,119,,69
40,0.1239,,120,,69
41,0.12607,,121,,68.8
42,0.12947,,122,,68.6
43,0.13228,,122,,68.4
44,0.13563,,123,,68.2
45,0.13838,,124,,68
46,0.14122,,125,,68
47,0.14423,,126,,67.8
48,0.1445,,127,,68
49,0.1445,,128,,68.2
50,0.15513,,129,,68.4
51,0.1582,,129,,68.8
52,0.16184,,130,,69.2
53,0.16509,,131,,69.2
54,0.16707,,132,,69.2
55,0.17142,,132,,69.2
56,0.17443,,132,,68.8
57,0.17793,,132,,68.6
58,0.18109,,133,,68.2
59,0.18413,,132,,68.2
60,0.18726,,133,,68
61,0.19008,,133,,68
62,0.19309,,133,,68
63,0.19605,,134,,68.2
64,0.19909,,134,,68.4
65,0.20212,,135,,68.6
66,0.20212,,135,,68.8
67,0.20765,,136,,69
68,0.21127,,136,,69.4
69,0.21375,,136,,69.6
70,0.21653,,137,,69.6
71,0.22004,,137,,69.4
72,0.22353,,137,,69
73,0.22685,,137,,68.4
74,0.23019,,137,,68.2
75,0.23353,,137,,68.2
76,0.23689,,138,,68.2
77,0.2404,,138,,68.4
78,0.24332,,138,,68.6
79,0.24644,,138,,69
80,0.24932,,139,,69.2
81,0.2526,,139,,69.4
82,0.2557,,139,,69.4
83,0.25905,,139,,69.2
84,0.26217,,139,,68.8
85,0.26551,,139,,68.6
86,0.26848,,139,,68.2
87,0.27169,,139,,67.8
88,0.27473,,139,,68
89,0.27784,,139,,68
90,0.28057,,139,,68.2
91,0.28403,,139,,68.4
92,0.28737,,138,,68.8
93,0.28999,,138,,69
94,0.29332,,138,,68.8
95,0.29617,,138,,68.8
96,0.29917,,137,,68.6
97,0.30272,,137,,68.4
98,0.30623,,137,,68
99,0.3094,,136,,68
100,0.3128,,136,,67.8
101,0.31529,,136,,67.8
102,0.31819,,136,,67.6
103,0.31985,,136,,67.8
104,0.32455,,137,,68
105,0.32754,,137,,68.2
106,0.3306,,136,,68.6
107,0.33391,,136,,68.4
108,0.33633,,136,,68.4
109,0.33962,,136,,68
110,0.34249,,135,,67.8
111,0.34559,,135,,67.6
112,0.34871,,135,,67.8
113,0.35202,,135,,68
114,0.35477,,135,,68.2
115,0.35802,,135,,68.4
116,0.36089,,135,,69
117,0.36411,,135,,69.2
118,0.367,,135,,69.2
119,0.37031,,135,,69.4
120,0.37187,,135,,69.2
121,0.37596,,134,,69.2
122,0.37925,,134,,68.8
123,0.3823,,133,,68.2
124,0.38534,,133,,68
125,0.38836,,133,,68
126,0.39151,,133,,68
127,0.39448,,132,,68
128,0.3976,,132,,68.2
129,0.40057,,132,,68.6
130,0.40388,,131,,68.8
131,0.40641,,130,,68.8
132,0.40974,,130,,68.6
133,0.4129,,130,,68.2
134,0.41609,,130,,68
135,0.41916,,129,,67.8
136,0.42243,,129,,67.8
137,0.42553,,129,,67.8
138,0.42819,,129,,67.8
139,0.4317,,129,,68.2
140,0.43459,,129,,68.4
141,0.43788,,128,,68.6
142,0.44073,,128,,68.8
143,0.44399,,127,,68.6
144,0.4472,,127,,68.4
145,0.45032,,126,,68.4
146,0.45338,,126,,68
147,0.4565,,126,,67.8
148,0.4593,,126,,67.6
149,0.46298,,126,,67.6
150,0.4649,,126,,67.6
151,0.46931,,126,,67.8
152,0.47244,,125,,68
153,0.47562,,125,,68
154,0.47875,,125,,68
155,0.48178,,125,,68
156,0.48495,,124,,67.6
157,0.48807,,124,,67.4
158,0.4912,,124,,67.2
159,0.49422,,124,,67.2
160,0.49796,,124,,67.4
161,0.50065,,124,,67.6
162,0.50397,,124,,67.6
163,0.50712,,124,,67.8
164,0.51047,,124,,68
165,0.51338,,125,,68.2
166,0.51671,,125,,68.4
167,0.51973,,124,,68.6
168,0.52332,,125,,68.8
169,0.52657,,125,,69
170,0.5299,,125,,68.8
171,0.53244,,125,,68.6
172,0.53647,,125,,68.2
173,0.53941,,125,,67.6
174,0.54286,,126,,67.4
175,0.54603,,127,,67.2
176,0.54913,,128,,67.2
177,0.5526,,129,,67.4
178,0.55606,,129,,67.6
179,0.5596,,130,,67.8
180,0.56389,,130,,67.8
181,0.56692,,130,,68
182,0.57029,,131,,68
183,0.57396,,131,,68
184,0.57736,,131,,68.2
185,0.58036,,131,,68.4
186,0.58418,,131,,68.4
187,0.58741,,132,,68.4
188,0.59095,,132,,68.4
189,0.59421,,132,,68.4
190,0.59747,,132,,68.4
191,0.60075,,132,,68
192,0.6041,,133,,67.8
193,0.60754,,133,,67.6
194,0.6109,,133,,67.2
195,0.61401,,133,,67
196,0.61746,,133,,67
197,0.62029,,134,,66.8
198,0.62398,,133,,66.8
199,0.62715,,133,,66.8
200,0.63038,,133,,66.8
201,0.63373,,133,,67
202,0.63696,,132,,67
203,0.64017,,132,,67.2
204,0.64382,,131,,67.2
205,0.64697,,130,,67.4
206,0.6503,,130,,67.6
207,0.65316,,129,,67.6
208,0.65663,,129,,67.6
209,0.65973,,129,,67.2
210,0.66317,,129,,67
211,0.66667,,129,,66.6
212,0.66974,,129,,66.4
213,0.67294,,129,,66.2
214,0.67607,,129,,66.2
215,0.67876,,128,,66.2
216,0.68226,,128,,66.4
217,0.68531,,127,,66.4
218,0.68856,,127,,66.6
219,0.69182,,127,,67
220,0.69484,,127,,67.2
221,0.69803,,127,,67.2
222,0.70127,,127,,67
223,0.70462,,127,,66.8
224,0.70778,,127,,66.6
225,0.71082,,127,,66.4
226,0.71403,,127,,66.2
227,0.71697,,127,,65.8
228,0.72057,,126,,65.8
229,0.72381,,126,,65.8
230,0.72679,,126,,65.8
231,0.73025,,126,,65.8
232,0.73362,,127,,66
233,0.73706,,127,,66
234,0.74083,,127,,66.2
235,0.74395,,127,,66.4
236,0.74759,,127,,66.4
237,0.75095,,128,,66.6
238,0.7544,,128,,66.6
239,0.75759,,129,,66.4
240,0.76102,,129,,66.2
241,0.76494,,129,,66
242,0.76859,,129,,65.8
243,0.77189,,129,,65.6
244,0.7753,,129,,65.4
245,0.77807,,129,,65.4
246,0.78178,,129,,65.4
247,0.78466,,129,,65.6
248,0.78794,,129,,65.6
249,0.79091,,129,,65.8
250,0.79375,,128,,65.8
251,0.79683,,128,,66.2
252,0.80007,,128,,66.2
253,0.80315,,128,,66.4
254,0.80623,,128,,66.2
255,0.80908,,128,,66
256,0.81265,,129,,65.8
257,0.81539,,129,,65.4
258,0.81898,,129,,65
259,0.82209,,129,,64.8
260,0.82514,,128,,64.8
261,0.82846,,128,,64.6
262,0.83146,,128,,64.8
263,0.83461,,128,,64.6
264,0.83822,,128,,64.8
265,0.84123,,128,,64.6
266,0.8447,,128,,64.8
267,0.84777,,128,,64.6
268,0.85123,,128,,64.8
269,0.85456,,129,,64.8
270,0.85728,,129,,64.8
271,0.8607,,129,,65
272,0.8638,,129,,65.2
273,0.86724,,129,,65.2
274,0.87041,,129,,65.4
275,0.87339,,130,,65.4
276,0.87704,,130,,65.6
277,0.88016,,130,,65.6
278,0.88349,,131,,65.6
279,0.8869,,131,,65.4
280,0.88999,,131,,65.2
281,0.89336,,132,,65
282,0.89662,,132,,64.8
283,0.90014,,132,,64.4
284,0.90331,,132,,64.2
285,0.90634,,132,,64
286,0.90966,,132,,64
287,0.91264,,132,,64
288,0.91609,,132,,63.8
289,0.91936,,132,,64
290,0.92227,,132,,64
291,0.92595,,132,,64.2
292,0.92892,,131,,64.4
293,0.93232,,131,,64.6
294,0.93595,,130,,64.8
295,0.93908,,130,,64.8
296,0.94242,,129,,65
297,0.94552,,128,,65.2
298,0.94876,,128,,65.2
299,0.9519,,128,,65.2
300,0.95522,,129,,65
301,0.95891,,129,,64.8
302,0.962,,129,,64.4
303,0.96547,,130,,64
304,0.96871,,129,,63.6
305,0.97163,,130,,63.4
306,0.97535,,130,,63.2
307,0.97869,,130,,63.2
308,0.98204,,130,,63
309,0.98568,,130,,63
310,0.98897,,130,,62.8
311,0.99257,,131,,62.8
312,0.99591,,131,,62.8
313,0.99942,,131,,62.8
314,1.00273,,131,,62.6
315,1.00586,,131,,62.6
316,1.00934,,132,,62.4
317,1.01239,,132,,62.6
