secs,km,power,hr,cad,alt
0,0,,75,,8.96
1,0.0034,,77,,8.96
4,0.00925,,82,,9.05
5,0.00925,,84,,9.14
6,0.0114,,87,,9.23
7,0.01358,,88,,9.32
8,0.01631,,91,,9.41
9,0.01922,,94,,9.5
10,0.0225,,97,,9.59
11,0.02529,,99,,9.68
12,0.02946,,100,,9.76571
13,0.03205,,102,,9.85143
14,0.03496,,104,,9.93714
15,0.03812,,106,,10.0229
16,0.04234,,108,,10.1086
17,0.04578,,108,,10.1943
18,0.04903,,110,,10.28
19,0.05178,,111,,10.3333
20,0.05496,,112,,10.3867
21,0.05784,,113,,10.44
22,0.0613,,114,,10.4933
23,0.06447,,114,,10.5467
24,0.06662,,115,,10.6
25,0.06825,,116,,10.6533
26,0.0696,,116,,10.7067
27,0.0712,,117,,10.76
28,0.0735,,117,,10.7325
29,0.07594,,118,,10.705
30,0.07881,,118,,10.6775
31,0.08169,,119,,10.65
32,0.08422,,119,,10.6225
33,0.0864,,119,,10.595
34,0.08809,,120,,10.5675
35,0.09252,,120,,10.54
36,0.09252,,120,,10.5114
37,0.09672,,121,,10.4829
38,0.10184,,121,,10.4543
39,0.10451,,121,,10.4257
40,0.10881,,122,,10.3971
41,0.11196,,123,,10.3686
42,0.11487,,123,,10.34
43,0.11747,,123,,10.3282
44,0.11918,,123,,10.3164
45,0.12048,,124,,10.3045
46,0.12256,,124,,10.2927
47,0.12491,,124,,10.2809
48,0.12825,,125,,10.2691
49,0.12825,,125,,10.2573
50,0.13031,,125,,10.2455
51,0.13257,,125,,10.2336
52,0.13461,,125,,10.2218
53,0.13712,,125,,10.21
54,0.13991,,125,,10.12
55,0.14277,,125,,10.03
56,0.14599,,125,,9.94
57,0.14863,,125,,9.85
58,0.15283,,126,,9.76
59,0.15598,,126,,9.67
60,0.16248,,126,,9.58
61,0.16248,,126,,9.56111
62,0.16539,,127,,9.54222
63,0.16837,,127,,9.52333
64,0.17118,,127,,9.50444
65,0.17394,,128,,9.48556
66,0.17616,,128,,9.46667
67,0.17832,,129,,9.44778
68,0.1807,,129,,9.42889
69,0.1839,,130,,9.41
70,0.18703,,130,,9.425
71,0.18878,,130,,9.44
72,0.19005,,130,,9.455
73,0.191,,129,,9.47
74,0.19241,,129,,9.485
75,0.19393,,128,,9.5
76,0.19617,,127,,9.515
77,0.19922,,126,,9.53
78,0.20283,,125,,9.545
79,0.20641,,125,,9.56
80,0.20947,,125,,9.60612
81,0.21237,,125,,9.65225
82,0.21511,,125,,9.69837
83,0.21847,,126,,9.7445
84,0.22064,,126,,9.79062
85,0.22291,,126,,9.83675
86,0.22514,,127,,9.88287
87,0.22768,,127,,9.929
88,0.23105,,128,,9.90829
89,0.23471,,128,,9.88757
90,0.23828,,128,,9.86686
91,0.24145,,129,,9.84614
92,0.24439,,129,,9.82543
93,0.24745,,130,,9.80471
94,0.25099,,130,,9.784
95,0.25477,,130,,9.75
96,0.2582,,131,,9.716
97,0.26116,,131,,9.682
98,0.26413,,131,,9.648
99,0.26711,,132,,9.614
100,0.27022,,132,,9.58
101,0.27324,,132,,9.546
102,0.27648,,132,,9.49957
103,0.27985,,132,,9.45314
104,0.28313,,132,,9.40671
105,0.28656,,132,,9.36029
106,0.28984,,132,,9.31386
107,0.29322,,133,,9.26743
108,0.29672,,133,,9.221
109,0.30051,,133,,9.17329
110,0.30401,,132,,9.12557
111,0.30721,,132,,9.07786
112,0.31014,,132,,9.03014
113,0.3135,,132,,8.98243
114,0.31667,,132,,8.93471
115,0.3196,,132,,8.887
116,0.32208,,132,,8.84462
117,0.32494,,132,,8.80225
118,0.32813,,132,,8.75987
119,0.33095,,132,,8.7175
120,0.33389,,132,,8.67512
121,0.33994,,132,,8.63275
122,0.33994,,132,,8.59037
123,0.34277,,131,,8.548
124,0.34561,,131,,8.50014
125,0.3486,,131,,8.45229
126,0.35193,,131,,8.40443
127,0.35538,,131,,8.35657
128,0.35857,,132,,8.30871
129,0.36186,,132,,8.26086
130,0.36476,,132,,8.213
131,0.36771,,132,,8.176
132,0.37063,,132,,8.139
133,0.37346,,132,,8.102
134,0.37657,,133,,8.065
135,0.3794,,133,,8.028
136,0.38199,,133,,7.991
137,0.38462,,133,,7.954
138,0.38753,,133,,7.917
139,0.39082,,133,,7.872
140,0.39401,,134,,7.827
141,0.39726,,134,,7.782
142,0.40045,,134,,7.737
143,0.40365,,134,,7.692
144,0.40676,,134,,7.647
145,0.40965,,134,,7.602
146,0.41248,,135,,7.55129
