secs,km,power,hr,cad,alt
0,0,,140,,59.4
1,0,,140,,59
2,0,,140,,58.4
3,0.00162,,139,,58.4
4,0.00328,,139,,57.6
5,0.00494,,139,,56.8
6,0.00662,,139,,56.4
7,0.00837,,138,,56.4
8,0.01016,,139,,55.8
9,0.01197,,139,,56
10,0.01378,,139,,55.6
11,0.01558,,139,,54.8
12,0.01736,,140,,54.8
13,0.018255,,140,,54.8
14,0.01915,,140,,54.8
15,0.02094,,141,,54.2
16,0.02094,,141,,54.2
17,0.02318,,142,,53.2
18,0.02569,,142,,52.8
19,0.0285,,142,,53.2
20,0.03161,,143,,54.2
21,0.03514,,144,,54.6
22,0.03888,,144,,54.6
23,0.04292,,145,,54.4
24,0.04705,,146,,54.2
25,0.05114,,147,,54
26,0.05494,,147,,53.8
27,0.05888,,148,,53.6
28,0.06275,,149,,53.6
29,0.0667,,150,,53.4
30,0.07076,,151,,53.2
31,0.07396,,152,,53
32,0.07888,,153,,53
33,0.0832,,153,,52.8
34,0.08759,,154,,52.8
35,0.0918,,155,,52.8
36,0.09597,,155,,52.6
37,0.10021,,156,,52.6
38,0.10446,,156.5,,52.6
39,0.10871,,157,,52.6
40,0.11289,,158,,52.6
41,0.11696,,159,,52.6
42,0.12101,,159,,52.6
43,0.12496,,160,,52.4
44,0.12884,,160,,52.4
45,0.13295,,160,,52.4
46,0.13703,,161,,52.4
47,0.14123,,161,,52.4
48,0.14488,,161,,52.2
49,0.14846,,162,,52.2
50,0.15244,,162,,52
51,0.15643,,162,,52
52,0.16073,,162,,52
53,0.16529,,162,,52
54,0.16981,,161,,52
55,0.17429,,161,,52
56,0.17863,,162,,52
57,0.18275,,161,,51.8
58,0.18682,,161,,51.6
59,0.19074,,161,,51.4
60,0.19466,,160,,51.4
61,0.19865,,160,,51
62,0.20247,,160,,50.7
63,0.20629,,160,,50.4
64,0.21019,,160,,50.2
65,0.2141,,160,,50
66,0.2183,,160,,49.8
67,0.2226,,161,,49.8
68,0.22675,,161,,49.6
69,0.23059,,161.5,,49.4
70,0.23443,,162,,49.2
71,0.23803,,162,,48.8
72,0.2417,,162,,48.4
73,0.24514,,163,,48.2
74,0.24857,,164,,48
75,0.25164,,164,,47.6
76,0.25385,,164,,47.4
77,0.25528,,164,,47.2
78,0.25655,,164,,46.8
79,0.25749,,164,,46.4
80,0.25877,,164,,46.2
81,0.2598,,164,,46.2
82,0.26068,,163,,46
83,0.26147,,163,,45.8
84,0.26218,,163,,45.8
85,0.26264,,162,,45.8
86,0.26317,,162,,45.8
87,0.26372,,162,,45.6
88,0.26444,,162,,45.6
89,0.26574,,161,,45.6
90,0.26793,,161,,45.6
91,0.27034,,160,,45.6
92,0.27315,,160,,45.6
93,0.27607,,160,,45.6
94,0.27921,,159,,45.8
95,0.28244,,159,,45.8
96,0.2856,,160,,45.8
97,0.28879,,160,,45.8
98,0.29176,,160,,45.8
99,0.29448,,160,,46.2
100,0.29699,,160.5,,46.5
101,0.2995,,161,,46.8
102,0.30197,,162,,47.6
103,0.3044,,162,,48
104,0.30674,,162,,49
105,0.30893,,163,,49.4
106,0.31111,,164,,49.6
107,0.31356,,164,,49.8
108,0.316,,164,,49.8
109,0.31823,,165,,50
110,0.3207,,166,,50.2
111,0.32351,,166,,50.8
112,0.32625,,166,,51.4
113,0.32873,,166,,51.8
114,0.33083,,167,,52.6
115,0.33269,,168,,53
116,0.33461,,168,,53.4
117,0.33659,,168,,54
118,0.33839,,169,,54.4
119,0.33984,,169,,54.6
120,0.34072,,169,,55
121,0.34121,,169,,55.4
122,0.34143,,170,,55.8
123,0.34182,,170,,56.2
124,0.34228,,170,,56.4
125,0.34275,,170,,56.6
