secs,km,power,hr,cad,alt
0,0,,104,0,17.6
1,2e-5,,104,69,17.8
2,0.00177,,105,93,17.8
3,0.00458,,106,93,18.2
4,0.00849,,106,95,18.4
5,0.01263,,106,97,18.2
6,0.01701,,106,98,18.2
7,0.02158,,106,99,18.2
8,0.02641,,0,98,18.4
9,0.0312,,106,97,18.4
10,0.03575,,109,96,18.6
11,0.04035,,116,97,18.6
12,0.04506,,123,98,18.4
13,0.04949,,127,97,18.4
14,0.05409,,131,97,18.4
15,0.05862,,135,97,18.4
16,0.06307,,137,97,18.4
17,0.06746,,140,97,18.4
18,0.07182,,141,97,18.6
19,0.07622,,143,96,18.6
20,0.08051,,145,96,18.8
21,0.08458,,146,96,18.4
22,0.08871,,147,96,18.4
23,0.09279,,148,95,18.2
24,0.09684,,149,94,18.4
25,0.10092,,150,94,18.6
26,0.10491,,151,95,18.4
27,0.10902,,152,95,18.6
28,0.11322,,153,94,18.8
29,0.11757,,153,94,19
30,0.12146,,153,93,18.8
31,0.12529,,154,93,18.8
32,0.12919,,154,93,18.8
33,0.13327,,154,93,18.8
34,0.13748,,155,93,19
35,0.1416,,155,93,19.2
36,0.14568,,155,93,19
37,0.14985,,156,92,19
38,0.15421,,156,93,19
39,0.15847,,156,93,18.8
40,0.16273,,156,92,19
41,0.16682,,157,92,19
42,0.17086,,157,93,19.2
43,0.17493,,157,93,19.4
44,0.17925,,157,93,19.4
45,0.18345,,157,93,19.2
46,0.18789,,157,93,19.2
47,0.19224,,157,93,19.4
48,0.19666,,157,93,19.2
49,0.2011,,157,93,19
50,0.20522,,158,93,19
51,0.20928,,158,92,18.8
52,0.21333,,158,92,18.8
53,0.2174,,158,92,19
54,0.22141,,159,92,19
55,0.22563,,159,92,18.8
56,0.23,,159,92,18.8
57,0.23472,,159,93,18.6
58,0.23922,,160,94,18.4
59,0.24351,,160,94,19
60,0.24782,,160,94,19.4
61,0.25189,,160,93,19.6
62,0.25614,,161,92,20
63,0.2604,,161,92,20
64,0.26487,,161,92,19.6
65,0.26907,,161,92,19.4
66,0.2734,,161,92,19.2
67,0.2777,,161,92,19.2
68,0.28226,,162,92,19.4
69,0.28682,,162,92,19.4
70,0.29108,,162,92,19.2
71,0.29543,,163,91,19.2
72,0.2999,,163,91,19.2
73,0.30451,,163,91,19.2
74,0.30906,,164,91,19
75,0.31396,,164,91,19
76,0.31869,,164,91,18.8
77,0.32338,,164,91,18.8
78,0.32793,,165,91,18.6
79,0.33186,,165,92,18.2
80,0.33562,,165,91,18.2
81,0.33954,,166,90,18
82,0.34358,,166,91,18
83,0.34759,,166,94,18
84,0.35147,,166,90,17.8
85,0.35592,,166,90,18
86,0.36064,,166,90,17.8
87,0.36554,,166,90,17.8
88,0.37029,,167,90,18
89,0.37493,,167,91,17.8
90,0.37961,,167,91,17.8
91,0.38382,,167,91,18
92,0.38844,,167,91,18
93,0.39294,,168,91,18
94,0.39747,,168,91,18.2
95,0.40179,,168,91,18.2
96,0.40601,,168,91,18.2
97,0.41019,,168,92,18.4
98,0.4144,,169,92,18.6
99,0.41824,,169,92,18.4
100,0.42252,,169,92,18.4
101,0.42692,,169,92,18
102,0.4315,,169,92,18
103,0.43596,,169,92,18.2
104,0.4405,,169,92,18
105,0.44499,,169,92,17.8
106,0.44922,,169,92,18
107,0.45384,,169,92,18.2
108,0.45817,,169,92,18.2
109,0.46291,,169,92,18.2
110,0.46731,,169,92,18.2
111,0.47175,,169,92,18.2
112,0.47632,,169,92,18
113,0.48074,,169,92,18.2
114,0.48551,,170,92,18
115,0.49033,,170,92,17.8
116,0.49498,,170,92,17.8
117,0.49986,,170,92,17.8
118,0.50455,,170,92,18
119,0.50905,,170,91,18
120,0.51354,,171,92,18.2
121,0.51785,,171,92,18.2
122,0.52239,,171,92,18.2
123,0.52695,,171,92,18
124,0.53154,,172,92,18
125,0.53586,,172,92,18
126,0.54032,,172,92,18
127,0.54459,,172,91,17.8
128,0.5491,,172,91,18
129,0.55329,,172,91,18.4
130,0.55778,,172,91,18.4
131,0.56212,,173,92,18.2
132,0.56624,,172,92,18
