secs,km,power,hr,cad,alt
0,0,,77,,411.4
1,0,,79,,411.8
2,0,,80,,412.8
3,0,,81,,413.8
4,0.024,,82,,414.8
5,0.024,,83,,418.4
6,0.024,,84,,421.8
7,0.036,,84,,423.6
8,0.036,,85,,424.8
9,0.036,,86,,426.4
10,0.036,,86,,427.6
11,0.046,,86,,428.8
12,0.046,,86,,430
13,0.046,,86,,431
14,0.046,,86,,431.2
15,0.056,,85,,432.2
16,0.056,,85,,433
17,0.056,,85,,436.8
18,0.056,,86,,438.6
19,0.067,,86,,439.6
20,0.067,,87,,439.8
21,0.067,,88,,440.6
22,0.067,,89,,441.2
23,0.078,,90,,441.6
24,0.078,,91,,431.6
25,0.078,,92,,420.4
26,0.078,,93,,419.6
27,0.078,,95,,415.8
28,0.078,,97,,411.2
29,0.089,,99,,408
30,0.089,,102,,406.4
31,0.089,,104,,403.6
32,0.089,,107,,401.2
33,0.1,,110,,399.6
34,0.1,,113,,398.4
35,0.1,,116,,397.2
36,0.1,,118,,396.2
37,0.11,,120,,395.2
38,0.11,,121,,393
39,0.11,,121,,390.8
40,0.12,,120,,388.8
41,0.12,,120,,387
42,0.12,,120,,385.8
43,0.132,,120,,384.8
44,0.132,,120,,383.8
45,0.132,,120,,382.8
46,0.142,,119,,382
47,0.142,,119,,381
48,0.142,,119,,375.6
49,0.161,,118,,367.8
50,0.161,,117,,362.6
51,0.176,,116,,359.2
52,0.176,,115,,356.8
53,0.186,,114,,355.6
54,0.186,,114,,353.6
55,0.186,,114,,351.6
56,0.201,,114,,350.2
57,0.201,,115,,348.8
58,0.212,,116,,347.6
59,0.212,,116,,346.4
60,0.228,,117,,341.4
61,0.228,,118,,339
62,0.241,,119,,337.6
63,0.241,,119,,336.6
64,0.249,,119,,335.8
65,0.252,,118,,335.2
66,0.255,,117,,334.6
67,0.258,,117,,333.8
68,0.261,,117,,333.6
69,0.264,,117,,333.4
70,0.266,,117,,333
71,0.27,,117,,332.4
72,0.273,,117,,332
73,0.276,,118,,331.8
74,0.279,,119,,331.6
75,0.282,,120,,331.4
76,0.285,,122,,331.2
77,0.288,,124,,331
78,0.291,,126,,330.8
79,0.294,,128,,330.8
80,0.297,,130,,330.4
81,0.3,,131,,330.2
82,0.303,,132,,330
83,0.306,,133,,330
84,0.309,,134,,329.8
85,0.311,,134,,329.8
86,0.314,,133,,329.8
87,0.317,,131,,329.8
88,0.319,,130,,329.8
89,0.322,,128,,329.8
90,0.324,,127,,329.8
91,0.327,,126,,329.8
92,0.329,,126,,329.8
93,0.331,,125,,329.8
94,0.333,,125,,329.8
95,0.336,,124,,329.8
96,0.338,,123,,329.8
97,0.341,,123,,329.8
98,0.341,,122,,329.8
99,0.341,,120,,329.8
100,0.341,,119,,329.8
101,0.352,,118,,329.8
102,0.352,,117,,329.8
103,0.352,,116,,329.8
104,0.352,,115,,329.8
105,0.364,,114,,329.8
106,0.364,,114,,329.8
107,0.364,,114,,329.8
108,0.364,,114,,329.8
109,0.375,,114,,329.8
110,0.375,,115,,329.8
111,0.375,,115,,329.6
112,0.375,,114,,329.6
113,0.386,,113,,329.6
114,0.386,,112,,329.6
115,0.386,,110,,329.6
116,0.386,,109,,329.6
117,0.397,,108,,329.2
118,0.397,,107,,329.2
119,0.397,,106,,328.8
120,0.407,,106,,328.4
121,0.411,,105,,328.2
122,0.414,,105,,327.8
123,0.417,,105,,327.4
124,0.42,,105,,327
125,0.424,,105,,326.8
126,0.426,,105,,326.4
127,0.428,,106,,326.4
128,0.431,,106,,326.4
129,0.433,,107,,326.2
130,0.433,,107,,326.2
131,0.433,,108,,326.2
132,0.433,,108,,326
133,0.433,,108,,325.8
134,0.446,,108,,325.8
135,0.446,,108,,325.6
136,0.446,,108,,325.4
137,0.446,,107,,325.2
138,0.459,,106,,325
139,0.459,,105,,324.8
140,0.459,,104,,324.2
141,0.469,,104,,323.6
142,0.472,,103,,323.6
143,0.475,,103,,323.2
144,0.478,,104,,323.2
145,0.482,,105,,323.2
146,0.485,,106,,322.8
147,0.488,,107,,322.6
148,0.492,,108,,322.2
149,0.495,,108,,321.8
150,0.499,,108,,321.8
151,0.499,,107,,321.6
152,0.506,,106,,321.2
153,0.51,,105,,321
154,0.513,,104,,320.8
155,0.516,,104,,320.6
156,0.52,,104,,320.4
157,0.523,,104,,320.2
158,0.526,,104,,320.2
159,0.529,,104,,320.2
160,0.532,,105,,320.2
161,0.535,,106,,319.8
162,0.538,,106,,319.8
163,0.541,,107,,319.8
164,0.541,,108,,319.8
165,0.545,,108,,319.8
166,0.548,,108,,319.8
167,0.55,,109,,319.8
168,0.553,,109,,319.8
169,0.556,,109,,319.8
170,0.559,,109,,319.6
171,0.562,,110,,319.6
172,0.565,,111,,319.2
173,0.567,,111,,319.2
174,0.57,,112,,319
175,0.573,,113,,319
176,0.576,,114,,319
177,0.578,,116,,319
178,0.581,,117,,319.2
179,0.584,,118,,319.2
180,0.587,,119,,319.6
181,0.589,,120,,319.8
182,0.592,,122,,319.6
183,0.595,,123,,319.4
184,0.597,,124,,319.2
185,0.599,,125,,319.2
186,0.602,,126,,319.2
187,0.604,,127,,319
188,0.607,,128,,319
189,0.609,,129,,319.2
190,0.612,,129,,319
191,0.614,,130,,318.8
192,0.614,,130,,318.8
193,0.617,,129,,318.8
194,0.617,,129,,318.4
195,0.62,,128,,318.4
196,0.62,,128,,318.8
197,0.624,,127,,318.8
198,0.627,,127,,319.2
199,0.63,,127,,319.2
200,0.633,,127,,319.4
201,0.635,,128,,319.6
202,0.638,,128,,319.6
203,0.64,,129,,319.8
204,0.643,,130,,319.8
205,0.646,,131,,319.8
206,0.648,,132,,319.8
207,0.651,,133,,320
208,0.654,,134,,320
209,0.657,,135,,319.8
210,0.66,,136,,319.6
211,0.662,,137,,319.2
212,0.664,,139,,319.2
213,0.667,,140,,319.2
214,0.67,,142,,319.2
215,0.672,,144,,319.2
216,0.675,,145,,319
217,0.677,,147,,318.8
218,0.68,,149,,318.8
219,0.682,,151,,318.8
220,0.685,,152,,318.6
221,0.688,,153,,318.4
222,0.691,,153,,318.2
223,0.694,,153,,318.2
224,0.696,,153,,318
225,0.699,,152,,317.8
226,0.701,,152,,317.8
227,0.704,,151,,317.6
228,0.707,,150,,317.4
229,0.709,,150,,317.2
230,0.711,,150,,317.2
231,0.714,,150,,317
232,0.717,,150,,316.8
233,0.719,,150,,316.4
234,0.722,,150,,316.4
235,0.725,,149,,316.2
236,0.728,,149,,315.8
237,0.73,,148,,315.8
238,0.733,,148,,315.8
239,0.736,,147,,315.8
240,0.739,,146,,315.6
241,0.741,,145,,315.2
242,0.744,,144,,315.2
243,0.747,,144,,315.2
244,0.75,,143,,315
245,0.753,,143,,314.8
246,0.755,,143,,314.8
247,0.755,,144,,314.8
248,0.755,,144,,314.8
249,0.755,,145,,314.8
250,0.755,,146,,314.8
251,0.755,,147,,314.8
252,0.755,,148,,314.8
253,0.755,,148,,314.8
254,0.755,,147,,314.8
255,0.755,,146,,314.8
256,0.755,,145,,314.8
257,0.755,,144,,314.8
258,0.755,,142,,314.8
259,0.755,,141,,314.8
260,0.755,,140,,314.8
261,0.755,,139,,314.8
262,0.755,,139,,314.8
263,0.755,,139,,314.8
264,0.755,,139,,314.8
265,0.755,,139,,314.8
266,0.755,,139,,314.2
267,0.757,,138,,314
268,0.759,,137,,313.8
269,0.761,,136,,313.8
270,0.764,,134,,313.6
271,0.766,,133,,313.6
272,0.769,,131,,313.6
273,0.771,,128,,313.2
274,0.773,,126,,313.2
275,0.775,,126,,313.2
276,0.777,,126,,313
277,0.78,,126,,312.8
278,0.782,,127,,312.8
279,0.784,,128,,312.6
280,0.787,,130,,312.6
281,0.789,,133,,312.4
282,0.792,,136,,312.4
283,0.794,,140,,312.2
284,0.797,,143,,312.2
285,0.799,,147,,312.2
286,0.802,,150,,312
287,0.805,,153,,311.8
288,0.808,,157,,311.6
289,0.811,,160,,311.4
290,0.813,,162,,311.2
291,0.816,,164,,311
292,0.818,,166,,310.6
293,0.821,,167,,310.2
294,0.823,,169,,310
295,0.826,,170,,309.8
296,0.828,,170,,309.6
297,0.83,,171,,309.4
298,0.833,,171,,309.2
299,0.836,,172,,309
300,0.838,,172,,308.8
301,0.84,,173,,308.6
302,0.843,,174,,308.4
303,0.845,,175,,308.2
304,0.848,,176,,308.4
305,0.85,,177,,308.4
306,0.853,,177,,308.4
307,0.853,,178,,308.4
308,0.853,,179,,308.2
309,0.853,,180,,308.2
310,0.853,,180,,308
311,0.867,,180,,307.8
312,0.87,,179,,307.8
313,0.873,,178,,307.6
314,0.876,,177,,307.6
315,0.879,,175,,307.4
316,0.882,,174,,307.2
317,0.885,,172,,307.2
318,0.885,,171,,307.2
319,0.885,,169,,307.2
320,0.885,,168,,307.2
321,0.897,,167,,307.2
322,0.9,,167,,307
323,0.904,,166,,307
324,0.907,,166,,307
325,0.909,,166,,307
326,0.909,,166,,307.2
327,0.914,,166,,307.2
328,0.914,,166,,307.2
329,0.914,,167,,307.2
330,0.914,,167,,307.2
331,0.927,,168,,306.8
332,0.927,,169,,306.8
333,0.927,,169,,306.8
334,0.927,,170,,306.4
335,0.939,,171,,306
336,0.943,,172,,305.8
337,0.946,,172,,305.4
338,0.949,,173,,305.2
339,0.951,,173,,304.8
340,0.954,,173,,304.8
341,0.956,,173,,304.8
342,0.959,,173,,304.8
343,0.962,,172,,304.6
344,0.965,,172,,304.2
345,0.968,,172,,304.2
346,0.97,,172,,303.8
347,0.973,,172,,303.8
348,0.976,,172,,303.6
349,0.979,,171,,303.4
350,0.981,,171,,303.2
351,0.984,,171,,302.8
352,0.986,,171,,302.8
353,0.989,,171,,302.4
354,0.992,,171,,302.2
355,0.995,,172,,302.2
356,0.998,,172,,301.8
357,0.998,,172,,301.8
358,1.003,,172,,301.8
359,1.006,,173,,301.6
360,1.009,,173,,301.4
361,1.012,,174,,301.2
362,1.015,,174,,301.2
363,1.018,,174,,301.2
364,1.021,,175,,301.2
365,1.023,,175,,301
366,1.026,,175,,300.8
367,1.029,,175,,300.8
368,1.032,,175,,300.8
369,1.035,,176,,300.8
370,1.038,,176,,300.6
371,1.04,,176,,300.4
372,1.043,,177,,300.4
373,1.046,,177,,300.4
374,1.049,,178,,300.4
375,1.052,,179,,300.4
376,1.055,,179,,300.4
377,1.057,,180,,300.4
378,1.06,,180,,300.4
379,1.063,,181,,300.4
380,1.066,,181,,300.2
381,1.069,,181,,300.2
382,1.072,,181,,300.2
383,1.075,,181,,300
384,1.077,,181,,300
385,1.08,,182,,299.8
386,1.083,,181,,299.8
387,1.086,,181,,299.8
388,1.089,,181,,299.6
389,1.092,,181,,299.6
390,1.094,,180,,299.4
391,1.097,,180,,299.2
392,1.1,,179,,299.2
393,1.103,,179,,299.2
394,1.106,,178,,299
395,1.109,,178,,298.8
396,1.112,,178,,298.8
397,1.115,,178,,298.8
398,1.118,,179,,298.8
399,1.121,,179,,298.8
400,1.124,,180,,298.8
401,1.126,,180,,298.8
402,1.129,,181,,298.8
403,1.132,,181,,298.8
404,1.135,,181,,298.6
405,1.138,,182,,298.4
406,1.141,,182,,298.4
407,1.144,,182,,298.4
408,1.147,,182,,298.4
409,1.15,,182,,298.4
410,1.153,,182,,298.4
411,1.156,,182,,298.4
412,1.159,,182,,298.4
413,1.162,,182,,298.4
414,1.165,,182,,298.4
415,1.167,,182,,298.4
416,1.17,,183,,298.6
417,1.173,,183,,298.6
418,1.176,,183,,298.6
419,1.179,,183,,298.6
420,1.182,,182,,298.4
421,1.185,,182,,298.4
422,1.187,,182,,298.4
423,1.19,,182,,298.4
424,1.193,,182,,298.4
425,1.196,,182,,298.4
426,1.196,,182,,298.2
427,1.202,,182,,298.2
428,1.205,,182,,298.2
429,1.208,,183,,298.4
430,1.21,,183,,298.4
431,1.213,,183,,298.4
432,1.216,,183,,298.6
433,1.219,,183,,298.6
434,1.222,,183,,298.8
435,1.225,,183,,298.8
436,1.228,,183,,298.8
437,1.23,,183,,298.8
438,1.233,,183,,298.8
439,1.236,,183,,298.8
440,1.239,,183,,299.2
441,1.242,,183,,299.2
442,1.245,,183,,299.2
443,1.248,,183,,299.2
444,1.251,,183,,299.2
445,1.254,,183,,299.2
446,1.257,,183,,299.4
447,1.259,,184,,299.6
448,1.262,,184,,299.6
449,1.265,,184,,299.6
450,1.268,,184,,299.2
451,1.27,,183,,299.2
452,1.273,,183,,299.2
453,1.276,,182,,299.2
454,1.278,,182,,299.2
455,1.28,,181,,299.2
456,1.283,,181,,299.2
457,1.285,,181,,299
458,1.288,,181,,298.8
459,1.291,,181,,298.8
460,1.294,,181,,299
461,1.297,,181,,299
462,1.3,,181,,299
463,1.303,,181,,299.2
464,1.305,,180,,299.2
465,1.309,,180,,299.2
466,1.312,,179,,299.2
467,1.315,,178,,299.4
468,1.318,,176,,299.4
469,1.321,,175,,299.6
470,1.323,,173,,299.6
471,1.326,,171,,299.6
472,1.329,,168,,299.6
473,1.332,,166,,299.6
474,1.335,,164,,299.6
475,1.337,,162,,299.6
476,1.34,,160,,299.6
477,1.343,,157,,299.4
478,1.345,,155,,299.2
479,1.348,,153,,299.2
480,1.351,,152,,299
481,1.354,,152,,298.8
482,1.357,,152,,298.8
483,1.36,,152,,298.6
484,1.362,,153,,298.6
