secs,km,power,hr,cad,alt
0,0,,82,,569.2
1,0.00085,,82,,569.4
2,0.00214,,83,,569.267
3,0.00343,,84,,569.133
4,0.00472,,85,,569
5,0.00592,,88,,569.4
6,0.00706,,91,,569.4
7,0.0101,,96,,569.2
8,0.012425,,98,,569.1
9,0.01475,,100,,569
10,0.01731,,106,,569.4
11,0.02013,,108,,569
12,0.02281,,109.5,,568.8
13,0.02549,,111,,568.6
14,0.02873,,111.5,,568.4
15,0.03197,,112,,568.2
16,0.0356267,,113.333,,568.333
17,0.0392833,,114.667,,568.467
18,0.04294,,116,,568.6
19,0.0464533,,116,,568.633
20,0.0499667,,116,,568.667
21,0.05348,,116,,568.7
22,0.0569933,,116,,568.733
23,0.0605067,,116,,568.767
24,0.06402,,116,,568.8
25,0.06757,,118,,568.8
26,0.07112,,120,,568.8
27,0.074615,,122.5,,568.8
28,0.07811,,125,,568.8
29,0.0812433,,126,,568.8
30,0.0843767,,127,,568.8
31,0.08751,,128,,568.8
32,0.09057,,131,,568.8
33,0.09372,,135,,568.8
34,0.0971583,,134.833,,568.833
35,0.100597,,134.667,,568.867
36,0.104035,,134.5,,568.9
37,0.107473,,134.333,,568.933
38,0.110912,,134.167,,568.967
39,0.11435,,134,,569
40,0.11773,,135.5,,569.1
41,0.12111,,137,,569.2
42,0.124315,,138.5,,569.2
43,0.12752,,140,,569.2
44,0.130587,,139,,569.2
45,0.133655,,138,,569.2
46,0.136722,,137,,569.2
47,0.13979,,136,,569.2
48,0.142958,,136.6,,569.16
49,0.146126,,137.2,,569.12
50,0.149294,,137.8,,569.08
51,0.152462,,138.4,,569.04
52,0.15563,,139,,569
53,0.15912,,143,,569.2
54,0.16248,,145,,569.4
55,0.16577,,141,,569.4
56,0.16902,,138,,569.2
57,0.17218,,138,,569.2
58,0.175115,,140,,569.1
59,0.17805,,142,,569
60,0.18109,,147,,569
61,0.18431,,151,,569
62,0.18774,,157,,569
63,0.19108,,160,,569
64,0.19449,,158,,568.9
65,0.1979,,156,,568.8
66,0.201365,,154,,568.8
67,0.20483,,152,,568.8
68,0.208095,,150,,568.8
69,0.21136,,148,,568.8
70,0.214399,,148.143,,568.8
71,0.217437,,148.286,,568.8
72,0.220476,,148.429,,568.8
73,0.223514,,148.571,,568.8
74,0.226553,,148.714,,568.8
75,0.229591,,148.857,,568.8
76,0.23263,,149,,568.8
77,0.235546,,148.714,,568.8
78,0.238461,,148.429,,568.8
79,0.241377,,148.143,,568.8
80,0.244293,,147.857,,568.8
81,0.247209,,147.571,,568.8
82,0.250124,,147.286,,568.8
83,0.25304,,147,,568.8
84,0.255906,,146.857,,568.886
85,0.258771,,146.714,,568.971
86,0.261637,,146.571,,569.057
87,0.264503,,146.429,,569.143
88,0.267369,,146.286,,569.229
89,0.270234,,146.143,,569.314
90,0.2731,,146,,569.4
91,0.275815,,146,,569.5
92,0.27853,,146,,569.6
93,0.281245,,146,,569.7
94,0.28396,,146,,569.8
95,0.286675,,146,,569.9
96,0.28939,,146,,570
97,0.292105,,146,,570.1
98,0.29482,,146,,570.2
99,0.29773,,146,,570.4
100,0.300752,,145.8,,570.64
101,0.303774,,145.6,,570.88
102,0.306796,,145.4,,571.12
103,0.309818,,145.2,,571.36
104,0.31284,,145,,571.6
105,0.316119,,144.857,,571.743
106,0.319397,,144.714,,571.886
107,0.322676,,144.571,,572.029
108,0.325954,,144.429,,572.171
109,0.329233,,144.286,,572.314
110,0.332511,,144.143,,572.457
111,0.33579,,144,,572.6
112,0.339402,,144,,572.7
113,0.343013,,144,,572.8
114,0.346625,,144,,572.9
115,0.350237,,144,,573
116,0.353848,,144,,573.1
117,0.35746,,144,,573.2
118,0.36063,,144,,573.257
119,0.3638,,144,,573.314
120,0.36697,,144,,573.371
121,0.37014,,144,,573.429
122,0.37331,,144,,573.486
123,0.37648,,144,,573.543
124,0.37965,,144,,573.6
125,0.38288,,144,,573.7
126,0.38611,,144,,573.8
127,0.389176,,144.143,,573.943
128,0.392241,,144.286,,574.086
129,0.395307,,144.429,,574.229
130,0.398373,,144.571,,574.371
131,0.401439,,144.714,,574.514
132,0.404504,,144.857,,574.657
133,0.40757,,145,,574.8
134,0.410629,,145.286,,574.914
135,0.413687,,145.571,,575.029
136,0.416746,,145.857,,575.143
137,0.419804,,146.143,,575.257
138,0.422863,,146.429,,575.371
139,0.425921,,146.714,,575.486
140,0.42898,,147,,575.6
141,0.432327,,147,,575.633
142,0.435673,,147,,575.667
143,0.43902,,147,,575.7
144,0.442367,,147,,575.733
145,0.445713,,147,,575.767
146,0.44906,,147,,575.8
147,0.452435,,147.167,,575.833
148,0.45581,,147.333,,575.867
149,0.459185,,147.5,,575.9
