secs,km,power,hr,cad,alt
0,0,,99,,786.8
1,0.00335,,100,,786.6
2,0.00621,,101.5,,786.7
3,0.00907,,103,,786.8
4,0.011425,,104.5,,786.8
5,0.01378,,106,,786.8
6,0.0163733,,107.333,,786.8
7,0.0189667,,108.667,,786.8
8,0.02156,,110,,786.8
9,0.02392,,111.5,,787
10,0.02628,,113,,787.2
11,0.02861,,114.5,,787
12,0.03094,,116,,786.8
13,0.0330333,,117.333,,786.867
14,0.0351267,,118.667,,786.933
15,0.03722,,120,,787
16,0.0398367,,121,,787
17,0.0424533,,122,,787
18,0.04507,,123,,787
19,0.0476275,,123.75,,787
20,0.050185,,124.5,,787
21,0.0527425,,125.25,,787
22,0.0553,,126,,787
23,0.05842,,126.75,,787.05
24,0.06154,,127.5,,787.1
25,0.06466,,128.25,,787.15
26,0.06778,,129,,787.2
27,0.0712417,,129.333,,787.2
28,0.0747033,,129.667,,787.2
29,0.078165,,130,,787.2
30,0.0816267,,130.333,,787.2
31,0.0850883,,130.667,,787.2
32,0.08855,,131,,787.2
33,0.09211,,131.167,,787.233
34,0.09567,,131.333,,787.267
35,0.09923,,131.5,,787.3
36,0.10279,,131.667,,787.333
37,0.10635,,131.833,,787.367
38,0.10991,,132,,787.4
39,0.11328,,132.286,,787.429
40,0.11665,,132.571,,787.457
41,0.12002,,132.857,,787.486
42,0.12339,,133.143,,787.514
43,0.12676,,133.429,,787.543
44,0.13013,,133.714,,787.571
45,0.1335,,134,,787.6
46,0.137012,,134.167,,787.567
47,0.140523,,134.333,,787.533
48,0.144035,,134.5,,787.5
49,0.147547,,134.667,,787.467
50,0.151058,,134.833,,787.433
51,0.15457,,135,,787.4
52,0.15813,,134.833,,787.333
53,0.16169,,134.667,,787.267
54,0.16525,,134.5,,787.2
55,0.16881,,134.333,,787.133
56,0.17237,,134.167,,787.067
57,0.17593,,134,,787
58,0.179325,,134.167,,786.967
59,0.18272,,134.333,,786.933
60,0.186115,,134.5,,786.9
61,0.18951,,134.667,,786.867
62,0.192905,,134.833,,786.833
63,0.1963,,135,,786.8
64,0.199336,,135.286,,786.8
65,0.202371,,135.571,,786.8
66,0.205407,,135.857,,786.8
67,0.208443,,136.143,,786.8
68,0.211479,,136.429,,786.8
69,0.214514,,136.714,,786.8
70,0.21755,,137,,786.8
71,0.220787,,137.143,,786.771
72,0.224024,,137.286,,786.743
73,0.227261,,137.429,,786.714
74,0.230499,,137.571,,786.686
75,0.233736,,137.714,,786.657
76,0.236973,,137.857,,786.629
77,0.24021,,138,,786.6
78,0.243503,,138,,786.571
79,0.246796,,138,,786.543
80,0.250089,,138,,786.514
81,0.253381,,138,,786.486
82,0.256674,,138,,786.457
83,0.259967,,138,,786.429
84,0.26326,,138,,786.4
85,0.266637,,137.833,,786.367
86,0.270013,,137.667,,786.333
87,0.27339,,137.5,,786.3
88,0.276767,,137.333,,786.267
89,0.280143,,137.167,,786.233
90,0.28352,,137,,786.2
91,0.286768,,137,,786.167
92,0.290017,,137,,786.133
93,0.293265,,137,,786.1
94,0.296513,,137,,786.067
95,0.299762,,137,,786.033
96,0.30301,,137,,786
97,0.305901,,137.143,,785.943
98,0.308793,,137.286,,785.886
99,0.311684,,137.429,,785.829
100,0.314576,,137.571,,785.771
101,0.317467,,137.714,,785.714
102,0.320359,,137.857,,785.657
103,0.32325,,138,,785.6
104,0.325501,,137.889,,785.533
105,0.327752,,137.778,,785.467
106,0.330003,,137.667,,785.4
107,0.332254,,137.556,,785.333
108,0.334506,,137.444,,785.267
109,0.336757,,137.333,,785.2
110,0.339008,,137.222,,785.133
111,0.341259,,137.111,,785.067
112,0.34351,,137,,785
113,0.346262,,137,,784.95
114,0.349015,,137,,784.9
115,0.351768,,137,,784.85
116,0.35452,,137,,784.8
117,0.357593,,137,,784.771
118,0.360666,,137,,784.743
119,0.363739,,137,,784.714
120,0.366811,,137,,784.686
121,0.369884,,137,,784.657
122,0.372957,,137,,784.629
123,0.37603,,137,,784.6
124,0.379299,,137,,784.571
125,0.382567,,137,,784.543
126,0.385836,,137,,784.514
127,0.389104,,137,,784.486
128,0.392373,,137,,784.457
129,0.395641,,137,,784.429
130,0.39891,,137,,784.4
131,0.403695,,137.5,,784.4
132,0.40848,,138,,784.4
133,0.413325,,138,,784.4
134,0.41817,,138,,784.4
135,0.422376,,138,,784.32
136,0.426582,,138,,784.24
137,0.430788,,138,,784.16
138,0.434994,,138,,784.08
139,0.4392,,138,,784
140,0.44274,,138,,783.8
141,0.44628,,138,,783.6
142,0.45014,,138.167,,783.567
143,0.454,,138.333,,783.533
144,0.45786,,138.5,,783.5
145,0.46172,,138.667,,783.467
146,0.46558,,138.833,,783.433
147,0.46944,,139,,783.4
148,0.473185,,138.833,,783.333
149,0.47693,,138.667,,783.267
150,0.480675,,138.5,,783.2
151,0.48442,,138.333,,783.133
152,0.488165,,138.167,,783.067
153,0.49191,,138,,783
154,0.495658,,138.167,,783.033
155,0.499407,,138.333,,783.067
156,0.503155,,138.5,,783.1
157,0.506903,,138.667,,783.133
158,0.510652,,138.833,,783.167
159,0.5144,,139,,783.2
160,0.518135,,139,,782.9
161,0.52187,,139,,782.6
162,0.525477,,138.833,,782.533
163,0.529083,,138.667,,782.467
164,0.53269,,138.5,,782.4
165,0.536297,,138.333,,782.333
166,0.539903,,138.167,,782.267
167,0.54351,,138,,782.2
168,0.547012,,138,,782.133
169,0.550513,,138,,782.067
170,0.554015,,138,,782
171,0.557517,,138,,781.933
172,0.561018,,138,,781.867
173,0.56452,,138,,781.8
174,0.56807,,138,,781.6
175,0.571428,,137.833,,781.6
176,0.574787,,137.667,,781.6
177,0.578145,,137.5,,781.6
178,0.581503,,137.333,,781.6
179,0.584862,,137.167,,781.6
180,0.58822,,137,,781.6
181,0.591778,,137.167,,781.5
182,0.595337,,137.333,,781.4
183,0.598895,,137.5,,781.3
184,0.602453,,137.667,,781.2
185,0.606012,,137.833,,781.1
186,0.60957,,138,,781
187,0.61331,,138,,780.9
188,0.61705,,138,,780.8
189,0.62079,,138,,780.7
190,0.62453,,138,,780.6
191,0.628313,,137.667,,780.567
192,0.632097,,137.333,,780.533
193,0.63588,,137,,780.5
194,0.639663,,136.667,,780.467
195,0.643447,,136.333,,780.433
196,0.64723,,136,,780.4
197,0.650843,,135.5,,780.367
198,0.654457,,135,,780.333
199,0.65807,,134.5,,780.3
200,0.661683,,134,,780.267
201,0.665297,,133.5,,780.233
202,0.66891,,133,,780.2
203,0.672375,,133.333,,780.167
204,0.67584,,133.667,,780.133
205,0.679305,,134,,780.1
206,0.68277,,134.333,,780.067
207,0.686235,,134.667,,780.033
208,0.6897,,135,,780
209,0.693077,,135.167,,779.967
210,0.696453,,135.333,,779.933
211,0.69983,,135.5,,779.9
212,0.703207,,135.667,,779.867
213,0.706583,,135.833,,779.833
214,0.70996,,136,,779.8
215,0.7132,,136,,779.76
216,0.71644,,136,,779.72
217,0.71968,,136,,779.68
218,0.72292,,136,,779.64
219,0.72616,,136,,779.6
220,0.729091,,136,,779.6
221,0.732023,,136,,779.6
222,0.734954,,136,,779.6
223,0.737886,,136,,779.6
224,0.740817,,136,,779.6
225,0.743749,,136,,779.6
226,0.74668,,136,,779.6
227,0.750242,,136,,779.567
228,0.753803,,136,,779.533
229,0.757365,,136,,779.5
230,0.760927,,136,,779.467
231,0.764488,,136,,779.433
232,0.76805,,136,,779.4
233,0.771715,,136.167,,779.4
234,0.77538,,136.333,,779.4
235,0.779045,,136.5,,779.4
236,0.78271,,136.667,,779.4
237,0.786375,,136.833,,779.4
238,0.79004,,137,,779.4
239,0.793807,,137.167,,779.4
240,0.797573,,137.333,,779.4
241,0.80134,,137.5,,779.4
242,0.805107,,137.667,,779.4
243,0.808873,,137.833,,779.4
244,0.81264,,138,,779.4
245,0.815761,,138,,779.371
246,0.818883,,138,,779.343
247,0.822004,,138,,779.314
248,0.825126,,138,,779.286
249,0.828247,,138,,779.257
250,0.831369,,138,,779.229
251,0.83449,,138,,779.2
252,0.837117,,138,,779.15
253,0.839745,,138,,779.1
254,0.842372,,138,,779.05
255,0.845,,138,,779
256,0.847627,,138,,778.95
257,0.850255,,138,,778.9
