secs,km,power,hr,cad,alt
0,0,,107,,115.8
1,0.00215,,107,,116
2,0.0053,,109,,115.9
3,0.00845,,111,,115.8
4,0.012765,,112,,116
5,0.01708,,113,,116.2
6,0.0211433,,114.333,,116.4
7,0.0252067,,115.667,,116.6
8,0.02927,,117,,116.8
9,0.03268,,119,,116.8
10,0.035995,,120.5,,116.8
11,0.03931,,122,,116.8
12,0.04321,,123,,116.8
13,0.04711,,124,,116.8
14,0.05101,,125,,116.8
15,0.0550625,,125.75,,116.9
16,0.059115,,126.5,,117
17,0.0631675,,127.25,,117.1
18,0.06722,,128,,117.2
19,0.07146,,129,,117.2
20,0.07489,,129.75,,117.5
21,0.07832,,130.5,,117.8
22,0.08175,,131.25,,118.1
23,0.08518,,132,,118.4
24,0.08881,,133,,118.6
25,0.09244,,134,,118.8
26,0.09607,,135,,119
27,0.09757,,136,,118.8
28,0.0990967,,136.667,,118.533
29,0.100623,,137.333,,118.267
30,0.10215,,138,,118
31,0.10479,,138.333,,117.8
32,0.10743,,138.667,,117.6
33,0.11007,,139,,117.4
34,0.112495,,139.5,,117.4
35,0.11492,,140,,117.4
36,0.11824,,140.5,,117.2
37,0.12156,,141,,117
38,0.12488,,141.5,,116.8
39,0.1282,,142,,116.6
40,0.131695,,142.5,,116.5
41,0.13519,,143,,116.4
42,0.138685,,143.5,,116.3
43,0.14218,,144,,116.2
44,0.14534,,144.25,,116.2
45,0.1485,,144.5,,116.2
46,0.15166,,144.75,,116.2
47,0.15482,,145,,116.2
48,0.157288,,145.2,,116.12
49,0.159756,,145.4,,116.04
50,0.162224,,145.6,,115.96
51,0.164692,,145.8,,115.88
52,0.16716,,146,,115.8
53,0.169818,,146.4,,115.68
54,0.172476,,146.8,,115.56
55,0.175134,,147.2,,115.44
56,0.177792,,147.6,,115.32
57,0.18045,,148,,115.2
58,0.184136,,148,,115.16
59,0.187822,,148,,115.12
60,0.191508,,148,,115.08
61,0.195194,,148,,115.04
62,0.19888,,148,,115
63,0.202605,,148.5,,115
64,0.20633,,149,,115
65,0.21004,,149,,115.1
66,0.21375,,149,,115.2
67,0.216915,,149.167,,115.067
68,0.22008,,149.333,,114.933
69,0.223245,,149.5,,114.8
70,0.22641,,149.667,,114.667
71,0.229575,,149.833,,114.533
72,0.23274,,150,,114.4
73,0.236084,,150,,114.48
74,0.239428,,150,,114.56
75,0.242772,,150,,114.64
76,0.246116,,150,,114.72
77,0.24946,,150,,114.8
78,0.252006,,150,,114.88
79,0.254552,,150,,114.96
80,0.257098,,150,,115.04
81,0.259644,,150,,115.12
82,0.26219,,150,,115.2
83,0.26489,,150,,115
84,0.26702,,150,,114.8
85,0.26915,,150,,114.6
86,0.272056,,150,,114.56
87,0.274962,,150,,114.52
88,0.277868,,150,,114.48
89,0.280774,,150,,114.44
90,0.28368,,150,,114.4
