secs,km,power,hr,cad,alt
0,0,,95,,355.6
1,0.00134,,97.3333,,355
2,0.00268,,99.6667,,354.4
3,0.00402,,102,,353.8
4,0.00599,,109,,353.6
5,0.00801,,109,,353.4
6,0.010275,,112,,353
7,0.01254,,115,,352.6
8,0.01497,,120,,351.6
9,0.01754,,120,,351.8
10,0.0197967,,121.333,,351.2
11,0.0220533,,122.667,,350.6
12,0.02431,,124,,350
13,0.026473,,124,,349.98
14,0.028636,,124,,349.96
15,0.030799,,124,,349.94
16,0.032962,,124,,349.92
17,0.035125,,124,,349.9
18,0.037288,,124,,349.88
19,0.039451,,124,,349.86
20,0.041614,,124,,349.84
21,0.043777,,124,,349.82
22,0.04594,,124,,349.8
23,0.04808,,128,,350
24,0.050482,,129.2,,350.08
25,0.052884,,130.4,,350.16
26,0.055286,,131.6,,350.24
27,0.057688,,132.8,,350.32
28,0.06009,,134,,350.4
29,0.06221,,134,,350.4
30,0.06397,,137,,350.6
31,0.0664011,,137,,351.622
32,0.0688322,,137,,352.644
33,0.0712633,,137,,353.667
34,0.0736944,,137,,354.689
35,0.0761256,,137,,355.711
36,0.0785567,,137,,356.733
37,0.0809878,,137,,357.756
38,0.0834189,,137,,358.778
39,0.08585,,137,,359.8
40,0.0879425,,138,,360.3
41,0.090035,,139,,360.8
42,0.0921275,,140,,361.3
43,0.09422,,141,,361.8
44,0.0964533,,142.333,,362.267
45,0.0986867,,143.667,,362.733
46,0.10092,,145,,363.2
47,0.10339,,145.429,,363.714
48,0.10586,,145.857,,364.229
49,0.10833,,146.286,,364.743
50,0.1108,,146.714,,365.257
51,0.11327,,147.143,,365.771
52,0.11574,,147.571,,366.286
53,0.11821,,148,,366.8
54,0.120755,,148.125,,367.1
55,0.1233,,148.25,,367.4
56,0.125845,,148.375,,367.7
57,0.12839,,148.5,,368
58,0.130935,,148.625,,368.3
59,0.13348,,148.75,,368.6
60,0.136025,,148.875,,368.9
61,0.13857,,149,,369.2
62,0.141047,,148.333,,369.233
63,0.143523,,147.667,,369.267
64,0.146,,147,,369.3
65,0.148477,,146.333,,369.333
66,0.150953,,145.667,,369.367
67,0.15343,,145,,369.4
68,0.155923,,145.429,,369.486
69,0.158416,,145.857,,369.571
70,0.160909,,146.286,,369.657
71,0.163401,,146.714,,369.743
72,0.165894,,147.143,,369.829
73,0.168387,,147.571,,369.914
74,0.17088,,148,,370
75,0.173237,,147,,370.267
76,0.175593,,146,,370.533
77,0.17795,,145,,370.8
78,0.180227,,143.75,,371
79,0.182505,,142.5,,371.2
80,0.184782,,141.25,,371.4
81,0.18706,,140,,371.6
82,0.189372,,139.444,,371.8
83,0.191684,,138.889,,372
84,0.193997,,138.333,,372.2
85,0.196309,,137.778,,372.4
86,0.198621,,137.222,,372.6
87,0.200933,,136.667,,372.8
88,0.203246,,136.111,,373
89,0.205558,,135.556,,373.2
90,0.20787,,135,,373.4
91,0.21019,,136.333,,373.667
92,0.21251,,137.667,,373.933
93,0.21483,,139,,374.2
94,0.21699,,139.556,,374.356
95,0.21915,,140.111,,374.511
96,0.22131,,140.667,,374.667
97,0.22347,,141.222,,374.822
98,0.22563,,141.778,,374.978
99,0.22779,,142.333,,375.133
100,0.22995,,142.889,,375.289
101,0.23211,,143.444,,375.444
102,0.23427,,144,,375.6
103,0.236492,,143.167,,375.667
104,0.238713,,142.333,,375.733
105,0.240935,,141.5,,375.8
106,0.243157,,140.667,,375.867
107,0.245378,,139.833,,375.933
108,0.2476,,139,,376
109,0.24994,,134,,376
110,0.25244,,135.25,,376.15
111,0.25494,,136.5,,376.3
112,0.25744,,137.75,,376.45
113,0.25994,,139,,376.6
114,0.26242,,137.5,,376.6
115,0.2649,,136,,376.6
116,0.267213,,137,,376.733
117,0.269527,,138,,376.867
118,0.27184,,139,,377
119,0.27396,,139,,377
120,0.276305,,140.5,,377
121,0.27865,,142,,377
122,0.281042,,141.889,,377.089
123,0.283434,,141.778,,377.178
124,0.285827,,141.667,,377.267
125,0.288219,,141.556,,377.356
126,0.290611,,141.444,,377.444
127,0.293003,,141.333,,377.533
128,0.295396,,141.222,,377.622
129,0.297788,,141.111,,377.711
130,0.30018,,141,,377.8
131,0.302683,,141.125,,377.85
132,0.305185,,141.25,,377.9
133,0.307688,,141.375,,377.95
134,0.31019,,141.5,,378
135,0.312692,,141.625,,378.05
136,0.315195,,141.75,,378.1
137,0.317697,,141.875,,378.15
138,0.3202,,142,,378.2
139,0.32278,,139,,378.2
140,0.32535,,137.5,,378.2
141,0.32792,,136,,378.2
142,0.330276,,136.429,,378.229
143,0.332631,,136.857,,378.257
144,0.334987,,137.286,,378.286
145,0.337343,,137.714,,378.314
146,0.339699,,138.143,,378.343
147,0.342054,,138.571,,378.371
148,0.34441,,139,,378.4
149,0.346855,,137.5,,378.4
150,0.3493,,136,,378.4
151,0.3519,,136,,378.275
152,0.3545,,136,,378.15
153,0.3571,,136,,378.025
154,0.3597,,136,,377.9
155,0.3623,,136,,377.775
156,0.3649,,136,,377.65
157,0.3675,,136,,377.525
158,0.3701,,136,,377.4
159,0.372741,,135.75,,377.375
160,0.375382,,135.5,,377.35
161,0.378024,,135.25,,377.325
162,0.380665,,135,,377.3
163,0.383306,,134.75,,377.275
164,0.385947,,134.5,,377.25
165,0.388589,,134.25,,377.225
166,0.39123,,134,,377.2
167,0.39377,,132,,377.2
168,0.39631,,130,,377.2
169,0.39886,,129,,377.2
170,0.40141,,128,,377.2
171,0.40396,,127,,377.2
172,0.40637,,126.667,,377.2
173,0.40878,,126.333,,377.2
174,0.41119,,126,,377.2
175,0.4136,,125.667,,377.2
176,0.41601,,125.333,,377.2
177,0.41842,,125,,377.2
178,0.42083,,124.667,,377.2
179,0.42324,,124.333,,377.2
180,0.42565,,124,,377.2
181,0.428342,,124.8,,377.2
182,0.431034,,125.6,,377.2
183,0.433726,,126.4,,377.2
184,0.436418,,127.2,,377.2
185,0.43911,,128,,377.2
186,0.441547,,127.625,,377.15
187,0.443985,,127.25,,377.1
188,0.446422,,126.875,,377.05
189,0.44886,,126.5,,377
190,0.451297,,126.125,,376.95
191,0.453735,,125.75,,376.9
192,0.456172,,125.375,,376.85
193,0.45861,,125,,376.8
194,0.461154,,124.75,,376.8
195,0.463697,,124.5,,376.8
196,0.466241,,124.25,,376.8
197,0.468785,,124,,376.8
198,0.471329,,123.75,,376.8
199,0.473872,,123.5,,376.8
200,0.476416,,123.25,,376.8
201,0.47896,,123,,376.8
202,0.481377,,123.429,,376.829
203,0.483794,,123.857,,376.857
204,0.486211,,124.286,,376.886
205,0.488629,,124.714,,376.914
206,0.491046,,125.143,,376.943
207,0.493463,,125.571,,376.971
208,0.49588,,126,,377
209,0.49836,,126,,377
210,0.501139,,125.75,,376.95
211,0.503918,,125.5,,376.9
212,0.506696,,125.25,,376.85
213,0.509475,,125,,376.8
214,0.512254,,124.75,,376.75
215,0.515033,,124.5,,376.7
216,0.517811,,124.25,,376.65
217,0.52059,,124,,376.6
218,0.523254,,124,,376.625
219,0.525917,,124,,376.65
220,0.528581,,124,,376.675
221,0.531245,,124,,376.7
222,0.533909,,124,,376.725
223,0.536573,,124,,376.75
224,0.539236,,124,,376.775
225,0.5419,,124,,376.8
226,0.544422,,123.875,,376.8
227,0.546945,,123.75,,376.8
228,0.549467,,123.625,,376.8
229,0.55199,,123.5,,376.8
230,0.554512,,123.375,,376.8
231,0.557035,,123.25,,376.8
232,0.559558,,123.125,,376.8
233,0.56208,,123,,376.8
234,0.564736,,123.125,,376.8
235,0.567393,,123.25,,376.8
236,0.570049,,123.375,,376.8
237,0.572705,,123.5,,376.8
238,0.575361,,123.625,,376.8
239,0.578017,,123.75,,376.8
240,0.580674,,123.875,,376.8
241,0.58333,,124,,376.8
242,0.585859,,124.125,,376.85
243,0.588387,,124.25,,376.9
244,0.590916,,124.375,,376.95
245,0.593445,,124.5,,377
246,0.595974,,124.625,,377.05
247,0.598503,,124.75,,377.1
248,0.601031,,124.875,,377.15
249,0.60356,,125,,377.2
250,0.606267,,125,,377.2
251,0.608975,,125,,377.2
252,0.611683,,125,,377.2
253,0.61439,,125,,377.2
254,0.617097,,125,,377.2
255,0.619805,,125,,377.2
256,0.622513,,125,,377.2
257,0.62522,,125,,377.2
258,0.627991,,125.375,,377.175
259,0.630763,,125.75,,377.15
260,0.633534,,126.125,,377.125
261,0.636305,,126.5,,377.1
262,0.639076,,126.875,,377.075
263,0.641848,,127.25,,377.05
264,0.644619,,127.625,,377.025
265,0.64739,,128,,377
266,0.649923,,128.111,,377.022
267,0.652457,,128.222,,377.044
268,0.65499,,128.333,,377.067
269,0.657523,,128.444,,377.089
270,0.660057,,128.556,,377.111
271,0.66259,,128.667,,377.133
272,0.665123,,128.778,,377.156
273,0.667657,,128.889,,377.178
274,0.67019,,129,,377.2
275,0.672973,,130,,377.267
276,0.675757,,131,,377.333
277,0.67854,,132,,377.4
278,0.681279,,132.125,,377.475
279,0.684018,,132.25,,377.55
280,0.686756,,132.375,,377.625
281,0.689495,,132.5,,377.7
282,0.692234,,132.625,,377.775
283,0.694972,,132.75,,377.85
284,0.697711,,132.875,,377.925
285,0.70045,,133,,378
286,0.703087,,133.125,,378.05
287,0.705725,,133.25,,378.1
288,0.708363,,133.375,,378.15
289,0.711,,133.5,,378.2
290,0.713638,,133.625,,378.25
291,0.716275,,133.75,,378.3
292,0.718913,,133.875,,378.35
293,0.72155,,134,,378.4
294,0.724378,,134,,378.25
295,0.727205,,134,,378.1
296,0.730032,,134,,377.95
297,0.73286,,134,,377.8
298,0.735688,,134,,377.65
299,0.738515,,134,,377.5
300,0.741343,,134,,377.35
301,0.74417,,134,,377.2
302,0.74642,,133,,376.667
303,0.74867,,132,,376.133
304,0.75092,,131,,375.6
305,0.75347,,131.125,,375.45
306,0.75602,,131.25,,375.3
307,0.75857,,131.375,,375.15
308,0.76112,,131.5,,375
309,0.76367,,131.625,,374.85
310,0.76622,,131.75,,374.7
311,0.76877,,131.875,,374.55
312,0.77132,,132,,374.4
313,0.77388,,132.5,,374.5
314,0.77644,,133,,374.6
315,0.779,,133.5,,374.7
316,0.78156,,134,,374.8
317,0.78412,,134.5,,374.9
318,0.78668,,135,,375
319,0.789217,,135.667,,375.133
320,0.791753,,136.333,,375.267
321,0.79429,,137,,375.4
322,0.796827,,137.667,,375.533
323,0.799363,,138.333,,375.667
324,0.8019,,139,,375.8
325,0.804282,,139.111,,376.022
326,0.806664,,139.222,,376.244
327,0.809047,,139.333,,376.467
328,0.811429,,139.444,,376.689
329,0.813811,,139.556,,376.911
330,0.816193,,139.667,,377.133
