secs,km,power,hr,cad,alt
0,0,,95,63,32.4
1,0.00204,,97,75,32.2
2,0.00437,,101,87,32.4
3,0.00741,,104,89,32.6
4,0.01075,,107,89,32.8
5,0.01394,,109,89.5,32.7
6,0.01713,,111,90,32.6
7,0.02053,,113.5,93.5,32.7
8,0.02393,,116,97,32.8
9,0.027335,,118,96,32.9
10,0.03074,,120,95,33
11,0.03421,,121.5,94.5,32.9
12,0.03768,,123,94,32.8
13,0.04103,,124,94,32.8667
14,0.04438,,125,94,32.9333
15,0.04773,,126,94,33
16,0.05105,,127.333,94.3333,33
17,0.05437,,128.667,94.6667,33
18,0.05769,,130,95,33
19,0.0607457,,130.286,94.7143,33.0571
20,0.0638014,,130.571,94.4286,33.1143
21,0.0668571,,130.857,94.1429,33.1714
22,0.0699129,,131.143,93.8571,33.2286
23,0.0729686,,131.429,93.5714,33.2857
24,0.0760243,,131.714,93.2857,33.3429
25,0.07908,,132,93,33.4
26,0.08231,,133,93,33.2667
27,0.08554,,134,93,33.1333
28,0.08877,,135,93,33
29,0.0921217,,135.333,92.8333,33.0333
30,0.0954733,,135.667,92.6667,33.0667
31,0.098825,,136,92.5,33.1
32,0.102177,,136.333,92.3333,33.1333
33,0.105528,,136.667,92.1667,33.1667
34,0.10888,,137,92,33.2
35,0.112267,,138,92,33.2667
36,0.115653,,139,92,33.3333
37,0.11904,,140,92,33.4
38,0.122146,,140.4,92.2,33.48
39,0.125252,,140.8,92.4,33.56
40,0.128358,,141.2,92.6,33.64
41,0.131464,,141.6,92.8,33.72
42,0.13457,,142,93,33.8
72,0.13745,,146,94,33.4
73,0.14024,,146,94,34.2
74,0.143182,,145.5,93.75,34.25
75,0.146125,,145,93.5,34.3
76,0.149068,,144.5,93.25,34.35
77,0.15201,,144,93,34.4
78,0.155073,,144,92.8571,34.4286
79,0.158136,,144,92.7143,34.4571
80,0.161199,,144,92.5714,34.4857
81,0.164261,,144,92.4286,34.5143
82,0.167324,,144,92.2857,34.5429
83,0.170387,,144,92.1429,34.5714
84,0.17345,,144,92,34.6
85,0.176653,,144.143,92.1429,34.6
86,0.179856,,144.286,92.2857,34.6
87,0.183059,,144.429,92.4286,34.6
88,0.186261,,144.571,92.5714,34.6
89,0.189464,,144.714,92.7143,34.6
90,0.192667,,144.857,92.8571,34.6
91,0.19587,,145,93,34.6
92,0.198901,,145.286,92.7143,34.6571
93,0.201933,,145.571,92.4286,34.7143
94,0.204964,,145.857,92.1429,34.7714
95,0.207996,,146.143,91.8571,34.8286
96,0.211027,,146.429,91.5714,34.8857
97,0.214059,,146.714,91.2857,34.9429
98,0.21709,,147,91,35
99,0.219962,,147.167,91,35.1
100,0.222833,,147.333,91,35.2
101,0.225705,,147.5,91,35.3
102,0.228577,,147.667,91,35.4
103,0.231448,,147.833,91,35.5
104,0.23432,,148,91,35.6
105,0.237279,,148.286,91.1429,35.6
106,0.240237,,148.571,91.2857,35.6
107,0.243196,,148.857,91.4286,35.6
108,0.246154,,149.143,91.5714,35.6
109,0.249113,,149.429,91.7143,35.6
110,0.252071,,149.714,91.8571,35.6
111,0.25503,,150,92,35.6
112,0.258167,,150,92,35.6
113,0.261304,,150,92,35.6
114,0.264441,,150,92,35.6
115,0.267579,,150,92,35.6
116,0.270716,,150,92,35.6
117,0.273853,,150,92,35.6
118,0.27699,,150,92,35.6
119,0.279835,,149.875,92.125,35.6
120,0.28268,,149.75,92.25,35.6
121,0.285525,,149.625,92.375,35.6
122,0.28837,,149.5,92.5,35.6
123,0.291215,,149.375,92.625,35.6
124,0.29406,,149.25,92.75,35.6
125,0.296905,,149.125,92.875,35.6
126,0.29975,,149,93,35.6
127,0.302851,,149.286,93,35.5714
128,0.305953,,149.571,93,35.5429
129,0.309054,,149.857,93,35.5143
130,0.312156,,150.143,93,35.4857
131,0.315257,,150.429,93,35.4571
132,0.318359,,150.714,93,35.4286
133,0.32146,,151,93,35.4
134,0.324693,,151.143,92.8571,35.4571
135,0.327926,,151.286,92.7143,35.5143
136,0.331159,,151.429,92.5714,35.5714
137,0.334391,,151.571,92.4286,35.6286
138,0.337624,,151.714,92.2857,35.6857
139,0.340857,,151.857,92.1429,35.7429
140,0.34409,,152,92,35.8
141,0.347196,,151.714,92.1429,35.7714
142,0.350301,,151.429,92.2857,35.7429
143,0.353407,,151.143,92.4286,35.7143
144,0.356513,,150.857,92.5714,35.6857
145,0.359619,,150.571,92.7143,35.6571
146,0.362724,,150.286,92.8571,35.6286
147,0.36583,,150,93,35.6
148,0.368856,,150.143,92.8571,35.5429
