secs,km,power,hr,cad,alt
0,0,,89,,0
1,0.00038,,88,,0
2,0.00084,,89,,0
3,0.0013,,90,,0
4,0.00177,,91,,0
5,0.00231,,92,,0
6,0.00286,,93,,0
7,0.00345,,94,,0
8,0.00404,,94,,0
9,0.00444,,95,,0
10,0.00444,,96,,0
11,0.00444,,97,,0
12,0.00444,,98,,0
13,0.00444,,100,,0
14,0.00444667,,101.333,,0
15,0.00445333,,102.667,,0
16,0.00446,,104,,0
17,0.00531,,104,,0
18,0.0065,,104,,0
19,0.00769,,104,,0
20,0.00879,,106,,0
21,0.00879,,106,,0
22,0.00879,,108,,0
23,0.00888,,109,,0
24,0.00976,,110,,1
25,0.01115,,112,,1
26,0.01255,,113,,1
27,0.01386,,114,,1
28,0.01515,,115,,1
29,0.01645,,116,,1
30,0.01658,,116,,1
31,0.01658,,116,,1
32,0.01658,,116,,1
33,0.01658,,115,,1
34,0.01658,,113,,1
35,0.0166,,112,,1
36,0.01732,,110,,1
37,0.01836,,109,,1
38,0.01947,,108,,1
39,0.02076,,108,,1
40,0.02183,,107,,1
41,0.0229,,107,,1
42,0.02398,,106,,1
43,0.02499,,105,,1
44,0.02602,,104,,1
45,0.02705,,103,,1
46,0.02807,,102,,1
47,0.02908,,102,,1
48,0.03011,,102,,1
49,0.03114,,100,,1
50,0.03215,,99,,1
51,0.03316,,97,,1
52,0.03416,,96,,1
53,0.03517,,94,,1
54,0.03617,,92,,1
55,0.03719,,92,,1
56,0.03821,,87,,1
57,0.03925,,85,,1
58,0.04026,,84,,1
59,0.04128,,82,,1
60,0.04231,,82,,1
61,0.04333,,80,,1
62,0.04436,,78,,1
63,0.04539,,77,,1
64,0.04642,,76,,1
65,0.04744,,76,,1
66,0.04848,,76,,1
67,0.04951,,76,,1
68,0.05053,,75,,1
69,0.05155,,75,,1
70,0.05256,,75,,1
71,0.05355,,74,,1
72,0.05454,,75,,1
73,0.05552,,76,,1
74,0.0565,,78,,1
75,0.0576,,80,,1
76,0.05897,,81,,1
77,0.06044,,81,,1
78,0.0619,,82,,1
79,0.06323,,83,,1
80,0.06443,,83,,1
81,0.06532,,84,,1
82,0.06622,,84,,1
83,0.06712,,85,,1
84,0.06802,,87,,1
85,0.06866,,87,,1
86,0.06866,,87,,1
87,0.06866,,87,,1
88,0.06866,,86,,1
89,0.06911,,85,,1
90,0.07015,,84,,1
91,0.07145,,83,,1
92,0.07287,,82,,1
93,0.07412,,82,,1
94,0.07518,,81,,1
95,0.07614,,81,,1
96,0.0771,,80,,1
97,0.0777,,79,,1
98,0.0777,,79,,1
99,0.0777,,80,,1
100,0.07801,,81,,1
101,0.07913,,81,,1
102,0.08062,,82,,1
103,0.08223,,83,,1
104,0.08377,,83,,1
105,0.08508,,83,,1
106,0.08621,,83,,1
107,0.08735,,83,,1
108,0.08851,,85,,1
109,0.08964,,87,,1
110,0.09076,,88,,1
111,0.09182,,89,,1
112,0.09284,,90,,1
113,0.09385,,89,,1
114,0.09486,,89,,1
115,0.09586,,87,,1
116,0.09688,,86,,1
117,0.09788,,84,,1
118,0.0989,,82,,1
119,0.09992,,80,,1
120,0.10095,,78,,1
121,0.10198,,77,,1
122,0.10302,,77,,1
123,0.10406,,77,,1
124,0.10512,,78,,1
125,0.10618,,79,,1
126,0.10724,,79,,1
127,0.10831,,80,,1
128,0.10939,,80,,1
129,0.11048,,78,,1
130,0.11156,,78,,1
131,0.11265,,78,,1
132,0.11374,,78,,1
133,0.11483,,79,,1
134,0.11593,,79,,1
135,0.11703,,79,,1
136,0.11812,,80,,1
137,0.1192,,81,,1
138,0.12026,,81,,1
139,0.12128,,82,,1
140,0.1223,,82,,1
141,0.12332,,81,,1
142,0.12434,,81,,1
143,0.12536,,81,,1
144,0.12641,,81,,1
145,0.12745,,81,,1
146,0.1285,,81,,1
147,0.12955,,82,,1
148,0.13061,,83,,1
149,0.13167,,83,,1
150,0.13274,,83,,1
151,0.1338,,83,,1
152,0.13485,,82,,1
153,0.13589,,82,,1
154,0.13694,,81,,1
155,0.13799,,79,,1
156,0.13905,,77,,1
157,0.14006,,76,,1
158,0.14006,,76,,1
159,0.14006,,76,,1
160,0.14006,,76,,1
161,0.14006,,76,,1
236,0.14007,,67,,1
237,0.14112,,68,,1
238,0.14213,,68,,1
239,0.14313,,68,,1
240,0.14403,,69,,1
241,0.14502,,70,,1
242,0.14601,,72,,1
243,0.14692,,73,,1
244,0.14692,,73,,1
245,0.14692,,73,,1
246,0.14692,,72,,1
247,0.14763,,71,,1
248,0.14895,,71,,1
249,0.15052,,71,,1
250,0.15211,,72,,1
251,0.15366,,74,,1
252,0.1552,,75,,1
253,0.15674,,77,,1
254,0.1569,,78,,1
255,0.15775,,78,,1
256,0.15907,,79,,1
257,0.1604,,80,,1
