secs,km,power,hr,cad,alt
0,0,,102,,79
1,0.00153,,102,,79
2,0.00332,,103,,79.0667
3,0.00511,,104,,79.1333
4,0.0069,,105,,79.2
5,0.00889,,106,,79.2667
6,0.01088,,107,,79.3333
7,0.01287,,108,,79.4
8,0.0149567,,109.333,,79.4
9,0.0170433,,110.667,,79.4
10,0.01913,,112,,79.4
11,0.02083,,113,,79.3333
12,0.02253,,114,,79.2667
13,0.02423,,115,,79.2
14,0.026125,,116,,79.2
15,0.02802,,117,,79.2
16,0.029915,,117.75,,79.15
17,0.03181,,118.5,,79.1
18,0.033705,,119.25,,79.05
19,0.0356,,120,,79
20,0.03776,,120.5,,78.9
21,0.03992,,121,,78.8
22,0.0419357,,121,,78.7714
23,0.0439514,,121,,78.7429
24,0.0459671,,121,,78.7143
25,0.0479829,,121,,78.6857
26,0.0499986,,121,,78.6571
27,0.0520143,,121,,78.6286
28,0.05403,,121,,78.6
29,0.0559733,,120.833,,78.5333
30,0.0579167,,120.667,,78.4667
31,0.05986,,120.5,,78.4
32,0.0618033,,120.333,,78.3333
33,0.0637467,,120.167,,78.2667
34,0.06569,,120,,78.2
35,0.0676537,,120,,78.175
36,0.0696175,,120,,78.15
37,0.0715812,,120,,78.125
38,0.073545,,120,,78.1
39,0.0755087,,120,,78.075
40,0.0774725,,120,,78.05
41,0.0794362,,120,,78.025
42,0.0814,,120,,78
43,0.08382,,121,,77.8
44,0.085995,,120.25,,77.7
45,0.08817,,119.5,,77.6
46,0.090345,,118.75,,77.5
47,0.09252,,118,,77.4
48,0.094705,,118.5,,77.4
49,0.09689,,119,,77.4
50,0.099,,119,,77
51,0.101203,,119.667,,76.9333
52,0.103407,,120.333,,76.8667
53,0.10561,,121,,76.8
54,0.107793,,121.143,,76.8857
55,0.109976,,121.286,,76.9714
56,0.112159,,121.429,,77.0571
57,0.114341,,121.571,,77.1429
58,0.116524,,121.714,,77.2286
59,0.118707,,121.857,,77.3143
60,0.12089,,122,,77.4
61,0.122997,,121.857,,77.3143
62,0.125104,,121.714,,77.2286
63,0.127211,,121.571,,77.1429
64,0.129319,,121.429,,77.0571
65,0.131426,,121.286,,76.9714
66,0.133533,,121.143,,76.8857
67,0.13564,,121,,76.8
68,0.137893,,121,,76.7429
69,0.140146,,121,,76.6857
70,0.142399,,121,,76.6286
71,0.144651,,121,,76.5714
72,0.146904,,121,,76.5143
73,0.149157,,121,,76.4571
74,0.15141,,121,,76.4
75,0.153487,,121.333,,76.3667
76,0.155563,,121.667,,76.3333
77,0.15764,,122,,76.3
78,0.159717,,122.333,,76.2667
79,0.161793,,122.667,,76.2333
80,0.16387,,123,,76.2
81,0.16593,,123,,76
82,0.16799,,123,,75.8
83,0.170244,,122.6,,75.64
84,0.172498,,122.2,,75.48
85,0.174752,,121.8,,75.32
86,0.177006,,121.4,,75.16
87,0.17926,,121,,75
88,0.181605,,121.5,,75.0333
89,0.18395,,122,,75.0667
90,0.186295,,122.5,,75.1
91,0.18864,,123,,75.1333
92,0.190985,,123.5,,75.1667
93,0.19333,,124,,75.2
94,0.195642,,124.333,,75.2
95,0.197953,,124.667,,75.2
96,0.200265,,125,,75.2
97,0.202577,,125.333,,75.2
98,0.204888,,125.667,,75.2
99,0.2072,,126,,75.2
100,0.209198,,126.111,,75.2444
101,0.211196,,126.222,,75.2889
102,0.213193,,126.333,,75.3333
103,0.215191,,126.444,,75.3778
104,0.217189,,126.556,,75.4222
105,0.219187,,126.667,,75.4667
106,0.221184,,126.778,,75.5111
107,0.223182,,126.889,,75.5556
108,0.22518,,127,,75.6
109,0.227327,,127.333,,75.6333
110,0.229473,,127.667,,75.6667
111,0.23162,,128,,75.7
112,0.233767,,128.333,,75.7333
113,0.235913,,128.667,,75.7667
114,0.23806,,129,,75.8
115,0.240291,,129.143,,75.8286
116,0.242523,,129.286,,75.8571
117,0.244754,,129.429,,75.8857
118,0.246986,,129.571,,75.9143
119,0.249217,,129.714,,75.9429
120,0.251449,,129.857,,75.9714
121,0.25368,,130,,76
122,0.255933,,130.286,,76.0571
123,0.258186,,130.571,,76.1143
124,0.260439,,130.857,,76.1714
125,0.262691,,131.143,,76.2286
126,0.264944,,131.429,,76.2857
127,0.267197,,131.714,,76.3429
128,0.26945,,132,,76.4
129,0.27176,,132.167,,76.4667
130,0.27407,,132.333,,76.5333
131,0.27638,,132.5,,76.6
132,0.27869,,132.667,,76.6667
133,0.281,,132.833,,76.7333
134,0.28331,,133,,76.8
135,0.285485,,133,,76.8
136,0.28766,,133,,76.8
137,0.289913,,132.833,,76.8
138,0.292167,,132.667,,76.8
139,0.29442,,132.5,,76.8
140,0.296673,,132.333,,76.8
141,0.298927,,132.167,,76.8
142,0.30118,,132,,76.8
143,0.303473,,132.167,,76.9
144,0.305767,,132.333,,77
145,0.30806,,132.5,,77.1
146,0.310353,,132.667,,77.2
147,0.312647,,132.833,,77.3
148,0.31494,,133,,77.4
149,0.317233,,133,,77.4286
150,0.319526,,133,,77.4571
151,0.321819,,133,,77.4857
152,0.324111,,133,,77.5143
153,0.326404,,133,,77.5429
154,0.328697,,133,,77.5714
155,0.33099,,133,,77.6
156,0.33301,,134,,77.8
157,0.335025,,134,,78.1
158,0.33704,,134,,78.4
159,0.339055,,134,,78.7
160,0.34107,,134,,79
161,0.34298,,134.5,,78.9
162,0.34489,,135,,78.8
163,0.347133,,134.714,,78.7143
164,0.349376,,134.429,,78.6286
165,0.351619,,134.143,,78.5429
166,0.353861,,133.857,,78.4571
167,0.356104,,133.571,,78.3714
168,0.358347,,133.286,,78.2857
169,0.36059,,133,,78.2
170,0.362716,,132.8,,78.24
171,0.364842,,132.6,,78.28
172,0.366968,,132.4,,78.32
173,0.369094,,132.2,,78.36
174,0.37122,,132,,78.4
175,0.373402,,132,,78.3556
176,0.375584,,132,,78.3111
177,0.377767,,132,,78.2667
178,0.379949,,132,,78.2222
179,0.382131,,132,,78.1778
180,0.384313,,132,,78.1333
181,0.386496,,132,,78.0889
182,0.388678,,132,,78.0444
183,0.39086,,132,,78
184,0.39286,,132,,77.8
185,0.395023,,132,,77.6667
186,0.397187,,132,,77.5333
187,0.39935,,132,,77.4
188,0.401513,,132,,77.2667
189,0.403677,,132,,77.1333
190,0.40584,,132,,77
191,0.408045,,131.5,,76.9
192,0.41025,,131,,76.8
193,0.4125,,130,,76.6667
194,0.41475,,129,,76.5333
195,0.417,,128,,76.4
196,0.41896,,128,,76.3
197,0.42092,,128,,76.2
198,0.423221,,128,,76.175
199,0.425523,,128,,76.15
200,0.427824,,128,,76.125
201,0.430125,,128,,76.1
202,0.432426,,128,,76.075
203,0.434727,,128,,76.05
204,0.437029,,128,,76.025
205,0.43933,,128,,76
206,0.44167,,128,,76.0286
207,0.44401,,128,,76.0571
208,0.44635,,128,,76.0857
209,0.44869,,128,,76.1143
210,0.45103,,128,,76.1429
211,0.45337,,128,,76.1714
212,0.45571,,128,,76.2
213,0.45812,,128.6,,76.24
214,0.46053,,129.2,,76.28
215,0.46294,,129.8,,76.32
216,0.46535,,130.4,,76.36
217,0.46776,,131,,76.4
218,0.470385,,131,,76.2
219,0.47301,,131,,76
220,0.475535,,130.5,,75.8
221,0.47806,,130,,75.6
222,0.480614,,130.2,,75.36
223,0.483168,,130.4,,75.12
224,0.485722,,130.6,,74.88
225,0.488276,,130.8,,74.64
226,0.49083,,131,,74.4
227,0.49321,,132,,74.2
228,0.495713,,131.833,,74.2667
229,0.498217,,131.667,,74.3333
230,0.50072,,131.5,,74.4
231,0.503223,,131.333,,74.4667
232,0.505727,,131.167,,74.5333
233,0.50823,,131,,74.6
234,0.510579,,131.143,,74.5429
235,0.512927,,131.286,,74.4857
236,0.515276,,131.429,,74.4286
237,0.517624,,131.571,,74.3714
238,0.519973,,131.714,,74.3143
239,0.522321,,131.857,,74.2571
240,0.52467,,132,,74.2
241,0.526943,,132,,74.3333
242,0.529217,,132,,74.4667
243,0.53149,,132,,74.6
244,0.533763,,132,,74.7333
245,0.536037,,132,,74.8667
246,0.53831,,132,,75
247,0.54052,,132,,75.4
248,0.543103,,132.667,,75.5333
249,0.545687,,133.333,,75.6667
250,0.54827,,134,,75.8
251,0.55078,,135.5,,75.8
252,0.55329,,137,,75.8
253,0.556055,,138.5,,75.8
254,0.55882,,140,,75.8
255,0.56137,,140.667,,75.6667
256,0.56392,,141.333,,75.5333
257,0.56647,,142,,75.4
258,0.569018,,142.4,,75.16
259,0.571566,,142.8,,74.92
260,0.574114,,143.2,,74.68
261,0.576662,,143.6,,74.44
262,0.57921,,144,,74.2
263,0.58198,,143,,74.2
264,0.584232,,142.667,,74.1667
265,0.586483,,142.333,,74.1333
266,0.588735,,142,,74.1
267,0.590987,,141.667,,74.0667
268,0.593238,,141.333,,74.0333
269,0.59549,,141,,74
270,0.598112,,140.833,,73.8667
271,0.600733,,140.667,,73.7333
272,0.603355,,140.5,,73.6
273,0.605977,,140.333,,73.4667
274,0.608598,,140.167,,73.3333
275,0.61122,,140,,73.2
276,0.61372,,140.333,,73.1
277,0.61622,,140.667,,73
278,0.61872,,141,,72.9
279,0.62122,,141.333,,72.8
280,0.62372,,141.667,,72.7
281,0.62622,,142,,72.6
282,0.628547,,142.167,,72.8333
283,0.630873,,142.333,,73.0667
284,0.6332,,142.5,,73.3
285,0.635527,,142.667,,73.5333
286,0.637853,,142.833,,73.7667
287,0.64018,,143,,74
288,0.64237,,144,,74.6
289,0.644703,,143.667,,74.9333
290,0.647037,,143.333,,75.2667
291,0.64937,,143,,75.6
292,0.651467,,143.333,,75.7333
293,0.653563,,143.667,,75.8667
294,0.65566,,144,,76
295,0.658124,,144.6,,75.92
296,0.660588,,145.2,,75.84
297,0.663052,,145.8,,75.76
298,0.665516,,146.4,,75.68
299,0.66798,,147,,75.6
300,0.670335,,147.5,,75.6
301,0.67269,,148,,75.6
302,0.67509,,148.2,,75.84
303,0.67749,,148.4,,76.08
304,0.67989,,148.6,,76.32
305,0.68229,,148.8,,76.56
306,0.68469,,149,,76.8
307,0.687085,,149,,77.1
308,0.68948,,149,,77.4
309,0.692005,,149,,77.6
310,0.69453,,149,,77.8
311,0.696918,,149.2,,77.8
312,0.699306,,149.4,,77.8
313,0.701694,,149.6,,77.8
314,0.704082,,149.8,,77.8
315,0.70647,,150,,77.8
316,0.708871,,150.143,,77.8
317,0.711273,,150.286,,77.8
318,0.713674,,150.429,,77.8
319,0.716076,,150.571,,77.8
320,0.718477,,150.714,,77.8
321,0.720879,,150.857,,77.8
322,0.72328,,151,,77.8
323,0.725726,,151.25,,77.725
324,0.728173,,151.5,,77.65
325,0.730619,,151.75,,77.575
326,0.733065,,152,,77.5
327,0.735511,,152.25,,77.425
328,0.737958,,152.5,,77.35
329,0.740404,,152.75,,77.275
330,0.74285,,153,,77.2
331,0.745294,,153,,77.3143
332,0.747739,,153,,77.4286
333,0.750183,,153,,77.5429
334,0.752627,,153,,77.6571
335,0.755071,,153,,77.7714
336,0.757516,,153,,77.8857
337,0.75996,,153,,78
338,0.762416,,152.571,,78
339,0.764871,,152.143,,78
340,0.767327,,151.714,,78
341,0.769783,,151.286,,78
342,0.772239,,150.857,,78
343,0.774694,,150.429,,78
344,0.77715,,150,,78
345,0.779542,,150.167,,77.8
346,0.781933,,150.333,,77.6
347,0.784325,,150.5,,77.4
348,0.786717,,150.667,,77.2
349,0.789108,,150.833,,77
350,0.7915,,151,,76.8
351,0.79399,,151,,76.2
352,0.79605,,150,,75.8
353,0.79833,,149.25,,75.9
354,0.80061,,148.5,,76
355,0.80289,,147.75,,76.1
356,0.80517,,147,,76.2
357,0.807305,,147,,76.4
358,0.80944,,147,,76.6
359,0.810595,,146.5,,76.4
360,0.81175,,146,,76.2
361,0.81196,,144.5,,76.3
362,0.81217,,143,,76.4
420,0.81217,,107,,76.2
421,0.81425,,109,,76.2
422,0.81688,,112,,76.4
423,0.81956,,117,,76.4
424,0.82236,,120,,76.6
425,0.8247,,122,,76.8
426,0.8273,,124.5,,76.9
427,0.8299,,127,,77
428,0.832,,127.333,,77.1333
429,0.8341,,127.667,,77.2667
430,0.8362,,128,,77.4
431,0.838398,,128.25,,77.3
432,0.840595,,128.5,,77.2
433,0.842793,,128.75,,77.1
434,0.84499,,129,,77
435,0.847513,,130,,77
436,0.850037,,131,,77
437,0.85256,,132,,77
438,0.85536,,132.667,,77.0667
439,0.85816,,133.333,,77.1333
440,0.86096,,134,,77.2
441,0.864036,,134.2,,76.88
442,0.867112,,134.4,,76.56
443,0.870188,,134.6,,76.24
444,0.873264,,134.8,,75.92
445,0.87634,,135,,75.6
446,0.87961,,135,,75.35
447,0.88288,,135,,75.1
448,0.88615,,135,,74.85
449,0.88942,,135,,74.6
450,0.892748,,135.25,,74.35
451,0.896075,,135.5,,74.1
452,0.899402,,135.75,,73.85
453,0.90273,,136,,73.6
454,0.905793,,136.5,,73.4
455,0.908855,,137,,73.2
456,0.911918,,137.5,,73
457,0.91498,,138,,72.8
458,0.91812,,138.5,,73
459,0.92126,,139,,73.2
460,0.924179,,138.857,,73.0857
461,0.927097,,138.714,,72.9714
462,0.930016,,138.571,,72.8571
463,0.932934,,138.429,,72.7429
464,0.935853,,138.286,,72.6286
465,0.938771,,138.143,,72.5143
466,0.94169,,138,,72.4
467,0.944735,,138.5,,72.2
468,0.94778,,139,,72
469,0.950668,,138.75,,71.85
470,0.953555,,138.5,,71.7
471,0.956442,,138.25,,71.55
472,0.95933,,138,,71.4
473,0.962113,,138,,71.2
474,0.964897,,138,,71
475,0.96768,,138,,70.8
476,0.970525,,137.833,,70.7
477,0.97337,,137.667,,70.6
478,0.976215,,137.5,,70.5
479,0.97906,,137.333,,70.4
480,0.981905,,137.167,,70.3
481,0.98475,,137,,70.2
482,0.987494,,137,,69.96
483,0.990238,,137,,69.72
484,0.992982,,137,,69.48
485,0.995726,,137,,69.24
486,0.99847,,137,,69
487,1.0014,,137,,68.8
488,1.00432,,137,,68.6
489,1.00725,,137,,68.4
490,1.01017,,137,,68.2
491,1.0131,,137,,68
492,1.01564,,137,,67.8
493,1.01818,,137,,67.6
494,1.02113,,137.333,,67.5667
495,1.02408,,137.667,,67.5333
496,1.02703,,138,,67.5
497,1.02998,,138.333,,67.4667
498,1.03293,,138.667,,67.4333
499,1.03588,,139,,67.4
500,1.03884,,138.667,,67.2
501,1.04181,,138.333,,67
502,1.04477,,138,,66.8
503,1.04766,,138,,66.6667
504,1.05055,,138,,66.5333
505,1.05344,,138,,66.4
506,1.05605,,138.143,,66.3714
507,1.05866,,138.286,,66.3429
508,1.06127,,138.429,,66.3143
509,1.06388,,138.571,,66.2857
510,1.06649,,138.714,,66.2571
511,1.0691,,138.857,,66.2286
512,1.07171,,139,,66.2
513,1.07434,,139,,66.16
514,1.07696,,139,,66.12
515,1.07959,,139,,66.08
516,1.08221,,139,,66.04
517,1.08484,,139,,66
518,1.08709,,139,,66
519,1.08935,,139,,66
520,1.0916,,139,,66
521,1.09386,,139,,66
522,1.09611,,139,,66
523,1.09837,,139,,66
524,1.1009,,140,,65.8
525,1.10333,,140,,65.7
526,1.10575,,140,,65.6
527,1.10818,,140,,65.5
528,1.11061,,140,,65.4
529,1.11303,,140,,65.3
530,1.11546,,140,,65.2
531,1.11815,,140.375,,65.25
532,1.12085,,140.75,,65.3
533,1.12355,,141.125,,65.35
534,1.12624,,141.5,,65.4
535,1.12893,,141.875,,65.45
536,1.13163,,142.25,,65.5
537,1.13433,,142.625,,65.55
538,1.13702,,143,,65.6
539,1.13965,,143.333,,65.6
540,1.14229,,143.667,,65.6
541,1.14492,,144,,65.6
542,1.14755,,144.333,,65.6
543,1.15019,,144.667,,65.6
544,1.15282,,145,,65.6
545,1.15558,,145.2,,65.6
546,1.15834,,145.4,,65.6
547,1.16109,,145.6,,65.6
548,1.16385,,145.8,,65.6
549,1.16661,,146,,65.6
550,1.16905,,146.167,,65.6667
551,1.17149,,146.333,,65.7333
552,1.17393,,146.5,,65.8
553,1.17637,,146.667,,65.8667
554,1.17881,,146.833,,65.9333
555,1.18125,,147,,66
556,1.18352,,147.4,,66.16
557,1.1858,,147.8,,66.32
558,1.18807,,148.2,,66.48
559,1.19035,,148.6,,66.64
560,1.19262,,149,,66.8
561,1.19477,,150,,66.8
562,1.1971,,150.5,,66.9667
563,1.19944,,151,,67.1333
564,1.20178,,151.5,,67.3
565,1.20411,,152,,67.4667
566,1.20644,,152.5,,67.6333
567,1.20878,,153,,67.8
568,1.21163,,153,,68
569,1.21434,,154,,68.2
570,1.21664,,154.667,,68.4667
571,1.21894,,155.333,,68.7333
572,1.22124,,156,,69
