secs,km,power,hr,cad,alt
0,0,,76,,89.2
1,0.0013,,76,,89.2
2,0.0040225,,76.125,,89.3
3,0.006745,,76.25,,89.4
4,0.0094675,,76.375,,89.5
5,0.01219,,76.5,,89.6
6,0.0149125,,76.625,,89.7
7,0.017635,,76.75,,89.8
8,0.0203575,,76.875,,89.9
9,0.02308,,77,,90
10,0.0260433,,78,,90.2667
11,0.0290067,,79,,90.5333
12,0.03197,,80,,90.8
13,0.03484,,84,,91.2
14,0.03768,,84,,91.4
15,0.04058,,87,,91.8
16,0.04357,,92,,92.2
17,0.046605,,94,,92.7
18,0.04964,,96,,93.2
19,0.05264,,100,,93.4
20,0.05565,,104,,93.6
21,0.05867,,106.5,,93.9
22,0.06169,,109,,94.2
23,0.064745,,113,,94.6
24,0.0678,,117,,95
25,0.070785,,118.5,,95.3
26,0.07377,,120,,95.6
27,0.076975,,121.5,,95.8
28,0.08018,,123,,96
29,0.08333,,126,,96
30,0.08635,,128,,96.1
31,0.08937,,130,,96.2
32,0.0922286,,130.286,,96.1143
33,0.0950871,,130.571,,96.0286
34,0.0979457,,130.857,,95.9429
35,0.100804,,131.143,,95.8571
36,0.103663,,131.429,,95.7714
37,0.106521,,131.714,,95.6857
38,0.10938,,132,,95.6
39,0.112222,,131.875,,95.525
40,0.115065,,131.75,,95.45
41,0.117907,,131.625,,95.375
42,0.12075,,131.5,,95.3
43,0.123592,,131.375,,95.225
44,0.126435,,131.25,,95.15
45,0.129277,,131.125,,95.075
46,0.13212,,131,,95
47,0.134915,,131,,94.8
48,0.13771,,131,,94.6
49,0.140505,,131,,94.4
50,0.1433,,131,,94.2
51,0.146095,,131,,94
52,0.14889,,131,,93.8
53,0.151685,,131,,93.6
54,0.15448,,131,,93.4
55,0.157244,,131.6,,93.2
56,0.160008,,132.2,,93
57,0.162772,,132.8,,92.8
58,0.165536,,133.4,,92.6
59,0.1683,,134,,92.4
60,0.171151,,134.75,,92.2
61,0.174003,,135.5,,92
62,0.176854,,136.25,,91.8
63,0.179705,,137,,91.6
64,0.182556,,137.75,,91.4
65,0.185408,,138.5,,91.2
66,0.188259,,139.25,,91
67,0.19111,,140,,90.8
68,0.1939,,139,,90.4
69,0.196737,,138,,90.0667
70,0.199573,,137,,89.7333
71,0.20241,,136,,89.4
72,0.205144,,135.4,,89.12
73,0.207878,,134.8,,88.84
74,0.210612,,134.2,,88.56
75,0.213346,,133.6,,88.28
76,0.21608,,133,,88
77,0.21876,,134.333,,87.8667
78,0.22144,,135.667,,87.7333
79,0.22412,,137,,87.6
80,0.22697,,138.667,,87.5333
81,0.22982,,140.333,,87.4667
82,0.23267,,142,,87.4
83,0.23529,,139,,87.2
84,0.23803,,138.25,,87.25
85,0.24077,,137.5,,87.3
86,0.24351,,136.75,,87.35
87,0.24625,,136,,87.4
88,0.249034,,136,,87.475
89,0.251817,,136,,87.55
90,0.254601,,136,,87.625
91,0.257385,,136,,87.7
92,0.260169,,136,,87.775
93,0.262952,,136,,87.85
94,0.265736,,136,,87.925
95,0.26852,,136,,88
96,0.271338,,136.125,,88.05
97,0.274155,,136.25,,88.1
98,0.276972,,136.375,,88.15
99,0.27979,,136.5,,88.2
100,0.282608,,136.625,,88.25
