secs,km,power,hr,cad,alt
0,0,,82,,57.3358
1,0.000819115,,81.6667,,57.3358
2,0.00163823,,81.3333,,57.3358
3,0.00245735,,81,,57.3358
4,0.00748033,,81,,56.8551
5,0.00902416,,81,,57.0955
6,0.010568,,81,,57.3358
7,0.0131673,,83,,57.8165
8,0.0151592,,84,,58.2971
9,0.0175971,,85,,57.8165
10,0.0201472,,86,,58.2971
11,0.0226585,,87,,57.3358
12,0.0255411,,88,,57.8165
13,0.028486,,89,,57.3358
14,0.0311587,,91,,57.3358
15,0.0343089,,94,,57.8165
16,0.0375668,,93,,58.2971
17,0.0402507,,94,,58.2971
18,0.0431813,,96,,58.2971
19,0.0467225,,96,,58.2971
20,0.0499555,,97,,57.3358
21,0.0528448,,98,,57.8165
22,0.0550609,,98,,56.8551
23,0.0575932,,102,,55.8938
24,0.0605835,,100,,54.9324
25,0.0630345,,103,,54.9324
26,0.0658577,,102,,53.9712
27,0.0682676,,103,,53.9712
28,0.0707847,,105,,53.4905
29,0.0730351,,104,,53.0098
30,0.0757247,,104,,52.5292
31,0.0784826,,105,,52.0486
32,0.0809675,,106,,52.0486
33,0.0841679,,108,,52.5292
34,0.0869172,,107,,53.0098
35,0.0896799,,109,,52.5292
36,0.0922348,,109,,52.5292
37,0.0957891,,109,,54.9324
38,0.0987029,,109,,54.4518
39,0.101014,,109,,53.9712
40,0.104268,,110,,52.5292
41,0.106936,,111,,53.0098
42,0.109454,,112,,53.4905
43,0.112367,,112,,53.9712
44,0.11577,,115,,53.9712
45,0.119169,,114,,55.4131
46,0.122303,,116,,56.8551
47,0.125117,,115,,57.8165
48,0.127333,,116,,57.8165
49,0.129769,,117,,59.7391
50,0.132056,,118,,57.8165
51,0.135471,,119,,56.8551
52,0.138391,,121,,55.8938
53,0.141388,,120,,55.4131
54,0.144281,,121,,54.9324
55,0.14709,,122,,54.9324
56,0.149946,,123,,55.8938
57,0.152546,,125,,56.8551
58,0.15524,,126,,56.3745
59,0.15864,,126,,57.3358
60,0.162192,,128,,57.3358
61,0.16502,,129,,57.8165
62,0.168362,,128,,58.2971
63,0.171827,,128,,59.2584
64,0.175254,,130,,59.7391
65,0.178146,,129,,60.7003
66,0.180892,,131,,60.2197
67,0.184193,,131,,60.7003
68,0.18812,,131,,60.2197
69,0.190713,,131,,60.7003
70,0.193134,,131,,60.2197
71,0.196015,,131,,59.2584
72,0.198712,,132,,58.2971
73,0.201464,,132,,57.8165
74,0.204239,,132,,57.3358
75,0.207431,,133,,57.3358
76,0.210698,,134,,56.8551
77,0.213555,,135,,56.8551
78,0.216678,,137,,56.8551
79,0.219212,,138,,56.3745
80,0.221945,,137,,56.3745
81,0.224783,,139,,56.3745
82,0.227893,,138,,56.3745
83,0.230427,,138,,56.8551
84,0.233288,,139,,57.3358
85,0.236215,,141,,57.8165
86,0.238956,,141,,57.8165
87,0.241848,,141,,57.8165
88,0.244523,,141,,57.8165
89,0.247327,,142,,58.2971
90,0.249905,,142,,57.8165
91,0.252467,,142,,58.7777
92,0.254841,,142,,59.2584
93,0.257437,,142,,59.7391
94,0.260231,,142,,60.2197
95,0.262797,,142,,60.7003
96,0.265194,,143,,60.7003
97,0.267545,,143,,60.7003
98,0.270311,,143,,61.6617
99,0.273239,,143,,62.1423
100,0.276263,,143,,62.1423
101,0.279187,,143,,62.1423
102,0.282429,,143,,62.1423
103,0.285418,,144,,62.1423
104,0.288422,,144,,62.6229
105,0.290874,,143,,63.1036
106,0.293685,,143,,62.6229
107,0.29687,,143,,62.6229
108,0.299629,,143,,63.1036
109,0.3023,,143,,63.1036
110,0.305731,,143,,62.6229
111,0.309095,,143,,62.1423
112,0.312002,,143,,61.6617
113,0.315347,,143,,61.181
114,0.318663,,143,,60.7003
115,0.321457,,143,,60.2197
116,0.324334,,143,,60.2197
117,0.326725,,143,,59.7391
118,0.330069,,143,,59.2584
119,0.333396,,143,,58.7777
120,0.336419,,142,,58.7777
121,0.339642,,141,,58.7777
122,0.342819,,141,,57.8165
123,0.34645,,140,,56.8551
124,0.349839,,140,,55.8938
125,0.353042,,140,,54.9324
126,0.356019,,140,,53.9712
127,0.359132,,139,,53.4905
128,0.362561,,138,,52.5292
129,0.366121,,138,,52.5292
130,0.369495,,138,,52.0486
131,0.37262,,136,,52.0486
132,0.375714,,136,,51.5679
133,0.378667,,135,,51.5679
134,0.381768,,135,,51.0872
135,0.385155,,135,,51.0872
136,0.388559,,134,,51.5679
137,0.392815,,134,,51.5679
138,0.396418,,134,,51.0872
139,0.399615,,134,,51.5679
140,0.403072,,134,,51.5679
141,0.406013,,133,,51.5679
142,0.409054,,133,,52.0486
143,0.411994,,133,,52.0486
144,0.414639,,133,,52.0486
145,0.417288,,133,,52.5292
146,0.420624,,133,,52.5292
147,0.423228,,133,,53.0098
148,0.426719,,132,,53.0098
149,0.429205,,132,,52.5292
150,0.431704,,132,,53.0098
151,0.43396,,132,,53.4905
152,0.43699,,132,,54.4518
153,0.439798,,132,,54.4518
154,0.442853,,132,,54.9324
155,0.445808,,132,,55.4131
156,0.448504,,133,,55.4131
157,0.450849,,133,,56.8551
158,0.45327,,133,,58.2971
159,0.45581,,133,,58.7777
160,0.458536,,133,,59.7391
161,0.461321,,133,,60.2197
162,0.463608,,134,,60.2197
163,0.465953,,134,,60.7003
164,0.468806,,135,,60.2197
165,0.47186,,135,,60.2197
166,0.474572,,135,,61.181
167,0.477075,,136,,61.181
168,0.480212,,136,,61.6617
169,0.482875,,136,,61.6617
170,0.485454,,137,,61.181
171,0.488443,,136,,60.2197
172,0.490899,,136,,59.2584
173,0.493677,,137,,58.7777
174,0.497366,,137,,58.7777
