secs,km,power,hr,cad,alt
0,0,,88,,85.6
1,0.00175,,88,,85.6
2,0.004142,,88.6,,85.56
3,0.006534,,89.2,,85.52
4,0.008926,,89.8,,85.48
5,0.011318,,90.4,,85.44
6,0.01371,,91,,85.4
7,0.01702,,92,,85.4
8,0.02033,,93,,85.4
9,0.02364,,94,,85.4
10,0.02697,,95,,85.4
11,0.0303,,96,,85.4
12,0.03363,,97,,85.4
13,0.0369567,,98.3333,,85.3333
14,0.0402833,,99.6667,,85.2667
15,0.04361,,101,,85.2
16,0.04694,,102.5,,85
17,0.05027,,104,,84.8
18,0.05359,,105.333,,84.7333
19,0.05691,,106.667,,84.6667
20,0.06023,,108,,84.6
21,0.06356,,110,,84.6
22,0.0669075,,110.75,,84.55
23,0.070255,,111.5,,84.5
24,0.0736025,,112.25,,84.45
25,0.07695,,113,,84.4
26,0.08033,,113.6,,84.32
27,0.08371,,114.2,,84.24
28,0.08709,,114.8,,84.16
29,0.09047,,115.4,,84.08
30,0.09385,,116,,84
31,0.097188,,116.6,,84.04
32,0.100526,,117.2,,84.08
33,0.103864,,117.8,,84.12
34,0.107202,,118.4,,84.16
35,0.11054,,119,,84.2
36,0.113847,,119.286,,84.2
37,0.117154,,119.571,,84.2
38,0.120461,,119.857,,84.2
39,0.123769,,120.143,,84.2
40,0.127076,,120.429,,84.2
41,0.130383,,120.714,,84.2
42,0.13369,,121,,84.2
43,0.136971,,121.286,,84.2286
44,0.140253,,121.571,,84.2571
45,0.143534,,121.857,,84.2857
46,0.146816,,122.143,,84.3143
47,0.150097,,122.429,,84.3429
48,0.153379,,122.714,,84.3714
49,0.15666,,123,,84.4
50,0.15994,,123.6,,84.36
51,0.16322,,124.2,,84.32
52,0.1665,,124.8,,84.28
53,0.16978,,125.4,,84.24
54,0.17306,,126,,84.2
55,0.176311,,126.429,,84.2571
56,0.179563,,126.857,,84.3143
57,0.182814,,127.286,,84.3714
58,0.186066,,127.714,,84.4286
59,0.189317,,128.143,,84.4857
60,0.192569,,128.571,,84.5429
61,0.19582,,129,,84.6
62,0.199027,,129.143,,84.6857
63,0.202234,,129.286,,84.7714
64,0.205441,,129.429,,84.8571
65,0.208649,,129.571,,84.9429
66,0.211856,,129.714,,85.0286
67,0.215063,,129.857,,85.1143
68,0.21827,,130,,85.2
69,0.221487,,130.143,,85.2
70,0.224704,,130.286,,85.2
71,0.227921,,130.429,,85.2
72,0.231139,,130.571,,85.2
73,0.234356,,130.714,,85.2
74,0.237573,,130.857,,85.2
75,0.24079,,131,,85.2
76,0.244029,,131.286,,85.2571
77,0.247267,,131.571,,85.3143
78,0.250506,,131.857,,85.3714
79,0.253744,,132.143,,85.4286
80,0.256983,,132.429,,85.4857
81,0.260221,,132.714,,85.5429
82,0.26346,,133,,85.6
83,0.26675,,133,,85.6
84,0.269314,,133.25,,85.6
85,0.271877,,133.5,,85.6
86,0.274441,,133.75,,85.6
87,0.277005,,134,,85.6
88,0.279569,,134.25,,85.6
89,0.282132,,134.5,,85.6
90,0.284696,,134.75,,85.6
91,0.28726,,135,,85.6
92,0.289985,,135,,85.7
93,0.29271,,135,,85.8
94,0.2958,,135,,86
95,0.29845,,135.333,,86.1333
96,0.3011,,135.667,,86.2667
97,0.30375,,136,,86.4
98,0.30638,,136.333,,86.5333
99,0.30901,,136.667,,86.6667
100,0.31164,,137,,86.8
101,0.31514,,137,,86.7
102,0.31864,,137,,86.6
103,0.32158,,137.5,,86.7
104,0.32452,,138,,86.8
105,0.3274,,138,,86.8
106,0.33028,,138,,86.8
107,0.333507,,138,,86.95
108,0.336735,,138,,87.1
109,0.339963,,138,,87.25
110,0.34319,,138,,87.4
111,0.346066,,138.2,,87.4
112,0.348942,,138.4,,87.4
113,0.351818,,138.6,,87.4
114,0.354694,,138.8,,87.4
115,0.35757,,139,,87.4
116,0.360593,,139,,87.4333
117,0.363617,,139,,87.4667
118,0.36664,,139,,87.5
119,0.369663,,139,,87.5333
120,0.372687,,139,,87.5667
121,0.37571,,139,,87.6
122,0.379297,,139,,87.6667
123,0.382883,,139,,87.7333
124,0.38647,,139,,87.8
125,0.389635,,139,,87.8
126,0.3928,,139,,87.8
127,0.39639,,139,,87.85
128,0.39998,,139,,87.9
129,0.40357,,139,,87.95
130,0.40716,,139,,88
131,0.41062,,139.25,,88
132,0.41408,,139.5,,88
133,0.41754,,139.75,,88
134,0.421,,140,,88
135,0.424132,,140,,88
136,0.427264,,140,,88
137,0.430396,,140,,88
138,0.433528,,140,,88
139,0.43666,,140,,88
140,0.44002,,140.2,,88.04
141,0.44338,,140.4,,88.08
142,0.44674,,140.6,,88.12
143,0.4501,,140.8,,88.16
144,0.45346,,141,,88.2
145,0.45624,,141,,88
146,0.459108,,141.2,,88.04
147,0.461976,,141.4,,88.08
148,0.464844,,141.6,,88.12
149,0.467712,,141.8,,88.16
150,0.47058,,142,,88.2
151,0.472805,,142,,88.3
152,0.47503,,142,,88.4
153,0.477255,,142,,88.5
154,0.47948,,142,,88.6
155,0.48157,,142,,88.6
156,0.48366,,142,,88.6
157,0.48575,,142,,88.6
158,0.48697,,142,,88.8
159,0.488405,,142,,88.75
160,0.48984,,142,,88.7
161,0.491275,,142,,88.65
162,0.49271,,142,,88.6
163,0.49601,,141.75,,88.6
164,0.49931,,141.5,,88.6
165,0.50261,,141.25,,88.6
166,0.50591,,141,,88.6
167,0.51056,,141,,88.8
168,0.51527,,142,,88.8
169,0.518967,,142,,88.9333
170,0.522663,,142,,89.0667
171,0.52636,,142,,89.2
172,0.529485,,141.5,,89.2
173,0.53261,,141,,89.2
174,0.5335,,141,,89.2
175,0.53439,,141,,89.2
176,0.534577,,140.833,,89.2333
177,0.534763,,140.667,,89.2667
178,0.53495,,140.5,,89.3
179,0.535137,,140.333,,89.3333
180,0.535323,,140.167,,89.3667
181,0.53551,,140,,89.4
182,0.535603,,139,,89.4
183,0.535695,,138,,89.4
184,0.535787,,137,,89.4
185,0.53588,,136,,89.4
186,0.53599,,135.5,,89.3667
187,0.5361,,135,,89.3333
188,0.53621,,134.5,,89.3
189,0.53632,,134,,89.2667
190,0.53643,,133.5,,89.2333
191,0.53654,,133,,89.2
192,0.53665,,131,,89.3
193,0.53676,,129,,89.4
194,0.53676,,126,,89.4
195,0.537053,,124.667,,89.4
196,0.537347,,123.333,,89.4
197,0.53764,,122,,89.4
198,0.537745,,121,,89.4
199,0.53785,,120,,89.4
200,0.537852,,119.333,,89.4
201,0.537853,,118.667,,89.4
202,0.537855,,118,,89.4
203,0.537857,,117.333,,89.4
204,0.537858,,116.667,,89.4
205,0.53786,,116,,89.4
206,0.53786,,114,,89.4
207,0.53786,,112,,89.4
208,0.53786,,110,,89.4
209,0.53786,,108,,89.4
210,0.53786,,106.667,,89.4
211,0.53786,,105.333,,89.4
212,0.53786,,104,,89.4
213,0.537967,,102.333,,89.4
214,0.538073,,100.667,,89.4
215,0.53818,,99,,89.4
216,0.53827,,96,,89.4
217,0.538315,,94.5,,89.4
218,0.53836,,93,,89.4
219,0.539417,,94.3333,,89.4
220,0.540473,,95.6667,,89.4
221,0.54153,,97,,89.4
222,0.54505,,100,,89.4
223,0.54879,,103,,89.4
224,0.552645,,105,,89.3
225,0.5565,,107,,89.2
226,0.560185,,109,,89.4
227,0.56387,,111,,89.6
228,0.566857,,112,,89.7333
229,0.569843,,113,,89.8667
230,0.57283,,114,,90
231,0.576383,,115,,89.9333
232,0.579937,,116,,89.8667
233,0.58349,,117,,89.8
234,0.586583,,117.75,,89.9
235,0.589675,,118.5,,90
236,0.592768,,119.25,,90.1
237,0.59586,,120,,90.2
238,0.59917,,121,,90.1
239,0.60248,,122,,90
240,0.60509,,123.5,,90.2
241,0.6077,,125,,90.4
242,0.61141,,126,,90.4667
243,0.61512,,127,,90.5333
244,0.61883,,128,,90.6
245,0.62176,,128,,90.6
246,0.6245,,128.5,,90.7
247,0.62724,,129,,90.8
248,0.629513,,129.5,,90.8
