secs,km,power,hr,cad,alt
0,0,,133,,26.4
1,0.00301,,133,,25.6
2,0.00395,,133,,25.2
3,0.00395,,133,,25.2
4,0.00484,,133,,24.8
5,0.00609,,133,,24.8
6,0.00742,,133,,24.4
7,0.00892,,134,,24.2
8,0.01016,,134,,24.2
9,0.01104,,134,,24
10,0.01238,,134,,23.8
11,0.01401,,133,,23.8
12,0.01627,,133,,24
13,0.01848,,133,,24
14,0.02105,,133,,23.8
15,0.02431,,132,,24.4
16,0.02696,,132,,24.4
17,0.03038,,130,,24
18,0.03358,,129,,23.4
19,0.037,,129,,22.8
20,0.04022,,128,,22
21,0.04326,,128,,21.2
22,0.04603,,128,,20.4
23,0.05129,,129,,19.4
24,0.05129,,129,,19.4
25,0.05312,,130,,18.8
26,0.05532,,130,,18.2
27,0.0581,,131,,17.6
28,0.06094,,131,,17
29,0.06368,,132,,16.4
30,0.06596,,132,,16.4
31,0.06841,,132,,16
32,0.07098,,131,,16.2
33,0.0731,,131,,15.8
34,0.07547,,131,,15.8
35,0.07798,,131,,15.6
36,0.07985,,131,,15
37,0.08189,,131,,14.6
38,0.08399,,131,,14.8
39,0.08764,,131,,15.4
40,0.08991,,132,,15.2
41,0.09201,,132,,15.2
42,0.09379,,132,,15
43,0.09745,,133,,15.8
44,0.10191,,133,,16.4
45,0.10583,,133,,16.6
46,0.10846,,133,,16.2
47,0.11258,,133,,16.2
48,0.12307,,134,,18.2
49,0.13182,,134,,19.6
50,0.13715,,134,,19.6
51,0.14142,,133,,19.6
52,0.14474,,133,,19.4
53,0.14752,,133,,19
54,0.15045,,133,,18.6
55,0.15318,,133,,18.2
56,0.15624,,132,,17.8
57,0.15931,,132,,17.4
58,0.16239,,132,,17
59,0.16536,,133,,16.4
60,0.16806,,133,,16
61,0.1705,,133,,15.6
62,0.17268,,133,,15
63,0.1749,,134,,14.6
64,0.17681,,134,,14.2
65,0.17857,,134,,13.8
66,0.18034,,134,,13.4
67,0.18221,,134,,13
68,0.18494,,134,,12.4
69,0.18793,,135,,11.8
70,0.19071,,135,,11.2
71,0.19318,,135,,10.8
72,0.19568,,135,,10.2
73,0.19783,,136,,10
74,0.20015,,136,,9.4
75,0.20258,,135,,8.6
76,0.20578,,136,,7.6
77,0.20928,,135,,6.6
78,0.21278,,136,,5.8
79,0.21616,,137,,5
80,0.21851,,135,,4.4
81,0.22114,,137,,3.6
82,0.22293,,138,,3
83,0.22458,,137,,2.2
84,0.22606,,135,,1.8
85,0.22817,,134,,1.2
86,0.23054,,136,,0.4
87,0.23354,,137,,-0.2
88,0.23669,,136,,-0.8
89,0.23963,,136,,-1.6
90,0.24542,,136,,-3.2
91,0.24542,,136,,-3.2
