secs,km,power,hr,cad,alt
0,0,,78,,154.8
1,0.00013,,78,,154.8
2,0.002165,,78,,154.9
3,0.0042,,78,,155
4,0.006235,,78,,155.1
5,0.00827,,78,,155.2
6,0.012814,,78,,155.16
7,0.017358,,78,,155.12
8,0.021902,,78,,155.08
9,0.026446,,78,,155.04
10,0.03099,,78,,155
11,0.035048,,78,,154.92
12,0.039106,,78,,154.84
13,0.043164,,78,,154.76
14,0.047222,,78,,154.68
15,0.05128,,78,,154.6
16,0.0552133,,78,,154.633
17,0.0591467,,78,,154.667
18,0.06308,,78,,154.7
19,0.0670133,,78,,154.733
20,0.0709467,,78,,154.767
21,0.07488,,78,,154.8
22,0.07872,,77.8333,,154.767
23,0.08256,,77.6667,,154.733
24,0.0864,,77.5,,154.7
25,0.09024,,77.3333,,154.667
26,0.09408,,77.1667,,154.633
27,0.09792,,77,,154.6
28,0.101467,,77.1667,,154.567
29,0.105013,,77.3333,,154.533
30,0.10856,,77.5,,154.5
31,0.112107,,77.6667,,154.467
32,0.115653,,77.8333,,154.433
33,0.1192,,78,,154.4
34,0.122567,,78.1667,,154.367
35,0.125933,,78.3333,,154.333
36,0.1293,,78.5,,154.3
37,0.132667,,78.6667,,154.267
38,0.136033,,78.8333,,154.233
39,0.1394,,79,,154.2
40,0.143107,,79,,154.233
41,0.146813,,79,,154.267
42,0.15052,,79,,154.3
43,0.154227,,79,,154.333
44,0.157933,,79,,154.367
45,0.16164,,79,,154.4
46,0.1645,,80,,154.52
47,0.16736,,81,,154.64
48,0.17022,,82,,154.76
49,0.17308,,83,,154.88
50,0.17594,,84,,155
51,0.17848,,84,,155
52,0.18149,,84.3333,,155.133
53,0.1845,,84.6667,,155.267
54,0.18751,,85,,155.4
55,0.19052,,85.3333,,155.533
56,0.19353,,85.6667,,155.667
57,0.19654,,86,,155.8
58,0.199637,,87.3333,,155.867
59,0.202733,,88.6667,,155.933
60,0.20583,,90,,156
61,0.208914,,90,,156.114
62,0.211999,,90,,156.229
63,0.215083,,90,,156.343
64,0.218167,,90,,156.457
65,0.221251,,90,,156.571
66,0.224336,,90,,156.686
67,0.22742,,90,,156.8
68,0.230506,,90,,156.943
69,0.233591,,90,,157.086
70,0.236677,,90,,157.229
71,0.239763,,90,,157.371
72,0.242849,,90,,157.514
73,0.245934,,90,,157.657
74,0.24902,,90,,157.8
75,0.25213,,90,,158
76,0.254491,,90.75,,158.1
77,0.256852,,91.5,,158.2
78,0.259214,,92.25,,158.3
79,0.261575,,93,,158.4
80,0.263936,,93.75,,158.5
81,0.266298,,94.5,,158.6
82,0.268659,,95.25,,158.7
83,0.27102,,96,,158.8
84,0.27314,,96.5,,159
85,0.27526,,97,,159.2
86,0.277589,,97.3333,,159.289
87,0.279918,,97.6667,,159.378
88,0.282247,,98,,159.467
89,0.284576,,98.3333,,159.556
90,0.286904,,98.6667,,159.644
91,0.289233,,99,,159.733
92,0.291562,,99.3333,,159.822
93,0.293891,,99.6667,,159.911
94,0.29622,,100,,160
95,0.29876,,100,,160.08
96,0.3013,,100,,160.16
97,0.30384,,100,,160.24
98,0.30638,,100,,160.32
99,0.30892,,100,,160.4
100,0.312154,,101,,160.4
101,0.315388,,102,,160.4
102,0.318622,,103,,160.4
103,0.321856,,104,,160.4
104,0.32509,,105,,160.4
105,0.327645,,106.25,,160.5
106,0.3302,,107.5,,160.6
107,0.332755,,108.75,,160.7
108,0.33531,,110,,160.8
109,0.338226,,110.286,,160.829
110,0.341141,,110.571,,160.857
111,0.344057,,110.857,,160.886
112,0.346973,,111.143,,160.914
113,0.349889,,111.429,,160.943
114,0.352804,,111.714,,160.971
115,0.35572,,112,,161
116,0.358447,,112,,161.067
117,0.361173,,112,,161.133
118,0.3639,,112,,161.2
119,0.366591,,112.429,,161.229
