secs,km,power,hr,cad,alt
0,0,,81,55,95.8
1,0.00225,,82,58,96
2,0.00467,,83,66,96.2
3,0.00737,,84,76,96.4
4,0.01202,,87,77,96.4
5,0.01648,,89,78,96.6
6,0.02066,,91,78,96.6
7,0.02447,,93,80,96.6
8,0.02783,,94,80,96.6
9,0.03119,,96,81,96.6
10,0.03491,,98,81,96.6
11,0.03884,,100,81,96.6
12,0.04265,,100,81,96.6
13,0.04612,,102,81,96.6
14,0.04986,,102,81,96.6
15,0.05368,,104,81,96.6
16,0.05723,,105,81,96.6
17,0.06061,,105,81,96.6
18,0.06374,,106,81,96.6
19,0.06661,,106,81,96.6
20,0.06977,,107,81,96.6
21,0.07263,,107,81,96.8
22,0.07549,,107,81,96.6
23,0.07854,,108,81,96.6
24,0.08148,,108,81,96.6
25,0.08447,,109,81,96.8
26,0.0876,,109,81,96.4
27,0.09065,,109,81,96.6
28,0.09391,,109,81,96.6
29,0.09705,,110,81,96.6
30,0.09997,,111,80,96.8
31,0.10282,,111,80,96.8
32,0.10597,,112,80,96.8
33,0.10884,,112,80,96.8
34,0.11185,,112,80,97
35,0.11512,,113,80,97
36,0.11786,,113,80,97.2
37,0.12071,,114,80,97.2
38,0.12379,,114,80,97.2
39,0.12676,,115,80,97.2
40,0.12992,,115,80,97.2
41,0.13314,,115,80,97
42,0.13589,,116,81,97.2
43,0.13896,,117,81,97.2
44,0.14212,,117,81,97.4
45,0.14509,,118,81,97.4
46,0.14924,,119,81,97.2
47,0.15264,,119,81,97.2
48,0.15601,,119,81,97.2
49,0.15923,,120,81,97.2
50,0.16226,,120,81,97.2
51,0.16556,,121,81,97.2
52,0.16902,,121,81,97.2
53,0.17254,,122,81,97.4
54,0.17609,,122,81,97.2
55,0.17926,,123,80,97.6
56,0.18225,,123,80,97.6
57,0.18555,,123,80,97.4
58,0.18892,,123,81,97.4
59,0.19214,,123,81,97.6
60,0.19562,,123,81,97.4
61,0.19892,,123,80,97.4
62,0.20226,,123,80,97.2
63,0.20578,,124,80,97.2
64,0.20905,,124,80,97
65,0.21263,,124,81,96.8
66,0.21612,,124,81,96.6
67,0.21952,,124,81,96.4
68,0.22272,,124,81,96.6
69,0.22575,,125,81,96.8
70,0.22874,,125,81,96.6
71,0.23187,,125,81,96.6
72,0.23489,,125,81,96.6
73,0.23755,,125,81,96.4
74,0.23989,,126,81,96.4
75,0.24249,,125,81,96.4
76,0.24574,,125,81,96.4
77,0.24868,,125,81,96.4
78,0.25112,,125,81,96.4
79,0.25398,,125,81,96.4
80,0.25715,,125,81,96.8
81,0.26011,,125,81,96.8
82,0.26273,,126,81,96.6
83,0.26526,,126,81,96.6
84,0.26807,,126,81,96.4
85,0.27097,,126,82,96.4
86,0.27403,,126,82,96.2
87,0.27712,,126,82,96.4
88,0.28006,,126,82,96.4
89,0.28286,,126,82,96.4
90,0.28579,,126,82,96.4
91,0.28906,,126,81,96.4
92,0.29172,,127,81,96.4
93,0.2945,,126,81,96.8
94,0.29735,,127,81,96.8
95,0.30032,,127,81,96.8
96,0.3032,,127,81,96.6
97,0.30602,,128,81,96.6
98,0.30852,,128,81,96.4
99,0.31119,,128,81,96.4
100,0.3141,,128,81,96.4
101,0.31701,,128,81,96.6
102,0.31935,,128,81,96.4
103,0.32078,,128,79,96.2
104,0.32174,,128,79,96.4
105,0.32266,,128,0,96.4
106,0.32403,,127,72,96.2
107,0.32678,,127,73,96.6
108,0.32999,,127,78,96.6
109,0.33382,,126,80,96.2
110,0.33801,,126,81,96
111,0.34239,,127,82,96.4
112,0.34647,,127,82,96
113,0.3501,,127,82,96
114,0.35397,,127,82,96.2
115,0.35768,,127,82,96.4
116,0.36106,,127,82,96.6
117,0.36464,,127,82,96.6
118,0.36804,,128,82,96.6
119,0.37118,,128,82,96.4
120,0.37418,,128,82,96.4
121,0.37722,,129,81,96.4
122,0.37991,,129,81,96.4
123,0.38265,,129,81,96.4
124,0.38523,,129,81,96.4
125,0.38782,,130,81,96.4
126,0.39065,,130,81,96.4
127,0.39375,,130,81,96.2
128,0.39699,,130,81,96.2
129,0.40091,,130,82,96.2
130,0.40479,,130,82,96.4
131,0.40883,,130,82,96.2
132,0.41285,,130,82,96.2
133,0.41639,,131,82,96.2
134,0.42036,,131,82,96.2
135,0.42424,,131,82,96.2
136,0.42767,,131,82,96.4
137,0.43167,,131,82,96.4
138,0.43549,,132,82,96.2
139,0.43906,,131,81,96.4
140,0.44278,,132,81,96.2
141,0.44632,,131,81,96.2
142,0.44979,,132,81,96.2
143,0.45363,,131,81,96.2
144,0.45713,,132,81,96.2
145,0.46071,,131,80,96.2
146,0.46441,,131,80,96
147,0.46786,,131,80,96
148,0.47139,,132,81,96
149,0.47462,,131,81,96
150,0.47759,,132,81,96
151,0.48085,,131,82,96
152,0.48407,,131,83,96
153,0.48706,,131,83,96
154,0.49016,,131,83,96
155,0.49336,,132,83,96
156,0.49662,,132,83,96
157,0.49999,,132,83,96
158,0.50336,,132,83,95.8
159,0.50673,,132,83,95.8
160,0.51008,,132,84,95.8
161,0.51346,,131,84,95.8
162,0.51646,,132,83,95.8
163,0.51966,,132,83,95.8
164,0.52297,,132,84,95.8
165,0.52629,,132,84,95.8
166,0.52967,,132,84,95.8
167,0.53291,,132,84,96
168,0.53616,,132,84,96
169,0.53951,,132,84,96
170,0.54285,,132,84,96
171,0.54622,,132,85,96
172,0.54957,,133,85,96
173,0.553,,132,85,96
174,0.55658,,132,85,95.8
175,0.56011,,133,85,96
176,0.56397,,133,85,96
177,0.56748,,133,84,96
178,0.57142,,133,84,96
179,0.57531,,132,84,96
180,0.57927,,133,84,95.8
181,0.5831,,133,84,95.8
182,0.58657,,133,84,95.8
183,0.59025,,133,84,95.8
184,0.59381,,134,84,95.8
185,0.59723,,134,84,95.6
186,0.60059,,134,84,95.4
187,0.60394,,134,84,95.2
188,0.60767,,135,84,95
189,0.61136,,135,86,94.6
190,0.6151,,135,89,94.4
191,0.61897,,134,89,94
192,0.62297,,135,90,93.8
193,0.62698,,134,90,93.6
194,0.63087,,135,89,93.6
195,0.63455,,135,88,93.6
196,0.63819,,134,87,93.6
197,0.64162,,134,86,93.6
198,0.64512,,134,86,93.4
199,0.6489,,135,86,93.4
200,0.65279,,134,86,93.4
201,0.65686,,134,86,93.2
202,0.66067,,135,86,93
203,0.66463,,135,86,93
204,0.66845,,135,86,93
205,0.67237,,135,86,93
206,0.67631,,135,86,93.2
207,0.67995,,135,86,93.2
208,0.6838,,135,87,93.2
209,0.68726,,135,87,93.4
210,0.69103,,135,87,93.4
211,0.69454,,135,87,93.6
212,0.69815,,135,86,93.6
213,0.70171,,136,86,93.8
214,0.70509,,135,86,93.8
215,0.70872,,135,85,94
216,0.71187,,135,85,94
217,0.71537,,135,85,94.2
218,0.71875,,135,86,94.4
219,0.72244,,135,85,94.4
220,0.72603,,134,85,94.4
221,0.7295,,134,85,94.4
222,0.73298,,134,85,94.4
223,0.73606,,133,86,94.2
224,0.73954,,133,86,94.2
225,0.74292,,133,85,94.2
226,0.74641,,132,86,94.2
227,0.74992,,132,86,94.2
228,0.75333,,132,86,94.4
229,0.75684,,132,86,94.4
230,0.76036,,132,86,94.4
231,0.76404,,132,86,94.4
232,0.76726,,133,86,94.2
233,0.77055,,133,86,94.2
234,0.7739,,134,86,94.4
235,0.77747,,134,86,94.4
236,0.78106,,135,87,94.2
237,0.78452,,135,87,94.2
238,0.78795,,136,86,94.2
239,0.79092,,136,85,94.2
240,0.7941,,136,85,94.4
241,0.79702,,137,86,94.4
242,0.79985,,137,87,94.4
243,0.80286,,136,87,94.4
244,0.80604,,137,86,94.4
245,0.80957,,137,86,94.4
246,0.81294,,137,86,94.2
247,0.81643,,137,86,94.4
248,0.81969,,137,86,94.4
249,0.82306,,137,86,94.4
250,0.82647,,137,86,94.4
251,0.82954,,137,85,94.4
252,0.83225,,137,85,94.6
253,0.83442,,137,84,94.6
254,0.83669,,136,83,94.8
255,0.83925,,137,83,94.6
256,0.84202,,136,82,94.4
257,0.8452,,137,82,94.4
258,0.84864,,137,83,94.2
259,0.85219,,137,84,94.2
260,0.85568,,137,84,94.2
261,0.85913,,137,85,94.2
262,0.86256,,137,85,94.4
263,0.86604,,137,86,94.6
264,0.86952,,137,85,94.8
265,0.87288,,137,85,94.8
266,0.87636,,137,84,94.8
267,0.87994,,138,84,95
268,0.88357,,137,85,94.8
269,0.8872,,137,85,94.8
270,0.89065,,137,85,94.8
271,0.89409,,137,85,94.8
272,0.89745,,137,85,94.8
273,0.90078,,137,85,94.8
274,0.90398,,137,85,94.8
275,0.90711,,136,85,95
276,0.91017,,136,85,95
277,0.91321,,137,85,95
278,0.91641,,137,86,95
279,0.91962,,136,86,94.8
280,0.92285,,136,86,95
281,0.92616,,136,86,95
282,0.92952,,136,86,95
283,0.93268,,136,86,95.2
284,0.93566,,136,86,95.2
285,0.93866,,136,86,95.2
286,0.94161,,136,86,95
287,0.94486,,136,86,94.8
288,0.94819,,137,86,94.8
289,0.95133,,137,87,94.8
290,0.95445,,137,87,94.8
291,0.95777,,137,87,94.8
292,0.9611,,138,87,95
293,0.96434,,138,87,95
294,0.96764,,138,88,95
295,0.97084,,138,87,94.8
296,0.97408,,138,87,94.8
297,0.97717,,138,87,94.8
298,0.9804,,138,88,95
299,0.98363,,138,88,95
300,0.98685,,139,88,95
301,0.99004,,139,88,95
302,0.99361,,139,87,95
303,0.99714,,139,87,95
304,1.00043,,139,87,95
305,1.00374,,139,87,95
306,1.00685,,139,87,95
307,1.01001,,139,87,95.2
308,1.0132,,139,87,95
309,1.0165,,140,87,94.8
310,1.01984,,139,87,94.8
311,1.02339,,139,87,95
312,1.02691,,140,87,95
313,1.03043,,139,87,95
314,1.03378,,140,87,95
315,1.03709,,139,87,94.8
316,1.04033,,139,87,94.8
317,1.0437,,139,87,94.8
318,1.0472,,139,87,95
319,1.05071,,139,87,95
320,1.05423,,139,88,95
321,1.0576,,139,88,95
322,1.06118,,139,88,94.8
323,1.06475,,139,88,94.8
324,1.06842,,139,88,95
325,1.07192,,139,88,95
326,1.0754,,140,88,95
327,1.07888,,140,88,95
328,1.08246,,139,88,95
329,1.08596,,139,88,95
330,1.08957,,139,88,95.2
331,1.09312,,139,88,95
332,1.09671,,139,88,94.8
333,1.10026,,140,87,94.8
334,1.10374,,139,87,95
335,1.10719,,139,87,95
336,1.11047,,139,87,95
337,1.11383,,140,87,95.2
338,1.11719,,139,87,95.2
339,1.12076,,140,87,95.2
340,1.12429,,140,88,95.2
341,1.12789,,140,88,95.2
342,1.13127,,140,88,95.2
343,1.13475,,140,88,95.2
344,1.13831,,140,88,95.2
345,1.1419,,141,88,95
346,1.14535,,141,88,95
347,1.14872,,141,88,94.8
348,1.1522,,141,88,95
349,1.15559,,141,88,95
350,1.15903,,142,88,95
351,1.16246,,142,89,95
352,1.16596,,142,89,95
353,1.16935,,142,89,95
354,1.1728,,142,89,95
355,1.17615,,142,88,95
356,1.17962,,142,88,95
357,1.18319,,142,88,95.2
358,1.18686,,142,88,95.2
359,1.19036,,142,88,95
360,1.19395,,142,88,95
361,1.19773,,142,88,95.4
362,1.2014,,141,88,95.2
363,1.20477,,142,88,95
364,1.2081,,142,88,94.8
365,1.21127,,141,89,94.8
366,1.21441,,142,89,94.8
367,1.21762,,142,89,94.8
368,1.22111,,142,88,94.6
369,1.22457,,142,88,94.8
370,1.22788,,142,88,95
371,1.23138,,142,88,95
372,1.23487,,142,88,95
373,1.23856,,142,88,95
374,1.24232,,142,88,95
375,1.24606,,142,88,94.8
376,1.24981,,142,88,94.8
377,1.25309,,142,88,94.8
378,1.25661,,143,88,95
379,1.26024,,142,88,95
380,1.26398,,142,89,95.2
381,1.26777,,143,89,95
382,1.27152,,143,89,95
383,1.27527,,143,89,94.8
384,1.27894,,143,89,94.8
385,1.28262,,143,89,94.8
386,1.28629,,143,89,94.6
387,1.28992,,144,90,94.6
388,1.29352,,144,90,94.6
389,1.29711,,144,90,94.4
390,1.30081,,144,89,94.6
391,1.30461,,144,89,94.6
392,1.30837,,144,89,94.4
393,1.3121,,144,89,94.4
394,1.31579,,144,90,94.4
395,1.31951,,144,90,94.4
396,1.32313,,144,91,94.6
397,1.32695,,144,90,94.6
398,1.33055,,144,90,94.6
399,1.33412,,144,90,94.6
400,1.33754,,144,90,94.6
401,1.34119,,144,90,94.6
402,1.34476,,144,90,94.6
403,1.34866,,144,90,94.6
404,1.3525,,144,89,94.4
405,1.35623,,144,89,94.4
406,1.35985,,145,89,94.6
407,1.36362,,145,89,94.6
408,1.36717,,144,89,94.6
409,1.37067,,144,89,94.6
410,1.37389,,144,89,94.4
411,1.37726,,144,89,94.4
412,1.38035,,144,89,94.6
413,1.38327,,143,89,94.4
414,1.38612,,144,89,94.4
415,1.38921,,144,89,94.4
416,1.39256,,144,89,94.4
417,1.39582,,144,89,94.4
418,1.39909,,144,90,94.4
419,1.40267,,144,90,94.6
420,1.40636,,145,90,94.6
421,1.41017,,145,89,94.8
422,1.41384,,145,89,94.8
423,1.4174,,145,89,94.8
424,1.4209,,145,89,95
425,1.42449,,146,89,95
426,1.42809,,145,89,95
427,1.43163,,145,89,95.2
428,1.4351,,145,89,95.4
429,1.43812,,146,89,95.6
430,1.44152,,145,88,95.8
431,1.44493,,145,88,96
432,1.44818,,145,88,96.2
433,1.45134,,146,88,96.4
434,1.45458,,146,88,96.6
435,1.45819,,146,88,97
436,1.46217,,147,88,97.2
437,1.46581,,147,88,97.4
438,1.46947,,147,88,97.6
439,1.47298,,148,89,98
440,1.4769,,148,89,98.2
441,1.48055,,149,90,98.4
442,1.48434,,149,89,98.6
