secs,km,power,hr,cad,alt
0,0,,98,,0
1,0.00237,,99.5,,0
2,0.00474,,101,,0
3,0.00771,,102.5,,0
4,0.01068,,104,,0
5,0.01441,,106,,0
6,0.01814,,108,,0
7,0.021915,,110,,0
8,0.02569,,112,,0
9,0.0294633,,113.333,,0
10,0.0332367,,114.667,,0
11,0.03701,,116,,0
12,0.0407833,,117,,0
13,0.0445567,,118,,0
14,0.04833,,119,,0
15,0.0521025,,119.75,,0
16,0.055875,,120.5,,0
17,0.0596475,,121.25,,0
18,0.06342,,122,,0
19,0.0671617,,122.5,,0
20,0.0709033,,123,,0
21,0.074645,,123.5,,0
22,0.0783867,,124,,0
23,0.0821283,,124.5,,0
24,0.08587,,125,,0
25,0.089575,,125.167,,0
26,0.09328,,125.333,,0
27,0.096985,,125.5,,0
28,0.10069,,125.667,,0
29,0.104395,,125.833,,0
30,0.1081,,126,,0
31,0.111798,,126.167,,0
32,0.115497,,126.333,,0
33,0.119195,,126.5,,0
34,0.122893,,126.667,,0
35,0.126592,,126.833,,0
36,0.13029,,127,,0
37,0.134008,,127.333,,0
38,0.137727,,127.667,,0
39,0.141445,,128,,0
40,0.145163,,128.333,,0
41,0.148882,,128.667,,0
42,0.1526,,129,,0
43,0.156342,,129.333,,0
44,0.160083,,129.667,,0
45,0.163825,,130,,0
46,0.167567,,130.333,,0
47,0.171308,,130.667,,0
48,0.17505,,131,,0
49,0.178803,,131.333,,0
50,0.182557,,131.667,,0
51,0.18631,,132,,0
52,0.190063,,132.333,,0
53,0.193817,,132.667,,0
54,0.19757,,133,,0
55,0.201338,,133.333,,0
56,0.205107,,133.667,,0
57,0.208875,,134,,0
58,0.212643,,134.333,,0
59,0.216412,,134.667,,0
60,0.22018,,135,,0
61,0.22396,,135.333,,0
62,0.22774,,135.667,,0
63,0.23152,,136,,0
64,0.2353,,136.333,,0
65,0.23908,,136.667,,0
66,0.24286,,137,,0
67,0.246653,,137.333,,0
68,0.250447,,137.667,,0
69,0.25424,,138,,0
70,0.258033,,138.333,,0
71,0.261827,,138.667,,0
72,0.26562,,139,,0
73,0.269407,,139.333,,0
74,0.273193,,139.667,,0
75,0.27698,,140,,0
76,0.280767,,140.333,,0
77,0.284553,,140.667,,0
78,0.28834,,141,,0
79,0.292105,,141.167,,0
80,0.29587,,141.333,,0
81,0.299635,,141.5,,0
82,0.3034,,141.667,,0
83,0.307165,,141.833,,0
84,0.31093,,142,,0
85,0.314663,,142.167,,0
86,0.318397,,142.333,,0
87,0.32213,,142.5,,0
88,0.325863,,142.667,,0
89,0.329597,,142.833,,0
90,0.33333,,143,,0
91,0.337007,,143,,0
92,0.340683,,143,,0
93,0.34436,,143,,0
94,0.348037,,143,,0
