secs,km,power,hr,cad,alt
0,0,,77,,235.8
1,0.00064,,78,,237.8
2,0.002505,,79.5,,239.8
3,0.00437,,81,,241.8
4,0.0060425,,81,,242.25
5,0.007715,,81,,242.7
6,0.0093875,,81,,243.15
7,0.01106,,81,,243.6
8,0.014095,,86.5,,243.8
9,0.01713,,92,,244
10,0.02271,,96,,242.8
11,0.02709,,96,,240.8
12,0.030095,,103,,241.3
13,0.0331,,110,,241.8
14,0.03495,,110,,243.4
15,0.03727,,117,,244.2
16,0.03992,,122,,244.6
17,0.04268,,122,,245.8
18,0.04513,,122,,246.6
19,0.0478475,,122.25,,247.15
20,0.050565,,122.5,,247.7
21,0.0532825,,122.75,,248.25
22,0.056,,123,,248.8
23,0.0587175,,123.25,,249.35
24,0.061435,,123.5,,249.9
25,0.0641525,,123.75,,250.45
26,0.06687,,124,,251
27,0.07013,,125.667,,251.333
28,0.07339,,127.333,,251.667
29,0.07665,,129,,252
30,0.07964,,129,,252.2
31,0.0832,,134,,251.8
32,0.08686,,134,,251.2
33,0.0895733,,133.167,,251.167
34,0.0922867,,132.333,,251.133
35,0.095,,131.5,,251.1
36,0.0977133,,130.667,,251.067
37,0.100427,,129.833,,251.033
38,0.10314,,129,,251
39,0.105776,,130.143,,251.2
40,0.108411,,131.286,,251.4
41,0.111047,,132.429,,251.6
42,0.113683,,133.571,,251.8
43,0.116319,,134.714,,252
44,0.118954,,135.857,,252.2
45,0.12159,,137,,252.4
46,0.12439,,137,,252.8
47,0.127346,,137.143,,253.029
48,0.130301,,137.286,,253.257
49,0.133257,,137.429,,253.486
50,0.136213,,137.571,,253.714
51,0.139169,,137.714,,253.943
52,0.142124,,137.857,,254.171
53,0.14508,,138,,254.4
54,0.148067,,139.167,,254.533
55,0.151053,,140.333,,254.667
56,0.15404,,141.5,,254.8
57,0.157027,,142.667,,254.933
58,0.160013,,143.833,,255.067
59,0.163,,145,,255.2
60,0.16499,,146,,255.2
61,0.167165,,147.5,,255.1
62,0.16934,,149,,255
63,0.17191,,146,,254.8
64,0.174553,,147.333,,254.8
65,0.177197,,148.667,,254.8
66,0.17984,,150,,254.8
67,0.182359,,150,,254.7
68,0.184878,,150,,254.6
69,0.187396,,150,,254.5
70,0.189915,,150,,254.4
71,0.192434,,150,,254.3
72,0.194953,,150,,254.2
73,0.197471,,150,,254.1
74,0.19999,,150,,254
75,0.20221,,149.5,,253.5
76,0.20443,,149,,253
77,0.20665,,148.5,,252.5
78,0.20887,,148,,252
79,0.21109,,147.5,,251.5
80,0.21331,,147,,251
81,0.215894,,147,,250.55
82,0.218477,,147,,250.1
83,0.221061,,147,,249.65
84,0.223645,,147,,249.2
85,0.226229,,147,,248.75
86,0.228813,,147,,248.3
87,0.231396,,147,,247.85
88,0.23398,,147,,247.4
89,0.236796,,148.2,,247.08
90,0.239612,,149.4,,246.76
91,0.242428,,150.6,,246.44
92,0.245244,,151.8,,246.12
93,0.24806,,153,,245.8
94,0.250754,,153.125,,245.35
95,0.253447,,153.25,,244.9
96,0.256141,,153.375,,244.45
97,0.258835,,153.5,,244
98,0.261529,,153.625,,243.55
99,0.264223,,153.75,,243.1
100,0.266916,,153.875,,242.65
101,0.26961,,154,,242.2
102,0.27227,,157,,242.4
103,0.27534,,157,,242.086
104,0.27841,,157,,241.771
105,0.28148,,157,,241.457
106,0.28455,,157,,241.143
107,0.28762,,157,,240.829
108,0.29069,,157,,240.514
109,0.29376,,157,,240.2
110,0.29674,,158.5,,239.6
111,0.29972,,160,,239
112,0.302667,,160.143,,238.886
113,0.305614,,160.286,,238.771
114,0.308561,,160.429,,238.657
115,0.311509,,160.571,,238.543
116,0.314456,,160.714,,238.429
117,0.317403,,160.857,,238.314
118,0.32035,,161,,238.2
119,0.32304,,161.2,,238.6
120,0.32573,,161.4,,239
121,0.32842,,161.6,,239.4
122,0.33111,,161.8,,239.8
123,0.3338,,162,,240.2
124,0.336068,,162,,240.111
125,0.338336,,162,,240.022
126,0.340603,,162,,239.933
127,0.342871,,162,,239.844
128,0.345139,,162,,239.756
129,0.347407,,162,,239.667
130,0.349674,,162,,239.578
131,0.351942,,162,,239.489
132,0.35421,,162,,239.4
133,0.356536,,161.5,,239.3
134,0.358863,,161,,239.2
135,0.361189,,160.5,,239.1
136,0.363515,,160,,239
137,0.365841,,159.5,,238.9
138,0.368167,,159,,238.8
139,0.370494,,158.5,,238.7
140,0.37282,,158,,238.6
141,0.375278,,158,,238.367
142,0.377737,,158,,238.133
143,0.380195,,158,,237.9
144,0.382653,,158,,237.667
145,0.385112,,158,,237.433
146,0.38757,,158,,237.2
147,0.38931,,159,,237.3
148,0.39105,,160,,237.4
149,0.3927,,163,,237
150,0.394855,,163.5,,236.7
151,0.39701,,164,,236.4
152,0.399165,,164.5,,236.1
153,0.40132,,165,,235.8
154,0.403475,,165.5,,235.5
155,0.40563,,166,,235.2
156,0.408409,,166.125,,234.8
157,0.411187,,166.25,,234.4
158,0.413966,,166.375,,234
159,0.416745,,166.5,,233.6
160,0.419524,,166.625,,233.2
161,0.422303,,166.75,,232.8
162,0.425081,,166.875,,232.4
163,0.42786,,167,,232
164,0.430368,,167,,232.2
165,0.432875,,167,,232.4
166,0.435383,,167,,232.6
167,0.43789,,167,,232.8
168,0.440397,,167,,233
169,0.442905,,167,,233.2
170,0.445412,,167,,233.4
171,0.44792,,167,,233.6
172,0.45061,,166.75,,233.675
173,0.4533,,166.5,,233.75
174,0.45599,,166.25,,233.825
175,0.45868,,166,,233.9
176,0.46137,,165.75,,233.975
177,0.46406,,165.5,,234.05
178,0.46675,,165.25,,234.125
179,0.46944,,165,,234.2
180,0.472399,,165.143,,233.971
181,0.475357,,165.286,,233.743
182,0.478316,,165.429,,233.514
183,0.481274,,165.571,,233.286
184,0.484233,,165.714,,233.057
185,0.487191,,165.857,,232.829
186,0.49015,,166,,232.6
187,0.493164,,165.571,,232.371
188,0.496179,,165.143,,232.143
189,0.499193,,164.714,,231.914
190,0.502207,,164.286,,231.686
191,0.505221,,163.857,,231.457
192,0.508236,,163.429,,231.229
193,0.51125,,163,,231
194,0.514302,,162.25,,230.8
195,0.517355,,161.5,,230.6
196,0.520408,,160.75,,230.4
197,0.52346,,160,,230.2
198,0.52608,,159.167,,229.967
199,0.5287,,158.333,,229.733
200,0.53132,,157.5,,229.5
201,0.53394,,156.667,,229.267
202,0.53656,,155.833,,229.033
203,0.53918,,155,,228.8
204,0.54202,,155,,228.8
205,0.54466,,155.5,,229.1
206,0.5473,,156,,229.4
207,0.550266,,156,,229.457
208,0.553231,,156,,229.514
209,0.556197,,156,,229.571
210,0.559163,,156,,229.629
211,0.562129,,156,,229.686
212,0.565094,,156,,229.743
213,0.56806,,156,,229.8
214,0.571073,,156.429,,229.971
215,0.574086,,156.857,,230.143
216,0.577099,,157.286,,230.314
217,0.580111,,157.714,,230.486
218,0.583124,,158.143,,230.657
219,0.586137,,158.571,,230.829
220,0.58915,,159,,231
221,0.59181,,159,,230.95
222,0.59447,,159,,230.9
223,0.59713,,159,,230.85
224,0.59979,,159,,230.8
225,0.60202,,159,,231
226,0.60425,,159,,231.2
227,0.606743,,159,,231.356
228,0.609237,,159,,231.511
229,0.61173,,159,,231.667
