secs,km,power,hr,cad,alt
0,0,,128,,0
1,0,,129,,0
2,0,,131,,0
3,0,,133,,0
4,0,,136,,0
5,0,,139,,0
6,0,,142,,0
7,0.022,,144,,47.4
8,0.025,,146,,47.4
9,0.028,,149,,47.4
10,0.031,,151,,47.4
11,0.034,,152,,47.4
12,0.037,,154,,47.4
13,0.04,,155,,47.2
14,0.043,,156,,47.2
15,0.046,,157,,47.2
16,0.049,,158,,47.2
17,0.052,,159,,47.2
18,0.055,,160,,47.2
19,0.055,,161,,47.2
20,0.061,,162,,47.2
21,0.064,,162,,47.2
22,0.067,,162,,47.2
23,0.069,,163,,47.2
24,0.073,,163,,47.2
25,0.075,,163,,47.2
26,0.078,,163,,47.2
27,0.08,,163,,47.2
28,0.084,,163,,47.2
29,0.086,,163,,47.2
30,0.086,,163,,47.2
31,0.091,,163,,47.2
32,0.094,,163,,47.2
33,0.097,,163,,47.2
34,0.099,,163,,47.2
35,0.103,,164,,47.2
36,0.106,,164,,47
37,0.11,,164,,47
38,0.112,,164,,47
39,0.116,,164,,47
40,0.118,,166,,47
41,0.118,,166,,47
42,0.126,,166,,47
43,0.128,,166,,46.8
44,0.132,,167,,46.8
45,0.134,,168,,46.8
46,0.136,,168,,46.8
47,0.14,,168,,46.6
48,0.142,,168,,46.6
49,0.146,,168,,46.6
50,0.148,,168,,46.4
51,0.151,,168,,46.4
52,0.154,,169,,46.4
53,0.154,,169,,46.2
54,0.159,,168,,46.2
55,0.162,,168,,45.6
56,0.162,,168,,45
57,0.169,,168,,44.4
58,0.172,,168,,43.6
59,0.176,,167,,43
60,0.178,,166,,42.2
61,0.181,,166,,41.4
62,0.184,,166,,40.6
63,0.187,,166,,39.8
64,0.187,,166,,39.2
65,0.192,,166,,38.2
66,0.194,,168,,37.6
67,0.196,,168,,37
68,0.2,,168,,36.4
69,0.202,,169,,35.8
70,0.207,,170,,35.2
71,0.21,,171,,34.4
72,0.213,,172,,33.8
73,0.216,,172,,33.2
74,0.216,,173,,32.6
75,0.222,,174,,32
76,0.222,,175,,31.8
77,0.228,,176,,31
78,0.23,,176,,30.6
79,0.233,,176,,30.2
80,0.233,,178,,29.8
81,0.237,,178,,29.2
82,0.24,,178,,28.8
83,0.243,,176,,28.4
84,0.246,,176,,28
85,0.248,,174,,27.6
86,0.253,,174,,27.4
87,0.253,,172,,27
88,0.259,,172,,26.8
89,0.261,,170,,26.6
90,0.265,,170,,26.2
91,0.267,,170,,25.8
92,0.271,,170,,25.6
93,0.275,,169,,25.2
94,0.278,,169,,25
95,0.283,,169,,24.6
