secs,km,power,hr,cad,alt
0,0,,93,,10.09
1,0.0003,,92,,10.09
2,0.00094,,92,,10.09
3,0.00156,,93,,10.09
4,0.00255,,94,,10.1557
5,0.00325,,95,,10.2214
6,0.00355,,96,,10.2871
7,0.00408,,98,,10.3529
8,0.0046,,98,,10.4186
9,0.0052,,100,,10.4843
10,0.00586,,101,,10.55
11,0.0067,,102,,10.6157
12,0.01071,,104,,10.6814
13,0.01356,,105,,10.7471
14,0.01617,,105,,10.8129
15,0.01871,,106,,10.8786
16,0.02172,,106,,10.9443
17,0.02423,,106,,11.01
18,0.02664,,107,,10.945
19,0.02903,,107,,10.88
20,0.03129,,107,,10.815
21,0.03309,,108,,10.75
22,0.03491,,108,,10.685
23,0.03693,,108,,10.62
24,0.03905,,108,,10.555
25,0.04118,,108,,10.49
26,0.04342,,108,,10.425
27,0.04545,,108,,10.36
28,0.04709,,107,,10.2478
29,0.04934,,106,,10.1356
30,0.05084,,106,,10.0233
31,0.05247,,105,,9.91111
32,0.05673,,105,,9.79889
33,0.05993,,105,,9.68667
34,0.06271,,105,,9.57444
35,0.06565,,105,,9.46222
36,0.06828,,106,,9.35
37,0.07093,,106,,9.25222
38,0.07365,,106,,9.15444
39,0.07632,,105,,9.05667
40,0.07872,,105,,8.95889
41,0.08101,,105,,8.86111
42,0.08313,,105,,8.76333
43,0.0853,,104,,8.66556
44,0.0873,,103,,8.56778
45,0.08945,,103,,8.47
46,0.09151,,104,,8.5375
47,0.09351,,104,,8.605
48,0.09531,,104,,8.6725
49,0.09699,,104,,8.74
50,0.09895,,104,,8.8075
51,0.10094,,104,,8.875
52,0.10318,,104,,8.9425
53,0.10481,,105,,9.01
54,0.10609,,106,,9.0775
55,0.1078,,106,,9.145
56,0.1097,,107,,9.2125
57,0.11162,,107,,9.28
58,0.11361,,108,,9.386
59,0.11562,,108,,9.492
60,0.11768,,109,,9.598
61,0.11964,,110,,9.704
62,0.12156,,111,,9.81
63,0.12353,,111,,9.916
64,0.12589,,112,,10.022
65,0.12795,,112,,10.128
66,0.13013,,112,,10.234
67,0.13278,,113,,10.34
68,0.13556,,113,,10.359
69,0.1379,,113,,10.378
70,0.13999,,114,,10.397
71,0.142,,115,,10.416
72,0.14393,,115,,10.435
73,0.14586,,115,,10.454
74,0.14788,,116,,10.473
75,0.14994,,116,,10.492
76,0.152,,116,,10.511
77,0.15417,,116,,10.53
78,0.1564,,117,,10.5655
79,0.1587,,117,,10.6009
80,0.16081,,118,,10.6364
81,0.16295,,119,,10.6718
82,0.1649,,119,,10.7073
83,0.16691,,119,,10.7427
84,0.16881,,120,,10.7782
85,0.17059,,120,,10.8136
86,0.17257,,121,,10.8491
87,0.17469,,121,,10.8845
88,0.17685,,121,,10.92
89,0.17917,,122,,10.98
90,0.18145,,122,,11.04
91,0.18394,,122,,11.1
92,0.18607,,122,,11.16
