secs,km,power,hr,cad,alt
0,0,,74,,90.2
1,0.00111,,75,,90.2
2,0.00221,,76.3333,,90.1333
3,0.00331,,77.6667,,90.0667
4,0.00441,,79,,90
5,0.00664667,,80,,90
6,0.00888333,,81,,90
7,0.01112,,82,,90
8,0.013025,,84.5,,90
9,0.01493,,87,,90
10,0.01714,,89,,90.1
11,0.01935,,91,,90.2
12,0.0218,,94,,90.2
13,0.02369,,96,,90.6
14,0.02558,,98,,91
15,0.03018,,102,,91.8
16,0.03117,,103.5,,92
17,0.03216,,105,,92.2
18,0.03377,,106.333,,92.6
19,0.03538,,107.667,,93
20,0.03699,,109,,93.4
21,0.0392575,,109.75,,93.75
22,0.041525,,110.5,,94.1
23,0.0437925,,111.25,,94.45
24,0.04606,,112,,94.8
25,0.0487437,,112.25,,95.225
26,0.0514275,,112.5,,95.65
27,0.0541112,,112.75,,96.075
28,0.056795,,113,,96.5
29,0.0594788,,113.25,,96.925
30,0.0621625,,113.5,,97.35
31,0.0648463,,113.75,,97.775
32,0.06753,,114,,98.2
33,0.0701538,,114.375,,98.55
34,0.0727775,,114.75,,98.9
35,0.0754013,,115.125,,99.25
36,0.078025,,115.5,,99.6
37,0.0806488,,115.875,,99.95
38,0.0832725,,116.25,,100.3
39,0.0858963,,116.625,,100.65
40,0.08852,,117,,101
41,0.090755,,117.75,,101.45
42,0.09299,,118.5,,101.9
43,0.095225,,119.25,,102.35
44,0.09746,,120,,102.8
45,0.099618,,120.6,,102.96
46,0.101776,,121.2,,103.12
47,0.103934,,121.8,,103.28
48,0.106092,,122.4,,103.44
49,0.10825,,123,,103.6
50,0.110436,,123.6,,103.92
51,0.112622,,124.2,,104.24
52,0.114808,,124.8,,104.56
53,0.116994,,125.4,,104.88
54,0.11918,,126,,105.2
55,0.121232,,126.6,,105.64
56,0.123284,,127.2,,106.08
57,0.125336,,127.8,,106.52
58,0.127388,,128.4,,106.96
59,0.12944,,129,,107.4
60,0.131769,,129.375,,107.875
61,0.134098,,129.75,,108.35
62,0.136426,,130.125,,108.825
63,0.138755,,130.5,,109.3
64,0.141084,,130.875,,109.775
65,0.143412,,131.25,,110.25
66,0.145741,,131.625,,110.725
67,0.14807,,132,,111.2
68,0.150585,,132.5,,111.6
69,0.1531,,133,,112
70,0.155615,,133.5,,112.4
71,0.15813,,134,,112.8
72,0.160645,,134.5,,113.2
73,0.16316,,135,,113.6
