secs,km,power,hr,cad,alt
0,0,,111,,136.6
1,0.00301,,111,,136.6
2,0.00603,,111,,136.4
3,0.00904,,111,,138.2
4,0.01259,,111,,138.4
5,0.01613,,111,,138.6
6,0.01968,,111,,138.4
7,0.02322,,111,,138.2
8,0.02678,,111,,138.2
9,0.03032,,111,,138.2
10,0.03381,,111,,138
11,0.03732,,111,,137.8
12,0.04081,,111,,137.6
13,0.04425,,111,,137.4
14,0.0477,,111,,137.4
15,0.05113,,111,,137.4
16,0.05424,,111,,137.4
17,0.05739,,111,,137.4
18,0.06061,,111,,137.4
19,0.06383,,111,,137.4
20,0.0671,,111,,137.4
21,0.07037,,111,,137.6
22,0.07367,,111,,137.4
23,0.07701,,111,,137.4
24,0.08041,,111,,137.4
25,0.08381,,111,,137.4
26,0.08719,,111,,137.2
27,0.09057,,111,,137.2
28,0.09397,,111,,137
29,0.09741,,92,,137.2
30,0.10089,,93,,137
31,0.10437,,91,,137.2
32,0.10783,,92,,137.4
33,0.11121,,94,,137.6
34,0.11455,,90,,137.6
35,0.11787,,89,,137.8
36,0.12116,,89,,137.6
37,0.12447,,89,,137.6
38,0.12781,,90,,137.4
39,0.13116,,89,,137.4
40,0.13454,,89,,137.4
41,0.13793,,88,,137.2
42,0.14139,,89,,137
43,0.1449,,89,,137
44,0.1484,,88,,137
45,0.1519,,88,,137
46,0.15522,,88,,137
47,0.15849,,88,,137
48,0.16175,,88,,137.4
49,0.16504,,88,,137.8
50,0.16831,,88,,138
51,0.17158,,88,,137.8
52,0.17485,,88,,137.6
53,0.17813,,88,,137.6
54,0.18146,,88,,137.4
55,0.18481,,88,,137
56,0.18815,,88,,136.8
57,0.19158,,88,,136.4
58,0.19522,,88,,136.2
59,0.19882,,88,,136
60,0.20242,,88,,136
61,0.20603,,88,,136
62,0.20964,,88,,136
63,0.21325,,88,,136
64,0.21688,,88,,136
65,0.22053,,88,,136
66,0.2242,,88,,136.2
67,0.22786,,88,,136.4
68,0.23158,,88,,136.4
69,0.23535,,88,,136.4
70,0.23907,,88,,136.4
71,0.24289,,88,,136.4
72,0.2467,,88,,136.2
73,0.25049,,88,,136.2
74,0.25416,,88,,136.2
75,0.25779,,88,,136
76,0.26142,,88,,136
77,0.26505,,88,,136.2
78,0.26882,,88,,136.2
79,0.27262,,88,,136.4
80,0.27642,,88,,136.4
81,0.28022,,88,,136.6
82,0.28407,,88,,136.8
83,0.28809,,88,,137
84,0.29212,,88,,137
85,0.29616,,88,,137.2
86,0.30016,,88,,137.2
87,0.30397,,88,,137.2
88,0.30777,,88,,137.2
89,0.31147,,88,,137.2
90,0.31515,,88,,137.2
91,0.31884,,88,,137.2
92,0.32259,,88,,136.8
93,0.32636,,88,,136.4
94,0.33013,,88,,135.8
95,0.3339,,88,,135.6
96,0.33767,,88,,135.4
97,0.34137,,88,,135.2
98,0.34495,,88,,135.2
99,0.34855,,88,,135.2
100,0.35219,,88,,134.8
101,0.35601,,88,,134.8
102,0.35995,,88,,134.4
103,0.3639,,88,,134.2
104,0.36784,,88,,134
105,0.37179,,136,,133.8
