secs,km,power,hr,cad,alt
0,0,,82,,23.4
1,0.00219,,82,,23.8
2,0.00465,,82,,23.6
3,0.00729,,88,,23.4
4,0.01002,,88,,23.2
5,0.01248,,91,,23.4
6,0.01539,,91,,23.8
7,0.0184517,,91.1667,,23.6667
8,0.0215133,,91.3333,,23.5333
9,0.024575,,91.5,,23.4
10,0.0276367,,91.6667,,23.2667
11,0.0306983,,91.8333,,23.1333
12,0.03376,,92,,23
13,0.03656,,92,,22.8
14,0.03963,,93.5,,22.5
15,0.0427,,95,,22.2
16,0.04581,,98,,22.2
17,0.049055,,99.5,,21.8
18,0.0523,,101,,21.4
19,0.05553,,103,,21.4
20,0.058785,,104.5,,21.4
21,0.06204,,106,,21.4
22,0.065375,,107.5,,21.5
23,0.06871,,109,,21.6
24,0.0721433,,110,,21.4667
25,0.0755767,,111,,21.3333
26,0.07901,,112,,21.2
27,0.08237,,113,,20.8
28,0.085556,,113.6,,20.72
29,0.088742,,114.2,,20.64
30,0.091928,,114.8,,20.56
31,0.095114,,115.4,,20.48
32,0.0983,,116,,20.4
33,0.101495,,115.5,,20.3
34,0.10469,,115,,20.2
35,0.1078,,115,,20.2
36,0.110917,,115.167,,20.1333
37,0.114033,,115.333,,20.0667
38,0.11715,,115.5,,20
39,0.120267,,115.667,,19.9333
40,0.123383,,115.833,,19.8667
41,0.1265,,116,,19.8
42,0.12961,,116,,19.8
43,0.132725,,116.333,,19.8
44,0.13584,,116.667,,19.8
45,0.138955,,117,,19.8
46,0.14207,,117.333,,19.8
47,0.145185,,117.667,,19.8
48,0.1483,,118,,19.8
49,0.15151,,118,,19.8
50,0.154532,,118.75,,19.8
51,0.157555,,119.5,,19.8
52,0.160577,,120.25,,19.8
53,0.1636,,121,,19.8
54,0.166917,,121.667,,19.8667
55,0.170233,,122.333,,19.9333
56,0.17355,,123,,20
57,0.1767,,123.75,,20.05
58,0.17985,,124.5,,20.1
59,0.183,,125.25,,20.15
60,0.18615,,126,,20.2
61,0.18919,,126.333,,20.1333
62,0.19223,,126.667,,20.0667
63,0.19527,,127,,20
64,0.198305,,127,,19.9
65,0.20134,,127,,19.8
66,0.204375,,127,,19.7
67,0.20741,,127,,19.6
68,0.210445,,127,,19.5
69,0.21348,,127,,19.4
70,0.216432,,126.833,,19.4
71,0.219383,,126.667,,19.4
72,0.222335,,126.5,,19.4
73,0.225287,,126.333,,19.4
74,0.228238,,126.167,,19.4
75,0.23119,,126,,19.4
76,0.23415,,126,,19.4
77,0.23726,,126,,19.4
78,0.24037,,126,,19.4
79,0.24348,,126,,19.4
80,0.24659,,126,,19.4
81,0.2497,,126,,19.4
82,0.252597,,126.167,,19.3667
83,0.255493,,126.333,,19.3333
84,0.25839,,126.5,,19.3
85,0.261287,,126.667,,19.2667
86,0.264183,,126.833,,19.2333
87,0.26708,,127,,19.2
88,0.27004,,127,,19
89,0.27321,,127,,19.2
90,0.276485,,127.167,,19.2333
91,0.27976,,127.333,,19.2667
92,0.283035,,127.5,,19.3
93,0.28631,,127.667,,19.3333
94,0.289585,,127.833,,19.3667
95,0.29286,,128,,19.4
96,0.296104,,128.6,,19.44
97,0.299348,,129.2,,19.48
98,0.302592,,129.8,,19.52
99,0.305836,,130.4,,19.56
100,0.30908,,131,,19.6
101,0.31239,,131,,19.6
102,0.315467,,131.333,,19.5667
103,0.318543,,131.667,,19.5333
104,0.32162,,132,,19.5
105,0.324697,,132.333,,19.4667
106,0.327773,,132.667,,19.4333
107,0.33085,,133,,19.4
108,0.334025,,133,,19.3
109,0.3372,,133,,19.2
110,0.340273,,133.167,,19.2333
111,0.343347,,133.333,,19.2667
112,0.34642,,133.5,,19.3
113,0.349493,,133.667,,19.3333
114,0.352567,,133.833,,19.3667
115,0.35564,,134,,19.4
116,0.35895,,134,,19.6
117,0.36226,,134,,19.8
118,0.365568,,134.25,,19.85
119,0.368875,,134.5,,19.9
120,0.372182,,134.75,,19.95
121,0.37549,,135,,20
122,0.3785,,135,,20.0667
123,0.38151,,135,,20.1333
124,0.38452,,135,,20.2
125,0.387533,,135.167,,20.3333
126,0.390547,,135.333,,20.4667
127,0.39356,,135.5,,20.6
128,0.396573,,135.667,,20.7333
129,0.399587,,135.833,,20.8667
130,0.4026,,136,,21
131,0.40565,,136,,21.2
132,0.408815,,136.333,,21.3333
133,0.41198,,136.667,,21.4667
134,0.415145,,137,,21.6
135,0.41831,,137.333,,21.7333
136,0.421475,,137.667,,21.8667
137,0.42464,,138,,22
138,0.42775,,138,,22.4
139,0.43071,,138,,22.6
140,0.433768,,138.167,,22.7
141,0.436827,,138.333,,22.8
142,0.439885,,138.5,,22.9
143,0.442943,,138.667,,23
144,0.446002,,138.833,,23.1
145,0.44906,,139,,23.2
146,0.45182,,139,,23.2
147,0.45485,,139.167,,23.2333
148,0.45788,,139.333,,23.2667
149,0.46091,,139.5,,23.3
150,0.46394,,139.667,,23.3333
151,0.46697,,139.833,,23.3667
152,0.47,,140,,23.4
153,0.472887,,139.667,,23.4
154,0.475773,,139.333,,23.4
