secs,km,power,hr,cad,alt
0,0,,67,,143.2
1,0.00133333,,65.3333,,143.267
2,0.00266667,,63.6667,,143.333
3,0.004,,62,,143.4
4,0.00749833,,62,,143.5
5,0.0109967,,62,,143.6
6,0.014495,,62,,143.7
7,0.0179933,,62,,143.8
8,0.0214917,,62,,143.9
9,0.02499,,62,,144
10,0.028515,,63.5,,144.1
11,0.03204,,65,,144.2
12,0.03531,,68,,144.2
13,0.03879,,71,,144.2
14,0.04239,,71,,144.4
15,0.04651,,74,,144.2
16,0.05054,,84,,144.4
17,0.0541,,84,,144.4
18,0.057745,,86.5,,144.4
19,0.06139,,89,,144.4
20,0.0646,,89,,144.2
21,0.0675,,90.3333,,144.067
22,0.0704,,91.6667,,143.933
23,0.0733,,93,,143.8
24,0.077446,,93.4,,143.68
25,0.081592,,93.8,,143.56
26,0.085738,,94.2,,143.44
27,0.089884,,94.6,,143.32
28,0.09403,,95,,143.2
29,0.098638,,95.4,,143.16
30,0.103246,,95.8,,143.12
31,0.107854,,96.2,,143.08
32,0.112462,,96.6,,143.04
33,0.11707,,97,,143
34,0.12137,,97.4,,142.96
35,0.12567,,97.8,,142.92
36,0.12997,,98.2,,142.88
37,0.13427,,98.6,,142.84
38,0.13857,,99,,142.8
39,0.143234,,99.4,,142.56
40,0.147898,,99.8,,142.32
41,0.152562,,100.2,,142.08
42,0.157226,,100.6,,141.84
43,0.16189,,101,,141.6
44,0.166465,,102.5,,141.5
45,0.17104,,104,,141.4
46,0.175572,,104.2,,141.36
47,0.180104,,104.4,,141.32
48,0.184636,,104.6,,141.28
49,0.189168,,104.8,,141.24
50,0.1937,,105,,141.2
51,0.19793,,105,,141.12
52,0.20216,,105,,141.04
53,0.20639,,105,,140.96
54,0.21062,,105,,140.88
55,0.21485,,105,,140.8
56,0.218336,,105.6,,140.84
57,0.221822,,106.2,,140.88
58,0.225308,,106.8,,140.92
59,0.228794,,107.4,,140.96
60,0.23228,,108,,141
61,0.2368,,108,,140.4
62,0.242625,,107.75,,139.85
63,0.24845,,107.5,,139.3
64,0.254275,,107.25,,138.75
65,0.2601,,107,,138.2
66,0.263773,,107.333,,137.9
