secs,km,power,hr,cad,alt
0,0,,80,,598
1,0,,0,,0
2,0,,0,,0
3,0.008,,84,,598
4,0.008,,0,,0
5,0.014,,87,,598
6,0.017,,89,,598
7,0.017,,0,,0
8,0.023,,95,,598
9,0.025,,98,,598
10,0.025,,0,,0
11,0.025,,0,,0
12,0.025,,0,,0
13,0.025,,0,,0
14,0.025,,0,,0
15,0.025,,0,,0
16,0.025,,0,,0
17,0.025,,0,,0
18,0.025,,110,,598
19,0.056,,112,,598
20,0.056,,0,,0
21,0.056,,0,,0
22,0.066,,115,,598
23,0.068,,116,,598
24,0.068,,0,,0
25,0.068,,0,,0
26,0.068,,0,,0
27,0.081,,119,,598
28,0.081,,0,,0
29,0.081,,0,,0
30,0.081,,0,,0
31,0.081,,0,,0
32,0.081,,0,,0
33,0.096,,120,,598
34,0.099,,120,,597
35,0.099,,0,,0
36,0.099,,0,,0
37,0.099,,0,,0
38,0.111,,120,,597
39,0.111,,0,,0
40,0.116,,120,,597
41,0.119,,120,,597
42,0.122,,120,,597
43,0.125,,120,,597
44,0.125,,0,,0
45,0.131,,122,,597
46,0.131,,0,,0
47,0.136,,122,,597
48,0.136,,0,,0
49,0.136,,0,,0
50,0.145,,123,,597
51,0.147,,123,,597
52,0.15,,124,,597
53,0.15,,0,,0
54,0.156,,126,,597
55,0.156,,0,,0
56,0.156,,0,,0
57,0.165,,126,,597
58,0.168,,125,,597
59,0.172,,125,,597
60,0.175,,124,,597
61,0.175,,0,,0
62,0.181,,124,,597
63,0.184,,123,,597
64,0.184,,0,,0
65,0.184,,0,,0
66,0.192,,124,,597
67,0.192,,0,,0
68,0.192,,0,,0
69,0.201,,125,,597
70,0.201,,0,,0
71,0.207,,126,,597
72,0.207,,0,,0
73,0.213,,128,,597
74,0.216,,128,,597
75,0.219,,128,,597
76,0.222,,128,,597
77,0.225,,128,,597
78,0.225,,0,,0
79,0.225,,0,,0
80,0.225,,0,,0
81,0.237,,128,,597
82,0.24,,128,,597
83,0.24,,0,,0
84,0.246,,129,,597
85,0.249,,129,,597
86,0.252,,130,,596
87,0.255,,130,,596
88,0.259,,130,,596
89,0.262,,130,,596
90,0.265,,130,,596
91,0.268,,130,,596
92,0.268,,0,,0
93,0.268,,0,,0
94,0.268,,0,,0
95,0.268,,0,,0
96,0.281,,131,,596
97,0.284,,131,,595
98,0.287,,131,,595
99,0.287,,0,,0
100,0.287,,0,,0
101,0.296,,129,,595
102,0.296,,0,,0
103,0.296,,0,,0
104,0.296,,0,,0
105,0.308,,131,,595
106,0.308,,0,,0
107,0.314,,129,,595
108,0.317,,128,,595
109,0.32,,126,,595
110,0.323,,125,,595
111,0.326,,125,,595
112,0.328,,126,,595
113,0.328,,0,,0
114,0.328,,0,,0
115,0.336,,126,,595
116,0.338,,126,,595
117,0.338,,0,,0
118,0.338,,0,,0
119,0.347,,126,,595
120,0.35,,126,,595
121,0.35,,0,,0
122,0.35,,0,,0
123,0.358,,128,,595
124,0.361,,128,,595
125,0.361,,0,,0
126,0.367,,129,,595
127,0.371,,128,,595
128,0.371,,0,,0
129,0.376,,124,,595
130,0.379,,122,,595
131,0.379,,0,,0
132,0.379,,120,,595
133,0.388,,120,,595
134,0.391,,120,,595
135,0.391,,0,,0
136,0.397,,119,,594
137,0.4,,119,,594
138,0.403,,120,,594
139,0.403,,0,,0
140,0.403,,0,,0
141,0.412,,121,,594
142,0.412,,0,,0
143,0.412,,0,,0
144,0.412,,0,,0
145,0.412,,0,,0
146,0.426,,119,,593
147,0.429,,119,,593
148,0.429,,0,,0
149,0.435,,120,,593
150,0.435,,0,,0
151,0.435,,0,,0
152,0.444,,118,,593
153,0.444,,0,,0
154,0.444,,0,,0
155,0.444,,0,,0
156,0.456,,116,,592
157,0.459,,116,,592
158,0.462,,116,,592
159,0.465,,117,,592
160,0.465,,0,,0
161,0.465,,0,,0
162,0.465,,0,,0
163,0.477,,118,,592
164,0.481,,117,,592
165,0.484,,116,,592
166,0.487,,116,,592
167,0.49,,116,,592
168,0.492,,116,,592
