secs,km,power,hr,cad,alt
0,0,,107,,0
1,0,,107,,34
2,0.003,,107,,34
3,0.005,,107,,34
4,0.005,,0,,0
5,0.027,,107,,35
6,0.027,,107,,34
7,0.027,,107,,34
8,0.027,,105,,33
9,0.027,,103,,32
10,0.027,,103,,32
11,0.027,,104,,32
12,0.027,,106,,32
13,0.027,,107,,32
14,0.027,,106,,32
15,0.027,,106,,33
16,0.027,,105,,33
17,0.027,,105,,33
18,0.027,,103,,33
19,0.027,,102,,33
20,0.027,,102,,33
21,0.027,,101,,33
22,0.027,,101,,33
23,0.027,,100,,33
24,0.027,,99,,33
25,0.027,,100,,33
26,0.027,,101,,33
27,0.027,,103,,33
28,0.027,,103,,34
29,0.027,,104,,34
30,0.027,,104,,35
31,0.027,,105,,35
32,0.027,,104,,35
33,0.027,,104,,35
34,0.027,,104,,34
35,0.027,,103,,34
36,0.027,,105,,34
37,0.027,,105,,34
38,0.027,,105,,34
39,0.027,,104,,34
40,0.027,,104,,33
41,0.027,,106,,33
42,0.027,,107,,33
43,0.027,,109,,33
44,0.027,,109,,33
45,0.027,,110,,33
46,0.027,,110,,33
47,0.027,,109,,33
48,0.038,,108,,33
49,0.038,,107,,33
50,0.038,,106,,33
51,0.038,,107,,33
52,0.038,,108,,33
53,0.038,,109,,33
54,0.038,,110,,33
55,0.038,,109,,33
56,0.049,,109,,33
57,0.049,,110,,33
58,0.049,,110,,33
59,0.049,,110,,33
60,0.049,,110,,33
61,0.049,,111,,33
62,0.049,,111,,33
63,0.049,,111,,33
64,0.049,,112,,33
65,0.049,,112,,33
66,0.049,,112,,33
67,0.049,,111,,33
68,0.049,,113,,33
69,0.049,,114,,33
70,0.06,,114,,33
71,0.06,,114,,33
72,0.06,,114,,33
73,0.06,,114,,33
74,0.06,,0,,0
75,0.07,,114,,33
76,0.07,,114,,33
77,0.07,,114,,32
78,0.07,,114,,32
79,0.07,,114,,32
80,0.07,,114,,32
81,0.07,,113,,32
82,0.07,,113,,32
83,0.07,,114,,32
84,0.07,,113,,32
85,0.07,,113,,32
86,0.07,,114,,33
87,0.07,,115,,33
88,0.07,,115,,33
89,0.07,,115,,33
90,0.07,,115,,33
91,0.07,,115,,33
92,0.07,,114,,33
93,0.07,,114,,33
94,0.07,,113,,33
95,0.07,,113,,33
96,0.07,,115,,33
97,0.07,,115,,33
98,0.07,,115,,33
99,0.073,,115,,33
100,0.076,,116,,33
101,0.078,,115,,33
102,0.081,,115,,33
103,0.082,,113,,33
104,0.082,,113,,33
105,0.082,,114,,33
106,0.082,,114,,33
107,0.082,,113,,33
108,0.082,,112,,33
109,0.082,,113,,33
110,0.082,,113,,33
111,0.082,,113,,33
112,0.082,,113,,33
113,0.082,,113,,33
114,0.082,,112,,33
115,0.082,,113,,33
116,0.082,,0,,0
117,0.093,,115,,33
118,0.093,,115,,33
119,0.093,,116,,33
120,0.093,,116,,33
121,0.093,,117,,33
122,0.093,,117,,33
123,0.093,,116,,33
124,0.093,,116,,33
125,0.103,,115,,33
126,0.103,,115,,33
127,0.103,,116,,33
128,0.103,,116,,33
129,0.103,,116,,33
130,0.113,,116,,33
131,0.113,,116,,33
132,0.113,,117,,33
