secs,km,power,hr,cad,alt
0,0,,77,,65.8
1,0.00270333,,78,,65.7333
2,0.00540667,,79,,65.6667
3,0.00811,,80,,65.6
4,0.01212,,82,,65.2
5,0.01577,,84,,65.8
6,0.01942,,86,,66.4
7,0.0227,,87.5,,65.7
8,0.02598,,89,,65
9,0.029145,,90.5,,64.8
10,0.03231,,92,,64.6
11,0.03545,,94,,65.1
12,0.03859,,96,,65.6
13,0.04228,,98,,67.2
14,0.0456267,,99.3333,,67.6667
15,0.0489733,,100.667,,68.1333
16,0.05232,,102,,68.6
17,0.05552,,103,,69.2
18,0.059065,,104,,69.4
19,0.06261,,105,,69.6
20,0.06533,,106,,69.8
21,0.06854,,107,,69.4667
22,0.07175,,108,,69.1333
23,0.07496,,109,,68.8
24,0.07782,,109,,68.2
25,0.07994,,110,,69.2
26,0.08374,,111,,69.0667
27,0.08754,,112,,68.9333
28,0.09134,,113,,68.8
29,0.09532,,114,,68.4
30,0.098815,,114.75,,68.45
31,0.10231,,115.5,,68.5
32,0.105805,,116.25,,68.55
33,0.1093,,117,,68.6
34,0.112775,,118,,68.7
35,0.11625,,119,,68.8
36,0.12018,,120,,69.8
37,0.123638,,120.75,,69.7
38,0.127095,,121.5,,69.6
39,0.130553,,122.25,,69.5
40,0.13401,,123,,69.4
41,0.13745,,123.5,,69.6
42,0.14089,,124,,69.8
43,0.144688,,124.6,,69.96
44,0.148486,,125.2,,70.12
45,0.152284,,125.8,,70.28
46,0.156082,,126.4,,70.44
47,0.15988,,127,,70.6
48,0.16283,,128,,70.6
49,0.16631,,127,,70.8
50,0.170072,,127.25,,70.95
51,0.173835,,127.5,,71.1
52,0.177597,,127.75,,71.25
53,0.18136,,128,,71.4
54,0.185033,,128.333,,71.3667
55,0.188707,,128.667,,71.3333
56,0.19238,,129,,71.3
57,0.196053,,129.333,,71.2667
58,0.199727,,129.667,,71.2333
59,0.2034,,130,,71.2
60,0.20697,,130.5,,71.1667
61,0.21054,,131,,71.1333
62,0.21411,,131.5,,71.1
63,0.21768,,132,,71.0667
64,0.22125,,132.5,,71.0333
65,0.22482,,133,,71
66,0.22811,,133.25,,71.25
67,0.2314,,133.5,,71.5
68,0.23469,,133.75,,71.75
69,0.23798,,134,,72
70,0.24144,,134,,72.2
71,0.2449,,134,,72.4
72,0.24836,,134,,72.6
73,0.251775,,134.5,,72.9
74,0.25519,,135,,73.2
75,0.258323,,135.25,,73.65
76,0.261455,,135.5,,74.1
77,0.264588,,135.75,,74.55
78,0.26772,,136,,75
79,0.27086,,136,,75.3333
80,0.274,,136,,75.6667
81,0.27714,,136,,76
82,0.28041,,136,,76.3
83,0.28368,,136,,76.6
84,0.286943,,136,,76.8
85,0.290207,,136,,77
86,0.29347,,136,,77.2
87,0.29697,,136,,77.3
88,0.30047,,136,,77.4
89,0.30381,,136.25,,77.55
90,0.30715,,136.5,,77.7
91,0.31049,,136.75,,77.85
92,0.31383,,137,,78
93,0.31618,,137,,78.2
94,0.31943,,137.25,,78.25
95,0.32268,,137.5,,78.3
96,0.32593,,137.75,,78.35
97,0.32918,,138,,78.4
98,0.332443,,138,,78.3667
99,0.335707,,138,,78.3333
100,0.33897,,138,,78.3
101,0.342233,,138,,78.2667
102,0.345497,,138,,78.2333
103,0.34876,,138,,78.2
104,0.351827,,138.25,,77.85
105,0.354895,,138.5,,77.5
106,0.357963,,138.75,,77.15
107,0.36103,,139,,76.8
108,0.36383,,139,,76.4
109,0.36663,,139,,76
110,0.369714,,139.2,,76.08
111,0.372798,,139.4,,76.16
112,0.375882,,139.6,,76.24
113,0.378966,,139.8,,76.32
114,0.38205,,140,,76.4
115,0.38538,,140,,75.8
116,0.388428,,140.2,,75.96
117,0.391476,,140.4,,76.12
118,0.394524,,140.6,,76.28
119,0.397572,,140.8,,76.44
120,0.40062,,141,,76.6
121,0.403945,,141,,76.5
122,0.40727,,141,,76.4
123,0.410595,,141,,76.3
124,0.41392,,141,,76.2
125,0.417245,,141,,76.1
126,0.42057,,141,,76
127,0.42373,,141,,75.8
128,0.42689,,141,,75.6
129,0.43005,,141,,75.4
130,0.43321,,141,,75.2
131,0.43637,,141,,75
132,0.43953,,141,,74.8
133,0.44269,,141,,74.6
134,0.446006,,141,,74.64
135,0.449322,,141,,74.68
136,0.452638,,141,,74.72
137,0.455954,,141,,74.76
138,0.45927,,141,,74.8
139,0.462378,,140.8,,74.56
140,0.465486,,140.6,,74.32
141,0.468594,,140.4,,74.08
142,0.471702,,140.2,,73.84
143,0.47481,,140,,73.6
144,0.47746,,139,,73.4
145,0.480948,,138.8,,73.2
146,0.484436,,138.6,,73
147,0.487924,,138.4,,72.8
148,0.491412,,138.2,,72.6
149,0.4949,,138,,72.4
150,0.497856,,137.8,,72.2
151,0.500812,,137.6,,72
152,0.503768,,137.4,,71.8
153,0.506724,,137.2,,71.6
154,0.50968,,137,,71.4
155,0.51279,,136.5,,71
156,0.5159,,136,,70.6
157,0.519445,,135.5,,71.1
158,0.52299,,135,,71.6
159,0.52658,,135,,72.2
160,0.53004,,134.8,,71.96
161,0.5335,,134.6,,71.72
162,0.53696,,134.4,,71.48
163,0.54042,,134.2,,71.24
164,0.54388,,134,,71
165,0.547294,,133.8,,71
166,0.550708,,133.6,,71
167,0.554122,,133.4,,71
168,0.557536,,133.2,,71
