secs,km,power,hr,cad,alt
0,0,,83,,45.5978
1,0.00591971,,84,,45.7978
2,0.00708465,,85.5,,45.7978
3,0.0082496,,87,,45.7978
4,0.00991952,,89,,45.7978
5,0.0115394,,92,,46.1977
6,0.0136393,,93.5,,46.2977
7,0.0157392,,95,,46.3977
8,0.0186391,,98,,46.5977
9,0.0218839,,99.5,,46.5977
10,0.0251288,,101,,46.5977
11,0.0279236,,103,,46.5977
12,0.0307185,,105,,46.5977
13,0.0335084,,107,,46.4977
14,0.0362982,,109,,46.3977
15,0.0393481,,110.5,,46.4977
16,0.0423979,,112,,46.5977
17,0.0454611,,113.333,,46.5311
18,0.0485243,,114.667,,46.4644
19,0.0515875,,116,,46.3977
20,0.0546073,,117.5,,46.2977
21,0.0576272,,119,,46.1977
22,0.0607804,,120,,46.1977
23,0.0639335,,121,,46.1977
24,0.0670867,,122,,46.1977
25,0.0702091,,122.75,,46.1977
26,0.0733314,,123.5,,46.1977
27,0.0764538,,124.25,,46.1977
28,0.0795761,,125,,46.1977
29,0.08269,,125.6,,46.1977
30,0.0858038,,126.2,,46.1977
31,0.0889177,,126.8,,46.1977
32,0.0920315,,127.4,,46.1977
33,0.0951454,,128,,46.1977
34,0.0978432,,128.6,,46.2377
35,0.100541,,129.2,,46.2777
36,0.103239,,129.8,,46.3177
37,0.105937,,130.4,,46.3577
38,0.108635,,131,,46.3977
39,0.111443,,131.5,,46.3977
40,0.114251,,132,,46.3977
41,0.117059,,132.5,,46.3977
42,0.119867,,133,,46.3977
43,0.122676,,133.5,,46.3977
44,0.125484,,134,,46.3977
45,0.128411,,134.75,,46.3477
46,0.131339,,135.5,,46.2977
47,0.134266,,136.25,,46.2477
48,0.137193,,137,,46.1977
49,0.140241,,137.5,,46.2644
50,0.14329,,138,,46.3311
51,0.146338,,138.5,,46.3977
52,0.149386,,139,,46.4644
53,0.152434,,139.5,,46.5311
54,0.155482,,140,,46.5977
55,0.158631,,140.143,,46.5692
56,0.161779,,140.286,,46.5406
57,0.164928,,140.429,,46.512
58,0.168076,,140.571,,46.4834
59,0.171224,,140.714,,46.4549
60,0.174373,,140.857,,46.4263
61,0.177521,,141,,46.3977
62,0.18082,,141.286,,46.3692
63,0.184118,,141.571,,46.3406
64,0.187417,,141.857,,46.312
65,0.190715,,142.143,,46.2835
66,0.194013,,142.429,,46.2549
67,0.197312,,142.714,,46.2263
68,0.20061,,143,,46.1977
69,0.20382,,143.143,,46.1977
70,0.20703,,143.286,,46.1977
71,0.21024,,143.429,,46.1977
72,0.21345,,143.571,,46.1977
73,0.216659,,143.714,,46.1977
74,0.219869,,143.857,,46.1977
75,0.223079,,144,,46.1977
76,0.226189,,144.143,,46.2263
77,0.229299,,144.286,,46.2549
78,0.232409,,144.429,,46.2835
79,0.235519,,144.571,,46.312
80,0.238628,,144.714,,46.3406
81,0.241738,,144.857,,46.3692
82,0.244848,,145,,46.3977
83,0.248021,,145.143,,46.3406
84,0.251193,,145.286,,46.2835
85,0.254366,,145.429,,46.2263
86,0.257539,,145.571,,46.1692
87,0.260712,,145.714,,46.112
88,0.263884,,145.857,,46.0549
89,0.267057,,146,,45.9978
90,0.270221,,146.143,,46.0263
91,0.273385,,146.286,,46.0549
92,0.276549,,146.429,,46.0835
93,0.279713,,146.571,,46.112
94,0.282878,,146.714,,46.1406
95,0.286042,,146.857,,46.1692
96,0.289206,,147,,46.1977
97,0.292006,,147.5,,46.1977
98,0.294806,,148,,46.1977
158,0.294806,,109,,46.3977
159,0.295446,,109,,46.1977
160,0.298341,,109.429,,46.2263
161,0.301237,,109.857,,46.2549
162,0.304132,,110.286,,46.2835
163,0.307028,,110.714,,46.312
164,0.309923,,111.143,,46.3406
165,0.312819,,111.571,,46.3692
166,0.315715,,112,,46.3977
167,0.319071,,113.333,,46.3977
168,0.322428,,114.667,,46.3977
169,0.325784,,116,,46.3977
170,0.329229,,116.75,,46.3977
171,0.332674,,117.5,,46.3977
172,0.336119,,118.25,,46.3977
173,0.339563,,119,,46.3977
174,0.343063,,119.75,,46.3477
175,0.346563,,120.5,,46.2977
176,0.350063,,121.25,,46.2477
177,0.353563,,122,,46.1977
178,0.356726,,123,,46.1977
179,0.359889,,124,,46.1977
180,0.363052,,125,,46.1977
181,0.366452,,126,,46.1311
182,0.369852,,127,,46.0644
183,0.373252,,128,,45.9978
184,0.376435,,129,,46.0644
185,0.379618,,130,,46.1311
186,0.382801,,131,,46.1977
187,0.385924,,132,,46.3977
188,0.389048,,133,,46.5977
189,0.392171,,134,,46.7977
190,0.395056,,134.75,,46.7477
191,0.397941,,135.5,,46.6977
192,0.400825,,136.25,,46.6477
193,0.40371,,137,,46.5977
194,0.40675,,137.75,,46.5477
195,0.40979,,138.5,,46.4977
196,0.41283,,139.25,,46.4477
197,0.41587,,140,,46.3977
198,0.419048,,140.5,,46.4311
199,0.422226,,141,,46.4644
200,0.425404,,141.5,,46.4977
201,0.428582,,142,,46.5311
202,0.431761,,142.5,,46.5644
203,0.434939,,143,,46.5977
204,0.437817,,143.286,,46.5406
205,0.440696,,143.571,,46.4834
206,0.443574,,143.857,,46.4263
207,0.446452,,144.143,,46.3692
208,0.449331,,144.429,,46.312
209,0.452209,,144.714,,46.2549
210,0.455088,,145,,46.1977
211,0.458549,,145.167,,46.1977
212,0.462011,,145.333,,46.1977
213,0.465472,,145.5,,46.1977
214,0.468934,,145.667,,46.1977
215,0.472395,,145.833,,46.1977
216,0.475857,,146,,46.1977
217,0.478752,,146.143,,46.1977
218,0.481648,,146.286,,46.1977
219,0.484543,,146.429,,46.1977
220,0.487439,,146.571,,46.1977
221,0.490335,,146.714,,46.1977
222,0.49323,,146.857,,46.1977
223,0.496126,,147,,46.1977
224,0.499366,,146.714,,46.2263
225,0.502605,,146.429,,46.2549
226,0.505845,,146.143,,46.2835
227,0.509085,,145.857,,46.312
228,0.512325,,145.571,,46.3406
229,0.515565,,145.286,,46.3692
230,0.518805,,145,,46.3977
231,0.522019,,144.857,,46.3406
232,0.525233,,144.714,,46.2835
233,0.528447,,144.571,,46.2263
234,0.531661,,144.429,,46.1692
235,0.534875,,144.286,,46.112
236,0.538089,,144.143,,46.0549
237,0.541304,,144,,45.9978
238,0.544523,,144.286,,46.0263
239,0.547743,,144.571,,46.0549
240,0.550963,,144.857,,46.0835
241,0.554183,,145.143,,46.112
242,0.557403,,145.429,,46.1406
243,0.560623,,145.714,,46.1692
244,0.563842,,146,,46.1977
245,0.566939,,146,,46.1692
