secs,km,power,hr,cad,alt
0,0,,134,,712.2
1,0.00291,,133,,711.2
2,0.00582,,132,,710.2
3,0.00877,,132.25,,709.95
4,0.01172,,132.5,,709.7
5,0.01467,,132.75,,709.45
6,0.01762,,133,,709.2
7,0.02017,,133.125,,709.2
8,0.02272,,133.25,,709.2
9,0.02527,,133.375,,709.2
10,0.02782,,133.5,,709.2
11,0.03037,,133.625,,709.2
12,0.03292,,133.75,,709.2
13,0.03547,,133.875,,709.2
14,0.03802,,134,,709.2
15,0.0402867,,133.778,,709.2
16,0.0425533,,133.556,,709.2
17,0.04482,,133.333,,709.2
18,0.0470867,,133.111,,709.2
19,0.0493533,,132.889,,709.2
20,0.05162,,132.667,,709.2
21,0.0538867,,132.444,,709.2
22,0.0561533,,132.222,,709.2
23,0.05842,,132,,709.2
24,0.0612014,,131.571,,709.114
25,0.0639829,,131.143,,709.029
26,0.0667643,,130.714,,708.943
27,0.0695457,,130.286,,708.857
28,0.0723271,,129.857,,708.771
29,0.0751086,,129.429,,708.686
30,0.07789,,129,,708.6
31,0.08099,,129,,708.48
32,0.08409,,129,,708.36
33,0.08719,,129,,708.24
34,0.09029,,129,,708.12
35,0.09339,,129,,708
36,0.09633,,127.5,,707.8
37,0.09927,,126,,707.6
38,0.10207,,126,,707.48
39,0.10487,,126,,707.36
40,0.10767,,126,,707.24
41,0.11047,,126,,707.12
42,0.11327,,126,,707
43,0.116185,,125.833,,706.833
44,0.1191,,125.667,,706.667
45,0.122015,,125.5,,706.5
46,0.12493,,125.333,,706.333
47,0.127845,,125.167,,706.167
48,0.13076,,125,,706
49,0.13369,,124.6,,705.76
50,0.13662,,124.2,,705.52
51,0.13955,,123.8,,705.28
52,0.14248,,123.4,,705.04
53,0.14541,,123,,704.8
54,0.148346,,123.143,,704.657
55,0.151281,,123.286,,704.514
56,0.154217,,123.429,,704.371
57,0.157153,,123.571,,704.229
58,0.160089,,123.714,,704.086
59,0.163024,,123.857,,703.943
60,0.16596,,124,,703.8
61,0.168739,,124.125,,703.675
62,0.171517,,124.25,,703.55
63,0.174296,,124.375,,703.425
64,0.177075,,124.5,,703.3
65,0.179854,,124.625,,703.175
66,0.182633,,124.75,,703.05
67,0.185411,,124.875,,702.925
68,0.18819,,125,,702.8
69,0.190931,,124.875,,702.75
70,0.193672,,124.75,,702.7
71,0.196414,,124.625,,702.65
72,0.199155,,124.5,,702.6
73,0.201896,,124.375,,702.55
74,0.204637,,124.25,,702.5
75,0.207379,,124.125,,702.45
76,0.21012,,124,,702.4
77,0.212732,,124.6,,702.4
78,0.215344,,125.2,,702.4
79,0.217956,,125.8,,702.4
80,0.220568,,126.4,,702.4
81,0.22318,,127,,702.4
82,0.226039,,127.25,,702.45
83,0.228897,,127.5,,702.5
84,0.231756,,127.75,,702.55
85,0.234615,,128,,702.6
86,0.237474,,128.25,,702.65
87,0.240333,,128.5,,702.7
88,0.243191,,128.75,,702.75
89,0.24605,,129,,702.8
90,0.24893,,127.5,,703.1
91,0.25181,,126,,703.4
92,0.254737,,126.5,,703.5
93,0.257665,,127,,703.6
94,0.260593,,127.5,,703.7
95,0.26352,,128,,703.8
96,0.266323,,129.667,,703.867
97,0.269127,,131.333,,703.933
98,0.27193,,133,,704
99,0.27475,,133,,704
100,0.277762,,133.5,,704.033
101,0.280773,,134,,704.067
102,0.283785,,134.5,,704.1
103,0.286797,,135,,704.133
104,0.289808,,135.5,,704.167
105,0.29282,,136,,704.2
106,0.295611,,136.125,,704.125
107,0.298402,,136.25,,704.05
108,0.301194,,136.375,,703.975
109,0.303985,,136.5,,703.9
110,0.306776,,136.625,,703.825
111,0.309567,,136.75,,703.75
112,0.312359,,136.875,,703.675
113,0.31515,,137,,703.6
114,0.31807,,136.571,,703.486
115,0.32099,,136.143,,703.371
116,0.32391,,135.714,,703.257
117,0.32683,,135.286,,703.143
118,0.32975,,134.857,,703.029
119,0.33267,,134.429,,702.914
120,0.33559,,134,,702.8
121,0.338269,,133.75,,702.675
122,0.340948,,133.5,,702.55
123,0.343626,,133.25,,702.425
124,0.346305,,133,,702.3
125,0.348984,,132.75,,702.175
126,0.351662,,132.5,,702.05
127,0.354341,,132.25,,701.925
128,0.35702,,132,,701.8
129,0.359667,,131,,701.6
130,0.362313,,130,,701.4
131,0.36496,,129,,701.2
132,0.36773,,128.667,,700.933
133,0.3705,,128.333,,700.667
134,0.37327,,128,,700.4
135,0.375993,,127,,700.2
136,0.378717,,126,,700
137,0.38144,,125,,699.8
138,0.38418,,125,,699.4
139,0.386827,,125.25,,699.1
140,0.389475,,125.5,,698.8
