secs,km,power,hr,cad,alt
0,0,,93,,550
1,0.00113,,94,,550
2,0.00254,,96,,550.2
3,0.00435,,97,,550.133
4,0.00616,,98,,550.067
5,0.00797,,99,,550
6,0.01053,,99.75,,549.75
7,0.01309,,100.5,,549.5
8,0.01565,,101.25,,549.25
9,0.01821,,102,,549
10,0.0207333,,103,,549.267
11,0.0232567,,104,,549.533
12,0.02578,,105,,549.8
13,0.02869,,106,,549.867
14,0.0316,,107,,549.933
15,0.03451,,108,,550
16,0.0373967,,109.333,,549.8
17,0.0402833,,110.667,,549.6
18,0.04317,,112,,549.4
19,0.045895,,113.5,,549.5
20,0.04862,,115,,549.6
21,0.0512567,,116.333,,549.6
22,0.0538933,,117.667,,549.6
23,0.05653,,119,,549.6
24,0.059595,,121,,549.6
25,0.06266,,123,,549.6
26,0.0655233,,124,,549.533
27,0.0683867,,125,,549.467
28,0.07125,,126,,549.4
29,0.0739025,,127.25,,549.4
30,0.076555,,128.5,,549.4
31,0.0792075,,129.75,,549.4
32,0.08186,,131,,549.4
33,0.0848967,,132,,549.267
34,0.0879333,,133,,549.133
35,0.09097,,134,,549
36,0.09383,,136,,549
37,0.0967133,,136.5,,548.933
38,0.0995967,,137,,548.867
39,0.10248,,137.5,,548.8
40,0.105363,,138,,548.733
41,0.108247,,138.5,,548.667
42,0.11113,,139,,548.6
43,0.113974,,139.25,,548.55
44,0.116817,,139.5,,548.5
45,0.119661,,139.75,,548.45
46,0.122505,,140,,548.4
47,0.125349,,140.25,,548.35
48,0.128192,,140.5,,548.3
49,0.131036,,140.75,,548.25
50,0.13388,,141,,548.2
51,0.137082,,141,,548.167
52,0.140283,,141,,548.133
53,0.143485,,141,,548.1
54,0.146687,,141,,548.067
55,0.149888,,141,,548.033
56,0.15309,,141,,548
57,0.156087,,141.143,,547.914
58,0.159084,,141.286,,547.829
59,0.162081,,141.429,,547.743
60,0.165079,,141.571,,547.657
61,0.168076,,141.714,,547.571
62,0.171073,,141.857,,547.486
63,0.17407,,142,,547.4
64,0.177109,,142.286,,547.371
65,0.180147,,142.571,,547.343
66,0.183186,,142.857,,547.314
67,0.186224,,143.143,,547.286
68,0.189263,,143.429,,547.257
69,0.192301,,143.714,,547.229
70,0.19534,,144,,547.2
71,0.198542,,144,,547.1
72,0.201745,,144,,547
73,0.204948,,144,,546.9
74,0.20815,,144,,546.8
75,0.211239,,143.857,,546.771
76,0.214327,,143.714,,546.743
77,0.217416,,143.571,,546.714
78,0.220504,,143.429,,546.686
79,0.223593,,143.286,,546.657
80,0.226681,,143.143,,546.629
81,0.22977,,143,,546.6
82,0.23285,,143.143,,546.571
83,0.23593,,143.286,,546.543
84,0.23901,,143.429,,546.514
85,0.24209,,143.571,,546.486
86,0.24517,,143.714,,546.457
87,0.24825,,143.857,,546.429
88,0.25133,,144,,546.4
89,0.254185,,143.75,,546.25
90,0.25704,,143.5,,546.1
91,0.259895,,143.25,,545.95
92,0.26275,,143,,545.8
93,0.265813,,143.143,,545.714
94,0.268876,,143.286,,545.629
95,0.271939,,143.429,,545.543
96,0.275001,,143.571,,545.457
97,0.278064,,143.714,,545.371
98,0.281127,,143.857,,545.286
99,0.28419,,144,,545.2
100,0.28728,,144.5,,545.1
101,0.29037,,145,,545
102,0.29346,,145.5,,544.9
103,0.29655,,146,,544.8
104,0.299366,,146,,544.75
105,0.302183,,146,,544.7
106,0.304999,,146,,544.65
107,0.307815,,146,,544.6
108,0.310631,,146,,544.55
109,0.313448,,146,,544.5
110,0.316264,,146,,544.45
111,0.31908,,146,,544.4
112,0.321628,,145.75,,544.35
113,0.324175,,145.5,,544.3
114,0.326723,,145.25,,544.25
115,0.32927,,145,,544.2
116,0.331818,,144.75,,544.15
117,0.334365,,144.5,,544.1
118,0.336913,,144.25,,544.05
119,0.33946,,144,,544
120,0.342114,,144,,543.975
121,0.344768,,144,,543.95
122,0.347421,,144,,543.925
123,0.350075,,144,,543.9
124,0.352729,,144,,543.875
125,0.355383,,144,,543.85
126,0.358036,,144,,543.825
127,0.36069,,144,,543.8
