secs,km,power,hr,cad,alt
0,0,,88,,88.2
1,0.00379,,91,,89
2,0.00723,,93,,89.6
3,0.01067,,94.5,,90
4,0.01411,,96,,90.4
5,0.01777,,97,,90.6
6,0.02114,,98.5,,90.8
7,0.02451,,100,,91
8,0.02771,,101,,91.2667
9,0.03091,,102,,91.5333
10,0.03411,,103,,91.8
11,0.036685,,103.75,,92.05
12,0.03926,,104.5,,92.3
13,0.041835,,105.25,,92.55
14,0.04441,,106,,92.8
15,0.04712,,107,,93
16,0.050272,,107.6,,93
17,0.053424,,108.2,,93
18,0.056576,,108.8,,93
19,0.059728,,109.4,,93
20,0.06288,,110,,93
21,0.0661786,,110.143,,93.0286
22,0.0694771,,110.286,,93.0571
23,0.0727757,,110.429,,93.0857
24,0.0760743,,110.571,,93.1143
25,0.0793729,,110.714,,93.1429
26,0.0826714,,110.857,,93.1714
27,0.08597,,111,,93.2
28,0.0892243,,111.143,,93.2
29,0.0924786,,111.286,,93.2
30,0.0957329,,111.429,,93.2
31,0.0989871,,111.571,,93.2
32,0.102241,,111.714,,93.2
33,0.105496,,111.857,,93.2
34,0.10875,,112,,93.2
35,0.111909,,112.429,,93.2
36,0.115067,,112.857,,93.2
37,0.118226,,113.286,,93.2
38,0.121384,,113.714,,93.2
39,0.124543,,114.143,,93.2
40,0.127701,,114.571,,93.2
41,0.13086,,115,,93.2
42,0.134064,,115.6,,93.24
43,0.137268,,116.2,,93.28
44,0.140472,,116.8,,93.32
45,0.143676,,117.4,,93.36
46,0.14688,,118,,93.4
47,0.150233,,118.333,,93.4
48,0.153587,,118.667,,93.4
49,0.15694,,119,,93.4
50,0.160293,,119.333,,93.4
51,0.163647,,119.667,,93.4
52,0.167,,120,,93.4
53,0.170207,,120,,93.4
54,0.173414,,120,,93.4
55,0.176621,,120,,93.4
56,0.179829,,120,,93.4
57,0.183036,,120,,93.4
58,0.186243,,120,,93.4
59,0.18945,,120,,93.4
60,0.192727,,120,,93.4
61,0.196004,,120,,93.4
62,0.199281,,120,,93.4
63,0.202559,,120,,93.4
64,0.205836,,120,,93.4
65,0.209113,,120,,93.4
66,0.21239,,120,,93.4
67,0.215476,,119.857,,93.4286
68,0.218561,,119.714,,93.4571
69,0.221647,,119.571,,93.4857
70,0.224733,,119.429,,93.5143
71,0.227819,,119.286,,93.5429
72,0.230904,,119.143,,93.5714
73,0.23399,,119,,93.6
74,0.236907,,118.714,,93.6286
75,0.239824,,118.429,,93.6571
76,0.242741,,118.143,,93.6857
77,0.245659,,117.857,,93.7143
78,0.248576,,117.571,,93.7429
79,0.251493,,117.286,,93.7714
80,0.25441,,117,,93.8
81,0.257328,,117,,93.84
82,0.260246,,117,,93.88
83,0.263164,,117,,93.92
84,0.266082,,117,,93.96
85,0.269,,117,,94
86,0.272111,,116.857,,94.0286
87,0.275223,,116.714,,94.0571
88,0.278334,,116.571,,94.0857
89,0.281446,,116.429,,94.1143
90,0.284557,,116.286,,94.1429
91,0.287669,,116.143,,94.1714
92,0.29078,,116,,94.2
93,0.294074,,116,,94.2571
94,0.297369,,116,,94.3143
95,0.300663,,116,,94.3714
96,0.303957,,116,,94.4286
97,0.307251,,116,,94.4857
98,0.310546,,116,,94.5429
99,0.31384,,116,,94.6
100,0.317318,,116.2,,94.68
101,0.320796,,116.4,,94.76
102,0.324274,,116.6,,94.84
103,0.327752,,116.8,,94.92
104,0.33123,,117,,95
105,0.33427,,117,,95.0857
106,0.33731,,117,,95.1714
107,0.34035,,117,,95.2571
108,0.34339,,117,,95.3429
109,0.34643,,117,,95.4286
110,0.34947,,117,,95.5143
111,0.35251,,117,,95.6
112,0.355332,,116.8,,95.68
113,0.358154,,116.6,,95.76
114,0.360976,,116.4,,95.84
115,0.363798,,116.2,,95.92
116,0.36662,,116,,96
117,0.369756,,116.286,,96.0571
118,0.372891,,116.571,,96.1143
119,0.376027,,116.857,,96.1714
120,0.379163,,117.143,,96.2286
121,0.382299,,117.429,,96.2857
122,0.385434,,117.714,,96.3429
123,0.38857,,118,,96.4
124,0.391493,,118.286,,96.4857
125,0.394416,,118.571,,96.5714
126,0.397339,,118.857,,96.6571
127,0.400261,,119.143,,96.7429
128,0.403184,,119.429,,96.8286
129,0.406107,,119.714,,96.9143
130,0.40903,,120,,97
131,0.412295,,120,,97
132,0.41556,,120,,97
133,0.418429,,119.875,,97.05
134,0.421297,,119.75,,97.1
135,0.424166,,119.625,,97.15
136,0.427035,,119.5,,97.2
137,0.429904,,119.375,,97.25
138,0.432772,,119.25,,97.3
139,0.435641,,119.125,,97.35
140,0.43851,,119,,97.4
141,0.441352,,119,,97.45
142,0.444195,,119,,97.5
143,0.447037,,119,,97.55
144,0.44988,,119,,97.6
145,0.452722,,119,,97.65
146,0.455565,,119,,97.7
