secs,km,power,hr,cad,alt
0,0,,86,,17
1,0.00017,,82,,17
2,0.00049,,82,,17
3,0.001975,,84.5,,17
4,0.00346,,87,,17
5,0.00839,,94,,17
6,0.01215,,99.5,,17
7,0.01591,,105,,17
8,0.0199167,,107.167,,17.0333
9,0.0239233,,109.333,,17.0667
10,0.02793,,111.5,,17.1
11,0.0319367,,113.667,,17.1333
12,0.0359433,,115.833,,17.1667
13,0.03995,,118,,17.2
14,0.0438073,,118.636,,17.2364
15,0.0476645,,119.273,,17.2727
16,0.0515218,,119.909,,17.3091
17,0.0553791,,120.545,,17.3455
18,0.0592364,,121.182,,17.3818
19,0.0630936,,121.818,,17.4182
20,0.0669509,,122.455,,17.4545
21,0.0708082,,123.091,,17.4909
22,0.0746655,,123.727,,17.5273
23,0.0785227,,124.364,,17.5636
24,0.08238,,125,,17.6
25,0.08618,,125.267,,17.6133
26,0.08998,,125.533,,17.6267
27,0.09378,,125.8,,17.64
28,0.09758,,126.067,,17.6533
29,0.10138,,126.333,,17.6667
30,0.10518,,126.6,,17.68
31,0.10898,,126.867,,17.6933
32,0.11278,,127.133,,17.7067
33,0.11658,,127.4,,17.72
34,0.12038,,127.667,,17.7333
35,0.12418,,127.933,,17.7467
36,0.12798,,128.2,,17.76
37,0.13178,,128.467,,17.7733
38,0.13558,,128.733,,17.7867
39,0.13938,,129,,17.8
40,0.142927,,129.909,,17.8
41,0.146475,,130.818,,17.8
42,0.150022,,131.727,,17.8
43,0.153569,,132.636,,17.8
44,0.157116,,133.545,,17.8
45,0.160664,,134.455,,17.8
46,0.164211,,135.364,,17.8
47,0.167758,,136.273,,17.8
48,0.171305,,137.182,,17.8
49,0.174853,,138.091,,17.8
50,0.1784,,139,,17.8
51,0.181747,,139.368,,17.7684
52,0.185094,,139.737,,17.7368
53,0.188441,,140.105,,17.7053
54,0.191787,,140.474,,17.6737
55,0.195134,,140.842,,17.6421
56,0.198481,,141.211,,17.6105
57,0.201828,,141.579,,17.5789
58,0.205175,,141.947,,17.5474
59,0.208522,,142.316,,17.5158
60,0.211868,,142.684,,17.4842
61,0.215215,,143.053,,17.4526
62,0.218562,,143.421,,17.4211
63,0.221909,,143.789,,17.3895
64,0.225256,,144.158,,17.3579
65,0.228603,,144.526,,17.3263
66,0.231949,,144.895,,17.2947
67,0.235296,,145.263,,17.2632
68,0.238643,,145.632,,17.2316
69,0.24199,,146,,17.2
70,0.245442,,146.278,,17.1444
71,0.248893,,146.556,,17.0889
72,0.252345,,146.833,,17.0333
73,0.255797,,147.111,,16.9778
74,0.259248,,147.389,,16.9222
75,0.2627,,147.667,,16.8667
76,0.266152,,147.944,,16.8111
77,0.269603,,148.222,,16.7556
78,0.273055,,148.5,,16.7
79,0.276507,,148.778,,16.6444
80,0.279958,,149.056,,16.5889
81,0.28341,,149.333,,16.5333
82,0.286862,,149.611,,16.4778
83,0.290313,,149.889,,16.4222
84,0.293765,,150.167,,16.3667
85,0.297217,,150.444,,16.3111
86,0.300668,,150.722,,16.2556
87,0.30412,,151,,16.2
88,0.307996,,151,,16.1556
89,0.311872,,151,,16.1111
90,0.315748,,151,,16.0667
91,0.319624,,151,,16.0222
92,0.323501,,151,,15.9778
93,0.327377,,151,,15.9333
94,0.331253,,151,,15.8889
95,0.335129,,151,,15.8444
96,0.339005,,151,,15.8
97,0.342881,,151,,15.7556
98,0.346757,,151,,15.7111
99,0.350633,,151,,15.6667
100,0.354509,,151,,15.6222
101,0.358386,,151,,15.5778
102,0.362262,,151,,15.5333
103,0.366138,,151,,15.4889
104,0.370014,,151,,15.4444
105,0.37389,,151,,15.4
106,0.377444,,143.81,,15.4
107,0.380998,,136.619,,15.4
108,0.384551,,129.429,,15.4
109,0.388105,,122.238,,15.4
110,0.391659,,115.048,,15.4
111,0.395213,,107.857,,15.4
112,0.398767,,100.667,,15.4
113,0.40232,,93.4762,,15.4
114,0.405874,,86.2857,,15.4
115,0.409428,,79.0952,,15.4
116,0.412982,,71.9048,,15.4
117,0.416536,,64.7143,,15.4
118,0.42009,,57.5238,,15.4
119,0.423643,,50.3333,,15.4
120,0.427197,,43.1429,,15.4
121,0.430751,,35.9524,,15.4
122,0.434305,,28.7619,,15.4
123,0.437859,,21.5714,,15.4
124,0.441412,,14.381,,15.4
125,0.444966,,7.19048,,15.4
126,0.44852,,0,,15.4
127,0.452851,,14,,15.4
128,0.457182,,28,,15.4
129,0.461513,,42,,15.4
130,0.465844,,56,,15.4
131,0.470175,,70,,15.4
132,0.474505,,84,,15.4
133,0.478836,,98,,15.4
134,0.483167,,112,,15.4
135,0.487498,,126,,15.4
136,0.491829,,140,,15.4
137,0.49616,,154,,15.4
138,0.499137,,154.167,,15.4
139,0.502114,,154.333,,15.4
140,0.505092,,154.5,,15.4
141,0.508069,,154.667,,15.4
142,0.511046,,154.833,,15.4
143,0.514023,,155,,15.4
144,0.517001,,155.167,,15.4
145,0.519978,,155.333,,15.4
146,0.522955,,155.5,,15.4
147,0.525932,,155.667,,15.4
148,0.528909,,155.833,,15.4
149,0.531887,,156,,15.4
150,0.534864,,156.167,,15.4
151,0.537841,,156.333,,15.4
152,0.540818,,156.5,,15.4
153,0.543796,,156.667,,15.4
154,0.546773,,156.833,,15.4
155,0.54975,,157,,15.4
156,0.552953,,156.905,,15.4476
157,0.556157,,156.81,,15.4952
158,0.55936,,156.714,,15.5429
159,0.562563,,156.619,,15.5905
160,0.565767,,156.524,,15.6381
161,0.56897,,156.429,,15.6857
162,0.572173,,156.333,,15.7333
163,0.575377,,156.238,,15.781
164,0.57858,,156.143,,15.8286
165,0.581783,,156.048,,15.8762
166,0.584987,,155.952,,15.9238
167,0.58819,,155.857,,15.9714
168,0.591393,,155.762,,16.019
169,0.594597,,155.667,,16.0667
170,0.5978,,155.571,,16.1143
171,0.601003,,155.476,,16.1619
172,0.604207,,155.381,,16.2095
173,0.60741,,155.286,,16.2571
174,0.610613,,155.19,,16.3048
175,0.613817,,155.095,,16.3524
176,0.61702,,155,,16.4
177,0.620419,,155,,16.3867
178,0.623817,,155,,16.3733
179,0.627216,,155,,16.36
180,0.630615,,155,,16.3467
181,0.634013,,155,,16.3333
182,0.637412,,155,,16.32
183,0.640811,,155,,16.3067
184,0.644209,,155,,16.2933
185,0.647608,,155,,16.28
186,0.651007,,155,,16.2667
187,0.654405,,155,,16.2533
188,0.657804,,155,,16.24
189,0.661203,,155,,16.2267
190,0.664601,,155,,16.2133
191,0.668,,155,,16.2
192,0.671444,,155.176,,16.1882
