secs,km,power,hr,cad,alt
0,0,,80,,333
6,0.00557,,79,,332.8
10,0.01011,,80,,332.2
12,0.0126,,82,,332
14,0.01315,,85,,331.8
15,0.01556,,85,,331.6
17,0.02029,,90,,332.6
18,0.02247,,92,,333.6
20,0.02471,,95,,334.2
21,0.02631,,96,,334.8
23,0.0316,,99,,337.2
24,0.03368,,107,,337.8
25,0.03606,,108,,338.2
28,0.04227,,115,,338
29,0.04417,,118,,338.4
31,0.04875,,120,,338.6
32,0.05047,,126,,338.8
33,0.05231,,126,,339.2
35,0.05589,,126,,339.8
40,0.06535,,127,,341.6
44,0.07059,,126,,342
45,0.07106,,127,,341.6
46,0.07177,,127,,341.4
49,0.07634,,127,,341.4
52,0.08154,,127,,342.4
54,0.08601,,128,,343.4
59,0.09377,,128,,343.4
63,0.10331,,131,,345.8
65,0.10644,,131,,346.8
68,0.10925,,131,,346
70,0.11189,,132,,345.4
71,0.11319,,133,,345
75,0.11625,,135,,345.6
76,0.11772,,135,,346.2
78,0.12039,,137,,347.6
81,0.12657,,137,,349.8
85,0.13154,,137,,351.8
86,0.13409,,136,,352.4
87,0.13695,,136,,353.6
90,0.14335,,135,,354.2
91,0.14452,,135,,353.8
93,0.14888,,135,,353.4
95,0.1522,,135,,352.8
100,0.16055,,135,,352
102,0.16447,,135,,352.8
105,0.16672,,135,,351.6
106,0.16753,,135,,351.6
109,0.17152,,136,,352.2
111,0.17435,,135,,352.4
112,0.1758,,136,,352.2
116,0.18243,,134,,352.2
121,0.18993,,136,,352.2
123,0.19322,,136,,352
126,0.1964,,134,,352.2
129,0.2015,,135,,352.2
132,0.20592,,135,,352.6
133,0.20695,,135,,352.8
135,0.2092,,136,,353
137,0.21127,,138,,353.2
138,0.21195,,138,,353.4
143,0.21921,,140,,354.6
144,0.22073,,140,,354.8
146,0.22616,,140,,355.6
147,0.2303,,140,,356
152,0.23944,,138,,356.6
154,0.24286,,139,,356.4
156,0.24607,,137,,356.4
157,0.24761,,136,,356.4
160,0.2525,,136,,357
162,0.25768,,135,,357.4
166,0.2662,,134,,358.8
167,0.26807,,135,,359.4
169,0.2702,,134,,360.2
173,0.27451,,134,,360
174,0.27571,,134,,360
177,0.27929,,135,,360.4
179,0.28161,,136,,361
182,0.28733,,137,,363.4
185,0.29048,,139,,365
187,0.29104,,137,,365.6
188,0.29279,,138,,366.8
192,0.29526,,142,,368.8
195,0.30181,,139,,373
197,0.30746,,139,,375.4
202,0.31778,,140,,376.2
204,0.32035,,142,,375.8
206,0.32301,,140,,376.4
209,0.32968,,142,,377
210,0.33156,,142,,377.4
213,0.3347,,139,,379
215,0.33889,,140,,380.4
220,0.34769,,139,,381.6
224,0.35295,,141,,383.4
226,0.3546,,140,,383.6
230,0.36129,,140,,383.2
234,0.36625,,138,,384
236,0.36823,,138,,385.2
