secs,km,power,hr,cad,alt
0,0,,94,,71.2
1,0.00365,,95,,71.2
2,0.00692,,97.5,,71.4
3,0.01019,,100,,71.6
4,0.01382,,100,,71.6
5,0.0173133,,101.667,,71.8
6,0.0208067,,103.333,,72
7,0.0243,,105,,72.2
8,0.02661,,108,,72.2
9,0.02838,,110,,72.2
10,0.0311633,,111,,72.2667
11,0.0339467,,112,,72.3333
12,0.03673,,113,,72.4
13,0.041075,,114.5,,72.4
14,0.04542,,116,,72.4
15,0.0486367,,117,,72.3333
16,0.0518533,,118,,72.2667
17,0.05507,,119,,72.2
18,0.0584,,122,,72.2
19,0.0628833,,123,,72.2
20,0.0673667,,124,,72.2
21,0.07185,,125,,72.2
22,0.0760475,,126,,72.25
23,0.080245,,127,,72.3
24,0.0844425,,128,,72.35
25,0.08864,,129,,72.4
26,0.092476,,129.8,,72.48
27,0.096312,,130.6,,72.56
28,0.100148,,131.4,,72.64
29,0.103984,,132.2,,72.72
30,0.10782,,133,,72.8
31,0.111624,,133.4,,72.92
32,0.115428,,133.8,,73.04
33,0.119232,,134.2,,73.16
34,0.123036,,134.6,,73.28
35,0.12684,,135,,73.4
36,0.130488,,135.8,,73.28
37,0.134136,,136.6,,73.16
38,0.137784,,137.4,,73.04
39,0.141432,,138.2,,72.92
40,0.14508,,139,,72.8
41,0.148618,,139.167,,72.9667
42,0.152157,,139.333,,73.1333
43,0.155695,,139.5,,73.3
44,0.159233,,139.667,,73.4667
45,0.162772,,139.833,,73.6333
46,0.16631,,140,,73.8
47,0.1695,,140.333,,73.7333
48,0.17269,,140.667,,73.6667
49,0.17588,,141,,73.6
50,0.178355,,140.5,,73.6
51,0.18083,,140,,73.6
52,0.184065,,140.75,,73.4
53,0.1873,,141.5,,73.2
54,0.190535,,142.25,,73
55,0.19377,,143,,72.8
56,0.197015,,142.75,,72.65
57,0.20026,,142.5,,72.5
58,0.203505,,142.25,,72.35
59,0.20675,,142,,72.2
60,0.20975,,142,,72.0667
61,0.21275,,142,,71.9333
62,0.21575,,142,,71.8
63,0.21875,,142,,71.6667
64,0.22175,,142,,71.5333
65,0.22475,,142,,71.4
66,0.22753,,143,,71.2
67,0.230117,,142.833,,71.0333
68,0.232703,,142.667,,70.8667
69,0.23529,,142.5,,70.7
70,0.237877,,142.333,,70.5333
71,0.240463,,142.167,,70.3667
72,0.24305,,142,,70.2
73,0.24624,,142,,70
74,0.24943,,142,,69.8
75,0.25262,,142,,69.6
76,0.25581,,142,,69.4
77,0.259,,142,,69.2
78,0.26219,,142,,69
79,0.265288,,141.833,,68.9
80,0.268387,,141.667,,68.8
81,0.271485,,141.5,,68.7
82,0.274583,,141.333,,68.6
83,0.277682,,141.167,,68.5
84,0.28078,,141,,68.4
85,0.284565,,140.5,,68.3
86,0.28835,,140,,68.2
87,0.29216,,140,,68
88,0.295848,,139.833,,67.9
89,0.299537,,139.667,,67.8
90,0.303225,,139.5,,67.7
91,0.306913,,139.333,,67.6
92,0.310602,,139.167,,67.5
93,0.31429,,139,,67.4
94,0.31819,,138.5,,67.3
95,0.32209,,138,,67.2
96,0.32599,,137.5,,67.1
97,0.32989,,137,,67
98,0.333342,,137,,66.76
99,0.336794,,137,,66.52
100,0.340246,,137,,66.28
101,0.343698,,137,,66.04
102,0.34715,,137,,65.8
103,0.351194,,137.2,,65.64
104,0.355238,,137.4,,65.48
105,0.359282,,137.6,,65.32
106,0.363326,,137.8,,65.16
107,0.36737,,138,,65
108,0.370765,,138.5,,64.8
109,0.37416,,139,,64.6
110,0.377592,,138.25,,64.5
111,0.381025,,137.5,,64.4
112,0.384458,,136.75,,64.3
113,0.38789,,136,,64.2
114,0.391075,,136.25,,64.05
115,0.39426,,136.5,,63.9
116,0.397445,,136.75,,63.75
117,0.40063,,137,,63.6
118,0.40429,,137,,63.4667
119,0.40795,,137,,63.3333
120,0.41161,,137,,63.2
121,0.41527,,137,,63.0667
122,0.41893,,137,,62.9333
123,0.42259,,137,,62.8
124,0.42589,,136,,62.4
125,0.428923,,136.167,,62.2333
126,0.431957,,136.333,,62.0667
127,0.43499,,136.5,,61.9
128,0.438023,,136.667,,61.7333
129,0.441057,,136.833,,61.5667
130,0.44409,,137,,61.4
131,0.447232,,137.5,,61.1
132,0.450375,,138,,60.8
133,0.453518,,138.5,,60.5
134,0.45666,,139,,60.2
135,0.45903,,138,,60.2
136,0.460167,,138,,60.2
137,0.461303,,138,,60.2
138,0.46244,,138,,60.2
139,0.46447,,138,,60.2
140,0.4665,,138,,60.2
141,0.46853,,138,,60.2
142,0.47056,,138,,60.2
143,0.47259,,138,,60.2
144,0.47462,,138,,60.2
145,0.47763,,138.167,,60.0333
146,0.48064,,138.333,,59.8667
147,0.48365,,138.5,,59.7
148,0.48666,,138.667,,59.5333
149,0.48967,,138.833,,59.3667
150,0.49268,,139,,59.2
151,0.496752,,138.6,,59.28
152,0.500824,,138.2,,59.36
153,0.504896,,137.8,,59.44
154,0.508968,,137.4,,59.52
155,0.51304,,137,,59.6
156,0.516458,,137.333,,59.6
157,0.519877,,137.667,,59.6
158,0.523295,,138,,59.6
159,0.526713,,138.333,,59.6
160,0.530132,,138.667,,59.6
161,0.53355,,139,,59.6
162,0.537298,,139.167,,59.5667
163,0.541047,,139.333,,59.5333
164,0.544795,,139.5,,59.5
165,0.548543,,139.667,,59.4667
166,0.552292,,139.833,,59.4333
167,0.55604,,140,,59.4
