secs,km,power,hr,cad,alt
0,0,,95,,28
1,0,,97,,29.2
2,0.00087,,100,,29.2
3,0.00277,,102,,29.4
4,0.00513,,103,,29.6
5,0.00803,,104,,29.6
6,0.01105,,106,,29.6
7,0.01398,,106,,29.6
8,0.01709,,107,,29.2
9,0.02115,,108,,29.2
10,0.02432,,109,,29.4
11,0.02741,,110,,29.4
12,0.03003,,109,,29.4
13,0.03278,,109,,29.2
14,0.03564,,109,,29.2
15,0.03906,,109,,29.2
16,0.04354,,113,,29.2
17,0.0488,,114,,29
18,0.05327,,115,,29.2
19,0.05935,,115,,29.4
20,0.06421,,115,,29.6
21,0.06884,,117,,29.2
22,0.07306,,119,,29.2
23,0.07755,,121,,29.6
24,0.08283,,120,,29.4
25,0.08283,,121,,29.6
26,0.08921,,122,,29.6
27,0.09164,,123,,29.6
28,0.09422,,123,,29.8
29,0.09708,,124,,30.4
30,0.09997,,125,,31.2
31,0.10274,,128,,31.4
32,0.10576,,127,,31.4
33,0.1088,,128,,31
34,0.11187,,127,,30.2
35,0.11483,,128,,29.6
36,0.11785,,128,,29.6
37,0.12143,,129,,29.4
38,0.12525,,129,,29.4
39,0.12983,,130,,29.4
40,0.13421,,133,,29.2
41,0.13832,,133,,29.4
42,0.14265,,134,,29.2
43,0.147,,135,,29.2
44,0.15126,,135,,29
45,0.15556,,135,,29
46,0.1602,,135,,29
47,0.16475,,137,,29
48,0.16923,,137,,29
49,0.17365,,137,,28.8
50,0.17798,,139,,28.8
51,0.18215,,139,,29
52,0.18637,,139,,29
53,0.19077,,139,,28.8
54,0.19533,,139,,28.8
55,0.19977,,139,,29
56,0.20426,,140,,29.2
57,0.20872,,141,,29
58,0.21305,,142,,29
59,0.21746,,144,,29
60,0.22193,,143,,29
61,0.22613,,143,,29
62,0.23042,,142,,29
63,0.23446,,144,,28.8
64,0.23867,,144,,28.8
65,0.24297,,146,,29
66,0.24733,,145,,28.8
67,0.25174,,145,,28.8
68,0.25607,,148,,28.8
69,0.26034,,148,,28.8
70,0.26417,,148,,28.8
71,0.26801,,149,,28.8
72,0.27179,,148,,28.6
73,0.27571,,149,,29.2
74,0.27949,,149,,29.6
75,0.28233,,148,,30
76,0.28468,,148,,30
77,0.28726,,149,,30
78,0.29041,,150,,29.8
79,0.29399,,150,,29.8
80,0.29799,,149,,29.8
81,0.30166,,151,,29.8
82,0.3054,,151,,29.8
83,0.30874,,152,,30
84,0.31181,,153,,30
85,0.3149,,154,,29.8
86,0.31819,,154,,29.8
87,0.32228,,154,,29.4
88,0.32673,,154,,29.2
89,0.33114,,154,,29
90,0.33544,,153,,29
91,0.33962,,154,,29.2
92,0.3438,,155,,29.2
93,0.34775,,156,,29.4
94,0.35169,,157,,29.4
95,0.35578,,154,,29.2
96,0.36005,,154,,29.2
97,0.36448,,155,,29.2
98,0.36907,,156,,29
99,0.37373,,156,,29.2
100,0.3783,,158,,29.2
101,0.38265,,157,,29
102,0.38667,,157,,28.8
103,0.39054,,158,,28.8
104,0.39469,,157,,28.8
105,0.39898,,159,,28.8
106,0.40336,,160,,28.6
107,0.40754,,158,,28.6
108,0.41156,,158,,28.8
109,0.41555,,160,,28.6
110,0.41962,,158,,28.6
111,0.42411,,159,,28.8
112,0.42843,,160,,28.8
113,0.43285,,159,,29
114,0.43711,,158,,28.8
115,0.44138,,158,,28.8
116,0.44532,,159,,28.8
117,0.44947,,159,,28.8
118,0.45326,,159,,28.6
119,0.45746,,160,,28.4
120,0.46125,,161,,28.4
121,0.4654,,162,,28.4
122,0.469,,161,,28.6
123,0.47308,,161,,28.4
124,0.47723,,160,,28.8
125,0.48147,,160,,28.8
126,0.48538,,160,,29
127,0.48939,,160,,29.2
128,0.49299,,159,,29.6
129,0.49653,,159,,30
130,0.50004,,157,,30
131,0.50374,,158,,30
132,0.50735,,158,,30
133,0.51118,,158,,30.2
134,0.51481,,159,,30.2
135,0.51872,,159,,30.2
136,0.52265,,159,,30.2
137,0.5267,,160,,30.2
138,0.5306,,160,,30.2
139,0.53464,,160,,30.4
140,0.53863,,160,,30.2
141,0.54275,,162,,30
142,0.54656,,162,,29.8
143,0.5507,,161,,29.8
144,0.5548,,161,,29.8
145,0.55913,,161,,29.8
146,0.5632,,162,,29.8
147,0.56724,,162,,29.6
148,0.57106,,162,,29.4
149,0.57512,,163,,29.4
150,0.579,,162,,29.2
151,0.58303,,160,,29.4
152,0.58699,,160,,29.4
153,0.5911,,161,,29.4
154,0.5951,,161,,29.2
155,0.59933,,159,,29.2
156,0.60314,,157,,29
157,0.6071,,159,,28.6
158,0.61081,,159,,28.6
159,0.6137,,156,,28.6
160,0.61501,,156,,28.6
161,0.61502,,156,,28.4
162,0.61552,,156,,28.2
163,0.61688,,156,,28.2
164,0.61748,,156,,28.4
165,0.61748,,156,,28.2
166,0.618,,156,,28.2
167,0.61984,,157,,28.2
168,0.62207,,158,,28
169,0.62532,,158,,28
170,0.62916,,158,,28
171,0.63299,,159,,27.8
172,0.63673,,161,,28
173,0.64049,,161,,27.8
174,0.64427,,160,,27.6
175,0.64803,,161,,27.8
176,0.65192,,163,,28
177,0.65541,,161,,28.2
178,0.65885,,163,,28.2
179,0.66235,,164,,28.2
180,0.6662,,164,,28.4
181,0.66993,,164,,28.8
182,0.67371,,164,,29
183,0.67747,,163,,29
184,0.68117,,163,,29.4
185,0.68479,,165,,29.6
186,0.68841,,165,,29.8
187,0.69205,,165,,30
188,0.69575,,167,,30.4
189,0.69955,,167,,30.6
190,0.7033,,166,,30.8
191,0.70725,,166,,31
192,0.71113,,166,,31.2
193,0.71497,,168,,31.8
194,0.71886,,167,,32.2
195,0.72284,,168,,32.4
196,0.7265,,168,,32.6
197,0.7302,,168,,32.8
198,0.73367,,167,,33.2
199,0.73732,,168,,33.6
200,0.74092,,169,,33.6
201,0.74456,,169,,33.8
202,0.74854,,169,,34
203,0.75281,,170,,34
204,0.75714,,170,,33.8
205,0.76138,,169,,34
206,0.76545,,169,,34
207,0.76957,,169,,34
208,0.77374,,170,,33.8
209,0.77783,,170,,33.8
210,0.78201,,170,,33.6
211,0.78622,,170,,33.4
212,0.79048,,170,,33
213,0.79489,,169,,33
214,0.79907,,169,,32.8
215,0.80319,,169,,32.6
216,0.8073,,169,,32.6
217,0.81132,,169,,32.4
218,0.81545,,169,,32.2
219,0.81936,,169,,32.2
220,0.82349,,169,,32.2
221,0.82753,,169,,32.4
222,0.83205,,169,,32.2
223,0.83633,,169,,32
224,0.84079,,169,,31.8
225,0.84533,,170,,31.6
226,0.84983,,170,,31.4
227,0.85412,,170,,31.2
228,0.85832,,170,,31
229,0.86259,,170,,31.4
230,0.86648,,170,,31.4
231,0.86999,,171,,31
232,0.8735,,170,,30.8
233,0.87701,,170,,30.4
234,0.88053,,170,,30
235,0.88382,,170,,29.4
236,0.88724,,170,,28.8
237,0.8909,,169,,28.2
238,0.89496,,169,,27.6
239,0.89911,,169,,27.4
240,0.90406,,169,,27.4
241,0.90969,,169,,27
242,0.91401,,170,,26.8
243,0.91867,,170,,26.8
244,0.92304,,170,,26.8
245,0.92822,,170,,26.8
246,0.93267,,170,,26.8
247,0.93768,,170,,26.8
248,0.94197,,170,,27
249,0.94645,,170,,26.8
250,0.95031,,170,,26.8
251,0.95427,,170,,26.8
252,0.95823,,170,,26.8
253,0.96224,,170,,26.8
254,0.96649,,170,,27
255,0.97076,,170,,26.8
256,0.97524,,170,,26.6
257,0.97925,,170,,26.6
258,0.98328,,170,,26.6
259,0.98751,,170,,26.8
260,0.99141,,170,,26.6
261,0.99531,,170,,26.6
262,0.99955,,170,,26.6
263,1.00399,,171,,26.6
264,1.00851,,171,,26.8
265,1.01316,,171,,26.8
266,1.01798,,171,,26.6
267,1.02252,,171,,26.6
268,1.02684,,171,,26.6
269,1.03095,,171,,26.6
270,1.03506,,171,,26.6
271,1.0395,,171,,26.6
272,1.04405,,171,,26.6
273,1.04867,,172,,26.6
274,1.05299,,171,,26.6
275,1.05757,,171,,26.6
276,1.0623,,171,,26.6
277,1.06697,,172,,26.4
278,1.07142,,171,,26.2
279,1.07574,,172,,26.2
280,1.08018,,172,,26.2
281,1.08421,,171,,26.4
282,1.08866,,172,,26.4
283,1.09344,,172,,26.6
284,1.09801,,171,,26.6
285,1.1024,,171,,26.6
286,1.10681,,172,,26.4
287,1.111,,172,,26.2
288,1.11538,,172,,26.2
289,1.1196,,172,,26.4
290,1.12415,,172,,26.4
291,1.12833,,172,,26.4
292,1.1325,,172,,26.4
293,1.13667,,172,,26.4
294,1.14134,,172,,26.4
295,1.14572,,172,,26.4
296,1.1502,,173,,26.2
297,1.15441,,173,,26.2
298,1.15864,,173,,26.2
299,1.16288,,173,,26.2
300,1.16735,,173,,26.2
301,1.1713,,174,,26.2
302,1.1751,,174,,26
303,1.17896,,174,,26.2
304,1.18311,,174,,26.2
305,1.18718,,174,,26.2
306,1.19093,,174,,25.8
307,1.19458,,174,,26
308,1.19836,,174,,26.2
309,1.20166,,174,,26.2
310,1.20496,,175,,26.2
311,1.20786,,174,,26
312,1.2105,,174,,26
313,1.21271,,174,,26.8
314,1.21427,,174,,27.6
315,1.21521,,174,,28
316,1.21604,,174,,28.6
317,1.21683,,174,,29
318,1.21727,,173,,29.2
319,1.21831,,173,,29.4
320,1.22076,,173,,29.4
321,1.223,,173,,29.6
322,1.22628,,172,,29.4
323,1.22915,,173,,29.2
324,1.23178,,172,,28.8
325,1.23398,,172,,28.4
326,1.23584,,171,,27.6
327,1.23737,,170,,26.8
328,1.23945,,172,,26.4
329,1.24161,,172,,26.2
330,1.24353,,172,,26.4
331,1.24542,,172,,26.4
332,1.24738,,172,,26.2
333,1.2494,,172,,26.2
334,1.25345,,173,,26
335,1.2574,,174,,26
336,1.2616,,175,,25.8
337,1.26559,,176,,25.8
338,1.26984,,176,,26.2
339,1.27359,,176,,26
340,1.27814,,176,,26
341,1.28256,,175,,26
342,1.28693,,175,,26
343,1.29111,,175,,25.8
344,1.2953,,175,,25.8
345,1.29981,,175,,26
346,1.30445,,175,,26
347,1.3089,,176,,25.8
348,1.31369,,176,,25.6
349,1.31821,,176,,25.6
350,1.32316,,175,,25.8
351,1.32784,,175,,25.8
352,1.33252,,175,,25.8
353,1.33753,,174,,25.8
354,1.34201,,174,,25.8
355,1.3469,,174,,25.8
356,1.35133,,174,,25.6
357,1.35593,,175,,25.4
358,1.36037,,175,,25.4
359,1.36521,,174,,25.4
360,1.36989,,174,,25.6
361,1.37458,,174,,25.6
362,1.37966,,174,,25.6
363,1.38418,,174,,25.6
364,1.38909,,174,,25.4
365,1.39353,,174,,25.4
366,1.39816,,174,,25.4
367,1.40285,,174,,25.4
368,1.40773,,174,,25.4
369,1.41242,,174,,25.6
370,1.41699,,174,,25.2
371,1.42167,,175,,25.4
372,1.42619,,175,,25.4
373,1.43096,,175,,25.4
374,1.43594,,175,,25.6
375,1.44086,,175,,25.4
376,1.44576,,175,,25.4
377,1.45052,,175,,25.4
378,1.45523,,175,,25.4
379,1.45962,,175,,25.4
380,1.46437,,175,,25.4
381,1.46913,,175,,25.6
382,1.47365,,175,,25.6
383,1.47847,,175,,25.6
384,1.48311,,175,,25.4
385,1.48719,,176,,25.4
386,1.49154,,176,,25.6
387,1.49589,,178,,25.4
388,1.50033,,178,,25.4
389,1.50492,,179,,25.4
390,1.5094,,178,,25.4
391,1.5138,,179,,25.2
392,1.51814,,179,,25.4
393,1.52209,,179,,25.2
394,1.52609,,180,,25.2
