secs,km,power,hr,cad,alt
0,0,,100,,217.589
1,0.00174991,,100,,217.789
2,0.0040323,,99.75,,217.989
3,0.00631469,,99.5,,218.189
4,0.00859708,,99.25,,218.389
5,0.0108795,,99,,218.589
6,0.0136618,,99.625,,218.614
7,0.0164442,,100.25,,218.639
8,0.0192266,,100.875,,218.664
9,0.0220089,,101.5,,218.689
10,0.0247913,,102.125,,218.714
11,0.0275737,,102.75,,218.739
12,0.030356,,103.375,,218.764
13,0.0331384,,104,,218.789
14,0.0358433,,106,,218.789
15,0.0385481,,108,,218.789
16,0.0410313,,109,,218.856
17,0.0435145,,110,,218.923
18,0.0459978,,111,,218.989
19,0.0484676,,113,,218.889
20,0.0509375,,115,,218.789
21,0.0534941,,113.333,,218.789
22,0.0560506,,111.667,,218.789
23,0.0586071,,110,,218.789
24,0.060987,,107,,218.989
25,0.0633669,,106.25,,218.989
26,0.0657468,,105.5,,218.989
27,0.0681267,,104.75,,218.989
28,0.0705066,,104,,218.989
29,0.0728564,,103.5,,218.989
30,0.0752063,,103,,218.989
31,0.0775562,,102.5,,218.989
32,0.0799061,,102,,218.989
33,0.082256,,101.5,,218.989
34,0.0846059,,101,,218.989
35,0.0873615,,102,,219.018
36,0.090117,,103,,219.046
37,0.0928726,,104,,219.075
38,0.0956282,,105,,219.104
39,0.0983838,,106,,219.132
40,0.101139,,107,,219.161
41,0.103895,,108,,219.189
42,0.106425,,111,,219.189
43,0.108955,,114,,219.189
44,0.111475,,114,,219.189
45,0.114082,,113.25,,219.139
46,0.116689,,112.5,,219.089
47,0.119297,,111.75,,219.039
48,0.121904,,111,,218.989
49,0.124299,,111.75,,219.039
50,0.126694,,112.5,,219.089
51,0.129089,,113.25,,219.139
52,0.131484,,114,,219.189
53,0.13397,,115,,219.189
54,0.136457,,116,,219.189
55,0.138943,,117,,219.189
56,0.141619,,117.429,,219.161
57,0.144294,,117.857,,219.132
58,0.14697,,118.286,,219.104
59,0.149646,,118.714,,219.075
60,0.152321,,119.143,,219.046
61,0.154997,,119.571,,219.018
62,0.157672,,120,,218.989
63,0.160267,,120.25,,219.014
64,0.162862,,120.5,,219.039
65,0.165457,,120.75,,219.064
66,0.168052,,121,,219.089
67,0.170647,,121.25,,219.114
68,0.173242,,121.5,,219.139
69,0.175836,,121.75,,219.164
70,0.178431,,122,,219.189
71,0.180953,,121.4,,219.189
72,0.183475,,120.8,,219.189
73,0.185997,,120.2,,219.189
74,0.188519,,119.6,,219.189
75,0.191041,,119,,219.189
76,0.193371,,120.5,,219.189
77,0.1957,,122,,219.189
78,0.198125,,122.222,,219.212
79,0.200549,,122.444,,219.234
80,0.202973,,122.667,,219.256
81,0.205398,,122.889,,219.278
82,0.207822,,123.111,,219.3
83,0.210246,,123.333,,219.323
84,0.212671,,123.556,,219.345
85,0.215095,,123.778,,219.367
86,0.217519,,124,,219.389
87,0.220061,,124,,219.389
88,0.222602,,124,,219.389
89,0.225143,,124,,219.389
90,0.227684,,124,,219.389
91,0.230225,,124,,219.389
92,0.232766,,124,,219.389
93,0.235307,,124,,219.389
94,0.237848,,124,,219.389
95,0.240359,,124.222,,219.412
96,0.24287,,124.444,,219.434
97,0.245381,,124.667,,219.456
98,0.247892,,124.889,,219.478
99,0.250403,,125.111,,219.5
100,0.252914,,125.333,,219.523
101,0.255425,,125.556,,219.545
102,0.257936,,125.778,,219.567
103,0.260447,,126,,219.589
104,0.263042,,126,,219.589
105,0.265637,,126,,219.589
106,0.268232,,126,,219.589
107,0.270827,,126,,219.589
108,0.273422,,126,,219.589
109,0.276017,,126,,219.589
110,0.278611,,126,,219.589
111,0.281206,,126,,219.589
112,0.283826,,126,,219.589
113,0.286391,,126.125,,219.614
114,0.288956,,126.25,,219.639
115,0.291521,,126.375,,219.664
116,0.294086,,126.5,,219.689
117,0.296651,,126.625,,219.714
118,0.299215,,126.75,,219.739
119,0.30178,,126.875,,219.764
120,0.304345,,127,,219.789
121,0.306985,,127.125,,219.789
122,0.309625,,127.25,,219.789
123,0.312265,,127.375,,219.789
124,0.314905,,127.5,,219.789
125,0.317544,,127.625,,219.789
126,0.320184,,127.75,,219.789
127,0.322824,,127.875,,219.789
128,0.325464,,128,,219.789
129,0.328045,,127.875,,219.789
