secs,km,power,hr,cad,alt
0,0,,76,,73.4
1,0.00199,,76,,73.6
2,0.00445,,77,,73.6667
3,0.00691,,78,,73.7333
4,0.00937,,79,,73.8
5,0.01183,,80,,73.8667
6,0.01429,,81,,73.9333
7,0.01675,,82,,74
8,0.019165,,84.5,,73.8
9,0.02158,,87,,73.6
10,0.02462,,88.75,,73.55
11,0.02766,,90.5,,73.5
12,0.0307,,92.25,,73.45
13,0.03374,,94,,73.4
14,0.037325,,95.5,,73.8
15,0.04091,,97,,74.2
16,0.043645,,99,,74.1
17,0.04638,,101,,74
18,0.04889,,105,,73.6
19,0.05196,,108,,73.6
20,0.05545,,109.333,,73.6667
21,0.05894,,110.667,,73.7333
22,0.06243,,112,,73.8
23,0.06614,,115,,73.8
24,0.0698533,,116.333,,73.8
25,0.0735667,,117.667,,73.8
26,0.07728,,119,,73.8
27,0.0808967,,120.333,,73.8
28,0.0845133,,121.667,,73.8
29,0.08813,,123,,73.8
30,0.0915083,,123,,73.8333
31,0.0948867,,123,,73.8667
32,0.098265,,123,,73.9
33,0.101643,,123,,73.9333
34,0.105022,,123,,73.9667
35,0.1084,,123,,74
36,0.112182,,123,,74
37,0.115963,,123,,74
38,0.119745,,123,,74
39,0.123527,,123,,74
40,0.127308,,123,,74
41,0.13109,,123,,74
42,0.134828,,123.167,,74
43,0.138567,,123.333,,74
44,0.142305,,123.5,,74
45,0.146043,,123.667,,74
46,0.149782,,123.833,,74
47,0.15352,,124,,74
48,0.157182,,124.5,,74
49,0.160843,,125,,74
50,0.164505,,125.5,,74
51,0.168167,,126,,74
52,0.171828,,126.5,,74
53,0.17549,,127,,74
54,0.179325,,127.333,,74
55,0.18316,,127.667,,74
56,0.186995,,128,,74
57,0.19083,,128.333,,74
58,0.194665,,128.667,,74
59,0.1985,,129,,74
60,0.202115,,129.333,,74.0333
61,0.20573,,129.667,,74.0667
62,0.209345,,130,,74.1
63,0.21296,,130.333,,74.1333
64,0.216575,,130.667,,74.1667
65,0.22019,,131,,74.2
66,0.223563,,131.333,,74.1667
67,0.226937,,131.667,,74.1333
68,0.23031,,132,,74.1
69,0.233683,,132.333,,74.0667
70,0.237057,,132.667,,74.0333
71,0.24043,,133,,74
72,0.243835,,133.167,,74.0333
73,0.24724,,133.333,,74.0667
74,0.250645,,133.5,,74.1
75,0.25405,,133.667,,74.1333
76,0.257455,,133.833,,74.1667
77,0.26086,,134,,74.2
78,0.264232,,134,,74.2333
79,0.267603,,134,,74.2667
80,0.270975,,134,,74.3
81,0.274347,,134,,74.3333
82,0.277718,,134,,74.3667
83,0.28109,,134,,74.4
84,0.28424,,134,,74.3714
85,0.28739,,134,,74.3429
86,0.29054,,134,,74.3143
87,0.29369,,134,,74.2857
88,0.29684,,134,,74.2571
89,0.29999,,134,,74.2286
90,0.30314,,134,,74.2
91,0.306327,,134,,74.2
92,0.309514,,134,,74.2
93,0.312701,,134,,74.2
94,0.315889,,134,,74.2
95,0.319076,,134,,74.2
96,0.322263,,134,,74.2
97,0.32545,,134,,74.2
98,0.328314,,134,,74.2
99,0.331179,,134,,74.2
100,0.334043,,134,,74.2
101,0.336907,,134,,74.2
102,0.339771,,134,,74.2
103,0.342636,,134,,74.2
104,0.3455,,134,,74.2
105,0.348475,,134,,74.25
106,0.35145,,134,,74.3
107,0.354425,,134,,74.35
108,0.3574,,134,,74.4
109,0.360691,,134.286,,74.5143
110,0.363983,,134.571,,74.6286
111,0.367274,,134.857,,74.7429
112,0.370566,,135.143,,74.8571
113,0.373857,,135.429,,74.9714
114,0.377149,,135.714,,75.0857
115,0.38044,,136,,75.2
116,0.383663,,136,,75.2667
117,0.386887,,136,,75.3333
118,0.39011,,136,,75.4
119,0.393434,,136.6,,75.52
120,0.396758,,137.2,,75.64
121,0.400082,,137.8,,75.76
122,0.403406,,138.4,,75.88
123,0.40673,,139,,76
124,0.409884,,139.143,,76
125,0.413039,,139.286,,76
126,0.416193,,139.429,,76
127,0.419347,,139.571,,76
128,0.422501,,139.714,,76
129,0.425656,,139.857,,76
130,0.42881,,140,,76
131,0.432158,,140,,75.9667
132,0.435507,,140,,75.9333
133,0.438855,,140,,75.9
134,0.442203,,140,,75.8667
135,0.445552,,140,,75.8333
136,0.4489,,140,,75.8
137,0.452588,,139.667,,75.7333
138,0.456277,,139.333,,75.6667
139,0.459965,,139,,75.6
140,0.463653,,138.667,,75.5333
141,0.467342,,138.333,,75.4667
142,0.47103,,138,,75.4
143,0.474299,,137.714,,75.2857
144,0.477567,,137.429,,75.1714
145,0.480836,,137.143,,75.0571
146,0.484104,,136.857,,74.9429
147,0.487373,,136.571,,74.8286
148,0.490641,,136.286,,74.7143
149,0.49391,,136,,74.6
150,0.496933,,136,,74.5333
151,0.499957,,136,,74.4667
152,0.50298,,136,,74.4
153,0.506523,,135.833,,74.3
154,0.510067,,135.667,,74.2
155,0.51361,,135.5,,74.1
156,0.517153,,135.333,,74
157,0.520697,,135.167,,73.9
