secs,km,power,hr,cad,alt
0,0,,71,,144
1,0.00334,,71,,140.4
2,0.00624,,70.75,,139
3,0.00914,,70.5,,137.6
4,0.01204,,70.25,,136.2
5,0.01494,,70,,134.8
6,0.01784,,69.75,,133.4
7,0.02074,,69.5,,132
8,0.02364,,69.25,,130.6
9,0.02654,,69,,129.2
10,0.03019,,76,,128.4
11,0.03409,,79,,127
12,0.03765,,89,,125.4
13,0.04105,,95,,123.8
14,0.04458,,95,,122.4
15,0.0482383,,95.1667,,121.2
16,0.0518967,,95.3333,,120
17,0.055555,,95.5,,118.8
18,0.0592133,,95.6667,,117.6
19,0.0628717,,95.8333,,116.4
20,0.06653,,96,,115.2
21,0.069985,,97.5,,114.1
22,0.07344,,99,,113
23,0.0767157,,98.8571,,112.657
24,0.0799914,,98.7143,,112.314
25,0.0832671,,98.5714,,111.971
26,0.0865429,,98.4286,,111.629
27,0.0898186,,98.2857,,111.286
28,0.0930943,,98.1429,,110.943
29,0.09637,,98,,110.6
30,0.10021,,98.75,,109
31,0.10405,,99.5,,107.4
32,0.10789,,100.25,,105.8
33,0.11173,,101,,104.2
34,0.11556,,105,,102.6
35,0.118245,,106.5,,101.1
36,0.12093,,108,,99.6
37,0.12308,,111,,98.4
38,0.125473,,111.5,,98.1667
39,0.127867,,112,,97.9333
40,0.13026,,112.5,,97.7
41,0.132653,,113,,97.4667
42,0.135047,,113.5,,97.2333
43,0.13744,,114,,97
44,0.141437,,115,,97.55
45,0.145435,,116,,98.1
46,0.149433,,117,,98.65
47,0.15343,,118,,99.2
48,0.156872,,117.8,,99.12
49,0.160314,,117.6,,99.04
50,0.163756,,117.4,,98.96
51,0.167198,,117.2,,98.88
52,0.17064,,117,,98.8
53,0.173152,,117,,97.9778
54,0.175664,,117,,97.1556
55,0.178177,,117,,96.3333
56,0.180689,,117,,95.5111
57,0.183201,,117,,94.6889
58,0.185713,,117,,93.8667
59,0.188226,,117,,93.0444
60,0.190738,,117,,92.2222
61,0.19325,,117,,91.4
62,0.196489,,117.143,,91.1143
63,0.199727,,117.286,,90.8286
64,0.202966,,117.429,,90.5429
65,0.206204,,117.571,,90.2571
66,0.209443,,117.714,,89.9714
67,0.212681,,117.857,,89.6857
68,0.21592,,118,,89.4
69,0.219523,,118.333,,89.4333
70,0.223127,,118.667,,89.4667
71,0.22673,,119,,89.5
72,0.230333,,119.333,,89.5333
73,0.233937,,119.667,,89.5667
74,0.23754,,120,,89.6
75,0.241125,,120.167,,89.6333
76,0.24471,,120.333,,89.6667
77,0.248295,,120.5,,89.7
78,0.25188,,120.667,,89.7333
79,0.255465,,120.833,,89.7667
80,0.25905,,121,,89.8
81,0.262665,,122.5,,89.8
82,0.26628,,124,,89.8
83,0.270072,,124,,89.8333
84,0.273863,,124,,89.8667
85,0.277655,,124,,89.9
86,0.281447,,124,,89.9333
87,0.285238,,124,,89.9667
88,0.28903,,124,,90
89,0.292905,,124.167,,90.0667
90,0.29678,,124.333,,90.1333
91,0.300655,,124.5,,90.2
92,0.30453,,124.667,,90.2667
93,0.308405,,124.833,,90.3333
94,0.31228,,125,,90.4
95,0.31532,,125,,90.7
96,0.31836,,125,,91
97,0.3214,,125,,91.3
98,0.32444,,125,,91.6
99,0.32748,,125,,91.9
100,0.33052,,125,,92.2
101,0.333195,,124.875,,92.5
102,0.33587,,124.75,,92.8
103,0.338545,,124.625,,93.1
104,0.34122,,124.5,,93.4
105,0.343895,,124.375,,93.7
106,0.34657,,124.25,,94
107,0.349245,,124.125,,94.3
108,0.35192,,124,,94.6
109,0.35546,,123.833,,94.5
110,0.359,,123.667,,94.4
111,0.36254,,123.5,,94.3
112,0.36608,,123.333,,94.2
113,0.36962,,123.167,,94.1
114,0.37316,,123,,94
115,0.37656,,123.167,,93.5667
116,0.37996,,123.333,,93.1333
117,0.38336,,123.5,,92.7
118,0.38676,,123.667,,92.2667
119,0.39016,,123.833,,91.8333
120,0.39356,,124,,91.4
121,0.397075,,124,,91.2
122,0.40059,,124,,91
123,0.404105,,124,,90.8
124,0.40762,,124,,90.6
125,0.411135,,124,,90.4
126,0.41465,,124,,90.2
127,0.417806,,124,,90.0571
128,0.420961,,124,,89.9143
129,0.424117,,124,,89.7714
130,0.427273,,124,,89.6286
131,0.430429,,124,,89.4857
132,0.433584,,124,,89.3429
133,0.43674,,124,,89.2
134,0.440077,,124.143,,89.2286
135,0.443414,,124.286,,89.2571
136,0.446751,,124.429,,89.2857
137,0.450089,,124.571,,89.3143
138,0.453426,,124.714,,89.3429
139,0.456763,,124.857,,89.3714
140,0.4601,,125,,89.4
