secs,km,power,hr,cad,alt
0,0,,137,,136.4
1,0.00189,,136.4,,136.28
2,0.00378,,135.8,,136.16
3,0.00567,,135.2,,136.04
4,0.00756,,134.6,,135.92
5,0.00945,,134,,135.8
6,0.0117833,,134,,135.933
7,0.0141167,,134,,136.067
8,0.01645,,134,,136.2
9,0.0187833,,134,,136.333
10,0.0211167,,134,,136.467
11,0.02345,,134,,136.6
12,0.0257833,,134,,136.733
13,0.0281167,,134,,136.867
14,0.03045,,134,,137
15,0.0328067,,133.333,,136.933
16,0.0351633,,132.667,,136.867
17,0.03752,,132,,136.8
18,0.0398767,,131.333,,136.733
19,0.0422333,,130.667,,136.667
20,0.04459,,130,,136.6
21,0.0471488,,130.25,,136.625
22,0.0497075,,130.5,,136.65
23,0.0522663,,130.75,,136.675
24,0.054825,,131,,136.7
25,0.0573838,,131.25,,136.725
26,0.0599425,,131.5,,136.75
27,0.0625013,,131.75,,136.775
28,0.06506,,132,,136.8
29,0.0675571,,132,,136.857
30,0.0700543,,132,,136.914
31,0.0725514,,132,,136.971
32,0.0750486,,132,,137.029
33,0.0775457,,132,,137.086
34,0.0800429,,132,,137.143
35,0.08254,,132,,137.2
36,0.085284,,132.6,,137.2
37,0.088028,,133.2,,137.2
38,0.090772,,133.8,,137.2
39,0.093516,,134.4,,137.2
40,0.09626,,135,,137.2
41,0.0986733,,135.5,,137.167
42,0.101087,,136,,137.133
43,0.1035,,136.5,,137.1
44,0.105913,,137,,137.067
45,0.108327,,137.5,,137.033
46,0.11074,,138,,137
47,0.113384,,138,,136.9
48,0.116027,,138,,136.8
49,0.118671,,138,,136.7
50,0.121315,,138,,136.6
51,0.123959,,138,,136.5
52,0.126602,,138,,136.4
53,0.129246,,138,,136.3
54,0.13189,,138,,136.2
55,0.13438,,138.111,,136.111
56,0.13687,,138.222,,136.022
57,0.13936,,138.333,,135.933
58,0.14185,,138.444,,135.844
59,0.14434,,138.556,,135.756
60,0.14683,,138.667,,135.667
61,0.14932,,138.778,,135.578
62,0.15181,,138.889,,135.489
63,0.1543,,139,,135.4
64,0.156782,,139.222,,135.333
65,0.159264,,139.444,,135.267
66,0.161747,,139.667,,135.2
67,0.164229,,139.889,,135.133
68,0.166711,,140.111,,135.067
69,0.169193,,140.333,,135
70,0.171676,,140.556,,134.933
71,0.174158,,140.778,,134.867
72,0.17664,,141,,134.8
73,0.178393,,140.714,,134.8
74,0.180146,,140.429,,134.8
75,0.181899,,140.143,,134.8
76,0.183651,,139.857,,134.8
77,0.185404,,139.571,,134.8
78,0.187157,,139.286,,134.8
79,0.18891,,139,,134.8
80,0.190825,,139.091,,134.8
81,0.192739,,139.182,,134.8
82,0.194654,,139.273,,134.8
83,0.196568,,139.364,,134.8
84,0.198483,,139.455,,134.8
85,0.200397,,139.545,,134.8
86,0.202312,,139.636,,134.8
87,0.204226,,139.727,,134.8
88,0.206141,,139.818,,134.8
89,0.208055,,139.909,,134.8
90,0.20997,,140,,134.8
91,0.211397,,139.75,,134.833
92,0.212823,,139.5,,134.867
93,0.21425,,139.25,,134.9
94,0.215677,,139,,134.933
95,0.217103,,138.75,,134.967
96,0.21853,,138.5,,135
97,0.219957,,138.25,,135.033
98,0.221383,,138,,135.067
99,0.22281,,137.75,,135.1
100,0.224237,,137.5,,135.133
101,0.225663,,137.25,,135.167
102,0.22709,,137,,135.2
103,0.228368,,136.875,,135.25
104,0.229646,,136.75,,135.3
105,0.230924,,136.625,,135.35
106,0.232203,,136.5,,135.4
107,0.233481,,136.375,,135.45
108,0.234759,,136.25,,135.5
109,0.236037,,136.125,,135.55
110,0.237315,,136,,135.6
111,0.238593,,135.875,,135.65
112,0.239871,,135.75,,135.7
113,0.241149,,135.625,,135.75
114,0.242427,,135.5,,135.8
115,0.243706,,135.375,,135.85
116,0.244984,,135.25,,135.9
117,0.246262,,135.125,,135.95
118,0.24754,,135,,136
119,0.24898,,134.818,,136
120,0.25042,,134.636,,136
121,0.25186,,134.455,,136
122,0.2533,,134.273,,136
123,0.25474,,134.091,,136
124,0.25618,,133.909,,136
125,0.25762,,133.727,,136
126,0.25906,,133.545,,136
127,0.2605,,133.364,,136
128,0.26194,,133.182,,136
129,0.26338,,133,,136
130,0.26494,,132.857,,136.057
131,0.2665,,132.714,,136.114
132,0.26806,,132.571,,136.171
133,0.26962,,132.429,,136.229
134,0.27118,,132.286,,136.286
135,0.27274,,132.143,,136.343
136,0.2743,,132,,136.4
137,0.276524,,131.889,,136.489
138,0.278749,,131.778,,136.578
139,0.280973,,131.667,,136.667
140,0.283198,,131.556,,136.756
141,0.285422,,131.444,,136.844
142,0.287647,,131.333,,136.933
143,0.289871,,131.222,,137.022
144,0.292096,,131.111,,137.111
145,0.29432,,131,,137.2
146,0.296807,,131.333,,137.233
147,0.299293,,131.667,,137.267
148,0.30178,,132,,137.3
149,0.304267,,132.333,,137.333
150,0.306753,,132.667,,137.367
151,0.30924,,133,,137.4
152,0.311771,,133.375,,137.425
153,0.314303,,133.75,,137.45
154,0.316834,,134.125,,137.475
155,0.319365,,134.5,,137.5
156,0.321896,,134.875,,137.525
157,0.324427,,135.25,,137.55
158,0.326959,,135.625,,137.575
159,0.32949,,136,,137.6
160,0.332043,,136.125,,137.6
161,0.334595,,136.25,,137.6
162,0.337147,,136.375,,137.6
163,0.3397,,136.5,,137.6
164,0.342253,,136.625,,137.6
165,0.344805,,136.75,,137.6
166,0.347357,,136.875,,137.6
167,0.34991,,137,,137.6
168,0.352042,,137.2,,137.58
169,0.354174,,137.4,,137.56
170,0.356306,,137.6,,137.54
171,0.358438,,137.8,,137.52
172,0.36057,,138,,137.5
173,0.362702,,138.2,,137.48
