secs,km,power,hr,cad,alt
0,0,,91,,8.2
1,0.0016,,91.5,,7.8
2,0.0032,,92,,7.4
3,0.00555,,92.5,,7.9
4,0.0079,,93,,8.4
5,0.011,,97,,8.4
6,0.0146,,100,,8.2
7,0.0181,,105,,8.2
8,0.0218,,110,,8.2
9,0.0254,,114,,8.2
10,0.0287,,116,,8.1
11,0.032,,118,,8
12,0.0353,,121,,7.8
13,0.0382,,122.5,,7.9
14,0.0411,,124,,8
15,0.044,,127,,8
16,0.04705,,128.5,,7.9
17,0.0501,,130,,7.8
18,0.053,,130,,8
19,0.0565,,132,,8
20,0.06,,134,,8
21,0.06328,,134.2,,8
22,0.06656,,134.4,,8
23,0.06984,,134.6,,8
24,0.07312,,134.8,,8
25,0.0764,,135,,8
26,0.0798333,,136,,8
27,0.0832667,,137,,8
28,0.0867,,138,,8
29,0.0894,,138.333,,8
30,0.0921,,138.667,,8
31,0.0948,,139,,8
32,0.09825,,139,,8.1
33,0.1017,,139,,8.2
34,0.10482,,139,,8.24
35,0.10794,,139,,8.28
36,0.11106,,139,,8.32
37,0.11418,,139,,8.36
38,0.1173,,139,,8.4
39,0.12075,,138.5,,8.4
40,0.1242,,138,,8.4
41,0.12765,,137.5,,8.4
42,0.1311,,137,,8.4
43,0.134171,,137.429,,8.42857
44,0.137243,,137.857,,8.45714
45,0.140314,,138.286,,8.48571
46,0.143386,,138.714,,8.51429
47,0.146457,,139.143,,8.54286
48,0.149529,,139.571,,8.57143
49,0.1526,,140,,8.6
50,0.155671,,139.857,,8.54286
51,0.158743,,139.714,,8.48571
52,0.161814,,139.571,,8.42857
53,0.164886,,139.429,,8.37143
54,0.167957,,139.286,,8.31429
55,0.171029,,139.143,,8.25714
56,0.1741,,139,,8.2
57,0.1768,,140,,8.2
58,0.1794,,140,,8.2
59,0.182,,140,,8.2
60,0.1846,,140,,8.2
61,0.1872,,140,,8.2
62,0.1898,,140,,8.2
63,0.1924,,140.5,,8.4
64,0.195,,141,,8.6
65,0.197833,,141.333,,8.73333
66,0.200667,,141.667,,8.86667
67,0.2035,,142,,9
68,0.206367,,142,,9
69,0.209233,,142,,9
70,0.2121,,142,,9
71,0.214967,,142,,9
72,0.217833,,142,,9
73,0.2207,,142,,9
74,0.22375,,140.5,,9.1
75,0.2268,,139,,9.2
76,0.2295,,142,,9.2
77,0.2323,,140,,9.2
78,0.235,,140.333,,9.13333
79,0.2377,,140.667,,9.06667
80,0.2404,,141,,9
81,0.243483,,141,,9.03333
82,0.246567,,141,,9.06667
83,0.24965,,141,,9.1
84,0.252733,,141,,9.13333
85,0.255817,,141,,9.16667
86,0.2589,,141,,9.2
87,0.262143,,140.857,,9.14286
88,0.265386,,140.714,,9.08571
89,0.268629,,140.571,,9.02857
90,0.271871,,140.429,,8.97143
91,0.275114,,140.286,,8.91429
92,0.278357,,140.143,,8.85714
93,0.2816,,140,,8.8
94,0.2848,,140,,9
95,0.287829,,139.857,,8.94286
96,0.290857,,139.714,,8.88571
97,0.293886,,139.571,,8.82857
98,0.296914,,139.429,,8.77143
99,0.299943,,139.286,,8.71429
100,0.302971,,139.143,,8.65714
101,0.306,,139,,8.6
102,0.309,,140,,8.4
103,0.31172,,139.8,,8.4
104,0.31444,,139.6,,8.4
105,0.31716,,139.4,,8.4
106,0.31988,,139.2,,8.4
107,0.3226,,139,,8.4
108,0.325617,,139.5,,8.56667
109,0.328633,,140,,8.73333
110,0.33165,,140.5,,8.9
111,0.334667,,141,,9.06667
112,0.337683,,141.5,,9.23333
113,0.3407,,142,,9.4
114,0.3437,,141,,9.2
115,0.347133,,140.667,,9.2
116,0.350567,,140.333,,9.2
117,0.354,,140,,9.2
118,0.357433,,139.667,,9.2
119,0.360867,,139.333,,9.2
120,0.3643,,139,,9.2
121,0.368,,138,,9.2
122,0.37155,,137.667,,9.26667
123,0.3751,,137.333,,9.33333
124,0.37865,,137,,9.4
125,0.3822,,136.667,,9.46667
126,0.38575,,136.333,,9.53333
127,0.3893,,136,,9.6
128,0.3926,,136,,10
129,0.3957,,134.5,,10.1
130,0.3988,,133,,10.2
131,0.401075,,133.25,,10.25
132,0.40335,,133.5,,10.3
133,0.405625,,133.75,,10.35
134,0.4079,,134,,10.4
135,0.4095,,134,,10.4
136,0.411929,,134.286,,10.4571
137,0.414357,,134.571,,10.5143
138,0.416786,,134.857,,10.5714
139,0.419214,,135.143,,10.6286
140,0.421643,,135.429,,10.6857
141,0.424071,,135.714,,10.7429
142,0.4265,,136,,10.8
143,0.429471,,136,,10.7429
144,0.432443,,136,,10.6857
145,0.435414,,136,,10.6286
146,0.438386,,136,,10.5714
147,0.441357,,136,,10.5143
148,0.444329,,136,,10.4571
149,0.4473,,136,,10.4
150,0.450367,,136.167,,10.3667
151,0.453433,,136.333,,10.3333
152,0.4565,,136.5,,10.3
153,0.459567,,136.667,,10.2667
154,0.462633,,136.833,,10.2333
155,0.4657,,137,,10.2
156,0.4688,,137,,10.2
157,0.4719,,137,,10.2
158,0.475,,137,,10.2
159,0.4781,,137,,10.2
160,0.4812,,137,,10.2
161,0.4843,,137,,10.2
162,0.4874,,137,,10.2
163,0.490467,,137.5,,10.1667
164,0.493533,,138,,10.1333
165,0.4966,,138.5,,10.1
166,0.499667,,139,,10.0667
167,0.502733,,139.5,,10.0333
168,0.5058,,140,,10
169,0.5093,,137,,10
170,0.51214,,137,,9.92
171,0.51498,,137,,9.84
172,0.51782,,137,,9.76
173,0.52066,,137,,9.68
174,0.5235,,137,,9.6
175,0.526333,,137,,9.6
176,0.529167,,137,,9.6
177,0.532,,137,,9.6
178,0.535167,,137.333,,9.73333
179,0.538333,,137.667,,9.86667
180,0.5415,,138,,10
181,0.544483,,137.667,,10.0333
182,0.547467,,137.333,,10.0667
183,0.55045,,137,,10.1
184,0.553433,,136.667,,10.1333
185,0.556417,,136.333,,10.1667
186,0.5594,,136,,10.2
187,0.562114,,136.429,,10.1429
188,0.564829,,136.857,,10.0857
189,0.567543,,137.286,,10.0286
190,0.570257,,137.714,,9.97143
191,0.572971,,138.143,,9.91429
192,0.575686,,138.571,,9.85714
193,0.5784,,139,,9.8
194,0.580757,,138.857,,9.8
195,0.583114,,138.714,,9.8
196,0.585471,,138.571,,9.8
197,0.587829,,138.429,,9.8
198,0.590186,,138.286,,9.8
199,0.592543,,138.143,,9.8
200,0.5949,,138,,9.8
201,0.5978,,138.4,,9.8
202,0.6007,,138.8,,9.8
203,0.6036,,139.2,,9.8
204,0.6065,,139.6,,9.8
205,0.6094,,140,,9.8
206,0.611983,,140,,9.76667
207,0.614567,,140,,9.73333
208,0.61715,,140,,9.7
209,0.619733,,140,,9.66667
210,0.622317,,140,,9.63333
211,0.6249,,140,,9.6
212,0.627533,,139.833,,9.56667
213,0.630167,,139.667,,9.53333
214,0.6328,,139.5,,9.5
215,0.635433,,139.333,,9.46667
216,0.638067,,139.167,,9.43333
217,0.6407,,139,,9.4
218,0.64345,,139.5,,9.3
219,0.6462,,140,,9.2
220,0.649,,140,,9.2
221,0.6518,,140,,9.2
222,0.6546,,140,,9.2
223,0.6574,,140,,9.2
224,0.66066,,140.2,,9.2
225,0.66392,,140.4,,9.2
226,0.66718,,140.6,,9.2
227,0.67044,,140.8,,9.2
228,0.6737,,141,,9.2
229,0.676786,,141,,9.25714
230,0.679871,,141,,9.31429
231,0.682957,,141,,9.37143
232,0.686043,,141,,9.42857
233,0.689129,,141,,9.48571
234,0.692214,,141,,9.54286
235,0.6953,,141,,9.6
236,0.698417,,140.833,,9.6
237,0.701533,,140.667,,9.6
238,0.70465,,140.5,,9.6
239,0.707767,,140.333,,9.6
240,0.710883,,140.167,,9.6
241,0.714,,140,,9.6
242,0.71685,,140.333,,9.63333
243,0.7197,,140.667,,9.66667
244,0.72255,,141,,9.7
245,0.7254,,141.333,,9.73333
246,0.72825,,141.667,,9.76667
247,0.7311,,142,,9.8
248,0.73405,,140.5,,9.8
249,0.737,,139,,9.8
250,0.740275,,139.5,,9.8
251,0.74355,,140,,9.8
252,0.746825,,140.5,,9.8
253,0.7501,,141,,9.8
254,0.75345,,141,,9.76667
255,0.7568,,141,,9.73333
256,0.76015,,141,,9.7
257,0.7635,,141,,9.66667
258,0.76685,,141,,9.63333
259,0.7702,,141,,9.6
260,0.77295,,140.5,,9.5
261,0.7757,,140,,9.4
262,0.77816,,140.2,,9.36
263,0.78062,,140.4,,9.32
264,0.78308,,140.6,,9.28
265,0.78554,,140.8,,9.24
266,0.788,,141,,9.2
267,0.7907,,141,,9.2
268,0.79315,,140.5,,9.3
269,0.7956,,140,,9.4
270,0.79805,,139.5,,9.5
271,0.8005,,139,,9.6
272,0.80325,,139.5,,9.8
273,0.806,,140,,10
274,0.808986,,140.143,,9.94286
275,0.811971,,140.286,,9.88571
276,0.814957,,140.429,,9.82857
277,0.817943,,140.571,,9.77143
278,0.820929,,140.714,,9.71429
279,0.823914,,140.857,,9.65714
280,0.8269,,141,,9.6
281,0.8295,,141.5,,9.5
282,0.8321,,142,,9.4
283,0.835767,,142.333,,9.4
284,0.839433,,142.667,,9.4
285,0.8431,,143,,9.4
286,0.846433,,142.667,,9.4
287,0.849767,,142.333,,9.4
288,0.8531,,142,,9.4
289,0.856433,,141.667,,9.4
290,0.859767,,141.333,,9.4
291,0.8631,,141,,9.4
292,0.8664,,140,,9.4
293,0.86995,,140.167,,9.4
