secs,km,power,hr,cad,alt
0,0,,60,,195.6
1,0.002605,,57.5,,195
2,0.00521,,55,,194.4
3,0.008642,,56,,194.36
4,0.012074,,57,,194.32
5,0.015506,,58,,194.28
6,0.018938,,59,,194.24
7,0.02237,,60,,194.2
8,0.02627,,63,,194.6
9,0.02987,,66,,194.2
10,0.03336,,70,,194
11,0.0368,,75,,194
12,0.040405,,76.5,,194.2
13,0.04401,,78,,194.4
14,0.047625,,81.5,,194.1
15,0.05124,,85,,193.8
16,0.05471,,90,,194
17,0.05795,,94,,193.8
18,0.06134,,99,,194.4
19,0.06458,,104,,194.2
20,0.06797,,109,,194
21,0.07146,,114,,194
22,0.07492,,117,,194
23,0.07829,,117,,194
24,0.0814029,,117.143,,193.971
25,0.0845157,,117.286,,193.943
26,0.0876286,,117.429,,193.914
27,0.0907414,,117.571,,193.886
28,0.0938543,,117.714,,193.857
29,0.0969671,,117.857,,193.829
30,0.10008,,118,,193.8
31,0.103557,,119,,193.8
32,0.107033,,120,,193.8
33,0.11051,,121,,193.8
34,0.114008,,121.167,,193.8
35,0.117507,,121.333,,193.8
36,0.121005,,121.5,,193.8
37,0.124503,,121.667,,193.8
38,0.128002,,121.833,,193.8
39,0.1315,,122,,193.8
40,0.13532,,122,,193.8
41,0.138775,,122.333,,193.8
42,0.14223,,122.667,,193.8
43,0.145685,,123,,193.8
44,0.14914,,123.333,,193.8
45,0.152595,,123.667,,193.8
46,0.15605,,124,,193.8
47,0.159227,,125,,193.867
48,0.162403,,126,,193.933
49,0.16558,,127,,194
50,0.16896,,126,,194
51,0.172164,,126.286,,193.971
52,0.175369,,126.571,,193.943
53,0.178573,,126.857,,193.914
54,0.181777,,127.143,,193.886
55,0.184981,,127.429,,193.857
56,0.188186,,127.714,,193.829
57,0.19139,,128,,193.8
58,0.194633,,129,,193.8
59,0.197877,,130,,193.8
60,0.20112,,131,,193.8
61,0.204339,,131.286,,193.8
62,0.207557,,131.571,,193.8
63,0.210776,,131.857,,193.8
64,0.213994,,132.143,,193.8
65,0.217213,,132.429,,193.8
66,0.220431,,132.714,,193.8
67,0.22365,,133,,193.8
68,0.22651,,132.667,,193.933
69,0.22937,,132.333,,194.067
70,0.23223,,132,,194.2
71,0.23525,,132.5,,194.3
72,0.23827,,133,,194.4
73,0.24129,,133.5,,194.5
74,0.24431,,134,,194.6
75,0.24733,,134.5,,194.7
76,0.25035,,135,,194.8
77,0.25354,,135.25,,194.85
78,0.25673,,135.5,,194.9
79,0.25992,,135.75,,194.95
80,0.26311,,136,,195
81,0.266354,,136,,195.029
82,0.269599,,136,,195.057
83,0.272843,,136,,195.086
84,0.276087,,136,,195.114
85,0.279331,,136,,195.143
86,0.282576,,136,,195.171
87,0.28582,,136,,195.2
88,0.289223,,136.333,,195.133
89,0.292627,,136.667,,195.067
90,0.29603,,137,,195
91,0.299682,,137.167,,195
92,0.303333,,137.333,,195
93,0.306985,,137.5,,195
94,0.310637,,137.667,,195
95,0.314288,,137.833,,195
96,0.31794,,138,,195
97,0.321423,,138,,194.95
98,0.324905,,138,,194.9
99,0.328387,,138,,194.85
100,0.33187,,138,,194.8
101,0.335328,,138.333,,194.733
102,0.338787,,138.667,,194.667
103,0.342245,,139,,194.6
104,0.345703,,139.333,,194.533
105,0.349162,,139.667,,194.467
106,0.35262,,140,,194.4
107,0.355892,,139.75,,194.35
108,0.359165,,139.5,,194.3
109,0.362437,,139.25,,194.25
110,0.36571,,139,,194.2
111,0.368887,,138.857,,194.171
112,0.372064,,138.714,,194.143
113,0.375241,,138.571,,194.114
114,0.378419,,138.429,,194.086
115,0.381596,,138.286,,194.057
116,0.384773,,138.143,,194.029
117,0.38795,,138,,194
118,0.39125,,138,,194
119,0.39455,,138,,194
120,0.39789,,139,,194
121,0.401109,,139,,194
122,0.404327,,139,,194
123,0.407546,,139,,194
124,0.410764,,139,,194
125,0.413983,,139,,194
126,0.417201,,139,,194
127,0.42042,,139,,194
128,0.423607,,139,,194
129,0.426793,,139,,194
130,0.42998,,139,,194
131,0.433204,,139,,194.029
132,0.436429,,139,,194.057
133,0.439653,,139,,194.086
134,0.442877,,139,,194.114
135,0.446101,,139,,194.143
136,0.449326,,139,,194.171
137,0.45255,,139,,194.2
138,0.455677,,139.667,,194.267
139,0.458803,,140.333,,194.333
140,0.46193,,141,,194.4
141,0.464967,,141.143,,194.457
142,0.468004,,141.286,,194.514
143,0.471041,,141.429,,194.571
144,0.474079,,141.571,,194.629
145,0.477116,,141.714,,194.686
146,0.480153,,141.857,,194.743
147,0.48319,,142,,194.8
148,0.486247,,141.667,,194.867
149,0.489303,,141.333,,194.933
150,0.49236,,141,,195
151,0.495817,,141.167,,195.033
152,0.499273,,141.333,,195.067
153,0.50273,,141.5,,195.1
154,0.506187,,141.667,,195.133
155,0.509643,,141.833,,195.167
156,0.5131,,142,,195.2
157,0.516422,,141.5,,195.2
158,0.519745,,141,,195.2
159,0.523068,,140.5,,195.2
160,0.52639,,140,,195.2
161,0.529679,,140,,195.2
162,0.532967,,140,,195.2
163,0.536256,,140,,195.2
