secs,km,power,hr,cad,alt
0,0,,0,,0
1,0,,62,,65
2,0,,62,,65
3,0,,63,,65
4,0,,64,,62
5,0,,66,,58.6
6,0,,66,,58.6
7,0.00995,,67,,58.6
8,0.01065,,68,,54.8
9,0.0115,,68,,50.6
10,0.01185,,69,,50.6
11,0.0124,,71,,50.6
12,0.01293,,71,,47.6
13,0.01338,,73,,44.4
14,0.0139,,73,,44.4
15,0.01599,,73,,44.4
16,0.01961,,73,,42.4
17,0.02439,,73,,40
18,0.02933,,73,,40
19,0.03328,,73,,38.4
20,0.03697,,73,,36.8
21,0.04012,,73,,36.8
22,0.04392,,73,,35.8
23,0.04845,,73,,34.4
24,0.05259,,74,,34.4
25,0.05629,,76,,34.4
26,0.05988,,76,,33.8
27,0.06331,,76,,33.2
28,0.06631,,76,,33.2
29,0.06936,,76,,32.8
30,0.07245,,76,,32.4
31,0.07446,,76,,32.4
32,0.07622,,81,,32.4
33,0.07796,,81,,32.2
34,0.07937,,81,,32.2
35,0.08104,,81,,32.2
36,0.08278,,82,,32.2
37,0.08468,,91,,32.2
38,0.08714,,92,,32.2
39,0.08963,,93,,32.2
40,0.09249,,93,,32.4
41,0.09576,,94,,32.4
42,0.09912,,96,,32.4
43,0.10279,,97,,32.6
44,0.10642,,97,,33
45,0.11003,,98,,33
46,0.11391,,99,,33.2
47,0.11757,,101,,33.6
48,0.12079,,102,,33.6
49,0.12367,,103,,33.6
50,0.12627,,103,,34
51,0.12885,,105,,34.4
52,0.13127,,105,,34.4
53,0.13332,,106,,34.6
54,0.13551,,107,,35
55,0.13856,,107,,35
56,0.14181,,107,,35
57,0.1446,,107,,35.4
58,0.1474,,108,,35.8
59,0.15028,,108,,35.8
60,0.15324,,108,,36.2
61,0.15588,,108,,36.4
62,0.15813,,109,,36.4
63,0.16082,,109,,36.4
64,0.16423,,109,,36.8
65,0.1677,,109,,37.2
66,0.17095,,110,,37.2
67,0.17379,,110,,37.2
68,0.17651,,110,,37.6
69,0.17918,,110,,38
70,0.18174,,111,,38
71,0.18451,,111,,38
72,0.18742,,111,,38.6
73,0.19033,,111,,39
74,0.19321,,112,,39
75,0.19604,,112,,39
76,0.19899,,112,,39.4
77,0.20259,,112,,40
78,0.20648,,113,,40
79,0.2101,,114,,40.4
80,0.2137,,114,,40.8
81,0.2168,,115,,40.8
82,0.21908,,115,,40.8
83,0.22111,,115,,41.4
84,0.22366,,114,,41.8
85,0.22692,,114,,41.8
86,0.23114,,114,,42.2
87,0.23614,,113,,42.6
88,0.24075,,113,,42.6
89,0.24474,,113,,43
90,0.24688,,113,,43.4
91,0.24849,,112,,43.4
92,0.25134,,112,,43.8
93,0.25416,,112,,44.2
94,0.2576,,112,,44.2
95,0.26177,,111,,44.2
96,0.26564,,111,,44.4
97,0.26959,,111,,44.8
98,0.27345,,111,,44.8
99,0.27736,,110,,45
100,0.28072,,110,,45.2
101,0.28362,,110,,45.2
102,0.28695,,110,,45.4
103,0.29058,,109,,45.6
104,0.29426,,109,,45.6
105,0.29807,,107,,45.8
106,0.30169,,107,,46
107,0.30524,,102,,46
108,0.30888,,99,,46
109,0.31206,,95,,46.2
110,0.31568,,92,,46.2
111,0.32009,,90,,46.2
112,0.32422,,89,,46.4
113,0.32789,,90,,46.4
114,0.33118,,91,,46.4
115,0.33434,,92,,46.4
116,0.33733,,94,,46.4
117,0.34045,,95,,46.4
118,0.34367,,97,,46.4
119,0.34675,,98,,46.4
120,0.34992,,99,,46.4
121,0.35324,,101,,46.2
122,0.35652,,102,,46.2
123,0.3595,,103,,46.2
124,0.36212,,105,,46.2
125,0.36447,,106,,46
126,0.36679,,107,,46
127,0.36935,,109,,46
128,0.3715,,110,,45.8
129,0.37272,,112,,45.8
130,0.3732,,113,,45.8
131,0.3734,,114,,45.8
132,0.3736,,115,,45.6
133,0.37426,,115,,45.6
134,0.3749,,115,,45.6
135,0.37502,,115,,45.6
136,0.3752,,114,,45.4
137,0.3754,,113,,45.4
138,0.37579,,112,,45.4
139,0.37612,,110,,45.4
140,0.3762,,107,,45.2
141,0.37633,,106,,45.2
142,0.37653,,106,,45
143,0.37677,,103,,45
144,0.37708,,101,,45
145,0.37726,,98,,45
146,0.37736,,97,,44.8
147,0.37785,,94,,44.6
148,0.37854,,93,,44.6
149,0.37879,,92,,44.6
150,0.37889,,90,,44.4
151,0.37894,,89,,44
152,0.37901,,88,,44
153,0.37913,,88,,44
154,0.37941,,87,,43.8
155,0.38023,,86,,43.6
156,0.38195,,86,,43.6
157,0.38423,,86,,43.4
158,0.38637,,86,,43.2
159,0.38829,,86,,43.2
160,0.39066,,86,,43.2
161,0.39371,,85,,43
162,0.3972,,85,,43
163,0.40067,,84,,43
164,0.40414,,84,,42.8
165,0.40778,,83,,42.8
166,0.41152,,83,,42.8
167,0.41564,,83,,42.8
168,0.41953,,82,,42.6
169,0.4231,,82,,42.6
170,0.42686,,83,,42.6
171,0.43248,,86,,42.6
172,0.43842,,89,,42.4
173,0.44254,,92,,42.4
174,0.44617,,95,,42.4
175,0.4493,,96,,42.2
176,0.45269,,96,,42.2
177,0.45659,,96,,42.2
178,0.4604,,96,,42
179,0.46355,,96,,42
180,0.46691,,96,,42
181,0.47099,,96,,42
182,0.47513,,96,,41.8
183,0.4791,,96,,41.8
184,0.48318,,96,,41.8
185,0.48694,,97,,41.8
186,0.49016,,98,,41.8
187,0.4935,,99,,41.8
188,0.49693,,100,,41.8
189,0.50028,,101,,41.6
190,0.50382,,102,,41.6
191,0.50739,,103,,41.6
192,0.5107,,104,,41.4
193,0.51415,,105,,41.4
194,0.51805,,106,,41.2
195,0.52202,,106,,41
196,0.52528,,107,,41
197,0.52852,,108,,41
198,0.53235,,109,,40.8
199,0.53649,,110,,40.6
200,0.54106,,111,,40.6
201,0.54567,,112,,40.2
202,0.54949,,113,,40
203,0.55296,,113,,40
204,0.55677,,114,,40
205,0.5606,,115,,39.6
206,0.56421,,116,,39.2
207,0.56769,,116,,39.2
208,0.5716,,116,,38.8
209,0.57577,,116,,38.4
210,0.57993,,117,,38.4
211,0.58395,,118,,38.4
212,0.58792,,118,,38
213,0.59235,,119,,37.6
214,0.59702,,119,,37.6
215,0.60157,,119,,37.2
216,0.60616,,119,,36.6
217,0.61061,,119,,36.6
218,0.61414,,120,,36.6
219,0.61677,,120,,35.8
220,0.61989,,120,,35
221,0.62409,,121,,35
222,0.6287,,121,,34.2
223,0.63314,,122,,33.2
224,0.63787,,122,,33.2
225,0.64315,,122,,33.2
226,0.64797,,123,,32.4
227,0.65243,,123,,31.6
228,0.6561,,123,,31.6
229,0.65971,,124,,31.6
230,0.6636,,124,,30.8
231,0.66737,,124,,30
232,0.67137,,125,,30
233,0.6755,,125,,29.2
234,0.67956,,126,,28.6
235,0.68358,,126,,28.6
236,0.68774,,126,,28
237,0.69232,,126,,27.6
238,0.69713,,126,,27.6
239,0.70112,,126,,27
240,0.70425,,126,,26.6
241,0.70777,,125,,26.6
242,0.71172,,125,,26.4
243,0.71549,,125,,26
244,0.71925,,125,,26
245,0.72355,,125,,26
246,0.72824,,125,,25.8
247,0.73278,,126,,25.6
248,0.737,,126,,25.6
249,0.74081,,125,,25.4
250,0.74435,,126,,25.4
251,0.74773,,126,,25.4
252,0.75094,,126,,25.2
253,0.75401,,126,,25
254,0.75724,,127,,25
255,0.76023,,127,,25
256,0.76299,,127,,25
257,0.76598,,127,,24.8
258,0.76925,,127,,24.8
259,0.77272,,127,,24.6
260,0.77602,,127,,24.4
261,0.77919,,128,,24.4
262,0.78242,,128,,24.4
263,0.7858,,128,,24.2
264,0.7893,,128,,24.2
265,0.79297,,128,,24.2
266,0.79701,,128,,24
267,0.80105,,128,,23.8
268,0.80486,,129,,23.8
269,0.80874,,129,,23.8
270,0.81275,,129,,23.6
271,0.81665,,129,,23.2
272,0.82045,,129,,23.2
273,0.82418,,129,,23.2
274,0.82761,,129,,23
275,0.83097,,130,,22.8
276,0.83448,,130,,22.8
277,0.83789,,130,,22.8
278,0.84081,,131,,22.6
279,0.8434,,131,,22.4
280,0.84651,,131,,22.4
281,0.85,,131,,22.2
282,0.85303,,132,,21.8
283,0.85554,,133,,21.8
284,0.85758,,133,,21.8
285,0.85934,,134,,21.6
286,0.86076,,134,,21.4
287,0.86184,,134,,21.4
288,0.86306,,134,,21.2
289,0.86497,,134,,21
290,0.86756,,134,,21
291,0.86954,,134,,21
292,0.87064,,134,,20.8
293,0.87105,,134,,20.6
294,0.87125,,134,,20.6
295,0.87174,,135,,20.6
296,0.87249,,137,,20.6
297,0.87311,,137,,20.4
298,0.87349,,137,,20.4
299,0.87383,,137,,20.2
300,0.87416,,134,,20
301,0.87504,,131,,20
302,0.87598,,131,,20
303,0.87648,,130,,19.6
304,0.87707,,130,,19.4
305,0.87748,,126,,19.4
306,0.87772,,122,,19.4
307,0.87805,,122,,19.2
308,0.87838,,120,,19
309,0.87854,,118,,19
310,0.8787,,116,,18.8
311,0.87883,,116,,18.6
312,0.87908,,116,,18.6
313,0.87989,,115,,18.6
314,0.88138,,115,,18.4
315,0.88292,,115,,18.4
316,0.8844,,114,,18.4
317,0.88614,,114,,18.2
318,0.88798,,113,,18.2
319,0.89046,,113,,18.2
320,0.89404,,112,,18.2
321,0.89811,,111,,18.2
322,0.90211,,109,,18
323,0.90608,,109,,18
324,0.91058,,109,,18
325,0.91685,,109,,17.8
326,0.92297,,109,,17.8
327,0.92706,,109,,17.8
328,0.93048,,109,,17.6
329,0.93334,,109,,17.6
330,0.93625,,109,,17.6
331,0.93963,,109,,17.6
332,0.94332,,109,,17.4
333,0.94688,,109,,17.2
334,0.95001,,109,,17.2
335,0.95272,,109,,17
336,0.95546,,109,,17
337,0.95827,,111,,17
338,0.96112,,113,,17
339,0.96563,,114,,16.8
340,0.97246,,115,,16.6
341,0.97857,,116,,16.6
342,0.98305,,116,,16.4
343,0.98709,,117,,16.4
344,0.9906,,118,,16.4
345,0.99375,,119,,16.4
346,0.99668,,120,,16.2
347,0.99974,,121,,16.2
348,1.00292,,122,,16.2
349,1.00683,,123,,16.2
350,1.01127,,123,,16.2
351,1.01594,,124,,16
352,1.0205,,125,,16
353,1.02446,,126,,16
354,1.02844,,127,,16
355,1.03216,,128,,16
356,1.03556,,128,,16
357,1.03897,,128,,16
358,1.04237,,129,,16
359,1.04577,,129,,16
360,1.04918,,130,,16
361,1.05258,,130,,16
362,1.05659,,131,,15.8
363,1.06112,,131,,15.6
364,1.06661,,131,,15.6
365,1.0723,,131,,15.2
366,1.07725,,131,,14.8
367,1.0821,,131,,14.8
368,1.0864,,131,,14.8
369,1.09111,,131,,14.4
370,1.09605,,131,,14
371,1.10035,,131,,14
372,1.10411,,131,,14
373,1.10801,,131,,13.6
374,1.11214,,131,,13.2
375,1.1165,,132,,13.2
376,1.12107,,132,,13.2
377,1.12563,,132,,13
378,1.12953,,133,,12.6
379,1.13313,,133,,12.6
380,1.13735,,134,,12.6
381,1.14176,,134,,12.2
382,1.14622,,134,,11.6
383,1.15058,,134,,11.6
384,1.15466,,134,,11
385,1.15875,,134,,10.6
386,1.16256,,134,,10.6
387,1.1659,,134,,10.2
388,1.16907,,134,,9.8
389,1.17196,,134,,9.8
390,1.17472,,134,,9.4
391,1.17754,,134,,9
392,1.18045,,134,,9
393,1.18393,,134,,9
394,1.18824,,134,,8.8
395,1.19355,,134,,8.6
396,1.19999,,134,,8.6
397,1.20576,,134,,8.2
398,1.21025,,134,,8
399,1.21423,,134,,8
400,1.21817,,134,,8
401,1.22216,,134,,7.8
402,1.22553,,134,,7.6
403,1.22895,,134,,7.6
404,1.23245,,134,,7.4
405,1.23604,,134,,7.2
406,1.24001,,134,,7.2
407,1.24345,,135,,7.2
408,1.24675,,135,,6.8
409,1.25041,,135,,6.4
410,1.2545,,135,,6.4
411,1.25841,,135,,6.4
412,1.2617,,135,,6
413,1.26494,,135,,5.6
414,1.26888,,135,,5.6
415,1.27309,,135,,5.6
416,1.2766,,135,,5.2
417,1.27987,,135,,4.6
418,1.28483,,135,,4.6
419,1.29067,,135,,4.6
420,1.29527,,135,,4.2
421,1.29989,,135,,4
422,1.3049,,135,,4
423,1.30877,,136,,3.8
424,1.31222,,136,,3.6
425,1.31608,,137,,3.6
426,1.31942,,137,,3.6
427,1.32204,,138,,3.6
428,1.32411,,138,,3.4
429,1.32689,,139,,3.4
430,1.33027,,139,,3.4
431,1.3333,,139,,3.4
432,1.33633,,139,,3.4
433,1.3394,,139,,3.4
434,1.34228,,139,,3.4
435,1.34533,,139,,3.2
436,1.34939,,139,,3.2
437,1.3538,,139,,3.2
438,1.35792,,139,,3.2
439,1.36147,,139,,3.2
440,1.3648,,139,,3.2
441,1.36833,,139,,3.2
442,1.37165,,139,,3.2
443,1.37538,,140,,3.2
444,1.37954,,140,,3.2
445,1.38361,,140,,3.2
446,1.3878,,140,,3.2
447,1.39193,,140,,3.2
448,1.396,,140,,3.2
449,1.39997,,141,,3.4
450,1.40353,,141,,3.4
451,1.40636,,141,,3.4
452,1.4092,,141,,3.4
453,1.41316,,141,,3.6
454,1.41772,,141,,3.6
455,1.42194,,141,,3.6
456,1.42576,,141,,3.6
457,1.42906,,141,,3.6
458,1.43197,,141,,3.8
