secs,km,power,hr,cad,alt
0,0,,79,,27.2
1,0.00153,,80,,27.2
2,0.003715,,81.5,,27.4
3,0.0059,,83,,27.6
4,0.00809,,86,,28
5,0.010715,,87.5,,28
6,0.01334,,89,,28
7,0.01644,,92,,27.6
8,0.01931,,93.5,,27.7
9,0.02218,,95,,27.8
10,0.02515,,98,,28
11,0.0282,,99.5,,28.2
12,0.03125,,101,,28.4
13,0.03428,,102.5,,28.5
14,0.03731,,104,,28.6
15,0.03999,,105.5,,28.8
16,0.04267,,107,,29
17,0.04535,,108.5,,29.3
18,0.04803,,110,,29.6
19,0.05076,,111,,29.8
20,0.05349,,112,,30
21,0.05622,,113,,30.2
22,0.0590325,,113.75,,30.6
23,0.061845,,114.5,,31
24,0.0646575,,115.25,,31.4
25,0.06747,,116,,31.8
26,0.070386,,116.6,,32.2
27,0.073302,,117.2,,32.6
28,0.076218,,117.8,,33
29,0.079134,,118.4,,33.4
30,0.08205,,119,,33.8
31,0.0851486,,119.143,,34.4
32,0.0882471,,119.286,,35
33,0.0913457,,119.429,,35.6
34,0.0944443,,119.571,,36.2
35,0.0975429,,119.714,,36.8
36,0.100641,,119.857,,37.4
37,0.10374,,120,,38
38,0.106859,,120.429,,38.6286
39,0.109977,,120.857,,39.2571
40,0.113096,,121.286,,39.8857
41,0.116214,,121.714,,40.5143
42,0.119333,,122.143,,41.1429
43,0.122451,,122.571,,41.7714
44,0.12557,,123,,42.4
45,0.128552,,123.5,,42.8667
46,0.131533,,124,,43.3333
47,0.134515,,124.5,,43.8
48,0.137497,,125,,44.2667
49,0.140478,,125.5,,44.7333
50,0.14346,,126,,45.2
51,0.146736,,126.429,,45.5143
52,0.150011,,126.857,,45.8286
53,0.153287,,127.286,,46.1429
54,0.156563,,127.714,,46.4571
55,0.159839,,128.143,,46.7714
56,0.163114,,128.571,,47.0857
57,0.16639,,129,,47.4
58,0.169291,,129.143,,47.8
59,0.172193,,129.286,,48.2
60,0.175094,,129.429,,48.6
61,0.177996,,129.571,,49
62,0.180897,,129.714,,49.4
63,0.183799,,129.857,,49.8
64,0.1867,,130,,50.2
65,0.189666,,130.143,,50.4571
66,0.192631,,130.286,,50.7143
67,0.195597,,130.429,,50.9714
68,0.198563,,130.571,,51.2286
69,0.201529,,130.714,,51.4857
70,0.204494,,130.857,,51.7429
71,0.20746,,131,,52
72,0.210687,,131,,52.1714
73,0.213914,,131,,52.3429
74,0.217141,,131,,52.5143
75,0.220369,,131,,52.6857
76,0.223596,,131,,52.8571
77,0.226823,,131,,53.0286
78,0.23005,,131,,53.2
79,0.233286,,131,,53.6286
80,0.236521,,131,,54.0571
81,0.239757,,131,,54.4857
82,0.242993,,131,,54.9143
83,0.246229,,131,,55.3429
84,0.249464,,131,,55.7714
85,0.2527,,131,,56.2
86,0.255567,,131,,56.6286
87,0.258434,,131,,57.0571
88,0.261301,,131,,57.4857
89,0.264169,,131,,57.9143
90,0.267036,,131,,58.3429
91,0.269903,,131,,58.7714
92,0.27277,,131,,59.2
93,0.275717,,130.714,,59.6571
94,0.278664,,130.429,,60.1143
95,0.281611,,130.143,,60.5714
96,0.284559,,129.857,,61.0286
97,0.287506,,129.571,,61.4857
98,0.290453,,129.286,,61.9429
99,0.2934,,129,,62.4
100,0.296513,,129,,62.7714
101,0.299626,,129,,63.1429
102,0.302739,,129,,63.5143
103,0.305851,,129,,63.8857
104,0.308964,,129,,64.2571
105,0.312077,,129,,64.6286
106,0.31519,,129,,65
107,0.31831,,129,,65.3429
108,0.32143,,129,,65.6857
109,0.32455,,129,,66.0286
110,0.32767,,129,,66.3714
111,0.33079,,129,,66.7143
112,0.33391,,129,,67.0571
113,0.33703,,129,,67.4
114,0.339976,,129,,67.4
115,0.342921,,129,,67.4
116,0.345867,,129,,67.4
117,0.348813,,129,,67.4
118,0.351759,,129,,67.4
119,0.354704,,129,,67.4
120,0.35765,,129,,67.4
121,0.360616,,129.143,,67.5143
122,0.363581,,129.286,,67.6286
123,0.366547,,129.429,,67.7429
124,0.369513,,129.571,,67.8571
125,0.372479,,129.714,,67.9714
126,0.375444,,129.857,,68.0857
127,0.37841,,130,,68.2
128,0.381176,,129.4,,68.24
129,0.383942,,128.8,,68.28
130,0.386708,,128.2,,68.32
131,0.389474,,127.6,,68.36
132,0.39224,,127,,68.4
133,0.395186,,127.2,,68.24
134,0.398132,,127.4,,68.08
135,0.401078,,127.6,,67.92
136,0.404024,,127.8,,67.76
137,0.40697,,128,,67.6
138,0.410528,,128,,67.1333
139,0.414087,,128,,66.6667
140,0.417645,,128,,66.2
141,0.421203,,128,,65.7333
142,0.424762,,128,,65.2667
143,0.42832,,128,,64.8
144,0.430997,,128.25,,64.575
145,0.433675,,128.5,,64.35
146,0.436352,,128.75,,64.125
147,0.43903,,129,,63.9
148,0.441708,,129.25,,63.675
149,0.444385,,129.5,,63.45
150,0.447063,,129.75,,63.225
151,0.44974,,130,,63
152,0.45263,,130.143,,62.9714
153,0.45552,,130.286,,62.9429
154,0.45841,,130.429,,62.9143
155,0.4613,,130.571,,62.8857
156,0.46419,,130.714,,62.8571
157,0.46708,,130.857,,62.8286
158,0.46997,,131,,62.8
159,0.472937,,131.143,,62.7714
160,0.475904,,131.286,,62.7429
161,0.478871,,131.429,,62.7143
162,0.481839,,131.571,,62.6857
163,0.484806,,131.714,,62.6571
164,0.487773,,131.857,,62.6286
165,0.49074,,132,,62.6
166,0.49378,,132,,62.6
167,0.49682,,132,,62.6
168,0.49986,,132,,62.6
169,0.5029,,132,,62.6
170,0.50594,,132,,62.6
171,0.50898,,132,,62.6
172,0.51202,,132,,62.6
173,0.514914,,131.857,,62.8571
174,0.517809,,131.714,,63.1143
175,0.520703,,131.571,,63.3714
176,0.523597,,131.429,,63.6286
177,0.526491,,131.286,,63.8857
178,0.529386,,131.143,,64.1429
179,0.53228,,131,,64.4
180,0.535066,,130.875,,64.55
181,0.537852,,130.75,,64.7
182,0.540639,,130.625,,64.85
183,0.543425,,130.5,,65
184,0.546211,,130.375,,65.15
185,0.548997,,130.25,,65.3
186,0.551784,,130.125,,65.45
187,0.55457,,130,,65.6
188,0.557146,,130,,65.7
189,0.559722,,130,,65.8
190,0.562299,,130,,65.9
191,0.564875,,130,,66
192,0.567451,,130,,66.1
193,0.570027,,130,,66.2
194,0.572604,,130,,66.3
195,0.57518,,130,,66.4
196,0.57734,,129.857,,66.1714
197,0.5795,,129.714,,65.9429
198,0.58166,,129.571,,65.7143
199,0.58382,,129.429,,65.4857
200,0.58598,,129.286,,65.2571
201,0.58814,,129.143,,65.0286
202,0.5903,,129,,64.8
203,0.592947,,129.25,,64.675
204,0.595595,,129.5,,64.55
205,0.598242,,129.75,,64.425
206,0.60089,,130,,64.3
207,0.603537,,130.25,,64.175
208,0.606185,,130.5,,64.05
209,0.608832,,130.75,,63.925
210,0.61148,,131,,63.8
211,0.614723,,131.143,,64.0571
212,0.617966,,131.286,,64.3143
213,0.621209,,131.429,,64.5714
214,0.624451,,131.571,,64.8286
215,0.627694,,131.714,,65.0857
216,0.630937,,131.857,,65.3429
217,0.63418,,132,,65.6
218,0.63742,,132,,65.6
219,0.64066,,132,,65.6
220,0.6439,,132,,65.6
221,0.64714,,132,,65.6
222,0.65038,,132,,65.6
223,0.65362,,132,,65.6
224,0.65686,,132,,65.6
225,0.660046,,132.143,,65.8571
226,0.663231,,132.286,,66.1143
