secs,km,power,hr,cad,alt
0,0,,65,,0
1,0,,66,,0
2,0.0013725,,66.25,,5.95
3,0.002745,,66.5,,11.9
4,0.0041175,,66.75,,17.85
5,0.00549,,67,,23.8
6,0.00586,,71,,23.6
7,0.00784,,74,,23.6
8,0.01001,,77,,23.6
9,0.01218,,80,,23.6
10,0.014105,,80.5,,23.6
11,0.01603,,81,,23.6
12,0.0185183,,81.3333,,23.6
13,0.0210067,,81.6667,,23.6
14,0.023495,,82,,23.6
15,0.0259833,,82.3333,,23.6
16,0.0284717,,82.6667,,23.6
17,0.03096,,83,,23.6
18,0.033665,,83.75,,23.65
19,0.03637,,84.5,,23.7
20,0.039075,,85.25,,23.75
21,0.04178,,86,,23.8
22,0.04424,,88,,23.8
23,0.0467,,90,,23.8
24,0.04892,,90,,23.9
25,0.05114,,90,,24
26,0.0535625,,90.75,,24
27,0.055985,,91.5,,24
28,0.0584075,,92.25,,24
29,0.06083,,93,,24
30,0.06338,,93,,24
31,0.0656633,,94.3333,,24
32,0.0679467,,95.6667,,24
33,0.07023,,97,,24
34,0.072825,,98,,23.95
35,0.07542,,99,,23.9
36,0.078015,,100,,23.85
37,0.08061,,101,,23.8
38,0.08325,,101,,23.8
39,0.0858333,,101.5,,23.8667
40,0.0884167,,102,,23.9333
41,0.091,,102.5,,24
42,0.0935833,,103,,24.0667
43,0.0961667,,103.5,,24.1333
44,0.09875,,104,,24.2
45,0.101007,,104.5,,24.2
46,0.103263,,105,,24.2
47,0.10552,,105.5,,24.2
48,0.107777,,106,,24.2
49,0.110033,,106.5,,24.2
50,0.11229,,107,,24.2
51,0.11478,,107,,24.2
52,0.116877,,107,,24.2
53,0.118973,,107,,24.2
54,0.12107,,107,,24.2
55,0.123167,,107,,24.2
56,0.125263,,107,,24.2
57,0.12736,,107,,24.2
58,0.12999,,106.75,,24.2
59,0.13262,,106.5,,24.2
60,0.13525,,106.25,,24.2
61,0.13788,,106,,24.2
62,0.140345,,106,,24.2
63,0.14281,,106,,24.2
64,0.145232,,106,,24.2
65,0.147654,,106,,24.2
66,0.150076,,106,,24.2
67,0.152498,,106,,24.2
68,0.15492,,106,,24.2
69,0.15685,,106,,24
70,0.15855,,106.25,,24
71,0.16025,,106.5,,24
72,0.16195,,106.75,,24
73,0.16365,,107,,24
74,0.16613,,106.667,,24
75,0.16861,,106.333,,24
76,0.17109,,106,,24
77,0.173765,,105.833,,23.9667
78,0.17644,,105.667,,23.9333
79,0.179115,,105.5,,23.9
80,0.18179,,105.333,,23.8667
81,0.184465,,105.167,,23.8333
82,0.18714,,105,,23.8
83,0.19004,,105,,23.8
84,0.192558,,105.333,,23.8
85,0.195077,,105.667,,23.8
86,0.197595,,106,,23.8
87,0.200113,,106.333,,23.8
88,0.202632,,106.667,,23.8
89,0.20515,,107,,23.8
90,0.207735,,107,,23.9
91,0.21032,,107,,24
92,0.213072,,107.5,,24.0333
93,0.215823,,108,,24.0667
94,0.218575,,108.5,,24.1
95,0.221327,,109,,24.1333
96,0.224078,,109.5,,24.1667
