secs,km,power,hr,cad,alt
0,0,,101,,903
1,0.00283,,103,,903.2
2,0.006185,,103.75,,903.4
3,0.00954,,104.5,,903.6
4,0.012895,,105.25,,903.8
5,0.01625,,106,,904
6,0.0194667,,107,,904
7,0.0226833,,108,,904
8,0.0259,,109,,904
9,0.02902,,110,,904.2
10,0.032035,,111.5,,904.2
11,0.03505,,113,,904.2
12,0.03819,,114,,904.2
13,0.04139,,115.5,,904.3
14,0.04459,,117,,904.4
15,0.04758,,119,,904.4
16,0.05057,,121,,904.4
17,0.05387,,122.5,,904.5
18,0.05717,,124,,904.6
19,0.0605925,,124.75,,904.6
20,0.064015,,125.5,,904.6
21,0.0674375,,126.25,,904.6
22,0.07086,,127,,904.6
23,0.0742133,,126.333,,904.8
24,0.0775667,,125.667,,905
25,0.08092,,125,,905.2
26,0.084366,,125.2,,905.24
27,0.087812,,125.4,,905.28
28,0.091258,,125.6,,905.32
29,0.094704,,125.8,,905.36
30,0.09815,,126,,905.4
31,0.101672,,126,,905.2
32,0.105193,,126,,905
33,0.108715,,126,,904.8
34,0.112237,,126,,904.6
35,0.115758,,126,,904.4
36,0.11928,,126,,904.2
37,0.122428,,126.167,,904.133
38,0.125577,,126.333,,904.067
39,0.128725,,126.5,,904
40,0.131873,,126.667,,903.933
41,0.135022,,126.833,,903.867
42,0.13817,,127,,903.8
43,0.14138,,128,,903.8
44,0.144502,,128,,903.65
45,0.147625,,128,,903.5
46,0.150748,,128,,903.35
47,0.15387,,128,,903.2
48,0.157247,,128.333,,902.933
49,0.160623,,128.667,,902.667
50,0.164,,129,,902.4
51,0.166793,,129.167,,902.467
52,0.169587,,129.333,,902.533
53,0.17238,,129.5,,902.6
54,0.175173,,129.667,,902.667
55,0.177967,,129.833,,902.733
56,0.18076,,130,,902.8
57,0.184338,,130.6,,902.88
58,0.187916,,131.2,,902.96
59,0.191494,,131.8,,903.04
60,0.195072,,132.4,,903.12
61,0.19865,,133,,903.2
62,0.20267,,133,,903.3
63,0.20669,,133,,903.4
64,0.2109,,132.5,,903.4
65,0.21511,,132,,903.4
66,0.21875,,131.75,,903.6
67,0.22239,,131.5,,903.8
68,0.22603,,131.25,,904
69,0.22967,,131,,904.2
70,0.233965,,132,,904.2
71,0.23826,,133,,904.2
72,0.242047,,133,,904.2
73,0.245833,,133,,904.2
74,0.24962,,133,,904.2
75,0.253192,,133,,904.04
76,0.256764,,133,,903.88
77,0.260336,,133,,903.72
78,0.263908,,133,,903.56
79,0.26748,,133,,903.4
80,0.271095,,133.167,,903.367
81,0.27471,,133.333,,903.333
82,0.278325,,133.5,,903.3
83,0.28194,,133.667,,903.267
84,0.285555,,133.833,,903.233
85,0.28917,,134,,903.2
86,0.293032,,134.167,,903.2
87,0.296893,,134.333,,903.2
88,0.300755,,134.5,,903.2
