secs,km,power,hr,cad,alt
0,0,,81,,830.4
1,0,,82,,830.2
2,0.000446667,,82.3333,,830.6
3,0.000893333,,82.6667,,831
4,0.00134,,83,,831.4
5,0.00357,,83,,831.4
6,0.00643,,82.875,,831.45
7,0.00929,,82.75,,831.5
8,0.01215,,82.625,,831.55
9,0.01501,,82.5,,831.6
10,0.01787,,82.375,,831.65
11,0.02073,,82.25,,831.7
12,0.02359,,82.125,,831.75
13,0.02645,,82,,831.8
14,0.030144,,83,,831.8
15,0.033838,,84,,831.8
16,0.037532,,85,,831.8
17,0.041226,,86,,831.8
18,0.04492,,87,,831.8
19,0.04893,,87,,831.8
20,0.05195,,88.5,,831.8
21,0.05497,,90,,831.8
22,0.05881,,97,,831.8
23,0.06247,,103,,831.8
24,0.06688,,105,,831.8
25,0.07129,,107,,831.8
26,0.0757,,109,,831.8
27,0.07974,,114,,831.8
28,0.08488,,118,,831.8
29,0.088515,,120,,831.8
30,0.09215,,122,,831.8
31,0.09567,,125,,831.8
32,0.09907,,128,,831.6
33,0.102625,,129.5,,831.5
34,0.10618,,131,,831.4
35,0.11013,,135,,831.4
36,0.11338,,135,,831.2
37,0.11697,,135,,831.1
38,0.12056,,135,,831
39,0.124805,,136.5,,831
40,0.12905,,138,,831
41,0.134428,,138.25,,831
42,0.139805,,138.5,,831
43,0.145182,,138.75,,831
44,0.15056,,139,,831
45,0.153753,,139.75,,831
46,0.156945,,140.5,,831
47,0.160137,,141.25,,831
48,0.16333,,142,,831
49,0.166491,,142.286,,831
50,0.169653,,142.571,,831
51,0.172814,,142.857,,831
52,0.175976,,143.143,,831
53,0.179137,,143.429,,831
54,0.182299,,143.714,,831
55,0.18546,,144,,831
56,0.189358,,145,,831.1
57,0.193255,,146,,831.2
58,0.197153,,147,,831.3
59,0.20105,,148,,831.4
60,0.20448,,148.6,,831.36
61,0.20791,,149.2,,831.32
62,0.21134,,149.8,,831.28
63,0.21477,,150.4,,831.24
64,0.2182,,151,,831.2
65,0.22069,,152,,831.267
66,0.22318,,153,,831.333
67,0.22567,,154,,831.4
68,0.228728,,154.6,,831.48
69,0.231786,,155.2,,831.56
70,0.234844,,155.8,,831.64
71,0.237902,,156.4,,831.72
72,0.24096,,157,,831.8
73,0.244183,,157,,831.8
74,0.247406,,157,,831.8
75,0.250629,,157,,831.8
76,0.253851,,157,,831.8
77,0.257074,,157,,831.8
78,0.260297,,157,,831.8
79,0.26352,,157,,831.8
80,0.26657,,157.286,,831.8
81,0.26962,,157.571,,831.8
82,0.27267,,157.857,,831.8
83,0.27572,,158.143,,831.8
84,0.27877,,158.429,,831.8
85,0.28182,,158.714,,831.8
86,0.28487,,159,,831.8
87,0.28747,,159.375,,831.9
88,0.29007,,159.75,,832
89,0.29267,,160.125,,832.1
90,0.29527,,160.5,,832.2
91,0.29787,,160.875,,832.3
92,0.30047,,161.25,,832.4
93,0.30307,,161.625,,832.5
94,0.30567,,162,,832.6
95,0.308496,,162.143,,832.6
96,0.311321,,162.286,,832.6
