secs,km,power,hr,cad,alt
0,0,,102,,0
1,0,,102,,0
2,0,,102,,0
3,0,,102,,0
4,0,,102,,0
5,0,,102,,0
6,0,,101,,0
7,0.00283,,101,,21.2
8,0.00586,,100,,25.2
9,0.00889,,100,,25.2
10,0.00889,,100,,24.6
11,0.01307,,100,,22
12,0.01782,,95,,23.2
13,0.02045,,95,,26.4
14,0.02285,,97,,28.4
15,0.02285,,96,,29.2
16,0.02395,,100,,29.6
17,0.02853,,105,,28.4
18,0.03212,,109,,28.2
19,0.0346,,111,,29.2
20,0.03794,,119,,31
21,0.04074,,120,,32.4
22,0.04296,,120,,32.8
23,0.04439,,121,,33.2
24,0.04659,,121,,33.6
25,0.04933,,119,,34
26,0.05395,,121,,37
27,0.05395,,121,,37
28,0.05692,,128,,38.4
29,0.06101,,135,,39.8
30,0.06505,,135,,41
31,0.06936,,139,,42.4
32,0.07336,,138,,42.8
33,0.0777,,137,,44
34,0.08137,,137,,44.4
35,0.08391,,136,,46
36,0.08636,,136,,47.8
37,0.08913,,139,,50
38,0.09129,,140,,52.6
39,0.09306,,141,,54.8
40,0.09419,,142,,56.8
41,0.09464,,142,,58.8
42,0.095,,142,,60.2
43,0.095,,141,,61.6
44,0.095,,140,,62.2
45,0.09553,,144,,63
46,0.09553,,144,,63
47,0.09598,,141,,63.4
48,0.09658,,145,,63.6
49,0.0979,,144,,63.8
50,0.09975,,139,,64
51,0.10138,,137,,64.2
52,0.10458,,139,,64.4
53,0.10696,,143,,64.4
54,0.1092,,140,,64.6
55,0.11186,,140,,64.6
56,0.11678,,141,,64.8
57,0.12134,,141,,64.6
58,0.12785,,139,,64.6
59,0.1337,,138,,64.8
60,0.14494,,139,,64.8
61,0.15135,,141,,64.4
62,0.15531,,142,,64.2
63,0.15946,,141,,63.2
64,0.16226,,141,,62.4
65,0.16472,,136,,61.6
66,0.16881,,132,,59
67,0.16881,,132,,59
68,0.17028,,132,,58.2
69,0.17137,,130,,57.4
70,0.17271,,133,,56.8
71,0.17399,,139,,56.4
72,0.17441,,140,,56.2
73,0.17551,,144,,55.6
74,0.17551,,144,,55.6
75,0.17599,,144,,55.4
76,0.17629,,143,,55.2
77,0.17699,,143,,55.4
78,0.17773,,143,,55.2
79,0.17814,,143,,55
80,0.1805,,142,,54.6
81,0.18307,,142,,54.4
82,0.18446,,143,,54
83,0.18537,,143,,53.6
84,0.1863,,143,,53.4
85,0.18854,,144,,53.2
86,0.19235,,144,,53.2
87,0.19469,,145,,53.4
88,0.1967,,146,,53.4
89,0.19941,,147,,53.4
90,0.20168,,147,,53.4
91,0.20324,,147,,53.2
92,0.206,,148,,52.8
93,0.20839,,148,,52.6
94,0.21011,,148,,52.6
95,0.21111,,148,,52.6
96,0.21443,,147,,52.6
97,0.21988,,147,,52.4
98,0.2257,,147,,52.6
99,0.23054,,147,,52.6
100,0.23604,,147,,52.8
101,0.23946,,147,,53.4
102,0.25076,,146,,53.6
103,0.25076,,146,,53.6
104,0.25488,,146,,54
105,0.2579,,146,,54.6
106,0.26258,,145,,54.8
107,0.26727,,144,,54.8
108,0.27094,,144,,54.6
109,0.274,,144,,54.4
110,0.27654,,143,,54.2
111,0.27825,,143,,54
112,0.27926,,143,,54
113,0.28024,,144,,54
114,0.28114,,144,,54
115,0.28114,,144,,54
116,0.28114,,144,,54
117,0.28114,,144,,54
118,0.28114,,143,,54
119,0.28114,,143,,54
120,0.28114,,143,,54
121,0.28114,,143,,54
122,0.28114,,143,,54
123,0.28114,,143,,54
124,0.28114,,143,,54
125,0.28114,,142,,54
126,0.28114,,142,,54
127,0.28114,,142,,54
128,0.28114,,142,,54
129,0.28114,,142,,54
130,0.28114,,142,,54
131,0.28114,,142,,54
132,0.28114,,141,,54
133,0.28114,,141,,54
134,0.28114,,141,,54
135,0.28114,,141,,54
136,0.28114,,141,,54
137,0.28114,,141,,54
138,0.28114,,141,,54
139,0.28114,,140,,54
140,0.28114,,140,,54
141,0.28114,,140,,54
142,0.28114,,140,,54
143,0.28114,,140,,54
144,0.28114,,140,,54
145,0.28114,,140,,54
146,0.28114,,139,,54
147,0.28114,,139,,54
148,0.28114,,139,,54
149,0.28114,,139,,54
150,0.28114,,139,,54
151,0.28114,,139,,54
152,0.28114,,139,,54
153,0.28114,,138,,54
154,0.28114,,138,,54
155,0.28114,,138,,54
156,0.28114,,138,,54
157,0.28114,,138,,54
158,0.28114,,138,,54
159,0.28114,,138,,54
160,0.28114,,137,,54
161,0.28114,,137,,54
162,0.28114,,137,,54
163,0.28114,,137,,54
164,0.28114,,137,,54
165,0.28114,,137,,54
166,0.28114,,137,,54
167,0.28114,,136,,54
168,0.28114,,136,,54
169,0.28114,,136,,54
170,0.28114,,136,,54
171,0.28114,,136,,54
172,0.28114,,136,,54
173,0.28114,,136,,54
174,0.28114,,135,,54
175,0.28114,,135,,54
176,0.28114,,135,,54
177,0.28114,,135,,54
178,0.28114,,135,,54
179,0.28114,,135,,54
180,0.28114,,135,,54
181,0.28114,,134,,54
182,0.28114,,134,,54
183,0.28114,,134,,54
184,0.28114,,134,,54
185,0.28114,,134,,54
186,0.28114,,134,,54
187,0.28114,,134,,54
188,0.28114,,133,,54
189,0.28114,,133,,54
190,0.28114,,133,,54
191,0.28114,,133,,54
192,0.28114,,133,,54
193,0.28114,,133,,54
194,0.28114,,133,,54
195,0.28114,,132,,54
196,0.28114,,132,,54
197,0.28114,,132,,54
198,0.28114,,132,,54
199,0.28114,,132,,54
200,0.28114,,132,,54
201,0.28114,,132,,54
202,0.28114,,131,,54
203,0.28114,,131,,54
204,0.28114,,131,,54
205,0.28114,,131,,54
206,0.28114,,131,,54
207,0.28114,,131,,54
208,0.28114,,131,,54
209,0.28114,,130,,54
210,0.28114,,130,,54
211,0.28114,,130,,54
212,0.28114,,130,,54
213,0.28114,,130,,54
214,0.28114,,130,,54
215,0.28114,,130,,54
216,0.28114,,129,,54
217,0.28114,,129,,54
218,0.28114,,129,,54
219,0.28114,,129,,54
220,0.28114,,129,,54
221,0.28114,,129,,54
222,0.28114,,129,,54
223,0.28114,,128,,54
224,0.28114,,128,,54
225,0.28114,,128,,54
226,0.28114,,128,,54
227,0.28114,,128,,54
228,0.28114,,128,,54
229,0.28114,,128,,54
230,0.28114,,127,,54
231,0.28114,,127,,54
232,0.28114,,127,,54
233,0.28114,,127,,54
234,0.28114,,127,,54
235,0.28114,,127,,54
236,0.28114,,127,,54
237,0.28114,,126,,54
238,0.28114,,126,,54
239,0.28114,,126,,54
240,0.28114,,126,,54
241,0.28114,,126,,54
242,0.28114,,126,,54
243,0.28114,,126,,54
244,0.28114,,125,,54
245,0.28114,,125,,54
246,0.28114,,125,,54
247,0.28114,,125,,54
248,0.28114,,125,,54
249,0.28114,,125,,54
250,0.28114,,125,,54
251,0.28114,,124,,54
252,0.28114,,124,,54
253,0.28114,,124,,54
254,0.28114,,124,,54
255,0.28114,,124,,54
256,0.28114,,124,,54
257,0.28114,,124,,54
258,0.28114,,123,,54
259,0.28114,,123,,54
260,0.28114,,123,,54
261,0.28114,,123,,54
262,0.28114,,123,,54
263,0.28114,,123,,54
264,0.28114,,123,,54
265,0.28114,,123,,54
266,0.28114,,122,,54
267,0.28114,,122,,54
268,0.28114,,122,,54
269,0.28114,,122,,54
270,0.28114,,122,,54
271,0.28114,,122,,54
272,0.28114,,122,,54
273,0.28114,,121,,54
274,0.28114,,121,,54
275,0.28114,,121,,54
276,0.28114,,121,,54
277,0.28114,,121,,54
278,0.28114,,121,,54
279,0.28114,,121,,54
280,0.28114,,120,,54
281,0.28114,,120,,54
282,0.28114,,120,,54
283,0.28114,,120,,54
284,0.28114,,120,,54
285,0.28114,,120,,54
286,0.28114,,120,,54
287,0.28114,,119,,54
288,0.28114,,119,,54
289,0.28114,,119,,54
290,0.28114,,119,,54
291,0.28114,,119,,54
292,0.28114,,119,,54
293,0.28114,,119,,54
294,0.28114,,118,,54
295,0.28114,,118,,54
296,0.28114,,118,,54
297,0.28114,,118,,54
298,0.28114,,118,,54
299,0.28114,,118,,54
300,0.28114,,118,,54
301,0.28114,,117,,54
302,0.28114,,117,,54
303,0.28114,,117,,54
304,0.28114,,117,,54
305,0.28114,,117,,54
306,0.28114,,117,,54
307,0.28114,,117,,54
308,0.28114,,116,,54
309,0.28114,,116,,54
310,0.28114,,116,,54
311,0.28114,,116,,54
312,0.28114,,116,,54
313,0.28114,,116,,54
314,0.28114,,116,,54
315,0.28114,,115,,54
316,0.28114,,115,,54
317,0.28114,,115,,54
318,0.28114,,115,,54
319,0.28114,,115,,54
320,0.28114,,115,,54
321,0.28114,,115,,54
322,0.28114,,114,,54
323,0.28114,,114,,54
324,0.28114,,114,,54
325,0.28114,,114,,54
326,0.28114,,114,,54
327,0.28114,,114,,54
328,0.28114,,114,,54
329,0.28114,,113,,54
330,0.28114,,113,,54
331,0.28114,,113,,54
332,0.28114,,113,,54
333,0.28114,,113,,54
334,0.28114,,113,,54
335,0.28114,,113,,54
336,0.28114,,112,,54
337,0.28114,,112,,54
338,0.28114,,112,,54
339,0.28114,,112,,54
340,0.28114,,112,,54
341,0.28114,,112,,54
342,0.28114,,112,,54
343,0.28114,,111,,54
344,0.28114,,111,,54
345,0.28114,,111,,54
346,0.28114,,111,,54
347,0.28114,,111,,54
348,0.28114,,111,,54
349,0.28114,,111,,54
350,0.28114,,110,,54
351,0.28114,,110,,54
352,0.28114,,110,,54
353,0.28114,,110,,54
354,0.28114,,110,,54
355,0.28114,,110,,54
356,0.28114,,110,,54
357,0.28114,,109,,54
358,0.28114,,109,,54
359,0.28114,,109,,54
360,0.28114,,109,,54
361,0.28114,,109,,54
362,0.28114,,109,,54
363,0.28114,,109,,54
364,0.28114,,108,,54
365,0.28114,,108,,54
366,0.28114,,108,,54
367,0.28114,,108,,54
368,0.28114,,108,,54
369,0.28114,,108,,54
370,0.28114,,108,,54
371,0.28114,,107,,54
372,0.28114,,107,,54
373,0.28114,,107,,54
374,0.28114,,107,,54
375,0.28114,,107,,54
376,0.28114,,107,,54
377,0.28114,,107,,54
378,0.28114,,106,,54
379,0.28114,,106,,54
380,0.28114,,106,,54
381,0.28114,,106,,54
382,0.28114,,106,,54
383,0.28114,,106,,54
384,0.28114,,106,,54
385,0.28114,,105,,54
386,0.28114,,105,,54
387,0.28114,,105,,54
388,0.28114,,105,,54
389,0.28114,,105,,54
390,0.28114,,105,,54
391,0.28114,,105,,54
392,0.28114,,104,,54
393,0.28114,,104,,54
394,0.28114,,104,,54
395,0.28114,,104,,54
396,0.28114,,104,,54
397,0.28114,,104,,54
398,0.28114,,104,,54
399,0.28114,,103,,54
400,0.28114,,103,,54
401,0.28114,,103,,54
402,0.28114,,103,,54
403,0.28114,,103,,54
404,0.28114,,103,,54
405,0.28114,,103,,54
406,0.28114,,102,,54
407,0.28114,,102,,54
408,0.28114,,102,,54
409,0.28114,,102,,295
410,0.28114,,101,,284
411,0.28114,,101,,275.8
412,0.28114,,99,,268.4
413,0.28114,,98,,264.2
414,0.28546,,96,,227.6
415,0.28546,,91,,224
416,0.2856,,89,,219.8
417,0.28677,,91,,216
418,0.28761,,89,,213
419,0.2885,,89,,208.8
420,0.28865,,89,,205
421,0.28879,,94,,202.6
422,0.28919,,109,,200.2
423,0.29226,,113,,195.6
424,0.29497,,116,,190.8
425,0.29853,,117,,185.2
426,0.30273,,117,,179.4
427,0.30273,,117,,164.2
428,0.30273,,117,,150.6
429,0.30273,,114,,143.4
430,0.30273,,112,,133.2
431,0.30376,,113,,124.6
432,0.30429,,115,,118.4
433,0.30599,,119,,112
434,0.30796,,125,,106.2
435,0.3104,,135,,102
436,0.31247,,140,,98.6
437,0.31397,,142,,96
438,0.31624,,143,,94
439,0.31904,,142,,87.8
440,0.32432,,146,,82.8
441,0.32989,,147,,79.2
442,0.33496,,147,,72.2
443,0.33899,,151,,68.4
444,0.3415,,156,,65.2
445,0.34477,,159,,62
446,0.34774,,156,,59.6
447,0.35016,,158,,57.6
448,0.35291,,152,,56
449,0.35543,,150,,53.8
450,0.35768,,152,,51.6
451,0.36087,,152,,50.8
452,0.36412,,152,,50.2
453,0.36704,,151,,49.6
454,0.37015,,151,,48.8
455,0.37344,,149,,48
456,0.37662,,147,,47.4
457,0.37943,,143,,46.4
458,0.3824,,142,,45.4
459,0.38559,,141,,45.2
460,0.3887,,142,,44.8
461,0.39171,,144,,44.8
462,0.3947,,147,,44.6
463,0.39774,,147,,44.4
464,0.4008,,151,,44.2
465,0.40374,,148,,42.8
466,0.40665,,145,,43.2
467,0.40942,,144,,43.2
468,0.41217,,144,,43.4
469,0.4149,,143,,43.8
470,0.41782,,141,,44
471,0.42067,,141,,44.8
472,0.42316,,141,,45.2
473,0.42551,,144,,45.4
474,0.42777,,145,,45.6
475,0.43041,,144,,45.4
476,0.43372,,144,,44.4
477,0.43635,,146,,44.4
478,0.43918,,150,,45.2
479,0.44189,,148,,45.2
480,0.44413,,144,,44.8
481,0.44661,,147,,44.6
482,0.44955,,147,,44.6
483,0.45245,,146,,44.2
484,0.45498,,143,,44
485,0.45696,,145,,43.8
486,0.45919,,145,,43.6
487,0.46233,,144,,43.2
488,0.46626,,143,,42.6
489,0.47079,,142,,42.8
490,0.47488,,141,,43
491,0.47947,,141,,43.6
492,0.48404,,140,,44.2
493,0.48812,,140,,44.4
494,0.4923,,140,,44.8
495,0.49626,,140,,45.2
496,0.50019,,140,,45.6
497,0.50416,,140,,45.8
498,0.50798,,140,,45.8
499,0.51188,,140,,45.8
500,0.51545,,140,,46.4
501,0.5188,,140,,47
502,0.52192,,140,,47.2
503,0.52527,,140,,47.2
504,0.52881,,141,,47.8
505,0.53274,,141,,48.8
506,0.53611,,142,,50.2
507,0.53953,,142,,50.8
508,0.54271,,142,,51.4
509,0.54627,,142,,51.6
510,0.54998,,142,,52.6
511,0.55325,,141,,53.4
512,0.55654,,141,,54.6
513,0.55965,,141,,56.2
514,0.56236,,142,,57.6
515,0.56507,,142,,59.2
516,0.56808,,142,,60.4
517,0.57083,,142,,61.2
518,0.5735,,142,,62.6
519,0.5755,,142,,63.8
520,0.5771,,139,,64.4
521,0.57878,,135,,65.2
522,0.58071,,134,,66
523,0.58313,,131,,66.6
524,0.58612,,129,,67.4
525,0.58917,,129,,68.6
526,0.59264,,129,,70
527,0.59592,,129,,70.8
528,0.59849,,129,,71.4
529,0.60103,,129,,71.8
530,0.60365,,129,,72.8
531,0.60601,,128,,74.6
532,0.60851,,129,,76
533,0.61175,,129,,77.2
534,0.61508,,130,,79
535,0.61803,,130,,80.4
536,0.6215,,132,,82.2
537,0.62515,,133,,84.6
538,0.62828,,134,,86.2
539,0.63093,,137,,87.4
540,0.63368,,138,,88.2
541,0.63617,,138,,89
542,0.6381,,138,,89.4
543,0.63957,,138,,89.6
544,0.64131,,137,,89.8
545,0.64372,,137,,89.6
546,0.64998,,136,,87.2
547,0.65651,,136,,84.6
548,0.66295,,135,,81.4
549,0.67274,,136,,73
550,0.67761,,140,,67.4
551,0.68168,,141,,61.8
552,0.68546,,141,,56.4
553,0.68916,,141,,53.4
554,0.69257,,141,,51
555,0.69598,,140,,48.8
556,0.69936,,139,,47.2
557,0.70252,,138,,46.4
558,0.70554,,138,,45.8
559,0.70941,,137,,44.8
560,0.71313,,136,,43.2
561,0.71674,,135,,42
562,0.72027,,132,,40.4
563,0.72342,,133,,39.6
564,0.72677,,133,,39.4
565,0.73039,,131,,38.8
566,0.73414,,131,,37.6
567,0.73767,,131,,36.4
568,0.74144,,131,,35.2
569,0.74472,,131,,34
570,0.74764,,130,,33
571,0.75088,,129,,31.8
572,0.75426,,129,,30.8
573,0.75798,,128,,29.8
574,0.76171,,128,,28.6
575,0.76505,,127,,27.4
576,0.76846,,127,,25.8
577,0.77173,,127,,24.4
578,0.77535,,127,,23.8
579,0.77891,,127,,22.8
580,0.78251,,127,,22.2
581,0.78594,,127,,21.8
582,0.78924,,127,,21.4
583,0.79261,,128,,21.8
584,0.79599,,128,,21.6
585,0.79934,,129,,21.6
586,0.8024,,129,,21.6
587,0.80548,,129,,21.8
588,0.80878,,130,,21.6
589,0.81188,,130,,21.6
590,0.81486,,130,,21.8
591,0.81783,,130,,21.8
592,0.82096,,130,,21.2
593,0.82412,,130,,21
594,0.82732,,131,,20.6
595,0.83066,,131,,19.8
596,0.83383,,131,,19.4
597,0.83681,,132,,19.4
598,0.83998,,132,,20
599,0.84304,,131,,20.4
600,0.84641,,131,,19.8
601,0.85002,,131,,19.4
602,0.85333,,131,,19.4
603,0.85663,,131,,19.6
604,0.85976,,131,,19.8
605,0.86265,,131,,20.6
606,0.86563,,132,,21
607,0.86857,,132,,21.2
608,0.87161,,132,,21
609,0.87473,,132,,21
610,0.878,,133,,21.2
611,0.88127,,133,,21
612,0.88452,,133,,20.8
613,0.8879,,134,,20.6
614,0.89127,,134,,20.6
615,0.89489,,134,,20
616,0.89827,,134,,19.4
617,0.90155,,134,,19
618,0.90492,,134,,19.4
619,0.90836,,134,,19.4
620,0.91184,,134,,19.2
621,0.91541,,134,,19.2
622,0.91919,,134,,19
623,0.9228,,134,,19
624,0.92632,,134,,19.6
625,0.92991,,134,,19.6
626,0.93343,,133,,20
627,0.93687,,133,,20
628,0.94022,,133,,20.2
629,0.94349,,133,,20.8
630,0.94695,,133,,21.2
631,0.95038,,133,,21.2
632,0.95428,,133,,20.4
633,0.95807,,133,,21
634,0.96191,,133,,21.2
635,0.96546,,133,,20.8
636,0.969,,133,,21.2
637,0.97246,,133,,21.8
638,0.97589,,133,,22
639,0.97938,,133,,21.8
640,0.98267,,133,,21.2
641,0.98605,,133,,21.6
642,0.98937,,133,,21.4
643,0.99277,,133,,21
644,0.99627,,133,,20.8
645,0.99979,,133,,20.2
646,1.00349,,133,,19.4
647,1.00694,,133,,18.8
648,1.01018,,133,,18.8
649,1.01347,,133,,18.2
650,1.01685,,133,,17.8
651,1.0203,,134,,17.2
652,1.02353,,134,,17
653,1.02676,,134,,16.4
654,1.03003,,134,,15.2
655,1.03323,,134,,14.8
656,1.03608,,134,,14.2
657,1.03871,,135,,14
658,1.0413,,135,,14
659,1.044,,135,,13.8
660,1.04699,,135,,13.8
661,1.05013,,135,,13.8
662,1.05269,,135,,13.8
663,1.05563,,135,,13.6
664,1.05829,,136,,13.6
665,1.0601,,136,,13.6
666,1.06201,,136,,13.8
667,1.06396,,136,,14
668,1.06613,,136,,13.8
669,1.06834,,136,,13.6
670,1.07133,,136,,13.2
671,1.07492,,137,,10.8
672,1.07825,,137,,9
673,1.08242,,137,,6.4
674,1.08614,,137,,5.4
675,1.08962,,138,,4
676,1.09337,,138,,3.8
677,1.0969,,138,,3.8
678,1.10052,,138,,3.4
679,1.10447,,138,,2.6
680,1.10819,,138,,3
681,1.11168,,138,,3.2
682,1.11507,,138,,3.6
683,1.1184,,138,,4
684,1.12182,,138,,5
685,1.12444,,138,,5.4
686,1.12649,,139,,5.8
687,1.12817,,139,,6.2
688,1.12964,,139,,6.8
689,1.1309,,139,,7.2
690,1.13213,,139,,7.2
691,1.1335,,139,,7.2
692,1.13503,,139,,7.4
693,1.1363,,138,,7.6
694,1.13758,,138,,7.8
695,1.14248,,138,,7.8
696,1.14608,,138,,8.4
697,1.14666,,138,,8.6
698,1.15074,,138,,8.4
699,1.15667,,138,,8.6
700,1.16089,,139,,9.4
701,1.16515,,139,,9.8
702,1.16981,,140,,11
703,1.17463,,139,,12.2
704,1.17894,,139,,13.4
705,1.18275,,139,,14.4
706,1.18796,,139,,15.2
707,1.1923,,139,,16.6
708,1.19625,,139,,17.6
709,1.20018,,139,,18.8
710,1.20394,,139,,20
711,1.20784,,139,,21.2
712,1.21184,,139,,22.4
713,1.21551,,139,,23.6
714,1.21923,,139,,26.4
715,1.22303,,139,,28.2
716,1.22739,,139,,30
717,1.23387,,139,,28.6
718,1.24245,,139,,24.8
719,1.24968,,139,,21.8
720,1.25581,,139,,19.6
721,1.26115,,139,,17.6
722,1.26544,,141,,16.6
723,1.26961,,141,,15.6
724,1.27342,,143,,15.4
725,1.27727,,145,,14.8
726,1.28138,,145,,14.2
727,1.2855,,146,,13.4
728,1.28983,,146,,13.2
729,1.29417,,146,,12.8
730,1.29861,,146,,12.6
731,1.3029,,146,,12.2
732,1.30726,,146,,11.4
733,1.31148,,145,,11.2
734,1.31547,,145,,10.6
735,1.31949,,145,,9.6
736,1.32358,,144,,9.6
737,1.32779,,144,,10
738,1.33184,,143,,9.6
739,1.33583,,143,,9.2
740,1.33979,,143,,9
741,1.34376,,143,,8.8
742,1.34754,,143,,9.2
743,1.35143,,142,,9.2
744,1.3554,,141,,9.2
745,1.35931,,141,,9.2
