secs,km,power,hr,cad,alt
0,0,,98,,0
1,0.00219,,98,,0
2,0.00434,,99,,0
3,0.00647,,99,,0
4,0.00867,,101,,1
5,0.01092,,102,,1
6,0.01319,,102,,1
7,0.01567,,103,,1
8,0.01807,,103,,1
9,0.02061,,102,,1
10,0.02315,,101,,1
11,0.02585,,100,,1
12,0.02849,,100,,1
13,0.03118,,100,,1
14,0.03395,,101,,1
15,0.03666,,102,,1
16,0.03959,,102,,1
17,0.04239,,103,,1
18,0.04537,,104,,1
19,0.04823,,105,,1
20,0.05109,,105,,1
21,0.05397,,106,,1
22,0.05692,,107,,1
23,0.05979,,108,,1
24,0.0626,,109,,1
25,0.06545,,110,,1
26,0.06831,,111,,1
27,0.07105,,112,,1
28,0.0739,,112,,1
29,0.0767,,113,,1
30,0.07956,,115,,1
31,0.08238,,116,,1
32,0.08523,,117,,1
33,0.08814,,118,,1
34,0.09102,,119,,1
35,0.09398,,119,,1
36,0.09683,,120,,1
37,0.09975,,121,,1
38,0.10268,,121,,1
39,0.1057,,123,,1
40,0.10867,,122,,1
41,0.11164,,122,,1
42,0.11462,,122,,1
43,0.11759,,122,,1
44,0.12055,,122,,1
45,0.12361,,122,,1
46,0.12667,,122,,1
47,0.12969,,123,,1
48,0.13268,,123,,1
49,0.13578,,123,,1
50,0.13875,,124,,1
51,0.14171,,124,,1
52,0.14474,,125,,1
53,0.14779,,126,,1
54,0.15076,,126,,1
55,0.15374,,127,,1
56,0.15677,,127,,1
57,0.15963,,128,,1
58,0.16259,,128,,1
59,0.16551,,129,,1
60,0.16848,,129,,1
61,0.17146,,130,,1
62,0.17442,,131,,1
63,0.17745,,131,,1
64,0.18037,,131,,1
65,0.18333,,132,,1
66,0.18636,,132,,1
67,0.18933,,132,,1
68,0.19226,,132,,1
69,0.19532,,132,,1
70,0.19819,,132,,1
71,0.20111,,132,,1
72,0.20406,,132,,1
73,0.20702,,132,,1
74,0.20993,,133,,1
75,0.21298,,133,,1
76,0.2159,,133,,1
77,0.21893,,133,,1
78,0.22192,,134,,1
79,0.22491,,134,,1
80,0.22793,,134,,1
81,0.2309,,135,,1
82,0.23396,,134,,1
83,0.23698,,135,,1
84,0.23992,,135,,1
85,0.24296,,135,,1
86,0.24598,,135,,1
87,0.24896,,135,,1
88,0.25196,,136,,1
89,0.25496,,135,,1
90,0.25797,,136,,1
91,0.26101,,136,,1
92,0.26395,,136,,1
93,0.26693,,136,,1
94,0.26996,,136,,1
95,0.27291,,136,,1
96,0.27593,,136,,1
97,0.27883,,136,,1
98,0.28174,,135,,1
99,0.28473,,135,,1
100,0.28768,,135,,1
101,0.29067,,135,,1
102,0.29367,,136,,1
103,0.29662,,136,,1
104,0.29959,,135,,1
105,0.30254,,135,,1
106,0.30547,,135,,1
107,0.30842,,135,,1
108,0.31145,,135,,1
109,0.31442,,135,,1
110,0.31736,,135,,1
111,0.32035,,135,,1
112,0.32336,,136,,1
113,0.32635,,135,,1
114,0.32931,,136,,1
115,0.33231,,135,,1
116,0.33533,,135,,1
117,0.33832,,135,,1
118,0.34131,,135,,1
119,0.34429,,136,,1
120,0.34726,,135,,1
121,0.35025,,135,,1
122,0.35325,,135,,1
123,0.35622,,134,,1
124,0.35916,,135,,1
125,0.36216,,135,,1
126,0.36513,,135,,1
127,0.36807,,135,,1
128,0.37104,,135,,1
129,0.37406,,134,,1
130,0.37701,,134,,1
131,0.37997,,135,,1
132,0.383,,135,,1
133,0.38591,,135,,1
134,0.38892,,134,,1
135,0.39181,,135,,1
136,0.39466,,134,,1
137,0.39761,,134,,1
138,0.40053,,134,,1
139,0.40353,,134,,1
140,0.40651,,134,,1
141,0.40952,,134,,1
142,0.4125,,134,,1
143,0.41554,,134,,1
144,0.41854,,134,,1
145,0.42162,,135,,1
146,0.42466,,135,,1
147,0.42768,,134,,1
148,0.43072,,135,,1
149,0.43378,,135,,1
150,0.43679,,135,,1
151,0.43984,,135,,1
152,0.44281,,136,,1
153,0.4459,,136,,1
154,0.44895,,135,,1
155,0.45198,,135,,1
156,0.45496,,136,,1
157,0.458,,136,,1
158,0.46101,,135,,1
159,0.46408,,135,,1
160,0.46713,,135,,1
161,0.47014,,135,,1
162,0.47323,,135,,1
163,0.47629,,135,,1
164,0.47938,,135,,1
165,0.48246,,135,,1
166,0.4855,,135,,1
167,0.48856,,135,,1
168,0.49158,,135,,1
169,0.49472,,134,,1
170,0.49772,,133,,1
