secs,km,power,hr,cad,alt
0,0,,125,,224.6
1,0,,125,,224.2
2,0.000781429,,125.857,,224.2
3,0.00156286,,126.714,,224.2
4,0.00234429,,127.571,,224.2
5,0.00312571,,128.429,,224.2
6,0.00390714,,129.286,,224.2
7,0.00468857,,130.143,,224.2
8,0.00547,,131,,224.2
9,0.0080575,,132.25,,224.2
10,0.010645,,133.5,,224.2
11,0.0132325,,134.75,,224.2
12,0.01582,,136,,224.2
13,0.0184,,140,,224.8
14,0.02108,,141,,224.6
15,0.02376,,142,,224.4
16,0.02644,,143,,224.2
17,0.02918,,146,,224.6
18,0.03194,,148,,224.5
19,0.0347,,150,,224.4
20,0.03746,,153,,224.2
21,0.0401825,,153.75,,224.25
22,0.042905,,154.5,,224.3
23,0.0456275,,155.25,,224.35
24,0.04835,,156,,224.4
25,0.0510233,,157,,224.467
26,0.0536967,,158,,224.533
27,0.05637,,159,,224.6
28,0.05903,,157.5,,224.6
29,0.06169,,156,,224.6
30,0.0643013,,155.875,,224.6
31,0.0669125,,155.75,,224.6
32,0.0695237,,155.625,,224.6
33,0.072135,,155.5,,224.6
34,0.0747463,,155.375,,224.6
35,0.0773575,,155.25,,224.6
36,0.0799688,,155.125,,224.6
37,0.08258,,155,,224.6
38,0.08517,,151,,224.6
39,0.087775,,152.5,,224.6
40,0.09038,,154,,224.6
41,0.09299,,157.5,,224.6
42,0.0956,,161,,224.6
43,0.09824,,166,,224.6
44,0.10087,,169,,224.6
45,0.103563,,168.375,,224.6
46,0.106255,,167.75,,224.6
47,0.108948,,167.125,,224.6
48,0.11164,,166.5,,224.6
49,0.114333,,165.875,,224.6
50,0.117025,,165.25,,224.6
51,0.119718,,164.625,,224.6
52,0.12241,,164,,224.6
53,0.12514,,167,,224.6
54,0.12786,,171,,224.6
55,0.130585,,172.5,,224.7
56,0.13331,,174,,224.8
57,0.136035,,172,,224.8
58,0.13876,,170,,224.8
59,0.141476,,169.875,,224.825
60,0.144193,,169.75,,224.85
61,0.146909,,169.625,,224.875
62,0.149625,,169.5,,224.9
63,0.152341,,169.375,,224.925
64,0.155057,,169.25,,224.95
65,0.157774,,169.125,,224.975
66,0.16049,,169,,225
67,0.163207,,170,,225
68,0.165923,,171,,225
69,0.16864,,172,,225
70,0.17136,,169,,225
71,0.174056,,169.571,,225
72,0.176751,,170.143,,225
73,0.179447,,170.714,,225
74,0.182143,,171.286,,225
75,0.184839,,171.857,,225
76,0.187534,,172.429,,225
77,0.19023,,173,,225
78,0.19287,,170,,225
79,0.195505,,168.5,,225
80,0.19814,,167,,225
81,0.199918,,166.833,,225.017
82,0.201697,,166.667,,225.033
83,0.203475,,166.5,,225.05
84,0.205253,,166.333,,225.067
85,0.207032,,166.167,,225.083
86,0.20881,,166,,225.1
87,0.210588,,165.833,,225.117
88,0.212367,,165.667,,225.133
89,0.214145,,165.5,,225.15
90,0.215923,,165.333,,225.167
91,0.217702,,165.167,,225.183
92,0.21948,,165,,225.2
93,0.220805,,167,,225.2
94,0.22213,,169,,225.2
95,0.22469,,169.5,,225.2
96,0.22725,,170,,225.2
97,0.230203,,171,,225.2
98,0.233157,,172,,225.2
99,0.23611,,173,,225.2
100,0.238767,,173,,225.2
101,0.241425,,173,,225.2
102,0.244082,,173,,225.2
103,0.24674,,173,,225.2
104,0.249397,,173,,225.2
105,0.252055,,173,,225.2
106,0.254713,,173,,225.2
107,0.25737,,173,,225.2
108,0.260054,,173,,225.175
109,0.262737,,173,,225.15
110,0.265421,,173,,225.125
111,0.268105,,173,,225.1
112,0.270789,,173,,225.075
113,0.273473,,173,,225.05
114,0.276156,,173,,225.025
115,0.27884,,173,,225
116,0.281539,,172.75,,225
117,0.284237,,172.5,,225
118,0.286936,,172.25,,225
119,0.289635,,172,,225
120,0.292334,,171.75,,225
121,0.295032,,171.5,,225
122,0.297731,,171.25,,225
123,0.30043,,171,,225
124,0.306122,,171.5,,225
125,0.311815,,172,,225
126,0.317507,,172.5,,225
127,0.3232,,173,,225
128,0.32619,,173.75,,225
129,0.32918,,174.5,,225
130,0.33217,,175.25,,225
131,0.33516,,176,,225
132,0.337945,,175.75,,225
133,0.34073,,175.5,,225
134,0.343515,,175.25,,225
135,0.3463,,175,,225
136,0.349085,,174.75,,225
137,0.35187,,174.5,,225
138,0.354655,,174.25,,225
139,0.35744,,174,,225
140,0.359961,,173.75,,225
141,0.362482,,173.5,,225
142,0.365004,,173.25,,225
143,0.367525,,173,,225
144,0.370046,,172.75,,225
145,0.372567,,172.5,,225
146,0.375089,,172.25,,225
147,0.37761,,172,,225
148,0.379917,,171,,225
149,0.382223,,170,,225
150,0.38453,,169,,225
151,0.386742,,169,,225.022
152,0.388954,,169,,225.044
153,0.391167,,169,,225.067
154,0.393379,,169,,225.089
155,0.395591,,169,,225.111
156,0.397803,,169,,225.133
157,0.400016,,169,,225.156
158,0.402228,,169,,225.178
159,0.40444,,169,,225.2
160,0.406029,,169.429,,225.229
161,0.407617,,169.857,,225.257
162,0.409206,,170.286,,225.286
163,0.410794,,170.714,,225.314
164,0.412383,,171.143,,225.343
165,0.413971,,171.571,,225.371
166,0.41556,,172,,225.4
167,0.417063,,172.067,,225.373
168,0.418565,,172.133,,225.347
169,0.420068,,172.2,,225.32
170,0.421571,,172.267,,225.293
171,0.423073,,172.333,,225.267
172,0.424576,,172.4,,225.24
173,0.426079,,172.467,,225.213
174,0.427581,,172.533,,225.187
175,0.429084,,172.6,,225.16
176,0.430587,,172.667,,225.133
177,0.432089,,172.733,,225.107
178,0.433592,,172.8,,225.08
179,0.435095,,172.867,,225.053
180,0.436597,,172.933,,225.027
181,0.4381,,173,,225
182,0.440893,,172.25,,225.05
183,0.443685,,171.5,,225.1
184,0.446477,,170.75,,225.15
185,0.44927,,170,,225.2
186,0.452067,,169.571,,225.2
187,0.454864,,169.143,,225.2
188,0.457661,,168.714,,225.2
189,0.460459,,168.286,,225.2
190,0.463256,,167.857,,225.2
191,0.466053,,167.429,,225.2
192,0.46885,,167,,225.2
193,0.471385,,167.125,,225.2
194,0.47392,,167.25,,225.2
195,0.476455,,167.375,,225.2
196,0.47899,,167.5,,225.2
197,0.481525,,167.625,,225.2
198,0.48406,,167.75,,225.2
199,0.486595,,167.875,,225.2
200,0.48913,,168,,225.2
201,0.491285,,168.2,,225.16
202,0.49344,,168.4,,225.12
203,0.495595,,168.6,,225.08
204,0.49775,,168.8,,225.04
205,0.499905,,169,,225
206,0.50206,,169.2,,224.96
207,0.504215,,169.4,,224.92
208,0.50637,,169.6,,224.88
209,0.508525,,169.8,,224.84
210,0.51068,,170,,224.8
211,0.512984,,169.889,,224.778
212,0.515289,,169.778,,224.756
213,0.517593,,169.667,,224.733
214,0.519898,,169.556,,224.711
215,0.522202,,169.444,,224.689
216,0.524507,,169.333,,224.667
217,0.526811,,169.222,,224.644
218,0.529116,,169.111,,224.622
219,0.53142,,169,,224.6
220,0.531703,,169.429,,224.6
221,0.531986,,169.857,,224.6
222,0.532269,,170.286,,224.6
223,0.532551,,170.714,,224.6
224,0.532834,,171.143,,224.6
225,0.533117,,171.571,,224.6
226,0.5334,,172,,224.6
227,0.53509,,171.833,,224.6
228,0.53678,,171.667,,224.6
229,0.53847,,171.5,,224.6
230,0.54016,,171.333,,224.6
231,0.54185,,171.167,,224.6
232,0.54354,,171,,224.6
233,0.54523,,170.833,,224.6
234,0.54692,,170.667,,224.6
235,0.54861,,170.5,,224.6
236,0.5503,,170.333,,224.6
237,0.55199,,170.167,,224.6
238,0.55368,,170,,224.6
239,0.556345,,170.125,,224.625
240,0.55901,,170.25,,224.65
241,0.561675,,170.375,,224.675
242,0.56434,,170.5,,224.7
243,0.567005,,170.625,,224.725
244,0.56967,,170.75,,224.75
245,0.572335,,170.875,,224.775
246,0.575,,171,,224.8
247,0.577366,,170.889,,224.8
248,0.579731,,170.778,,224.8
249,0.582097,,170.667,,224.8
250,0.584462,,170.556,,224.8
251,0.586828,,170.444,,224.8
252,0.589193,,170.333,,224.8
253,0.591559,,170.222,,224.8
254,0.593924,,170.111,,224.8
255,0.59629,,170,,224.8
256,0.597903,,169.833,,224.767
257,0.599517,,169.667,,224.733
258,0.60113,,169.5,,224.7
259,0.602743,,169.333,,224.667
260,0.604357,,169.167,,224.633
261,0.60597,,169,,224.6
262,0.607917,,169.75,,224.6
263,0.609865,,170.5,,224.6
264,0.611812,,171.25,,224.6
265,0.61376,,172,,224.6
266,0.616134,,172,,224.6
267,0.618509,,172,,224.6
268,0.620883,,172,,224.6
269,0.623258,,172,,224.6
270,0.625632,,172,,224.6
271,0.628007,,172,,224.6
272,0.630381,,172,,224.6
273,0.632756,,172,,224.6
274,0.63513,,172,,224.6
275,0.637612,,172.375,,224.625
276,0.640095,,172.75,,224.65
