secs,km,power,hr,cad,alt
0,0,,135,,293.2
1,0.001175,,132.5,,292.9
2,0.00235,,130,,292.6
3,0.00469,,127,,292.4
4,0.00756875,,127,,292.375
5,0.0104475,,127,,292.35
6,0.0133263,,127,,292.325
7,0.016205,,127,,292.3
8,0.0190838,,127,,292.275
9,0.0219625,,127,,292.25
10,0.0248413,,127,,292.225
11,0.02772,,127,,292.2
12,0.03116,,135,,292
13,0.0342414,,135.286,,292
14,0.0373229,,135.571,,292
15,0.0404043,,135.857,,292
16,0.0434857,,136.143,,292
17,0.0465671,,136.429,,292
18,0.0496486,,136.714,,292
19,0.05273,,137,,292
20,0.0555929,,137.143,,292.143
21,0.0584557,,137.286,,292.286
22,0.0613186,,137.429,,292.429
23,0.0641814,,137.571,,292.571
24,0.0670443,,137.714,,292.714
25,0.0699071,,137.857,,292.857
26,0.07277,,138,,293
27,0.0756337,,138.125,,293.4
28,0.0784975,,138.25,,293.8
29,0.0813612,,138.375,,294.2
30,0.084225,,138.5,,294.6
31,0.0870888,,138.625,,295
32,0.0899525,,138.75,,295.4
33,0.0928163,,138.875,,295.8
34,0.09568,,139,,296.2
35,0.0981722,,139.222,,296.889
36,0.100664,,139.444,,297.578
37,0.103157,,139.667,,298.267
38,0.105649,,139.889,,298.956
39,0.108141,,140.111,,299.644
40,0.110633,,140.333,,300.333
41,0.113126,,140.556,,301.022
42,0.115618,,140.778,,301.711
43,0.11811,,141,,302.4
44,0.12044,,141,,302.689
45,0.12277,,141,,302.978
46,0.1251,,141,,303.267
47,0.12743,,141,,303.556
48,0.12976,,141,,303.844
49,0.13209,,141,,304.133
50,0.13442,,141,,304.422
51,0.13675,,141,,304.711
52,0.13908,,141,,305
53,0.141606,,140.875,,305
54,0.144132,,140.75,,305
55,0.146659,,140.625,,305
56,0.149185,,140.5,,305
57,0.151711,,140.375,,305
58,0.154237,,140.25,,305
59,0.156764,,140.125,,305
60,0.15929,,140,,305
61,0.162126,,140.125,,305.45
62,0.164962,,140.25,,305.9
63,0.167799,,140.375,,306.35
64,0.170635,,140.5,,306.8
65,0.173471,,140.625,,307.25
66,0.176308,,140.75,,307.7
67,0.179144,,140.875,,308.15
68,0.18198,,141,,308.6
69,0.18493,,141.143,,309.057
70,0.18788,,141.286,,309.514
71,0.19083,,141.429,,309.971
72,0.19378,,141.571,,310.429
73,0.19673,,141.714,,310.886
74,0.19968,,141.857,,311.343
75,0.20263,,142,,311.8
76,0.20597,,142.167,,312.6
77,0.20931,,142.333,,313.4
78,0.21265,,142.5,,314.2
79,0.21599,,142.667,,315
80,0.21933,,142.833,,315.8
81,0.22267,,143,,316.6
82,0.225559,,143,,317.4
83,0.228447,,143,,318.2
84,0.231336,,143,,319
85,0.234224,,143,,319.8
86,0.237113,,143,,320.6
87,0.240001,,143,,321.4
88,0.24289,,143,,322.2
89,0.24608,,143,,322.314
90,0.24927,,143,,322.429
91,0.25246,,143,,322.543
92,0.25565,,143,,322.657
93,0.25884,,143,,322.771
94,0.26203,,143,,322.886
95,0.26522,,143,,323
96,0.269807,,143,,321.4
97,0.274395,,143,,319.8
98,0.278983,,143,,318.2
99,0.28357,,143,,316.6
100,0.286948,,142.667,,315.8
101,0.290327,,142.333,,315
102,0.293705,,142,,314.2
103,0.297083,,141.667,,313.4
104,0.300462,,141.333,,312.6
105,0.30384,,141,,311.8
106,0.307182,,141,,311.133
107,0.310523,,141,,310.467
108,0.313865,,141,,309.8
109,0.317207,,141,,309.133
110,0.320548,,141,,308.467
111,0.32389,,141,,307.8
112,0.327445,,140.833,,307.5
113,0.331,,140.667,,307.2
114,0.334555,,140.5,,306.9
115,0.33811,,140.333,,306.6
116,0.341665,,140.167,,306.3
117,0.34522,,140,,306
118,0.348583,,140,,305.6
119,0.351947,,140,,305.2
120,0.35531,,140,,304.8
121,0.358673,,140,,304.4
122,0.362037,,140,,304
123,0.3654,,140,,303.6
124,0.368416,,140,,303.314
125,0.371431,,140,,303.029
126,0.374447,,140,,302.743
127,0.377463,,140,,302.457
128,0.380479,,140,,302.171
129,0.383494,,140,,301.886
130,0.38651,,140,,301.6
131,0.389683,,140.143,,301.943
132,0.392856,,140.286,,302.286
133,0.396029,,140.429,,302.629
134,0.399201,,140.571,,302.971
135,0.402374,,140.714,,303.314
136,0.405547,,140.857,,303.657
137,0.40872,,141,,304
138,0.411643,,141,,304.257
139,0.414566,,141,,304.514
140,0.417489,,141,,304.771
141,0.420411,,141,,305.029
142,0.423334,,141,,305.286
143,0.426257,,141,,305.543
144,0.42918,,141,,305.8
145,0.431798,,141.25,,306.275
146,0.434415,,141.5,,306.75
147,0.437032,,141.75,,307.225
148,0.43965,,142,,307.7
149,0.442268,,142.25,,308.175
150,0.444885,,142.5,,308.65
151,0.447503,,142.75,,309.125
152,0.45012,,143,,309.6
153,0.45243,,143.111,,309.978
154,0.45474,,143.222,,310.356
155,0.45705,,143.333,,310.733
156,0.45936,,143.444,,311.111
157,0.46167,,143.556,,311.489
158,0.46398,,143.667,,311.867
159,0.46629,,143.778,,312.244
160,0.4686,,143.889,,312.622
161,0.47091,,144,,313
162,0.473491,,144,,313.425
163,0.476073,,144,,313.85
164,0.478654,,144,,314.275
165,0.481235,,144,,314.7
166,0.483816,,144,,315.125
167,0.486397,,144,,315.55
168,0.488979,,144,,315.975
169,0.49156,,144,,316.4
170,0.493924,,144.111,,316.689
171,0.496289,,144.222,,316.978
172,0.498653,,144.333,,317.267
173,0.501018,,144.444,,317.556
174,0.503382,,144.556,,317.844
175,0.505747,,144.667,,318.133
176,0.508111,,144.778,,318.422
177,0.510476,,144.889,,318.711
178,0.51284,,145,,319
179,0.515364,,145,,319.275
180,0.517887,,145,,319.55
181,0.520411,,145,,319.825
182,0.522935,,145,,320.1
183,0.525459,,145,,320.375
184,0.527983,,145,,320.65
185,0.530506,,145,,320.925
186,0.53303,,145,,321.2
187,0.53608,,145.143,,321.686
188,0.53913,,145.286,,322.171
189,0.54218,,145.429,,322.657
190,0.54523,,145.571,,323.143
191,0.54828,,145.714,,323.629
192,0.55133,,145.857,,324.114
193,0.55438,,146,,324.6
194,0.557105,,146,,324.75
195,0.55983,,146,,324.9
196,0.562555,,146,,325.05
197,0.56528,,146,,325.2
198,0.568005,,146,,325.35
199,0.57073,,146,,325.5
200,0.573455,,146,,325.65
201,0.57618,,146,,325.8
202,0.579206,,146,,326.314
203,0.582231,,146,,326.829
204,0.585257,,146,,327.343
205,0.588283,,146,,327.857
206,0.591309,,146,,328.371
207,0.594334,,146,,328.886
208,0.59736,,146,,329.4
209,0.60036,,146.143,,329.2
210,0.60336,,146.286,,329
211,0.60636,,146.429,,328.8
212,0.60936,,146.571,,328.6
213,0.61236,,146.714,,328.4
214,0.61536,,146.857,,328.2
215,0.61836,,147,,328
216,0.621213,,147.125,,327.8
217,0.624065,,147.25,,327.6
218,0.626918,,147.375,,327.4
219,0.62977,,147.5,,327.2
220,0.632622,,147.625,,327
221,0.635475,,147.75,,326.8
222,0.638327,,147.875,,326.6
223,0.64118,,148,,326.4
224,0.644344,,148.143,,326.229
225,0.647509,,148.286,,326.057
226,0.650673,,148.429,,325.886
227,0.653837,,148.571,,325.714
228,0.657001,,148.714,,325.543
229,0.660166,,148.857,,325.371
230,0.66333,,149,,325.2
231,0.666196,,149.143,,325.057
232,0.669061,,149.286,,324.914
233,0.671927,,149.429,,324.771
234,0.674793,,149.571,,324.629
235,0.677659,,149.714,,324.486
236,0.680524,,149.857,,324.343
237,0.68339,,150,,324.2
238,0.686265,,150,,323.925
239,0.68914,,150,,323.65
240,0.692015,,150,,323.375
241,0.69489,,150,,323.1
242,0.697765,,150,,322.825
243,0.70064,,150,,322.55
244,0.703515,,150,,322.275
245,0.70639,,150,,322
246,0.709416,,150,,321.8
247,0.712441,,150,,321.6
248,0.715467,,150,,321.4
249,0.718493,,150,,321.2
250,0.721519,,150,,321
