secs,km,power,hr,cad,alt
0,0,,110,,-16
1,0.00344,,111,,-15.6
2,0.00344,,111,,-15.6
3,0.00578,,112,,-15.2
4,0.00903,,112,,-14.6
5,0.01192,,112,,-14
6,0.01492,,112,,-13.8
7,0.01807,,112,,-13.4
8,0.02113,,115,,-12.8
9,0.02406,,115,,-12.4
10,0.02751,,115,,-12.2
11,0.03099,,115,,-11.6
12,0.03415,,115,,-11.4
13,0.03741,,115,,-10.4
14,0.04041,,115,,-10
15,0.04344,,115,,-9.4
16,0.04648,,115,,-8.8
17,0.04981,,115,,-8.4
18,0.05308,,115,,-8.2
19,0.05651,,115,,-8.2
20,0.05953,,115,,-8.4
21,0.06244,,115,,-8.6
22,0.06529,,115,,-9
23,0.06819,,115,,-9.4
24,0.07131,,115,,-9.6
25,0.07437,,115,,-10
26,0.07767,,115,,-10.4
27,0.08091,,115,,-10.6
28,0.08405,,118,,-10.6
29,0.08706,,118,,-10.6
30,0.09001,,118,,-10.6
31,0.09313,,118,,-10.4
32,0.09613,,118,,-10.4
33,0.09913,,118,,-10.2
34,0.10189,,118,,-10
35,0.10462,,118,,-9.4
36,0.10737,,118,,-9.2
37,0.1103,,118,,-9
38,0.11324,,121,,-9
39,0.11617,,123,,-9.2
40,0.1191,,126,,-9.2
41,0.12178,,134,,-9.4
42,0.12478,,137,,-9.4
43,0.12764,,140,,-9.6
44,0.13082,,140,,-9.6
45,0.1358,,140,,-8
46,0.13998,,140,,-6.8
47,0.14371,,140,,-6
48,0.14696,,140,,-5.6
49,0.15036,,140,,-5.4
50,0.15325,,140,,-5.8
51,0.15655,,140,,-5.8
52,0.15945,,140,,-5.6
53,0.16253,,140,,-5.8
54,0.16577,,140,,-5.6
55,0.16896,,140,,-5.2
56,0.17186,,140,,-5
57,0.17484,,140,,-5
58,0.17794,,140,,-5
59,0.18081,,140,,-5
60,0.18402,,140,,-5
61,0.18665,,143,,-4.8
62,0.18973,,143,,-4.4
63,0.19256,,143,,-4.2
64,0.19553,,143,,-4
65,0.19851,,143,,-3.8
66,0.20127,,143,,-3.6
67,0.20409,,143,,-3.2
68,0.20657,,143,,-3
69,0.20949,,143,,-2.8
70,0.21227,,143,,-2.8
71,0.21556,,143,,-2.8
72,0.21833,,143,,-2.8
73,0.22142,,143,,-2.8
74,0.22404,,143,,-2.8
75,0.22667,,143,,-2.8
76,0.22931,,143,,-2.6
77,0.23198,,143,,-2.2
78,0.23477,,143,,-2
79,0.2375,,144,,-1.8
80,0.24025,,144,,-1.4
81,0.24279,,145,,-1.2
82,0.24569,,145,,-1
83,0.24855,,144,,-0.8
84,0.25141,,144,,-0.6
85,0.25418,,144,,-0.4
86,0.2566,,144,,-0.4
87,0.25949,,143,,-0.2
88,0.26217,,144,,-0.2
89,0.26538,,144,,0
90,0.26833,,144,,0.2
91,0.27139,,144,,0.4
92,0.27425,,144,,0.6
93,0.27755,,144,,0.8
94,0.28044,,144,,0.8
95,0.28311,,144,,1.2
96,0.28574,,144,,1.6
97,0.28894,,144,,2
98,0.29203,,144,,2.8
99,0.29534,,144,,3.2
100,0.29909,,144,,3.8
101,0.30234,,144,,4.2
102,0.30547,,144,,4.8
103,0.3081,,144,,5.2
104,0.31138,,144,,5.8
105,0.31414,,144,,6.4
106,0.31684,,144,,7
107,0.31955,,144,,7.6
108,0.32295,,144,,8.4
109,0.32615,,145,,9
110,0.32773,,145,,9.8
111,0.33081,,145,,10.4
112,0.33249,,145,,10.8
113,0.33497,,145,,11.4
114,0.3376,,145,,12
115,0.33992,,145,,12.4
116,0.34244,,145,,13
117,0.34491,,145,,13.2
118,0.34707,,145,,13.8
119,0.34897,,145,,13.8
120,0.35158,,145,,14
121,0.35379,,145,,14.2
122,0.35691,,145,,14.4
123,0.35958,,145,,14.4
124,0.36267,,145,,14.2
125,0.36549,,145,,14.4
126,0.36825,,145,,14.4
127,0.37099,,145,,14.6
128,0.37367,,145,,15
129,0.37645,,145,,15.2
130,0.37913,,145,,15.4
131,0.38224,,145,,15.8
132,0.38514,,145,,16
133,0.38808,,145,,16.2
134,0.39106,,145,,16.4
135,0.39423,,145,,16.4
136,0.39738,,145,,16.8
137,0.40069,,145,,17
138,0.40414,,145,,17.2
139,0.40754,,145,,17.6
140,0.41075,,145,,18
141,0.4136,,145,,18.4
142,0.41625,,145,,18.6
143,0.41884,,145,,19
144,0.42179,,145,,19.4
145,0.42437,,145,,19.8
146,0.42699,,145,,20.2
147,0.42978,,145,,20.6
148,0.43242,,145,,21
149,0.4351,,145,,21.6
150,0.4383,,145,,22.2
151,0.441,,145,,22.8
152,0.44369,,145,,21.8
153,0.44594,,145,,22.2
154,0.44749,,145,,22.2
155,0.45007,,145,,22.2
156,0.45253,,145,,22.4
157,0.45552,,147,,22.8
158,0.45673,,155,,23.4
159,0.45824,,155,,24
160,0.46018,,157,,24.6
161,0.46245,,157,,25
162,0.46519,,157,,25.8
163,0.46851,,157,,26
164,0.47182,,157,,26.4
165,0.47553,,157,,27
166,0.47865,,157,,27
167,0.48234,,157,,27
168,0.48564,,157,,26.8
169,0.48894,,157,,26.8
170,0.49243,,157,,26.8
171,0.49516,,157,,26.6
172,0.49844,,157,,26.6
173,0.50187,,157,,26.8
174,0.50491,,157,,26.8
175,0.50837,,157,,26.8
176,0.51168,,157,,26.6
177,0.51483,,157,,26.4
178,0.51746,,157,,26.4
179,0.5201,,157,,26.8
180,0.52252,,157,,26
181,0.52526,,157,,25.8
182,0.52824,,157,,26
183,0.53121,,157,,25.8
184,0.53413,,157,,25.8
185,0.53699,,157,,25.8
186,0.53998,,157,,25.6
187,0.54272,,157,,25.4
188,0.5455,,157,,25
189,0.54787,,157,,24.8
190,0.55066,,157,,24.4
191,0.55318,,157,,24
192,0.55575,,157,,23.6
193,0.55847,,157,,23.4
194,0.56169,,158,,23.2
195,0.56501,,158,,22.8
196,0.56823,,159,,22.6
197,0.57141,,159,,22.4
198,0.57405,,159,,22.4
199,0.57726,,159,,22.2
200,0.58001,,159,,21.8
201,0.58291,,159,,21.8
202,0.58569,,159,,21.8
203,0.58868,,159,,21.6
204,0.59141,,159,,20.8
205,0.59415,,159,,20.6
206,0.59739,,159,,20.4
207,0.60027,,159,,20.2
208,0.60355,,159,,19.8
209,0.60672,,159,,19.4
210,0.60991,,159,,18.8
211,0.61302,,159,,18.6
212,0.61598,,159,,18.4
213,0.61869,,159,,17.8
214,0.62127,,155,,17.4
215,0.62422,,155,,17
216,0.62696,,155,,16.6
217,0.62969,,155,,16
218,0.63267,,155,,15.8
219,0.63585,,155,,15.4
220,0.63871,,155,,15.2
221,0.64156,,155,,15
222,0.64424,,155,,14.8
223,0.64663,,155,,14.4
224,0.64916,,155,,14
225,0.65151,,155,,13.8
226,0.6545,,155,,13.6
227,0.65735,,155,,13.4
228,0.66032,,155,,13.4
229,0.66344,,155,,13
230,0.66616,,155,,13
231,0.66908,,155,,12.6
232,0.67217,,155,,12.4
233,0.67498,,155,,12.2
234,0.67766,,155,,12.2
235,0.68071,,155,,12.2
236,0.68341,,155,,12
237,0.68641,,155,,11.8
238,0.68922,,155,,11.6
239,0.69229,,155,,11.2
240,0.69506,,155,,11
241,0.69785,,155,,10.6
242,0.70066,,155,,10.2
243,0.70384,,155,,10
244,0.70707,,155,,9.2
245,0.7098,,155,,8.8
246,0.71291,,155,,8.4
247,0.71595,,155,,8
248,0.71935,,155,,8
249,0.72249,,155,,8
250,0.72554,,155,,8
251,0.72823,,155,,8
252,0.73026,,155,,7.8
253,0.73219,,155,,8
254,0.73414,,155,,8
255,0.73719,,155,,7.8
256,0.74056,,155,,7.6
257,0.74417,,155,,7.6
258,0.74777,,155,,7.6
259,0.7515,,155,,7.6
260,0.75567,,155,,7.8
261,0.75998,,155,,7.8
262,0.76398,,155,,7.8
263,0.7678,,155,,8
264,0.77171,,155,,8
265,0.77574,,155,,8
266,0.77979,,155,,8.2
267,0.78361,,155,,8
268,0.78749,,155,,7.8
269,0.79116,,153,,7.4
270,0.79513,,151,,7.2
271,0.79879,,152,,7.2
272,0.80267,,152,,7
273,0.80635,,153,,6.8
274,0.81044,,153,,7
275,0.81438,,153,,7.2
276,0.81799,,153,,7.2
277,0.82139,,153,,7.4
278,0.82538,,153,,7.8
279,0.8292,,153,,8
280,0.83308,,153,,8.2
281,0.83678,,153,,8.2
282,0.84043,,153,,8.2
283,0.84421,,153,,7.8
284,0.84806,,153,,7.8
285,0.85162,,153,,7.8
286,0.85523,,153,,7.6
287,0.85888,,153,,7.2
288,0.86254,,153,,6.8
289,0.86599,,153,,5.8
290,0.86926,,153,,5.4
291,0.87294,,153,,4.8
292,0.87671,,153,,4.4
293,0.88036,,153,,4
294,0.88367,,153,,3.6
295,0.8872,,153,,3.2
296,0.8906,,153,,2.4
297,0.89399,,153,,2.4
298,0.89733,,156,,2.2
299,0.90079,,156,,1.4
300,0.90402,,156,,0.2
301,0.90751,,156,,0.2
302,0.91094,,156,,-0.2
303,0.91457,,156,,0.2
304,0.9182,,156,,0.4
305,0.92195,,156,,0.2
306,0.9257,,156,,0.4
307,0.92926,,156,,0.8
308,0.9331,,156,,0.8
309,0.93697,,156,,1
310,0.94078,,156,,1.4
311,0.94513,,156,,2.2
312,0.94886,,156,,2
313,0.95297,,156,,2.4
314,0.95663,,156,,2.4
315,0.96045,,156,,2.2
316,0.96437,,158,,0
344,0.96536,,152,,6
345,0.96753,,152,,6
346,0.97065,,152,,6.2
347,0.9744,,152,,6.4
348,0.97834,,152,,6.4
349,0.98246,,152,,6
350,0.98631,,151,,5.8
351,0.99041,,152,,5.8
352,0.99463,,151,,6.2
353,0.99846,,151,,5.8
354,1.00262,,151,,6.2
355,1.00692,,151,,6
356,1.01121,,151,,5.4
357,1.0157,,151,,5.4
358,1.01995,,151,,5
359,1.02424,,151,,5
360,1.02822,,151,,4.4
361,1.03237,,151,,4.4
