secs,km,power,hr,cad,alt
0,0,,69,,22.2
1,0.00254,,69,,21.6
2,0.00504,,69,,21.8
3,0.00857,,69,,22
4,0.01201,,69,,22.6
5,0.01509,,70,,22.8
6,0.01825,,73,,22.4
7,0.02143,,73,,22.2
8,0.02455,,74,,22.2
9,0.02774,,75,,22.4
10,0.03123,,77,,22.4
11,0.03478,,80,,22.2
12,0.03849,,83,,22
13,0.04199,,85,,22
14,0.04501,,87,,22
15,0.04853,,87,,22
16,0.05146,,88,,22
17,0.05464,,95,,22
18,0.05819,,100,,22.2
19,0.06202,,105,,22.4
20,0.06578,,108,,22.6
21,0.06928,,110,,22.6
22,0.07229,,112,,22.6
23,0.07503,,117,,22.8
24,0.07782,,120,,22.8
25,0.08057,,123,,23
26,0.08301,,123,,23
27,0.08565,,124,,23
28,0.08865,,125,,23
29,0.09187,,125,,23
30,0.09522,,125,,22.8
31,0.09852,,128,,22.8
32,0.10199,,128,,22.4
33,0.10515,,129,,22.4
34,0.10827,,129,,22.2
35,0.11143,,132,,22.2
36,0.11458,,132,,22.4
37,0.11788,,133,,22.4
38,0.12106,,135,,22.6
39,0.12425,,135,,22.6
40,0.12747,,135,,22.8
41,0.13112,,136,,22.8
42,0.13483,,136,,22.8
43,0.13824,,138,,22.8
44,0.1416,,137,,23.2
45,0.14527,,140,,23.2
46,0.14863,,141,,23.2
47,0.15208,,141,,23.4
48,0.15518,,140,,23.4
49,0.15879,,144,,23.8
50,0.16223,,144,,24
51,0.16569,,144,,24.2
52,0.1691,,143,,24.4
53,0.17217,,144,,24.4
54,0.17567,,143,,24.6
55,0.17898,,146,,24.8
56,0.18251,,146,,24.8
57,0.18559,,146,,24.8
58,0.18906,,147,,24.8
59,0.19248,,146,,24.8
60,0.19568,,146,,24.8
61,0.19896,,148,,24.8
62,0.20233,,147,,24.6
63,0.20582,,147,,24.6
64,0.20995,,147,,24.6
65,0.21421,,146,,24.6
66,0.21816,,147,,24.6
67,0.22499,,146,,24.6
68,0.22921,,144,,24.4
69,0.23266,,145,,24.4
70,0.23637,,145,,24.2
71,0.23984,,144,,24.2
72,0.24299,,144,,23.8
73,0.243171,,142.563,,23.7625
74,0.243351,,141.125,,23.725
75,0.243532,,139.688,,23.6875
76,0.243713,,138.25,,23.65
77,0.243893,,136.813,,23.6125
78,0.244074,,135.375,,23.575
79,0.244254,,133.938,,23.5375
80,0.244435,,132.5,,23.5
81,0.244616,,131.063,,23.4625
82,0.244796,,129.625,,23.425
83,0.244977,,128.188,,23.3875
84,0.245158,,126.75,,23.35
85,0.245338,,125.313,,23.3125
86,0.245519,,123.875,,23.275
87,0.245699,,122.438,,23.2375
88,0.24588,,121,,23.2
89,0.24921,,121,,23.2
90,0.25258,,121,,23.2
91,0.25597,,123,,23.2
92,0.25934,,126,,23.2
93,0.26271,,127,,23
94,0.26598,,129,,23.2
95,0.26945,,132,,23
96,0.27328,,132,,23.2
97,0.27706,,134,,23.2
98,0.2806,,133,,23.2
99,0.28423,,133,,23.2
100,0.28779,,132,,23.2
101,0.2914,,132,,23
102,0.29508,,132,,23
103,0.29998,,132,,22.8
104,0.30412,,133,,22.8
105,0.30824,,133,,22.8
106,0.31255,,134,,22.8
107,0.31687,,135,,22.6
108,0.32127,,135,,22.6
109,0.32564,,136,,22.4
110,0.32997,,137,,22.2
111,0.33415,,136,,22.2
112,0.33825,,137,,22
113,0.34223,,136,,22
114,0.34613,,139,,21.8
115,0.34985,,138,,21.6
