secs,km,power,hr,cad,alt
0,0,,0,,0
1,0,,0,,0
2,0,,0,,0
3,0,,0,,0
4,0,,0,,0
5,0.024,,110,,94.8
6,0.024,,110,,94.8
7,0.024,,110,,95
8,0.024,,110,,95.8
9,0.024,,110,,96
10,0.036,,112,,96.4
11,0.036,,113,,96.8
12,0.036,,114,,97
13,0.036,,114,,97.2
14,0.036,,116,,97.6
15,0.036,,118,,98
16,0.047,,118,,98.2
17,0.047,,118,,98.6
18,0.047,,119,,98.8
19,0.047,,120,,99
20,0.047,,120,,99.6
21,0.057,,120,,100
22,0.057,,121,,100
23,0.057,,121,,100.4
24,0.057,,121,,100.4
25,0.057,,122,,99.8
26,0.068,,122,,99.6
27,0.068,,122,,99
28,0.068,,122,,98.2
29,0.068,,122,,97.8
30,0.068,,122,,97.2
31,0.08,,122,,96.8
32,0.08,,122,,96.4
33,0.08,,122,,96
34,0.08,,122,,95.6
35,0.08,,122,,95.4
36,0.08,,122,,95.2
37,0.091,,122,,95
38,0.091,,122,,94.8
39,0.091,,122,,94.6
40,0.091,,122,,94.4
41,0.091,,122,,94.2
42,0.091,,122,,94.2
43,0.103,,121,,94
44,0.103,,120,,93.8
45,0.103,,121,,93.8
46,0.103,,121,,93.6
47,0.103,,121,,93.6
48,0.114,,121,,93.4
49,0.114,,121,,93.4
50,0.114,,121,,93.2
51,0.114,,121,,93.2
52,0.114,,122,,93
53,0.125,,121,,93
54,0.125,,121,,93
55,0.125,,121,,92.8
56,0.125,,122,,92.8
57,0.125,,122,,92.6
58,0.125,,122,,92.6
59,0.137,,122,,92.6
60,0.137,,123,,92.4
61,0.137,,123,,92.4
62,0.137,,123,,92.4
63,0.137,,123,,92.2
64,0.137,,123,,92.2
65,0.148,,124,,92.2
66,0.148,,124,,92
67,0.148,,124,,92
68,0.148,,124,,91.8
69,0.159,,124,,91.8
70,0.159,,124,,91.6
71,0.159,,125,,91.6
72,0.159,,125,,91.4
73,0.159,,125,,91.2
74,0.171,,124,,91.2
75,0.171,,124,,91
76,0.171,,125,,91
77,0.171,,125,,90.8
78,0.171,,125,,90.6
79,0.182,,126,,90.6
80,0.182,,126,,90.4
81,0.182,,126,,90.2
82,0.182,,126,,90.2
83,0.182,,126,,90
84,0.195,,126,,89.8
85,0.195,,126,,89.6
86,0.195,,126,,89.6
87,0.195,,126,,89.4
88,0.195,,125,,89.2
89,0.207,,125,,89
90,0.207,,125,,88.8
91,0.207,,125,,88.8
92,0.207,,125,,88.6
93,0.207,,125,,88.4
94,0.219,,124,,88.2
95,0.219,,124,,88
96,0.219,,124,,88
97,0.219,,124,,87.8
98,0.23,,124,,87.6
99,0.23,,124,,87.6
100,0.23,,124,,87.4
101,0.23,,123,,87.2
102,0.241,,123,,87.2
103,0.241,,124,,87
104,0.241,,124,,87
105,0.241,,124,,86.8
106,0.251,,124,,86.8
107,0.251,,124,,86.8
108,0.251,,124,,86.6
109,0.251,,124,,86.6
110,0.261,,123,,86.4
111,0.261,,123,,86.4
112,0.261,,124,,86.4
113,0.261,,124,,86.2
114,0.261,,124,,86.2
115,0.273,,124,,86.2
116,0.273,,124,,86.2
117,0.273,,124,,86
118,0.273,,124,,86
119,0.273,,124,,86
120,0.283,,124,,86
121,0.283,,124,,86
122,0.283,,123,,86
123,0.283,,123,,86
124,0.283,,124,,86
125,0.294,,124,,86
126,0.294,,124,,86
127,0.294,,124,,86
128,0.294,,124,,86
129,0.305,,124,,86
130,0.305,,125,,86
131,0.305,,125,,86
132,0.305,,125,,85.8
133,0.315,,126,,85.8
134,0.315,,126,,85.8
135,0.315,,126,,85.8
136,0.315,,126,,85.8
137,0.315,,125,,85.8
138,0.328,,123,,85.8
139,0.328,,123,,85.8
