secs,km,power,hr,cad,alt
0,0,,70,,165.392
1,0.000599971,,70,,165.392
2,0.00184991,,70,,165.392
3,0.00491976,,70,,165.592
4,0.00740964,,71,,165.592
5,0.00902956,,71,,165.792
6,0.00936954,,71,,165.592
7,0.0103195,,71,,165.192
8,0.0108695,,72,,165.192
9,0.0109795,,72,,164.992
10,0.0114394,,72,,164.992
11,0.0114394,,72,,164.992
12,0.0114394,,72,,164.992
13,0.0118594,,77,,165.192
14,0.0119094,,75,,164.992
15,0.0119094,,73,,164.792
16,0.0119094,,72,,164.792
17,0.0119094,,72,,165.192
18,0.0119094,,73,,165.192
19,0.0123294,,74,,165.192
20,0.0140793,,75,,165.192
21,0.0161792,,77,,165.192
22,0.0184291,,75,,165.192
23,0.021279,,77,,165.192
24,0.0242888,,77,,165.192
25,0.0278986,,79,,165.192
26,0.0315685,,82,,165.192
27,0.0350583,,80,,164.992
28,0.0385781,,79,,164.992
29,0.0420879,,79,,164.992
30,0.0455678,,80,,164.992
31,0.0490076,,79,,164.992
32,0.0523274,,81,,164.992
33,0.0556673,,83,,164.992
34,0.0590071,,83,,164.992
35,0.062307,,85,,164.992
36,0.0655468,,85,,164.992
37,0.0687966,,87,,164.992
38,0.0719465,,93,,164.992
39,0.0751463,,97,,164.992
40,0.0783062,,101,,164.992
41,0.081426,,105,,164.992
42,0.0846359,,110,,164.792
43,0.0879357,,115,,164.792
44,0.0913555,,119,,164.792
45,0.0946454,,119,,164.792
46,0.0981552,,117,,164.792
47,0.101365,,118,,164.792
48,0.104375,,119,,164.792
49,0.107375,,121,,164.792
50,0.110275,,123,,164.992
51,0.113094,,124,,164.992
52,0.115834,,124,,164.992
53,0.118804,,124,,164.992
54,0.121844,,125,,164.992
55,0.125064,,128,,164.992
56,0.128234,,126,,164.992
57,0.131404,,126,,164.992
58,0.134743,,129,,164.992
59,0.137953,,129,,164.992
60,0.141063,,128,,164.992
61,0.143973,,127,,164.992
62,0.146823,,127,,164.992
63,0.149773,,126,,164.992
64,0.152873,,125,,164.992
65,0.156192,,125,,164.992
66,0.159612,,127,,164.992
67,0.163122,,129,,164.992
68,0.166602,,131,,164.792
69,0.169832,,134,,164.792
70,0.172922,,136,,164.792
71,0.176111,,135,,164.792
72,0.179231,,135,,164.792
73,0.182591,,136,,164.792
74,0.185761,,134,,164.792
75,0.189001,,134,,164.792
76,0.192171,,133,,164.792
77,0.19524,,132,,164.792
78,0.19824,,130,,164.792
79,0.20126,,128,,164.792
80,0.20434,,127,,164.792
81,0.2073,,127,,164.792
82,0.21016,,129,,164.792
83,0.21301,,129,,164.792
84,0.215809,,128,,164.792
85,0.218389,,129,,164.792
86,0.221039,,128,,164.792
87,0.223679,,129,,164.792
88,0.226659,,128,,164.792
89,0.229809,,128,,164.792
90,0.232959,,128,,164.792
91,0.235998,,130,,164.792
92,0.239118,,133,,164.592
93,0.242288,,132,,164.592
94,0.245388,,131,,164.592
95,0.248408,,133,,164.392
96,0.251458,,133,,164.392
97,0.254408,,133,,164.392
98,0.257317,,133,,164.392
99,0.260487,,132,,164.392
100,0.263477,,132,,164.192
101,0.266427,,132,,164.192
102,0.269377,,132,,164.192
103,0.272507,,132,,163.992
104,0.275947,,132,,163.992
105,0.279306,,132,,163.792
106,0.282706,,132,,163.792
107,0.286166,,132,,163.592
108,0.289456,,132,,163.592
109,0.292536,,133,,163.392
110,0.295606,,133,,163.192
111,0.298735,,133,,163.192
112,0.301755,,133,,163.192
113,0.304745,,133,,162.992
114,0.307655,,133,,162.792
115,0.310525,,133,,162.592
116,0.313325,,133,,162.392
117,0.316005,,134,,162.392
118,0.318734,,134,,162.192
119,0.321564,,134,,161.992
120,0.324404,,134,,161.792
121,0.327264,,134,,161.792
122,0.330124,,134,,161.592
123,0.333054,,134,,161.392
124,0.335774,,134,,161.392
125,0.338603,,133,,161.392
126,0.341353,,133,,161.192
127,0.344273,,133,,161.192
128,0.346963,,133,,160.992
129,0.349313,,133,,160.992
130,0.351893,,133,,160.792
131,0.354623,,133,,160.592
132,0.357693,,133,,160.392
133,0.360432,,133,,159.992
134,0.362802,,133,,159.992
135,0.365392,,132,,159.792
136,0.368212,,132,,159.792
137,0.370802,,132,,159.592
138,0.373292,,132,,159.392
139,0.375472,,132,,159.192
140,0.377072,,132,,159.192
141,0.378752,,132,,159.192
142,0.381231,,131,,158.992
143,0.384481,,131,,158.992
144,0.387801,,131,,158.992
145,0.391061,,132,,158.792
146,0.393941,,132,,158.792
147,0.397111,,132,,158.592
148,0.40069,,133,,158.592
149,0.40429,,133,,158.392
150,0.40777,,133,,158.392
151,0.41109,,133,,158.192
152,0.41455,,134,,158.192
153,0.41779,,134,,158.192
154,0.420969,,134,,158.192
155,0.424099,,134,,157.992
156,0.427339,,134,,157.592
157,0.430599,,134,,157.592
158,0.433689,,134,,157.392
159,0.436589,,134,,157.392
160,0.439369,,134,,157.192
161,0.442598,,134,,156.792
162,0.445368,,134,,156.592
163,0.447888,,134,,156.392
164,0.450478,,133,,156.392
165,0.453078,,134,,156.192
166,0.455618,,134,,156.192
167,0.458348,,134,,155.992
168,0.461238,,134,,155.792
169,0.464237,,134,,155.592
170,0.467007,,134,,155.592
171,0.469657,,134,,155.392
172,0.472277,,134,,155.392
173,0.474907,,134,,154.992
174,0.477747,,133,,154.992
175,0.480647,,133,,154.792
176,0.483816,,133,,154.592
177,0.486656,,134,,154.592
178,0.489556,,134,,154.392
179,0.492536,,134,,154.192
180,0.495716,,134,,154.192
181,0.498656,,134,,153.992
182,0.501766,,134,,153.992
183,0.505215,,134,,153.792
184,0.508475,,133,,153.593
185,0.511635,,133,,153.393
186,0.514885,,133,,153.193
187,0.518165,,133,,152.993
188,0.521225,,133,,152.793
189,0.524454,,132,,152.593
190,0.527574,,133,,152.593
191,0.530564,,132,,152.393
192,0.533584,,132,,152.193
193,0.536374,,132,,151.993
194,0.538934,,131,,151.793
195,0.541424,,131,,151.793
196,0.544013,,130,,151.593
197,0.546673,,130,,151.593
198,0.549413,,130,,151.393
199,0.552073,,130,,151.193
200,0.554983,,130,,151.193
201,0.558013,,130,,150.993
202,0.560903,,130,,150.793
203,0.563782,,130,,150.793
204,0.566602,,130,,150.593
205,0.569392,,130,,150.393
206,0.572222,,130,,149.993
207,0.575022,,130,,149.793
208,0.577902,,130,,149.793
209,0.580912,,130,,149.593
210,0.583941,,130,,149.393
211,0.586921,,129,,149.393
212,0.590031,,129,,149.393
213,0.593191,,129,,149.193
214,0.596471,,129,,148.993
215,0.599741,,129,,148.993
216,0.603081,,129,,148.793
217,0.60633,,129,,148.793
218,0.60966,,129,,148.593
219,0.6131,,129,,148.593
220,0.61627,,129,,148.393
221,0.61931,,130,,148.393
222,0.62221,,130,,148.393
223,0.62525,,131,,148.193
224,0.628389,,131,,147.993
225,0.631379,,131,,147.993
226,0.634349,,131,,147.793
227,0.637219,,131,,147.793
228,0.640129,,131,,147.593
229,0.642959,,130,,147.593
230,0.645638,,130,,147.593
231,0.648148,,130,,147.593
232,0.650488,,130,,147.593
233,0.653138,,130,,147.393
234,0.655758,,130,,147.393
235,0.658658,,130,,147.393
236,0.661638,,130,,147.193
237,0.664568,,130,,147.193
238,0.667957,,130,,146.993
239,0.670957,,131,,146.993
240,0.674237,,132,,146.993
241,0.677467,,132,,146.993
242,0.680797,,132,,146.993
243,0.683777,,132,,146.993
244,0.686696,,132,,146.993
245,0.689936,,132,,146.793
246,0.693106,,132,,146.793
247,0.696016,,132,,146.593
248,0.698946,,133,,146.593
249,0.701726,,133,,146.393
250,0.704226,,134,,146.193
251,0.706046,,135,,145.993
252,0.707166,,135,,145.993
253,0.708055,,135,,145.793
254,0.708725,,135,,145.793
255,0.710605,,134,,145.793
256,0.713145,,134,,145.793
257,0.716005,,134,,145.593
258,0.718975,,133,,145.593
259,0.721915,,133,,145.593
260,0.724995,,133,,145.593
261,0.728194,,133,,145.393
262,0.731384,,132,,145.393
263,0.734354,,132,,145.393
264,0.737144,,133,,145.393
265,0.740014,,133,,145.393
266,0.742994,,133,,145.393
267,0.746114,,133,,145.393
268,0.749103,,133,,145.393
269,0.752183,,133,,145.393
270,0.755303,,133,,145.393
271,0.758373,,133,,145.393
272,0.761343,,133,,145.393
273,0.764283,,133,,145.393
274,0.767253,,134,,145.393
275,0.770422,,134,,145.393
276,0.773632,,134,,145.193
277,0.776532,,135,,144.993
278,0.779192,,135,,144.993
279,0.781952,,134,,144.993
280,0.784682,,135,,144.993
281,0.787352,,135,,144.993
282,0.790271,,135,,144.793
283,0.793281,,135,,144.793
284,0.796481,,136,,144.793
285,0.799651,,137,,144.793
286,0.802741,,137,,144.793
287,0.805741,,137,,144.793
288,0.808851,,137,,144.793
289,0.81176,,136,,144.793
290,0.81451,,136,,144.793
291,0.8174,,136,,144.793
292,0.82037,,136,,144.793
293,0.82356,,136,,144.793
294,0.82637,,136,,144.793
295,0.8292,,136,,144.793
296,0.832139,,136,,144.793
297,0.835099,,136,,144.793
298,0.838299,,136,,144.793
299,0.841449,,136,,144.793
300,0.844689,,135,,144.793
301,0.847969,,135,,144.793
302,0.851278,,134,,144.793
303,0.854528,,134,,144.793
304,0.857588,,133,,144.793
305,0.860808,,133,,144.793
306,0.864138,,133,,144.793
307,0.867318,,133,,144.793
308,0.870258,,133,,144.793
309,0.873357,,133,,144.793
310,0.876667,,133,,144.793
311,0.879847,,133,,144.793
312,0.882847,,133,,144.793
313,0.885947,,133,,144.793
314,0.889037,,133,,144.793
315,0.891886,,133,,144.593
316,0.894656,,133,,144.593
317,0.897296,,133,,144.593
318,0.900036,,133,,144.593
