secs,km,power,hr,cad,alt
0,0,,134,,52.4
1,0.00189,,134,,52
2,0.00389,,133.6,,51.76
3,0.00589,,133.2,,51.52
4,0.00789,,132.8,,51.28
5,0.00989,,132.4,,51.04
6,0.01189,,132,,50.8
7,0.019555,,131.5,,52.75
8,0.02722,,131,,54.7
9,0.034885,,130.5,,56.65
10,0.04255,,130,,58.6
11,0.04963,,130.5,,57.6
12,0.05671,,131,,56.6
13,0.06426,,131.5,,53.8
14,0.07181,,132,,51
15,0.0794167,,132,,51.4
16,0.0870233,,132,,51.8
17,0.09463,,132,,52.2
18,0.103333,,132.333,,51.1333
19,0.112037,,132.667,,50.0667
20,0.12074,,133,,49
21,0.127513,,133.333,,51.4
22,0.134287,,133.667,,53.8
23,0.14106,,134,,56.2
24,0.15292,,135,,55.8
25,0.15808,,135.75,,57.65
26,0.16324,,136.5,,59.5
27,0.1684,,137.25,,61.35
28,0.17356,,138,,63.2
29,0.180833,,138.333,,60.4667
30,0.188107,,138.667,,57.7333
31,0.19538,,139,,55
32,0.203573,,138.667,,53.3333
33,0.211767,,138.333,,51.6667
34,0.21996,,138,,50
35,0.22756,,139,,49
36,0.235113,,139,,48.4
37,0.242667,,139,,47.8
38,0.25022,,139,,47.2
39,0.257937,,139,,47.0667
40,0.265653,,139,,46.9333
41,0.27337,,139,,46.8
42,0.281903,,139.667,,47
43,0.290437,,140.333,,47.2
44,0.29897,,141,,47.4
45,0.308063,,141.667,,47.7333
46,0.317157,,142.333,,48.0667
47,0.32625,,143,,48.4
48,0.334317,,144,,48.6667
49,0.342383,,145,,48.9333
50,0.35045,,146,,49.2
51,0.358495,,147,,49.5
52,0.36654,,148,,49.8
53,0.37425,,148.667,,50
54,0.38196,,149.333,,50.2
55,0.38967,,150,,50.4
56,0.395715,,150.25,,50.4
57,0.40176,,150.5,,50.4
58,0.407805,,150.75,,50.4
59,0.41385,,151,,50.4
60,0.41759,,150.8,,50.44
61,0.42133,,150.6,,50.48
62,0.42507,,150.4,,50.52
63,0.42881,,150.2,,50.56
64,0.43255,,150,,50.6
65,0.43673,,149,,50.6
66,0.44189,,148.25,,50.5
67,0.44705,,147.5,,50.4
68,0.45221,,146.75,,50.3
69,0.45737,,146,,50.2
70,0.462983,,145.333,,50.0667
71,0.468597,,144.667,,49.9333
72,0.47421,,144,,49.8
73,0.480515,,144,,49.7
74,0.48682,,144,,49.6
75,0.493663,,143.333,,49.6
76,0.500507,,142.667,,49.6
77,0.50735,,142,,49.6
78,0.51465,,142,,49.8
79,0.521893,,141.667,,49.7333
80,0.529137,,141.333,,49.6667
81,0.53638,,141,,49.6
82,0.54441,,141,,49.8
83,0.55278,,141,,49.8
84,0.56115,,141,,49.8
85,0.56952,,141,,49.8
86,0.57751,,141,,49.7
87,0.5855,,141,,49.6
88,0.593117,,140.667,,49.5333
89,0.600733,,140.333,,49.4667
90,0.60835,,140,,49.4
91,0.6163,,140,,49.2
92,0.62499,,140,,49.0667
93,0.63368,,140,,48.9333
94,0.64237,,140,,48.8
95,0.649107,,140.333,,48.7333
96,0.655843,,140.667,,48.6667
97,0.66258,,141,,48.6
98,0.66862,,141.25,,48.75
99,0.67466,,141.5,,48.9
100,0.6807,,141.75,,49.05
101,0.68674,,142,,49.2
102,0.6923,,142.5,,49.3
103,0.69786,,143,,49.4
104,0.70418,,143.5,,49.4
105,0.7105,,144,,49.4
106,0.716328,,144.75,,49.5
107,0.722155,,145.5,,49.6
108,0.727982,,146.25,,49.7
109,0.73381,,147,,49.8
110,0.739217,,147.333,,49.8667
111,0.744623,,147.667,,49.9333
112,0.75003,,148,,50
113,0.755833,,148.333,,50.2
114,0.761637,,148.667,,50.4
115,0.76744,,149,,50.6
116,0.773358,,149.5,,50.85
117,0.779275,,150,,51.1
118,0.785192,,150.5,,51.35
119,0.79111,,151,,51.6
120,0.79813,,151.667,,51.9333
121,0.80515,,152.333,,52.2667
122,0.81217,,153,,52.6
123,0.81901,,153,,52.6
