secs,km,power,hr,cad,alt
0,0,,90,,31.2
1,0,,90,,31.2
2,0.00045,,90.375,,31.2
3,0.0009,,90.75,,31.2
4,0.00135,,91.125,,31.2
5,0.0018,,91.5,,31.2
6,0.00225,,91.875,,31.2
7,0.0027,,92.25,,31.2
8,0.00315,,92.625,,31.2
9,0.0036,,93,,31.2
10,0.0065,,94,,31.2
11,0.00962,,95,,31.2
12,0.0121267,,96,,31.2
13,0.0146333,,97,,31.2
14,0.01714,,98,,31.2
15,0.01935,,101,,31.2
16,0.02132,,103,,31.2
17,0.02299,,105,,31.4
18,0.0246033,,106,,31.9333
19,0.0262167,,107,,32.4667
20,0.02783,,108,,33
21,0.02884,,109,,33.4
22,0.02953,,108.5,,33.7
23,0.03022,,108,,34
24,0.03198,,105,,34
25,0.03385,,102,,34
26,0.03602,,100,,34.2
27,0.03777,,99.5,,34.2
28,0.03952,,99,,34.2
29,0.0416225,,99.5,,34.3
30,0.043725,,100,,34.4
31,0.0458275,,100.5,,34.5
32,0.04793,,101,,34.6
33,0.05031,,102.5,,34.7
34,0.05269,,104,,34.8
35,0.05503,,104.5,,34.9
36,0.05737,,105,,35
37,0.05993,,106,,35.2
38,0.0625938,,106.25,,35.5
39,0.0652575,,106.5,,35.8
40,0.0679213,,106.75,,36.1
41,0.070585,,107,,36.4
42,0.0732488,,107.25,,36.7
43,0.0759125,,107.5,,37
44,0.0785763,,107.75,,37.3
45,0.08124,,108,,37.6
46,0.0836875,,108.125,,37.55
47,0.086135,,108.25,,37.5
48,0.0885825,,108.375,,37.45
49,0.09103,,108.5,,37.4
50,0.0934775,,108.625,,37.35
51,0.095925,,108.75,,37.3
52,0.0983725,,108.875,,37.25
53,0.10082,,109,,37.2
54,0.103319,,109.25,,37.275
55,0.105818,,109.5,,37.35
56,0.108316,,109.75,,37.425
57,0.110815,,110,,37.5
58,0.113314,,110.25,,37.575
59,0.115812,,110.5,,37.65
60,0.118311,,110.75,,37.725
61,0.12081,,111,,37.8
62,0.122892,,111.222,,37.9333
63,0.124974,,111.444,,38.0667
64,0.127057,,111.667,,38.2
65,0.129139,,111.889,,38.3333
66,0.131221,,112.111,,38.4667
67,0.133303,,112.333,,38.6
68,0.135386,,112.556,,38.7333
69,0.137468,,112.778,,38.8667
70,0.13955,,113,,39
71,0.141898,,113.375,,39.1
72,0.144245,,113.75,,39.2
73,0.146593,,114.125,,39.3
74,0.14894,,114.5,,39.4
75,0.151287,,114.875,,39.5
76,0.153635,,115.25,,39.6
77,0.155982,,115.625,,39.7
78,0.15833,,116,,39.8
79,0.16136,,116,,39.8
80,0.16459,,116,,39.8
81,0.167138,,116.2,,39.6
82,0.169686,,116.4,,39.4
83,0.172234,,116.6,,39.2
84,0.174782,,116.8,,39
85,0.17733,,117,,38.8
86,0.17923,,116.5,,38.7
87,0.18113,,116,,38.6
88,0.18323,,115.5,,38.4
89,0.18533,,115,,38.2
90,0.187433,,115.333,,38.1
91,0.189537,,115.667,,38
92,0.19164,,116,,37.9
93,0.193743,,116.333,,37.8
94,0.195847,,116.667,,37.7
95,0.19795,,117,,37.6
96,0.19992,,117,,37.4
97,0.201723,,117.333,,37.2667
98,0.203527,,117.667,,37.1333
99,0.20533,,118,,37
100,0.207752,,118.333,,36.9
101,0.210173,,118.667,,36.8
102,0.212595,,119,,36.7
103,0.215017,,119.333,,36.6
104,0.217438,,119.667,,36.5
105,0.21986,,120,,36.4
106,0.221316,,120.4,,36.56
107,0.222772,,120.8,,36.72
108,0.224228,,121.2,,36.88
109,0.225684,,121.6,,37.04
110,0.22714,,122,,37.2
111,0.22846,,122,,38
112,0.230368,,122,,38.7
113,0.232275,,122,,39.4
114,0.234182,,122,,40.1
115,0.23609,,122,,40.8
116,0.238109,,122.286,,41.3714
117,0.240127,,122.571,,41.9429
118,0.242146,,122.857,,42.5143
119,0.244164,,123.143,,43.0857
120,0.246183,,123.429,,43.6571
121,0.248201,,123.714,,44.2286
122,0.25022,,124,,44.8
123,0.252205,,123.833,,45.3
124,0.25419,,123.667,,45.8
125,0.256175,,123.5,,46.3
126,0.25816,,123.333,,46.8
127,0.260145,,123.167,,47.3
128,0.26213,,123,,47.8
129,0.26462,,123,,48.4
130,0.266876,,122.8,,48.68
131,0.269132,,122.6,,48.96
132,0.271388,,122.4,,49.24
133,0.273644,,122.2,,49.52
134,0.2759,,122,,49.8
135,0.278463,,122.286,,50
136,0.281026,,122.571,,50.2
137,0.283589,,122.857,,50.4
138,0.286151,,123.143,,50.6
139,0.288714,,123.429,,50.8
140,0.291277,,123.714,,51
141,0.29384,,124,,51.2
142,0.296374,,124.143,,51.4
143,0.298909,,124.286,,51.6
144,0.301443,,124.429,,51.8
145,0.303977,,124.571,,52
146,0.306511,,124.714,,52.2
147,0.309046,,124.857,,52.4
148,0.31158,,125,,52.6
149,0.313508,,124.5,,52.8333
150,0.315437,,124,,53.0667
151,0.317365,,123.5,,53.3
152,0.319293,,123,,53.5333
153,0.321222,,122.5,,53.7667
154,0.32315,,122,,54
155,0.32539,,122,,54
156,0.32755,,122,,54
157,0.329858,,122.25,,53.85
158,0.332165,,122.5,,53.7
159,0.334473,,122.75,,53.55
160,0.33678,,123,,53.4
161,0.338648,,123.4,,53.2
162,0.340516,,123.8,,53
163,0.342384,,124.2,,52.8
164,0.344252,,124.6,,52.6
165,0.34612,,125,,52.4
166,0.34762,,125,,52.4
167,0.34912,,125,,52.4
168,0.351521,,124.714,,52.6857
169,0.353923,,124.429,,52.9714
170,0.356324,,124.143,,53.2571
171,0.358726,,123.857,,53.5429
172,0.361127,,123.571,,53.8286
173,0.363529,,123.286,,54.1143
174,0.36593,,123,,54.4
175,0.368232,,123.6,,54.4
176,0.370534,,124.2,,54.4
177,0.372836,,124.8,,54.4
178,0.375138,,125.4,,54.4
179,0.37744,,126,,54.4
180,0.38001,,127,,54.4
181,0.382977,,127.286,,54.4286
182,0.385944,,127.571,,54.4571
183,0.388911,,127.857,,54.4857
184,0.391879,,128.143,,54.5143
185,0.394846,,128.429,,54.5429
186,0.397813,,128.714,,54.5714
187,0.40078,,129,,54.6
188,0.403574,,129,,54.12
189,0.406368,,129,,53.64
190,0.409162,,129,,53.16
191,0.411956,,129,,52.68
192,0.41475,,129,,52.2
193,0.416919,,129.125,,51.7
194,0.419088,,129.25,,51.2
195,0.421256,,129.375,,50.7
196,0.423425,,129.5,,50.2
197,0.425594,,129.625,,49.7
198,0.427762,,129.75,,49.2
199,0.429931,,129.875,,48.7
200,0.4321,,130,,48.2
201,0.434763,,130.167,,48.3667
202,0.437427,,130.333,,48.5333
203,0.44009,,130.5,,48.7
204,0.442753,,130.667,,48.8667
205,0.445417,,130.833,,49.0333
206,0.44808,,131,,49.2
207,0.44808,,130.75,,48.69
208,0.44808,,130.5,,48.18
209,0.44808,,130.25,,47.67
210,0.44808,,130,,47.16
211,0.44808,,129.75,,46.65
212,0.44808,,129.5,,46.14
213,0.44808,,129.25,,45.63
214,0.44808,,129,,45.12
215,0.44808,,128.75,,44.61
216,0.44808,,128.5,,44.1
217,0.44808,,128.25,,43.59
218,0.44808,,128,,43.08
219,0.44808,,127.75,,42.57
220,0.44808,,127.5,,42.06
221,0.44808,,127.25,,41.55
222,0.44808,,127,,41.04
223,0.44808,,126.75,,40.53
224,0.44808,,126.5,,40.02
225,0.44808,,126.25,,39.51
226,0.44808,,126,,39
227,0.44895,,126,,38.6
228,0.450366,,126.143,,38
229,0.451781,,126.286,,37.4
230,0.453197,,126.429,,36.8
231,0.454613,,126.571,,36.2
232,0.456029,,126.714,,35.6
233,0.457444,,126.857,,35
234,0.45886,,127,,34.4
235,0.46198,,126.4,,33.92
236,0.4651,,125.8,,33.44
237,0.46822,,125.2,,32.96
238,0.47134,,124.6,,32.48
239,0.47446,,124,,32
240,0.477058,,123,,31.85
241,0.479655,,122,,31.7
242,0.482252,,121,,31.55
243,0.48485,,120,,31.4
244,0.487315,,119.5,,31.3333
245,0.48978,,119,,31.2667
246,0.492245,,118.5,,31.2
247,0.49471,,118,,31.1333
248,0.497175,,117.5,,31.0667
249,0.49964,,117,,31
250,0.50203,,117,,31
251,0.504345,,117.125,,30.875
252,0.50666,,117.25,,30.75
253,0.508975,,117.375,,30.625
254,0.51129,,117.5,,30.5
255,0.513605,,117.625,,30.375
256,0.51592,,117.75,,30.25
257,0.518235,,117.875,,30.125
258,0.52055,,118,,30
259,0.52251,,118.5,,29.7
260,0.52447,,119,,29.4
261,0.52447,,119.143,,29.4143
262,0.52447,,119.286,,29.4286
263,0.52447,,119.429,,29.4429
264,0.52447,,119.571,,29.4571
265,0.52447,,119.714,,29.4714
266,0.52447,,119.857,,29.4857
267,0.52447,,120,,29.5
268,0.52447,,120.143,,29.5143
269,0.52447,,120.286,,29.5286
270,0.52447,,120.429,,29.5429
271,0.52447,,120.571,,29.5571
272,0.52447,,120.714,,29.5714
273,0.52447,,120.857,,29.5857
274,0.52447,,121,,29.6
275,0.52554,,121,,29.6
276,0.526892,,120.5,,29.8
277,0.528245,,120,,30
278,0.529598,,119.5,,30.2
279,0.53095,,119,,30.4
280,0.533385,,119.5,,30.7
281,0.53582,,120,,31
282,0.538185,,119.25,,31.25
283,0.54055,,118.5,,31.5
284,0.542915,,117.75,,31.75
285,0.54528,,117,,32
286,0.547863,,116.667,,32.4
287,0.550447,,116.333,,32.8
288,0.55303,,116,,33.2
289,0.555257,,115.25,,33.65
290,0.557485,,114.5,,34.1
291,0.559713,,113.75,,34.55
